GeographyCode,DC3601NI0001,DC3601NI0002,DC3601NI0003,DC3601NI0004,DC3601NI0005,DC3601NI0006,DC3601NI0007,DC3601NI0008,DC3601NI0009,DC3601NI0010,DC3601NI0011,DC3601NI0012,DC3601NI0013,DC3601NI0014,DC3601NI0015,DC3601NI0016,DC3601NI0017,DC3601NI0018,DC3601NI0019,DC3601NI0020,DC3601NI0021,DC3601NI0022,DC3601NI0023,DC3601NI0024,DC3601NI0025
95AA01,2343,167,376,1386,414,2055,131,318,1242,364,206,27,34,111,34,43,3,10,20,10,39,6,14,13,6
95AA02,826,54,175,560,37,705,45,139,490,31,80,5,24,47,4,16,0,6,9,1,25,4,6,14,1
95AA03,775,62,168,497,48,661,52,146,422,41,70,5,10,51,4,21,0,7,12,2,23,5,5,12,1
95AA04,1570,152,305,871,242,1300,124,249,721,206,195,18,43,108,26,39,3,9,25,2,36,7,4,17,8
95AA05,1276,84,226,837,129,1093,74,193,715,111,143,6,26,97,14,21,3,3,14,1,19,1,4,11,3
95AA06,2093,166,507,1254,166,1748,142,412,1058,136,230,19,63,131,17,58,2,16,36,4,57,3,16,29,9
95AA07,1046,72,200,647,127,890,63,167,548,112,123,7,27,77,12,17,1,2,13,1,16,1,4,9,2
95AA08,700,41,187,436,36,602,34,153,381,34,51,1,22,27,1,23,3,7,13,0,24,3,5,15,1
95AA09,915,68,228,562,57,811,63,199,497,52,71,4,22,40,5,14,0,4,10,0,19,1,3,15,0
95AA10,807,85,165,503,54,682,79,139,420,44,79,4,15,52,8,22,1,3,17,1,24,1,8,14,1
95AA11,2800,176,487,1903,234,2477,157,408,1702,210,217,9,51,140,17,60,8,13,33,6,46,2,15,28,1
95AA12,1459,115,287,834,223,1193,101,224,686,182,208,9,48,118,33,29,3,9,14,3,29,2,6,16,5
95AA13,1573,99,285,1056,133,1340,75,239,912,114,164,16,30,105,13,27,2,1,21,3,42,6,15,18,3
95AA14,1151,104,217,681,149,960,84,171,581,124,134,14,33,68,19,27,1,6,18,2,30,5,7,14,4
95AA15,2115,110,433,1425,147,1880,95,383,1270,132,148,10,32,101,5,47,3,5,34,5,40,2,13,20,5
95AA16,828,51,174,560,43,726,46,143,497,40,75,4,20,48,3,14,0,5,9,0,13,1,6,6,0
95AA17,1009,75,214,664,56,889,64,187,589,49,88,8,19,55,6,15,0,4,11,0,17,3,4,9,1
95AA18,1123,97,195,650,181,941,81,152,552,156,148,10,36,83,19,22,4,3,11,4,12,2,4,4,2
95AA19,1186,84,219,742,141,1021,64,185,649,123,110,13,20,67,10,25,1,7,13,4,30,6,7,13,4
95BB01,1878,164,366,1130,218,1524,131,293,923,177,253,19,56,149,29,49,4,9,31,5,52,10,8,27,7
95BB02,929,83,201,555,90,767,66,163,469,69,98,11,30,46,11,31,1,5,20,5,33,5,3,20,5
95BB03,1710,110,350,1054,196,1403,89,281,872,161,188,12,42,115,19,50,3,10,32,5,69,6,17,35,11
95BB04,1326,112,303,788,123,1065,90,221,655,99,200,15,66,101,18,22,2,5,14,1,39,5,11,18,5
95BB05,1696,156,344,953,243,1418,131,286,805,196,199,18,38,103,40,46,4,14,24,4,33,3,6,21,3
95BB06,1194,76,261,754,103,1012,62,214,644,92,135,9,31,87,8,19,1,8,10,0,28,4,8,13,3
95BB07,1302,113,264,824,101,1106,97,215,713,81,138,12,33,78,15,26,3,7,13,3,32,1,9,20,2
95BB08,1232,95,263,788,86,1037,79,204,685,69,138,10,38,79,11,30,2,10,17,1,27,4,11,7,5
95BB09,1534,133,305,948,148,1259,105,252,790,112,220,24,40,127,29,38,4,11,21,2,17,0,2,10,5
95BB10,1493,130,294,866,203,1219,99,241,712,167,217,22,39,126,30,32,4,10,17,1,25,5,4,11,5
95BB11,1218,89,307,745,77,998,63,249,624,62,149,15,42,85,7,36,3,11,21,1,35,8,5,15,7
95BB12,1138,111,288,657,82,931,88,224,547,72,155,17,45,85,8,26,0,11,14,1,26,6,8,11,1
95BB13,2103,207,461,1252,183,1759,166,376,1064,153,236,21,58,136,21,56,11,6,36,3,52,9,21,16,6
95BB14,1546,121,316,880,229,1282,97,245,743,197,206,16,53,111,26,23,3,8,11,1,35,5,10,15,5
95BB15,1546,116,295,956,179,1313,90,243,829,151,168,16,38,95,19,29,3,5,17,4,36,7,9,15,5
95BB16,1558,122,306,884,246,1267,96,243,719,209,233,15,52,137,29,25,3,2,18,2,33,8,9,10,6
95BB17,1703,120,388,1035,160,1398,100,314,859,125,202,9,50,123,20,41,4,10,25,2,62,7,14,28,13
95BB18,1938,135,377,1227,199,1603,101,296,1039,167,226,17,56,130,23,56,6,10,35,5,53,11,15,23,4
95BB19,2497,209,554,1567,167,2095,167,447,1337,144,288,30,80,162,16,59,3,15,37,4,55,9,12,31,3
95BB20,1355,112,263,853,127,1123,82,209,731,101,162,22,33,85,22,33,1,9,20,3,37,7,12,17,1
95BB21,2057,170,431,1186,270,1720,135,341,1008,236,212,17,53,120,22,51,3,16,27,5,74,15,21,31,7
95BB22,1258,73,318,781,86,1065,59,265,666,75,127,8,31,79,9,35,4,8,21,2,31,2,14,15,0
95BB23,1532,141,343,924,124,1253,119,267,768,99,187,10,52,108,17,49,7,9,27,6,43,5,15,21,2
95CC01,994,69,226,630,69,852,54,189,549,60,93,8,23,57,5,24,4,7,12,1,25,3,7,12,3
95CC02,1287,101,261,741,184,1092,80,220,641,151,129,15,28,66,20,35,3,7,16,9,31,3,6,18,4
95CC03,995,88,243,588,76,869,77,209,518,65,76,6,16,50,4,23,2,8,11,2,27,3,10,9,5
95CC04,1074,93,231,621,129,907,78,197,532,100,126,14,25,71,16,19,0,5,8,6,22,1,4,10,7
95CC05,1212,88,240,748,136,1024,70,195,642,117,122,13,32,71,6,36,3,5,22,6,30,2,8,13,7
95CC06,1264,95,232,828,109,1060,71,188,706,95,151,14,36,91,10,35,4,4,24,3,18,6,4,7,1
95CC07,1474,111,309,864,190,1261,91,251,752,167,136,14,39,68,15,38,5,9,22,2,39,1,10,22,6
95CC08,944,77,198,597,72,808,64,161,519,64,94,12,23,54,5,24,0,9,14,1,18,1,5,10,2
95CC09,1722,112,322,1029,259,1455,94,245,894,222,195,11,62,103,19,43,4,11,18,10,29,3,4,14,8
95CC10,1243,92,230,735,186,1029,71,189,621,148,157,17,31,80,29,31,2,5,23,1,26,2,5,11,8
95CC11,670,58,126,413,73,616,53,111,383,69,36,3,8,22,3,12,1,5,6,0,6,1,2,2,1
95CC12,1282,106,240,746,190,1114,97,207,639,171,125,5,25,80,15,27,3,6,17,1,16,1,2,10,3
95CC13,1186,80,259,670,177,1026,63,212,601,150,107,11,29,53,14,19,2,6,8,3,34,4,12,8,10
95CC14,1449,118,302,860,169,1225,94,244,745,142,165,15,38,91,21,38,5,14,15,4,21,4,6,9,2
95CC15,1318,85,267,818,148,1121,72,216,711,122,143,8,37,80,18,21,2,6,11,2,33,3,8,16,6
95CC16,1217,115,245,726,131,1015,96,202,615,102,139,9,31,80,19,34,5,7,20,2,29,5,5,11,8
95CC17,1337,104,264,780,189,1172,86,229,686,171,112,9,21,69,13,23,2,9,11,1,30,7,5,14,4
95CC18,1049,90,205,644,110,904,82,167,560,95,115,8,28,68,11,12,0,6,6,0,18,0,4,10,4
95CC19,1283,103,254,727,199,1072,90,205,613,164,153,9,32,85,27,28,4,6,15,3,30,0,11,14,5
95CC20,1455,105,282,941,127,1223,91,224,799,109,170,10,47,100,13,36,2,5,27,2,26,2,6,15,3
95CC21,1384,84,286,872,142,1177,69,239,753,116,142,11,33,79,19,34,1,9,22,2,31,3,5,18,5
95CC22,747,58,155,477,57,651,46,135,420,50,57,5,16,32,4,20,2,3,14,1,19,5,1,11,2
95DD01,897,58,189,562,88,775,48,156,494,77,98,9,25,54,10,11,0,3,8,0,13,1,5,6,1
95DD02,1960,118,383,1301,158,1692,98,316,1140,138,196,16,50,117,13,31,0,9,19,3,41,4,8,25,4
95DD03,1747,100,314,1151,182,1496,89,254,996,157,183,8,43,112,20,39,0,9,27,3,29,3,8,16,2
95DD04,704,50,196,431,27,604,40,162,384,18,56,3,18,31,4,22,3,9,9,1,22,4,7,7,4
95DD05,674,59,183,400,32,579,51,148,351,29,55,4,22,26,3,29,2,9,18,0,11,2,4,5,0
95DD06,1167,90,219,775,83,978,75,176,656,71,134,8,31,87,8,27,3,5,19,0,28,4,7,13,4
95DD07,1505,113,305,920,167,1299,100,257,798,144,148,7,32,93,16,28,2,10,13,3,30,4,6,16,4
95DD08,943,70,170,652,51,827,58,141,584,44,76,5,21,46,4,22,4,6,12,0,18,3,2,10,3
95DD09,1276,97,251,729,199,1081,84,203,641,153,132,8,34,61,29,22,0,5,14,3,41,5,9,13,14
95DD10,1277,95,264,831,87,1090,79,215,725,71,134,10,32,80,12,25,4,7,13,1,28,2,10,13,3
95DD11,918,65,190,613,50,817,56,165,552,44,73,5,21,42,5,14,2,0,11,1,14,2,4,8,0
95DD12,1268,110,222,776,160,1077,92,182,671,132,119,6,33,67,13,30,7,3,18,2,42,5,4,20,13
95DD13,727,48,150,482,47,648,42,128,437,41,39,3,12,18,6,17,1,2,14,0,23,2,8,13,0
95DD14,1649,132,323,1032,162,1402,110,276,885,131,191,16,32,118,25,27,2,7,15,3,29,4,8,14,3
95DD15,1694,106,316,1058,214,1455,90,256,922,187,167,14,35,98,20,32,1,7,22,2,40,1,18,16,5
95DD16,1548,114,304,875,255,1297,96,238,749,214,188,14,46,96,32,34,3,9,16,6,29,1,11,14,3
95DD17,1720,127,331,1047,215,1482,111,273,914,184,177,7,44,104,22,20,2,5,10,3,41,7,9,19,6
95DD18,820,66,174,526,54,703,56,146,456,45,80,7,21,48,4,21,2,2,15,2,16,1,5,7,3
95DD19,1619,125,321,1002,171,1373,104,264,863,142,175,12,43,100,20,28,2,4,17,5,43,7,10,22,4
