ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
DC6403NI0001,Count,PERSONS,"All categories: Sex, All categories: NS-SEC, All categories: Tenure"
DC6403NI0002,Count,PERSONS,"All categories: Sex, All categories: NS-SEC, Owner occupied"
DC6403NI0003,Count,PERSONS,"All categories: Sex, All categories: NS-SEC, Rented from Northern Ireland Housing Executive"
DC6403NI0004,Count,PERSONS,"All categories: Sex, All categories: NS-SEC, Rented from housing association or charitable trust"
DC6403NI0005,Count,PERSONS,"All categories: Sex, All categories: NS-SEC, Private rented"
DC6403NI0006,Count,PERSONS,"All categories: Sex, 1. Higher managerial, administrative and professional occupations: Total, All categories: Tenure"
DC6403NI0007,Count,PERSONS,"All categories: Sex, 1. Higher managerial, administrative and professional occupations: Total, Owner occupied"
DC6403NI0008,Count,PERSONS,"All categories: Sex, 1. Higher managerial, administrative and professional occupations: Total, Rented from Northern Ireland Housing Executive"
DC6403NI0009,Count,PERSONS,"All categories: Sex, 1. Higher managerial, administrative and professional occupations: Total, Rented from housing association or charitable trust"
DC6403NI0010,Count,PERSONS,"All categories: Sex, 1. Higher managerial, administrative and professional occupations: Total, Private rented"
DC6403NI0011,Count,PERSONS,"All categories: Sex, 1. Higher managerial, administrative and professional occupations: 1.1. Large employers and higher managerial and administrative occupations, All categories: Tenure"
DC6403NI0012,Count,PERSONS,"All categories: Sex, 1. Higher managerial, administrative and professional occupations: 1.1. Large employers and higher managerial and administrative occupations, Owner occupied"
DC6403NI0013,Count,PERSONS,"All categories: Sex, 1. Higher managerial, administrative and professional occupations: 1.1. Large employers and higher managerial and administrative occupations, Rented from Northern Ireland Housing Executive"
DC6403NI0014,Count,PERSONS,"All categories: Sex, 1. Higher managerial, administrative and professional occupations: 1.1. Large employers and higher managerial and administrative occupations, Rented from housing association or charitable trust"
DC6403NI0015,Count,PERSONS,"All categories: Sex, 1. Higher managerial, administrative and professional occupations: 1.1. Large employers and higher managerial and administrative occupations, Private rented"
DC6403NI0016,Count,PERSONS,"All categories: Sex, 1. Higher managerial, administrative and professional occupations: 1.2. Higher professional occupations, All categories: Tenure"
DC6403NI0017,Count,PERSONS,"All categories: Sex, 1. Higher managerial, administrative and professional occupations: 1.2. Higher professional occupations, Owner occupied"
DC6403NI0018,Count,PERSONS,"All categories: Sex, 1. Higher managerial, administrative and professional occupations: 1.2. Higher professional occupations, Rented from Northern Ireland Housing Executive"
DC6403NI0019,Count,PERSONS,"All categories: Sex, 1. Higher managerial, administrative and professional occupations: 1.2. Higher professional occupations, Rented from housing association or charitable trust"
DC6403NI0020,Count,PERSONS,"All categories: Sex, 1. Higher managerial, administrative and professional occupations: 1.2. Higher professional occupations, Private rented"
DC6403NI0021,Count,PERSONS,"All categories: Sex, 2. Lower managerial, administrative and professional occupations, All categories: Tenure"
DC6403NI0022,Count,PERSONS,"All categories: Sex, 2. Lower managerial, administrative and professional occupations, Owner occupied"
DC6403NI0023,Count,PERSONS,"All categories: Sex, 2. Lower managerial, administrative and professional occupations, Rented from Northern Ireland Housing Executive"
DC6403NI0024,Count,PERSONS,"All categories: Sex, 2. Lower managerial, administrative and professional occupations, Rented from housing association or charitable trust"
DC6403NI0025,Count,PERSONS,"All categories: Sex, 2. Lower managerial, administrative and professional occupations, Private rented"
DC6403NI0026,Count,PERSONS,"All categories: Sex, 3. Intermediate occupations, All categories: Tenure"
DC6403NI0027,Count,PERSONS,"All categories: Sex, 3. Intermediate occupations, Owner occupied"
