GeographyCode,DC2506NI0001,DC2506NI0002,DC2506NI0003,DC2506NI0004,DC2506NI0005,DC2506NI0006,DC2506NI0007,DC2506NI0008,DC2506NI0009,DC2506NI0010,DC2506NI0011,DC2506NI0012,DC2506NI0013,DC2506NI0014,DC2506NI0015,DC2506NI0016,DC2506NI0017,DC2506NI0018,DC2506NI0019,DC2506NI0020,DC2506NI0021,DC2506NI0022,DC2506NI0023,DC2506NI0024,DC2506NI0025,DC2506NI0026,DC2506NI0027,DC2506NI0028,DC2506NI0029,DC2506NI0030,DC2506NI0031,DC2506NI0032,DC2506NI0033,DC2506NI0034,DC2506NI0035,DC2506NI0036,DC2506NI0037,DC2506NI0038,DC2506NI0039,DC2506NI0040,DC2506NI0041,DC2506NI0042,DC2506NI0043,DC2506NI0044,DC2506NI0045,DC2506NI0046,DC2506NI0047,DC2506NI0048,DC2506NI0049,DC2506NI0050,DC2506NI0051,DC2506NI0052,DC2506NI0053,DC2506NI0054,DC2506NI0055,DC2506NI0056,DC2506NI0057,DC2506NI0058,DC2506NI0059,DC2506NI0060,DC2506NI0061,DC2506NI0062,DC2506NI0063,DC2506NI0064,DC2506NI0065,DC2506NI0066,DC2506NI0067,DC2506NI0068,DC2506NI0069,DC2506NI0070,DC2506NI0071,DC2506NI0072,DC2506NI0073,DC2506NI0074,DC2506NI0075,DC2506NI0076,DC2506NI0077,DC2506NI0078,DC2506NI0079,DC2506NI0080,DC2506NI0081,DC2506NI0082,DC2506NI0083,DC2506NI0084,DC2506NI0085,DC2506NI0086,DC2506NI0087,DC2506NI0088,DC2506NI0089,DC2506NI0090,DC2506NI0091,DC2506NI0092,DC2506NI0093,DC2506NI0094,DC2506NI0095,DC2506NI0096,DC2506NI0097,DC2506NI0098,DC2506NI0099,DC2506NI0100,DC2506NI0101,DC2506NI0102,DC2506NI0103,DC2506NI0104,DC2506NI0105,DC2506NI0106,DC2506NI0107,DC2506NI0108,DC2506NI0109,DC2506NI0110,DC2506NI0111,DC2506NI0112
95AA01,3344,3255,24,8,3,1,2,0,0,0,2,0,10,39,582,571,2,2,0,0,0,0,0,0,0,0,0,7,392,384,2,1,0,1,0,0,0,0,0,0,2,2,609,603,2,1,1,0,0,0,0,0,0,0,0,2,138,135,0,0,0,0,0,0,0,0,0,0,0,3,511,505,1,0,0,0,0,0,0,0,0,0,1,4,977,956,0,1,2,0,0,0,0,0,2,0,5,11,135,101,17,3,0,0,2,0,0,0,0,0,2,10
95AA02,1468,1410,23,3,0,0,12,2,1,0,0,0,5,12,506,501,2,1,0,0,2,0,0,0,0,0,0,0,207,199,4,1,0,0,2,0,0,0,0,0,0,1,242,239,0,0,0,0,1,0,0,0,0,0,1,1,69,69,0,0,0,0,0,0,0,0,0,0,0,0,140,138,0,0,0,0,0,1,0,0,0,0,0,1,230,221,0,0,0,0,2,1,1,0,0,0,0,5,74,43,17,1,0,0,5,0,0,0,0,0,4,4
95AA03,1436,1402,16,2,0,0,2,0,2,0,0,0,3,9,565,556,3,1,0,0,2,0,0,0,0,0,1,2,210,209,1,0,0,0,0,0,0,0,0,0,0,0,219,215,3,0,0,0,0,0,0,0,0,0,0,1,60,58,1,0,0,0,0,0,0,0,0,0,0,1,163,159,2,0,0,0,0,0,0,0,0,0,0,2,167,163,0,1,0,0,0,0,1,0,0,0,2,0,52,42,6,0,0,0,0,0,1,0,0,0,0,3
95AA04,2373,2361,0,0,0,0,4,1,0,0,2,0,0,5,580,580,0,0,0,0,0,0,0,0,0,0,0,0,282,282,0,0,0,0,0,0,0,0,0,0,0,0,385,384,0,0,0,0,0,0,0,0,0,0,0,1,113,113,0,0,0,0,0,0,0,0,0,0,0,0,308,308,0,0,0,0,0,0,0,0,0,0,0,0,634,628,0,0,0,0,2,0,0,0,2,0,0,2,71,66,0,0,0,0,2,1,0,0,0,0,0,2
95AA05,2083,2041,2,10,5,2,2,0,3,0,2,0,0,16,513,508,0,0,1,0,0,0,0,0,0,0,0,4,243,243,0,0,0,0,0,0,0,0,0,0,0,0,298,294,1,0,1,0,0,0,0,0,0,0,0,2,141,139,1,0,1,0,0,0,0,0,0,0,0,0,260,260,0,0,0,0,0,0,0,0,0,0,0,0,546,536,0,2,2,0,0,0,3,0,0,0,0,3,82,61,0,8,0,2,2,0,0,0,2,0,0,7
95AA06,3346,3288,13,0,25,1,2,0,5,0,1,3,1,7,808,802,3,0,1,1,0,0,0,0,0,0,0,1,470,466,1,0,2,0,0,0,1,0,0,0,0,0,632,624,0,0,8,0,0,0,0,0,0,0,0,0,147,147,0,0,0,0,0,0,0,0,0,0,0,0,471,463,1,0,4,0,0,0,2,0,0,0,0,1,685,665,4,0,10,0,1,0,0,0,1,2,0,2,133,121,4,0,0,0,1,0,2,0,0,1,1,3
95AA07,1714,1680,6,16,0,0,5,0,0,0,0,0,0,7,474,467,1,3,0,0,2,0,0,0,0,0,0,1,205,202,1,0,0,0,2,0,0,0,0,0,0,0,270,267,1,1,0,0,0,0,0,0,0,0,0,1,90,90,0,0,0,0,0,0,0,0,0,0,0,0,188,188,0,0,0,0,0,0,0,0,0,0,0,0,413,404,1,5,0,0,0,0,0,0,0,0,0,3,74,62,2,7,0,0,1,0,0,0,0,0,0,2
95AA08,1347,1280,23,13,1,4,6,0,2,0,0,2,3,13,497,490,2,2,0,1,0,0,0,0,0,0,0,2,191,185,3,2,0,0,0,0,0,0,0,0,0,1,225,222,1,0,0,1,0,0,0,0,0,0,0,1,51,49,0,1,1,0,0,0,0,0,0,0,0,0,130,126,1,0,0,0,2,0,0,0,0,0,0,1,164,151,8,0,0,0,1,0,1,0,0,2,0,1,89,57,8,8,0,2,3,0,1,0,0,0,3,7
95AA09,1772,1691,32,3,0,0,3,2,1,0,0,9,3,28,602,594,3,0,0,0,0,0,0,0,0,0,0,5,248,239,2,1,0,0,0,1,0,0,0,0,0,5,259,255,1,0,0,0,0,0,0,0,0,0,0,3,59,56,2,0,0,0,1,0,0,0,0,0,0,0,171,164,1,1,0,0,0,0,0,0,0,2,1,2,339,321,4,0,0,0,2,0,1,0,0,5,0,6,94,62,19,1,0,0,0,1,0,0,0,2,2,7
95AA10,1551,1495,19,8,2,0,0,1,1,2,0,0,0,23,514,501,1,0,2,0,0,0,0,0,0,0,0,10,208,203,2,0,0,0,0,0,0,1,0,0,0,2,239,237,2,0,0,0,0,0,0,0,0,0,0,0,79,78,0,0,0,0,0,0,0,0,0,0,0,1,166,164,0,0,0,0,0,0,0,1,0,0,0,1,273,264,2,1,0,0,0,0,0,0,0,0,0,6,72,48,12,7,0,0,0,1,1,0,0,0,0,3
