GeographyCode,DC2108NI0001,DC2108NI0002,DC2108NI0003,DC2108NI0004,DC2108NI0005,DC2108NI0006,DC2108NI0007,DC2108NI0008,DC2108NI0009,DC2108NI0010,DC2108NI0011,DC2108NI0012,DC2108NI0013,DC2108NI0014,DC2108NI0015,DC2108NI0016,DC2108NI0017,DC2108NI0018,DC2108NI0019,DC2108NI0020,DC2108NI0021,DC2108NI0022,DC2108NI0023,DC2108NI0024,DC2108NI0025,DC2108NI0026,DC2108NI0027,DC2108NI0028,DC2108NI0029,DC2108NI0030,DC2108NI0031,DC2108NI0032,DC2108NI0033,DC2108NI0034,DC2108NI0035,DC2108NI0036,DC2108NI0037,DC2108NI0038,DC2108NI0039,DC2108NI0040,DC2108NI0041,DC2108NI0042,DC2108NI0043,DC2108NI0044,DC2108NI0045,DC2108NI0046,DC2108NI0047,DC2108NI0048,DC2108NI0049,DC2108NI0050,DC2108NI0051,DC2108NI0052,DC2108NI0053,DC2108NI0054,DC2108NI0055,DC2108NI0056,DC2108NI0057,DC2108NI0058,DC2108NI0059,DC2108NI0060,DC2108NI0061,DC2108NI0062,DC2108NI0063,DC2108NI0064,DC2108NI0065,DC2108NI0066,DC2108NI0067,DC2108NI0068,DC2108NI0069,DC2108NI0070,DC2108NI0071,DC2108NI0072,DC2108NI0073,DC2108NI0074,DC2108NI0075,DC2108NI0076,DC2108NI0077,DC2108NI0078,DC2108NI0079,DC2108NI0080,DC2108NI0081,DC2108NI0082,DC2108NI0083,DC2108NI0084,DC2108NI0085,DC2108NI0086,DC2108NI0087,DC2108NI0088,DC2108NI0089,DC2108NI0090
95AA01,3194,2387,450,81,20,41,35,56,124,2168,1496,387,72,18,34,32,26,103,2002,1374,372,65,18,29,28,18,98,166,122,15,7,0,5,4,8,5,1026,891,63,9,2,7,3,30,21,707,623,43,3,1,4,2,20,11,31,15,6,0,0,0,0,7,3,81,70,8,1,0,0,0,0,2,81,66,4,2,1,0,1,3,4,126,117,2,3,0,3,0,0,1
95AA02,1468,1254,82,21,4,23,9,48,27,738,616,48,12,2,9,7,30,14,606,515,42,10,2,8,6,14,9,132,101,6,2,0,1,1,16,5,730,638,34,9,2,14,2,18,13,416,366,16,3,1,4,1,17,8,15,14,0,0,0,0,0,1,0,58,50,5,1,0,0,1,0,1,91,79,7,0,0,3,0,0,2,150,129,6,5,1,7,0,0,2
95AA03,1436,1265,58,18,4,21,12,27,31,668,578,26,9,4,11,5,14,21,548,473,23,8,4,8,4,10,18,120,105,3,1,0,3,1,4,3,768,687,32,9,0,10,7,13,10,434,383,20,4,0,5,6,10,6,11,10,0,0,0,0,0,1,0,79,70,4,1,0,1,1,0,2,120,111,5,1,0,0,0,1,2,124,113,3,3,0,4,0,1,0
95AA04,2364,2166,102,11,3,38,2,5,37,1484,1341,77,8,2,27,1,4,24,1372,1253,65,8,1,22,1,2,20,112,88,12,0,1,5,0,2,4,880,825,25,3,1,11,1,1,13,651,611,18,2,1,7,1,1,10,20,18,0,0,0,1,0,0,1,58,54,3,0,0,1,0,0,0,56,51,2,0,0,1,0,0,2,95,91,2,1,0,1,0,0,0
95AA05,2036,1844,69,13,5,27,6,33,39,1238,1101,51,9,2,23,5,23,24,1140,1026,41,9,2,20,4,14,24,98,75,10,0,0,3,1,9,0,798,743,18,4,3,4,1,10,15,589,555,8,0,3,0,1,9,13,12,7,3,0,0,0,0,1,1,42,41,1,0,0,0,0,0,0,56,51,4,0,0,0,0,0,1,99,89,2,4,0,4,0,0,0
95AA06,3303,3003,138,20,9,53,15,18,47,1882,1694,84,10,8,36,7,7,36,1686,1525,74,7,7,32,5,5,31,196,169,10,3,1,4,2,2,5,1421,1309,54,10,1,17,8,11,11,986,919,34,4,0,8,4,7,10,27,25,0,0,0,0,0,2,0,143,130,7,1,0,1,3,0,1,99,85,7,3,0,1,1,2,0,166,150,6,2,1,7,0,0,0
95AA07,1693,1531,69,17,1,15,11,31,18,1020,910,50,11,0,13,7,17,12,908,826,40,6,0,13,5,7,11,112,84,10,5,0,0,2,10,1,673,621,19,6,1,2,4,14,6,446,418,10,2,1,1,4,7,3,17,15,0,0,0,0,0,1,1,49,42,4,3,0,0,0,0,0,74,62,5,0,0,1,0,6,0,87,84,0,1,0,0,0,0,2
95AA08,1325,1122,79,22,2,17,9,54,20,614,502,46,9,2,10,4,29,12,490,410,33,8,2,9,2,16,10,124,92,13,1,0,1,2,13,2,711,620,33,13,0,7,5,25,8,432,382,15,8,0,5,0,19,3,15,10,1,0,0,0,1,3,0,72,65,3,1,0,0,2,1,0,110,91,7,4,0,1,2,2,3,82,72,7,0,0,1,0,0,2
95AA09,1695,1405,90,20,2,36,8,58,76,858,679,55,11,1,19,2,41,50,706,570,41,9,1,17,0,20,48,152,109,14,2,0,2,2,21,2,837,726,35,9,1,17,6,17,26,507,453,21,1,0,5,1,12,14,21,14,0,0,0,1,0,0,6,94,76,6,3,0,2,2,2,3,114,104,4,0,1,1,2,2,0,101,79,4,5,0,8,1,1,3
95AA10,1551,1346,91,16,4,24,5,30,35,832,700,59,11,3,15,3,21,20,720,609,53,11,3,15,2,10,17,112,91,6,0,0,0,1,11,3,719,646,32,5,1,9,2,9,15,486,442,19,2,1,3,0,8,11,8,6,2,0,0,0,0,0,0,59,54,1,0,0,2,1,0,1,76,66,4,1,0,2,1,1,1,90,78,6,2,0,2,0,0,2
