GeographyCode,DC1102NI0001,DC1102NI0002,DC1102NI0003,DC1102NI0004,DC1102NI0005,DC1102NI0006,DC1102NI0007,DC1102NI0008,DC1102NI0009,DC1102NI0010,DC1102NI0011,DC1102NI0012,DC1102NI0013,DC1102NI0014,DC1102NI0015,DC1102NI0016,DC1102NI0017,DC1102NI0018,DC1102NI0019,DC1102NI0020,DC1102NI0021,DC1102NI0022,DC1102NI0023,DC1102NI0024,DC1102NI0025,DC1102NI0026,DC1102NI0027,DC1102NI0028,DC1102NI0029,DC1102NI0030,DC1102NI0031,DC1102NI0032,DC1102NI0033,DC1102NI0034,DC1102NI0035,DC1102NI0036,DC1102NI0037,DC1102NI0038,DC1102NI0039,DC1102NI0040,DC1102NI0041,DC1102NI0042,DC1102NI0043,DC1102NI0044,DC1102NI0045,DC1102NI0046,DC1102NI0047,DC1102NI0048
95AA01,59,2,1,2,1,0,1,3,16,10,11,7,2,1,2,0,26,0,0,2,0,0,0,1,7,6,2,5,2,0,1,0,33,2,1,0,1,0,1,2,9,4,9,2,0,1,1,0
95AA02,7,0,0,0,0,0,0,0,1,4,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0
95AA03,7,0,0,0,0,0,0,1,0,2,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0
95AA04,32,0,0,0,0,0,0,2,8,11,4,4,2,0,1,0,11,0,0,0,0,0,0,0,2,5,1,2,0,0,1,0,21,0,0,0,0,0,0,2,6,6,3,2,2,0,0,0
95AA05,36,0,0,0,0,0,0,5,6,9,6,2,6,0,2,0,17,0,0,0,0,0,0,4,3,2,4,1,1,0,2,0,19,0,0,0,0,0,0,1,3,7,2,1,5,0,0,0
95AA06,24,0,0,0,0,0,0,0,8,8,3,3,0,1,1,0,9,0,0,0,0,0,0,0,4,3,0,1,0,0,1,0,15,0,0,0,0,0,0,0,4,5,3,2,0,1,0,0
95AA07,22,0,0,1,0,0,0,0,5,5,4,3,1,0,2,1,8,0,0,1,0,0,0,0,0,2,3,0,1,0,0,1,14,0,0,0,0,0,0,0,5,3,1,3,0,0,2,0
95AA08,9,3,0,0,0,0,0,0,3,2,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,2,0,0,0,0,0,0,3,1,1,0,0,0,0,0
95AA09,23,3,0,0,0,0,0,1,5,4,7,1,1,0,1,0,11,3,0,0,0,0,0,0,2,2,2,0,1,0,1,0,12,0,0,0,0,0,0,1,3,2,5,1,0,0,0,0
95AA10,15,0,0,2,0,1,0,1,4,1,1,4,0,0,1,0,4,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,11,0,0,2,0,0,0,1,3,1,1,2,0,0,1,0
95AA11,28,1,2,0,0,0,0,1,8,5,6,3,2,0,0,0,16,0,1,0,0,0,0,0,4,2,4,3,2,0,0,0,12,1,1,0,0,0,0,1,4,3,2,0,0,0,0,0
95AA12,52,0,0,1,0,0,2,5,10,15,11,4,1,1,1,1,19,0,0,0,0,0,1,1,3,8,2,1,1,0,1,1,33,0,0,1,0,0,1,4,7,7,9,3,0,1,0,0
95AA13,41,1,0,0,0,0,1,6,14,11,4,2,1,1,0,0,26,1,0,0,0,0,1,4,9,6,3,1,1,0,0,0,15,0,0,0,0,0,0,2,5,5,1,1,0,1,0,0
95AA14,25,0,0,0,0,0,0,2,8,7,4,2,1,1,0,0,8,0,0,0,0,0,0,1,2,2,2,0,1,0,0,0,17,0,0,0,0,0,0,1,6,5,2,2,0,1,0,0
95AA15,28,1,0,3,0,0,0,0,8,7,1,4,2,2,0,0,12,0,0,0,0,0,0,0,4,2,1,2,2,1,0,0,16,1,0,3,0,0,0,0,4,5,0,2,0,1,0,0
95AA16,8,1,1,2,1,0,0,0,1,0,1,0,1,0,0,0,4,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,4,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
95AA17,9,0,0,0,0,1,0,0,5,2,0,1,0,0,0,0,6,0,0,0,0,1,0,0,3,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
95AA18,33,0,0,0,0,0,0,1,10,6,5,5,3,2,1,0,17,0,0,0,0,0,0,1,4,6,3,2,0,1,0,0,16,0,0,0,0,0,0,0,6,0,2,3,3,1,1,0
95AA19,46,1,0,1,0,0,0,4,9,15,5,5,2,2,2,0,21,0,0,0,0,0,0,1,2,6,4,3,2,1,2,0,25,1,0,1,0,0,0,3,7,9,1,2,0,1,0,0
95BB01,36,0,1,0,1,0,1,0,7,12,6,2,2,1,3,0,20,0,0,0,1,0,1,0,5,6,3,1,1,0,2,0,16,0,1,0,0,0,0,0,2,6,3,1,1,1,1,0
95BB02,21,2,0,0,0,0,0,0,3,5,6,3,2,0,0,0,13,2,0,0,0,0,0,0,2,2,3,2,2,0,0,0,8,0,0,0,0,0,0,0,1,3,3,1,0,0,0,0
95BB03,26,0,1,1,0,1,0,0,4,3,6,3,4,1,2,0,10,0,0,1,0,1,0,0,0,1,1,2,3,1,0,0,16,0,1,0,0,0,0,0,4,2,5,1,1,0,2,0
95BB04,41,0,0,0,0,0,0,3,9,7,15,4,0,1,2,0,19,0,0,0,0,0,0,2,4,3,9,0,0,0,1,0,22,0,0,0,0,0,0,1,5,4,6,4,0,1,1,0
95BB05,27,0,1,0,0,0,1,2,7,5,6,3,0,1,1,0,14,0,0,0,0,0,1,1,4,1,5,2,0,0,0,0,13,0,1,0,0,0,0,1,3,4,1,1,0,1,1,0
95BB06,7,0,0,0,0,0,0,0,2,1,2,2,0,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
95BB07,24,1,1,0,0,0,0,1,1,10,5,3,1,0,1,0,10,0,0,0,0,0,0,0,0,4,3,2,1,0,0,0,14,1,1,0,0,0,0,1,1,6,2,1,0,0,1,0
95BB08,10,0,0,0,0,0,0,1,3,1,1,2,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,7,0,0,0,0,0,0,1,2,1,1,2,0,0,0,0
95BB09,50,0,0,4,0,0,0,5,10,10,7,9,2,1,2,0,24,0,0,4,0,0,0,1,4,5,2,4,2,1,1,0,26,0,0,0,0,0,0,4,6,5,5,5,0,0,1,0
95BB10,44,4,1,1,0,0,0,1,9,6,11,8,1,0,2,0,17,2,0,0,0,0,0,0,3,4,5,3,0,0,0,0,27,2,1,1,0,0,0,1,6,2,6,5,1,0,2,0
95BB11,26,1,0,0,1,1,1,2,7,5,5,2,0,1,0,0,15,0,0,0,0,0,0,2,3,4,3,2,0,1,0,0,11,1,0,0,1,1,1,0,4,1,2,0,0,0,0,0
95BB12,19,1,0,1,0,0,0,2,0,8,4,1,1,0,1,0,8,0,0,0,0,0,0,1,0,3,2,0,1,0,1,0,11,1,0,1,0,0,0,1,0,5,2,1,0,0,0,0
95BB13,38,1,0,1,0,0,0,0,13,11,4,7,0,1,0,0,11,1,0,1,0,0,0,0,3,0,1,5,0,0,0,0,27,0,0,0,0,0,0,0,10,11,3,2,0,1,0,0
