ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
DC2614NI0059,Count,PERSONS,"All categories: Sex, Economically active: Self-employed - Full-time, No religion"
DC2614NI0060,Count,PERSONS,"All categories: Sex, Economically active: Self-employed - Full-time, Not stated"
DC2614NI0061,Count,PERSONS,"All categories: Sex, Economically active: Unemployed, All categories: Religion"
DC2614NI0062,Count,PERSONS,"All categories: Sex, Economically active: Unemployed, Catholic"
DC2614NI0063,Count,PERSONS,"All categories: Sex, Economically active: Unemployed, Protestant and other Christian: Total"
DC2614NI0064,Count,PERSONS,"All categories: Sex, Economically active: Unemployed, Protestant and other Christian: Presbyterian Church in Ireland"
DC2614NI0065,Count,PERSONS,"All categories: Sex, Economically active: Unemployed, Protestant and other Christian: Church of Ireland"
DC2614NI0066,Count,PERSONS,"All categories: Sex, Economically active: Unemployed, Protestant and other Christian: Methodist Church in Ireland"
DC2614NI0067,Count,PERSONS,"All categories: Sex, Economically active: Unemployed, Protestant and other Christian: Other Christian (including Christian related)"
DC2614NI0068,Count,PERSONS,"All categories: Sex, Economically active: Unemployed, Other religions "
DC2614NI0069,Count,PERSONS,"All categories: Sex, Economically active: Unemployed, No religion"
DC2614NI0070,Count,PERSONS,"All categories: Sex, Economically active: Unemployed, Not stated"
DC2614NI0071,Count,PERSONS,"All categories: Sex, Economically active: Full-time student, All categories: Religion"
DC2614NI0072,Count,PERSONS,"All categories: Sex, Economically active: Full-time student, Catholic"
DC2614NI0073,Count,PERSONS,"All categories: Sex, Economically active: Full-time student, Protestant and other Christian: Total"
DC2614NI0074,Count,PERSONS,"All categories: Sex, Economically active: Full-time student, Protestant and other Christian: Presbyterian Church in Ireland"
DC2614NI0075,Count,PERSONS,"All categories: Sex, Economically active: Full-time student, Protestant and other Christian: Church of Ireland"
DC2614NI0076,Count,PERSONS,"All categories: Sex, Economically active: Full-time student, Protestant and other Christian: Methodist Church in Ireland"
DC2614NI0077,Count,PERSONS,"All categories: Sex, Economically active: Full-time student, Protestant and other Christian: Other Christian (including Christian related)"
DC2614NI0078,Count,PERSONS,"All categories: Sex, Economically active: Full-time student, Other religions "
DC2614NI0079,Count,PERSONS,"All categories: Sex, Economically active: Full-time student, No religion"
DC2614NI0080,Count,PERSONS,"All categories: Sex, Economically active: Full-time student, Not stated"
DC2614NI0081,Count,PERSONS,"All categories: Sex, Economically inactive, All categories: Religion"
DC2614NI0082,Count,PERSONS,"All categories: Sex, Economically inactive, Catholic"
DC2614NI0083,Count,PERSONS,"All categories: Sex, Economically inactive, Protestant and other Christian: Total"
DC2614NI0084,Count,PERSONS,"All categories: Sex, Economically inactive, Protestant and other Christian: Presbyterian Church in Ireland"
DC2614NI0085,Count,PERSONS,"All categories: Sex, Economically inactive, Protestant and other Christian: Church of Ireland"
DC2614NI0086,Count,PERSONS,"All categories: Sex, Economically inactive, Protestant and other Christian: Methodist Church in Ireland"
DC2614NI0087,Count,PERSONS,"All categories: Sex, Economically inactive, Protestant and other Christian: Other Christian (including Christian related)"
DC2614NI0088,Count,PERSONS,"All categories: Sex, Economically inactive, Other religions "
DC2614NI0089,Count,PERSONS,"All categories: Sex, Economically inactive, No religion"
DC2614NI0090,Count,PERSONS,"All categories: Sex, Economically inactive, Not stated"
DC2614NI0091,Count,PERSONS,"All categories: Sex, Economically inactive: Retired, All categories: Religion"
DC2614NI0092,Count,PERSONS,"All categories: Sex, Economically inactive: Retired, Catholic"
DC2614NI0093,Count,PERSONS,"All categories: Sex, Economically inactive: Retired, Protestant and other Christian: Total"
DC2614NI0094,Count,PERSONS,"All categories: Sex, Economically inactive: Retired, Protestant and other Christian: Presbyterian Church in Ireland"
DC2614NI0095,Count,PERSONS,"All categories: Sex, Economically inactive: Retired, Protestant and other Christian: Church of Ireland"
DC2614NI0096,Count,PERSONS,"All categories: Sex, Economically inactive: Retired, Protestant and other Christian: Methodist Church in Ireland"
DC2614NI0097,Count,PERSONS,"All categories: Sex, Economically inactive: Retired, Protestant and other Christian: Other Christian (including Christian related)"
DC2614NI0098,Count,PERSONS,"All categories: Sex, Economically inactive: Retired, Other religions "
DC2614NI0099,Count,PERSONS,"All categories: Sex, Economically inactive: Retired, No religion"
DC2614NI0100,Count,PERSONS,"All categories: Sex, Economically inactive: Retired, Not stated"
DC2614NI0101,Count,PERSONS,"All categories: Sex, Economically inactive:Student (including full-time students), All categories: Religion"
DC2614NI0102,Count,PERSONS,"All categories: Sex, Economically inactive:Student (including full-time students), Catholic"
DC2614NI0103,Count,PERSONS,"All categories: Sex, Economically inactive:Student (including full-time students), Protestant and other Christian: Total"
DC2614NI0104,Count,PERSONS,"All categories: Sex, Economically inactive:Student (including full-time students), Protestant and other Christian: Presbyterian Church in Ireland"
DC2614NI0105,Count,PERSONS,"All categories: Sex, Economically inactive:Student (including full-time students), Protestant and other Christian: Church of Ireland"
DC2614NI0106,Count,PERSONS,"All categories: Sex, Economically inactive:Student (including full-time students), Protestant and other Christian: Methodist Church in Ireland"
DC2614NI0107,Count,PERSONS,"All categories: Sex, Economically inactive:Student (including full-time students), Protestant and other Christian: Other Christian (including Christian related)"
DC2614NI0108,Count,PERSONS,"All categories: Sex, Economically inactive:Student (including full-time students), Other religions "
DC2614NI0109,Count,PERSONS,"All categories: Sex, Economically inactive:Student (including full-time students), No religion"
DC2614NI0110,Count,PERSONS,"All categories: Sex, Economically inactive:Student (including full-time students), Not stated"
DC2614NI0111,Count,PERSONS,"All categories: Sex, Economically inactive:Looking after home/family, All categories: Religion"
DC2614NI0112,Count,PERSONS,"All categories: Sex, Economically inactive:Looking after home/family, Catholic"
DC2614NI0113,Count,PERSONS,"All categories: Sex, Economically inactive:Looking after home/family, Protestant and other Christian: Total"
DC2614NI0114,Count,PERSONS,"All categories: Sex, Economically inactive:Looking after home/family, Protestant and other Christian: Presbyterian Church in Ireland"
DC2614NI0115,Count,PERSONS,"All categories: Sex, Economically inactive:Looking after home/family, Protestant and other Christian: Church of Ireland"
DC2614NI0116,Count,PERSONS,"All categories: Sex, Economically inactive:Looking after home/family, Protestant and other Christian: Methodist Church in Ireland"
DC2614NI0117,Count,PERSONS,"All categories: Sex, Economically inactive:Looking after home/family, Protestant and other Christian: Other Christian (including Christian related)"
DC2614NI0118,Count,PERSONS,"All categories: Sex, Economically inactive:Looking after home/family, Other religions "
DC2614NI0119,Count,PERSONS,"All categories: Sex, Economically inactive:Looking after home/family, No religion"
DC2614NI0120,Count,PERSONS,"All categories: Sex, Economically inactive:Looking after home/family, Not stated"
DC2614NI0121,Count,PERSONS,"All categories: Sex, Economically inactive:Long-term sick/disabled, All categories: Religion"
DC2614NI0122,Count,PERSONS,"All categories: Sex, Economically inactive:Long-term sick/disabled, Catholic"
DC2614NI0123,Count,PERSONS,"All categories: Sex, Economically inactive:Long-term sick/disabled, Protestant and other Christian: Total"
DC2614NI0124,Count,PERSONS,"All categories: Sex, Economically inactive:Long-term sick/disabled, Protestant and other Christian: Presbyterian Church in Ireland"
