GeographyCode,DC6301NI0001,DC6301NI0002,DC6301NI0003,DC6301NI0004,DC6301NI0005,DC6301NI0006,DC6301NI0007,DC6301NI0008,DC6301NI0009,DC6301NI0010,DC6301NI0011,DC6301NI0012,DC6301NI0013,DC6301NI0014,DC6301NI0015
95MM06,2015,196,1819,1745,156,1589,111,25,86,61,8,53,98,7,91
95MM07,2105,290,1815,1773,204,1569,174,57,117,70,14,56,88,15,73
95MM08,2408,374,2034,2032,293,1739,197,59,138,60,11,49,119,11,108
95MM09,2663,382,2281,2291,298,1993,199,52,147,68,16,52,105,16,89
95MM10,2026,178,1848,1731,138,1593,109,26,83,61,8,53,125,6,119
95MM11,1736,154,1582,1482,114,1368,87,21,66,54,7,47,113,12,101
95MM12,4173,509,3664,3526,390,3136,300,70,230,114,24,90,233,25,208
95MM13,6220,905,5315,5308,710,4598,457,125,332,175,32,143,280,38,242
95MM14,2097,250,1847,1860,194,1666,113,29,84,44,11,33,80,16,64
95MM15,3358,560,2798,2886,441,2445,280,81,199,79,16,63,113,22,91
95MM16,4209,617,3592,3624,484,3140,337,93,244,103,23,80,145,17,128
95MM17,3029,461,2568,2531,335,2196,288,85,203,80,24,56,130,17,113
95MM18,3850,542,3308,3340,427,2913,287,77,210,91,14,77,132,24,108
95MM19,2478,381,2097,2069,273,1796,257,88,169,50,13,37,102,7,95
95MM20,2754,349,2405,2348,257,2091,221,63,158,62,11,51,123,18,105
95MM21,2712,375,2337,2331,297,2034,232,63,169,59,6,53,90,9,81
95MM22,2117,352,1765,1819,265,1554,169,57,112,51,12,39,78,18,60
95MM23,2143,282,1861,1856,219,1637,150,43,107,59,9,50,78,11,67
95MM24,1928,219,1709,1623,148,1475,104,45,59,62,9,53,139,17,122
95MM25,4405,516,3889,3816,413,3403,262,70,192,130,11,119,197,22,175
95MM26,2503,330,2173,2107,252,1855,189,46,143,74,13,61,133,19,114
95MM27,3455,626,2829,3097,521,2576,194,72,122,66,13,53,98,20,78
95MM28,1977,220,1757,1748,177,1571,107,29,78,51,9,42,71,5,66
95MM29,2654,309,2345,2348,246,2102,148,43,105,74,11,63,84,9,75
95MM30,1719,184,1535,1478,131,1347,100,33,67,69,12,57,72,8,64
95NN01,2505,328,2177,2100,240,1860,191,47,144,84,15,69,130,26,104
95NN02,1784,279,1505,1510,216,1294,163,49,114,38,4,34,73,10,63
95NN03,2310,310,2000,1992,226,1766,180,60,120,58,8,50,80,16,64
95NN04,2184,247,1937,1868,194,1674,127,28,99,74,10,64,115,15,100
95NN05,1959,246,1713,1694,196,1498,134,29,105,52,8,44,79,13,66
95NN06,2653,397,2256,2259,293,1966,223,80,143,65,10,55,106,14,92
95NN07,2498,276,2222,2146,223,1923,150,34,116,75,7,68,127,12,115
95NN08,2612,427,2185,2216,326,1890,234,71,163,73,17,56,89,13,76
95NN09,2404,451,1953,2038,346,1692,233,78,155,47,11,36,86,16,70
95NN10,2574,485,2089,2177,375,1802,239,67,172,60,24,36,98,19,79
95NN11,2951,430,2521,2475,316,2159,261,73,188,84,18,66,131,23,108
95NN12,2204,368,1836,1876,279,1597,171,62,109,43,7,36,114,20,94
95NN13,2390,450,1940,1959,307,1652,269,99,170,63,17,46,99,27,72
95NN14,2712,390,2322,2328,301,2027,202,53,149,67,16,51,115,20,95
95NN15,2381,304,2077,2041,245,1796,178,38,140,58,8,50,104,13,91
95NN16,2599,551,2048,2162,403,1759,302,119,183,49,15,34,86,14,72
95NN17,1782,216,1566,1499,158,1341,136,37,99,58,8,50,89,13,76
95NN18,2181,354,1827,1856,280,1576,174,56,118,54,8,46,97,10,87
95NN19,2723,531,2192,2295,392,1903,287,102,185,61,22,39,80,15,65
95NN20,2367,445,1922,1994,342,1652,218,79,139,66,11,55,89,13,76
95NN21,2181,404,1777,1827,294,1533,202,74,128,48,10,38,104,26,78
95NN22,2145,401,1744,1818,309,1509,196,67,129,53,13,40,78,12,66
95NN23,2647,489,2158,2223,329,1894,252,114,138,66,17,49,106,29,77
95OO01,1936,273,1663,1650,202,1448,155,49,106,54,11,43,77,11,66
95OO02,1731,319,1412,1485,238,1247,154,59,95,39,8,31,53,14,39
95OO03,2028,293,1735,1764,209,1555,146,54,92,59,15,44,59,15,44
95OO04,1905,260,1645,1663,188,1475,132,54,78,44,7,37,66,11,55
95OO05,2100,175,1925,1855,129,1726,104,27,77,68,9,59,73,10,63
95OO06,2190,344,1846,1899,262,1637,170,64,106,49,8,41,72,10,62
95OO07,1950,348,1602,1684,259,1425,154,63,91,49,12,37,63,14,49
95OO08,2111,343,1768,1843,265,1578,143,49,94,48,13,35,77,16,61
95OO09,1739,261,1478,1521,198,1323,121,42,79,43,9,34,54,12,42
95OO10,2649,270,2379,2300,207,2093,175,38,137,75,9,66,99,16,83
95OO11,1889,190,1699,1640,131,1509,108,37,71,62,12,50,79,10,69
95OO12,2081,263,1818,1811,207,1604,143,38,105,59,10,49,68,8,60
95OO13,2137,301,1836,1870,237,1633,136,42,94,75,12,63,56,10,46
95OO14,1961,307,1654,1705,235,1470,149,54,95,40,11,29,67,7,60
95OO15,1774,175,1599,1529,124,1405,110,30,80,56,10,46,79,11,68
95OO16,1695,249,1446,1497,190,1307,111,37,74,26,8,18,61,14,47
95OO17,2105,292,1813,1815,222,1593,176,51,125,50,11,39,64,8,56
95OO18,2291,408,1883,2003,314,1689,160,63,97,51,18,33,77,13,64
95OO19,2239,353,1886,1922,259,1663,201,66,135,44,14,30,72,14,58
95OO20,1708,249,1459,1481,194,1287,119,34,85,40,9,31,68,12,56
95OO21,1870,255,1615,1635,195,1440,122,33,89,58,17,41,55,10,45
95OO22,2378,338,2040,1990,250,1740,209,57,152,70,15,55,109,16,93
95PP01,1998,392,1606,1678,293,1385,198,71,127,59,16,43,63,12,51
95PP02,2029,333,1696,1741,260,1481,164,61,103,50,5,45,74,7,67
95PP03,2026,330,1696,1768,259,1509,147,53,94,44,7,37,67,11,56
95PP04,2460,477,1983,2122,352,1770,207,87,120,44,16,28,87,22,65
95PP05,1865,292,1573,1629,233,1396,137,43,94,46,7,39,53,9,44
95PP06,3059,521,2538,2601,377,2224,269,109,160,85,15,70,104,20,84
95PP07,2205,420,1785,1922,328,1594,173,67,106,44,14,30,66,11,55
95PP08,2108,326,1782,1825,232,1593,168,68,100,45,11,34,70,15,55
95PP09,1437,189,1248,1253,147,1106,91,26,65,35,7,28,58,9,49
