GeographyCode,DC4402NI0001,DC4402NI0002,DC4402NI0003,DC4402NI0004,DC4402NI0005,DC4402NI0006,DC4402NI0007,DC4402NI0008,DC4402NI0009,DC4402NI0010,DC4402NI0011,DC4402NI0012,DC4402NI0013,DC4402NI0014,DC4402NI0015,DC4402NI0016,DC4402NI0017,DC4402NI0018,DC4402NI0019,DC4402NI0020,DC4402NI0021,DC4402NI0022,DC4402NI0023,DC4402NI0024,DC4402NI0025,DC4402NI0026,DC4402NI0027,DC4402NI0028,DC4402NI0029,DC4402NI0030,DC4402NI0031,DC4402NI0032,DC4402NI0033,DC4402NI0034,DC4402NI0035,DC4402NI0036,DC4402NI0037,DC4402NI0038,DC4402NI0039,DC4402NI0040,DC4402NI0041,DC4402NI0042,DC4402NI0043,DC4402NI0044,DC4402NI0045,DC4402NI0046,DC4402NI0047,DC4402NI0048,DC4402NI0049,DC4402NI0050,DC4402NI0051,DC4402NI0052,DC4402NI0053,DC4402NI0054,DC4402NI0055,DC4402NI0056,DC4402NI0057,DC4402NI0058,DC4402NI0059,DC4402NI0060,DC4402NI0061,DC4402NI0062,DC4402NI0063,DC4402NI0064,DC4402NI0065,DC4402NI0066,DC4402NI0067,DC4402NI0068,DC4402NI0069,DC4402NI0070,DC4402NI0071,DC4402NI0072,DC4402NI0073,DC4402NI0074,DC4402NI0075,DC4402NI0076,DC4402NI0077,DC4402NI0078,DC4402NI0079,DC4402NI0080,DC4402NI0081,DC4402NI0082,DC4402NI0083,DC4402NI0084,DC4402NI0085,DC4402NI0086,DC4402NI0087,DC4402NI0088,DC4402NI0089,DC4402NI0090,DC4402NI0091,DC4402NI0092,DC4402NI0093,DC4402NI0094,DC4402NI0095,DC4402NI0096,DC4402NI0097,DC4402NI0098,DC4402NI0099,DC4402NI0100,DC4402NI0101,DC4402NI0102,DC4402NI0103,DC4402NI0104,DC4402NI0105,DC4402NI0106,DC4402NI0107,DC4402NI0108,DC4402NI0109,DC4402NI0110,DC4402NI0111,DC4402NI0112,DC4402NI0113,DC4402NI0114,DC4402NI0115,DC4402NI0116,DC4402NI0117,DC4402NI0118,DC4402NI0119,DC4402NI0120,DC4402NI0121,DC4402NI0122,DC4402NI0123,DC4402NI0124,DC4402NI0125,DC4402NI0126,DC4402NI0127,DC4402NI0128,DC4402NI0129,DC4402NI0130,DC4402NI0131,DC4402NI0132
95AA01,1522,450,584,1,16,9,154,194,15,64,35,1522,450,584,1,16,9,154,194,15,64,35,1436,437,556,1,10,9,120,193,14,63,33,842,352,364,0,3,2,38,44,7,15,17,378,44,78,1,5,7,43,144,2,45,9,216,41,114,0,2,0,39,5,5,3,7,82,12,27,0,5,0,34,1,1,1,1,75,12,27,0,5,0,30,1,0,0,0,7,0,0,0,0,0,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
95AA02,839,253,245,5,141,7,148,0,12,2,26,839,253,245,5,141,7,148,0,12,2,26,654,232,224,4,70,6,87,0,9,0,22,78,30,31,0,3,0,10,0,0,0,4,98,22,39,1,14,2,15,0,2,0,3,478,180,154,3,53,4,62,0,7,0,15,185,21,21,1,71,1,61,0,3,2,4,182,20,21,1,71,1,59,0,3,2,4,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA03,845,206,263,7,226,7,112,3,6,0,15,845,206,263,7,226,7,112,3,6,0,15,806,205,261,7,209,6,94,3,6,0,15,74,17,32,0,15,0,7,0,1,0,2,170,47,52,1,41,5,21,1,0,0,2,562,141,177,6,153,1,66,2,5,0,11,39,1,2,0,17,1,18,0,0,0,0,36,1,1,0,16,1,17,0,0,0,0,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA04,1014,480,439,5,5,0,53,0,8,0,24,1014,480,439,5,5,0,53,0,8,0,24,991,466,436,3,4,0,51,0,8,0,23,852,417,377,1,0,0,28,0,7,0,22,82,27,36,1,1,0,16,0,0,0,1,57,22,23,1,3,0,7,0,1,0,0,9,3,1,2,1,0,1,0,0,0,1,9,3,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA05,920,357,370,3,68,0,83,1,10,4,24,920,357,370,3,68,0,83,1,10,4,24,908,355,368,3,65,0,78,1,10,4,24,522,245,218,1,3,0,31,0,6,1,17,327,101,135,2,36,0,42,0,4,3,4,59,9,15,0,26,0,5,1,0,0,3,10,0,2,0,3,0,5,0,0,0,0,8,0,1,0,3,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA06,1570,337,875,19,96,63,115,5,22,7,31,1570,337,875,19,96,63,115,5,22,7,31,1457,331,860,15,72,29,102,2,19,4,23,610,142,420,1,5,7,27,0,3,1,4,551,123,318,10,28,5,44,2,10,3,8,296,66,122,4,39,17,31,0,6,0,11,113,6,15,4,24,34,13,3,3,3,8,101,4,13,3,24,34,7,3,2,3,8,4,1,1,0,0,0,2,0,0,0,0,8,1,1,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA07,820,344,273,1,69,1,95,2,11,2,22,820,344,273,1,69,1,95,2,11,2,22,803,341,272,1,60,1,92,2,11,2,21,434,224,163,0,5,0,27,1,2,0,12,134,55,31,0,23,0,16,1,2,2,4,235,62,78,1,32,1,49,0,7,0,5,15,1,1,0,9,0,3,0,0,0,1,15,1,1,0,9,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA08,699,171,233,12,160,1,96,0,5,0,21,699,171,233,12,160,1,96,0,5,0,21,670,166,233,12,150,1,83,0,5,0,20,70,21,27,1,12,1,1,0,1,0,6,106,32,33,1,13,0,21,0,1,0,5,494,113,173,10,125,0,61,0,3,0,9,29,5,0,0,10,0,13,0,0,0,1,29,5,0,0,10,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA09,943,248,267,1,274,2,124,0,5,0,22,943,248,267,1,274,2,124,0,5,0,22,819,241,261,1,185,2,107,0,5,0,17,249,140,80,0,8,0,15,0,0,0,6,74,15,26,0,17,1,11,0,1,0,3,496,86,155,1,160,1,81,0,4,0,8,123,7,6,0,88,0,17,0,0,0,5,118,6,6,0,85,0,16,0,0,0,5,5,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA10,792,234,249,6,216,6,54,0,7,1,19,792,234,249,6,216,6,54,0,7,1,19,709,230,244,6,151,6,52,0,7,1,12,218,111,85,0,6,1,8,0,1,1,5,245,87,97,5,28,4,16,0,5,0,3,246,32,62,1,117,1,28,0,1,0,4,83,4,5,0,65,0,2,0,0,0,7,81,3,5,0,64,0,2,0,0,0,7,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
