GeographyCode,DC2122NI0001,DC2122NI0002,DC2122NI0003,DC2122NI0004,DC2122NI0005,DC2122NI0006,DC2122NI0007,DC2122NI0008,DC2122NI0009,DC2122NI0010,DC2122NI0011,DC2122NI0012,DC2122NI0013,DC2122NI0014,DC2122NI0015,DC2122NI0016,DC2122NI0017,DC2122NI0018,DC2122NI0019,DC2122NI0020,DC2122NI0021,DC2122NI0022,DC2122NI0023,DC2122NI0024,DC2122NI0025,DC2122NI0026,DC2122NI0027,DC2122NI0028,DC2122NI0029,DC2122NI0030,DC2122NI0031,DC2122NI0032,DC2122NI0033,DC2122NI0034,DC2122NI0035,DC2122NI0036,DC2122NI0037,DC2122NI0038,DC2122NI0039,DC2122NI0040,DC2122NI0041,DC2122NI0042,DC2122NI0043,DC2122NI0044,DC2122NI0045,DC2122NI0046,DC2122NI0047,DC2122NI0048,DC2122NI0049,DC2122NI0050,DC2122NI0051,DC2122NI0052,DC2122NI0053,DC2122NI0054,DC2122NI0055,DC2122NI0056,DC2122NI0057,DC2122NI0058,DC2122NI0059,DC2122NI0060,DC2122NI0061,DC2122NI0062,DC2122NI0063,DC2122NI0064,DC2122NI0065,DC2122NI0066,DC2122NI0067,DC2122NI0068,DC2122NI0069,DC2122NI0070,DC2122NI0071,DC2122NI0072,DC2122NI0073,DC2122NI0074,DC2122NI0075,DC2122NI0076,DC2122NI0077,DC2122NI0078,DC2122NI0079,DC2122NI0080,DC2122NI0081,DC2122NI0082,DC2122NI0083,DC2122NI0084,DC2122NI0085,DC2122NI0086,DC2122NI0087,DC2122NI0088,DC2122NI0089,DC2122NI0090,DC2122NI0091,DC2122NI0092,DC2122NI0093,DC2122NI0094,DC2122NI0095,DC2122NI0096,DC2122NI0097,DC2122NI0098,DC2122NI0099,DC2122NI0100,DC2122NI0101,DC2122NI0102,DC2122NI0103,DC2122NI0104,DC2122NI0105,DC2122NI0106,DC2122NI0107,DC2122NI0108,DC2122NI0109,DC2122NI0110,DC2122NI0111,DC2122NI0112,DC2122NI0113,DC2122NI0114,DC2122NI0115,DC2122NI0116,DC2122NI0117,DC2122NI0118,DC2122NI0119,DC2122NI0120,DC2122NI0121,DC2122NI0122,DC2122NI0123,DC2122NI0124,DC2122NI0125,DC2122NI0126,DC2122NI0127,DC2122NI0128,DC2122NI0129,DC2122NI0130,DC2122NI0131,DC2122NI0132,DC2122NI0133,DC2122NI0134,DC2122NI0135,DC2122NI0136,DC2122NI0137,DC2122NI0138,DC2122NI0139,DC2122NI0140,DC2122NI0141,DC2122NI0142,DC2122NI0143,DC2122NI0144,DC2122NI0145,DC2122NI0146,DC2122NI0147,DC2122NI0148,DC2122NI0149,DC2122NI0150
95AA01,3194,1086,1770,34,304,1607,545,882,18,162,1587,541,888,16,142,2168,708,1208,24,228,1086,348,610,11,117,1082,360,598,13,111,2002,645,1123,21,213,1002,316,567,10,109,1000,329,556,11,104,166,63,85,3,15,84,32,43,1,8,82,31,42,2,7,1026,378,562,10,76,521,197,272,7,45,505,181,290,3,31,707,285,358,4,60,405,150,215,4,36,302,135,143,0,24,31,12,12,1,6,18,9,6,0,3,13,3,6,1,3,81,29,47,2,3,36,18,14,1,3,45,11,33,1,0,81,23,48,3,7,38,10,23,2,3,43,13,25,1,4,126,29,97,0,0,24,10,14,0,0,102,19,83,0,0
95AA02,1468,484,910,6,68,720,231,452,2,35,748,253,458,4,33,738,238,461,4,35,370,112,240,2,16,368,126,221,2,19,606,187,397,3,19,303,82,207,2,12,303,105,190,1,7,132,51,64,1,16,67,30,33,0,4,65,21,31,1,12,730,246,449,2,33,350,119,212,0,19,380,127,237,2,14,416,148,237,2,29,229,86,128,0,15,187,62,109,2,14,15,3,12,0,0,10,1,9,0,0,5,2,3,0,0,58,19,39,0,0,28,9,19,0,0,30,10,20,0,0,91,24,65,0,2,42,12,28,0,2,49,12,37,0,0,150,52,96,0,2,41,11,28,0,2,109,41,68,0,0
95AA03,1436,151,1176,13,96,662,76,526,6,54,774,75,650,7,42,668,90,536,11,31,333,49,261,5,18,335,41,275,6,13,548,68,452,10,18,274,37,221,5,11,274,31,231,5,7,120,22,84,1,13,59,12,40,0,7,61,10,44,1,6,768,61,640,2,65,329,27,265,1,36,439,34,375,1,29,434,37,342,1,54,217,17,170,1,29,217,20,172,0,25,11,1,8,0,2,5,1,4,0,0,6,0,4,0,2,79,7,68,0,4,37,5,29,0,3,42,2,39,0,1,120,9,106,0,5,47,3,40,0,4,73,6,66,0,1,124,7,116,1,0,23,1,22,0,0,101,6,94,1,0
95AA04,2364,625,1615,17,107,1217,319,825,6,67,1147,306,790,11,40,1484,373,1042,12,57,741,179,526,6,30,743,194,516,6,27,1372,333,986,9,44,686,161,497,5,23,686,172,489,4,21,112,40,56,3,13,55,18,29,1,7,57,22,27,2,6,880,252,573,5,50,476,140,299,0,37,404,112,274,5,13,651,190,413,3,45,384,115,236,0,33,267,75,177,3,12,20,9,11,0,0,9,4,5,0,0,11,5,6,0,0,58,18,36,1,3,27,7,18,0,2,31,11,18,1,1,56,17,38,0,1,36,12,23,0,1,20,5,15,0,0,95,18,75,1,1,20,2,17,0,1,75,16,58,1,0
95AA05,2036,1240,725,9,62,1010,600,370,4,36,1026,640,355,5,26,1238,720,470,8,40,618,354,236,4,24,620,366,234,4,16,1140,666,440,4,30,570,327,222,2,19,570,339,218,2,11,98,54,30,4,10,48,27,14,2,5,50,27,16,2,5,798,520,255,1,22,392,246,134,0,12,406,274,121,1,10,589,400,171,1,17,314,202,102,0,10,275,198,69,1,7,12,5,6,0,1,6,2,3,0,1,6,3,3,0,0,42,35,7,0,0,16,11,5,0,0,26,24,2,0,0,56,30,24,0,2,26,14,11,0,1,30,16,13,0,1,99,50,47,0,2,30,17,13,0,0,69,33,34,0,2
95AA06,3303,2606,627,5,65,1558,1223,293,4,38,1745,1383,334,1,27,1882,1497,345,4,36,941,738,176,3,24,941,759,169,1,12,1686,1355,302,4,25,844,673,151,3,17,842,682,151,1,8,196,142,43,0,11,97,65,25,0,7,99,77,18,0,4,1421,1109,282,1,29,617,485,117,1,14,804,624,165,0,15,986,812,150,1,23,503,412,78,1,12,483,400,72,0,11,27,20,7,0,0,12,9,3,0,0,15,11,4,0,0,143,116,25,0,2,37,27,9,0,1,106,89,16,0,1,99,61,34,0,4,31,20,10,0,1,68,41,24,0,3,166,100,66,0,0,34,17,17,0,0,132,83,49,0,0
95AA07,1693,257,1364,14,58,837,107,692,5,33,856,150,672,9,25,1020,134,843,9,34,509,53,431,4,21,511,81,412,5,13,908,103,773,9,23,454,42,394,4,14,454,61,379,5,9,112,31,70,0,11,55,11,37,0,7,57,20,33,0,4,673,123,521,5,24,328,54,261,1,12,345,69,260,4,12,446,80,343,3,20,251,42,199,0,10,195,38,144,3,10,17,4,13,0,0,8,2,6,0,0,9,2,7,0,0,49,12,36,0,1,18,3,15,0,0,31,9,21,0,1,74,18,52,2,2,33,5,25,1,2,41,13,27,1,0,87,9,77,0,1,18,2,16,0,0,69,7,61,0,1
95AA08,1325,584,626,12,103,635,270,302,6,57,690,314,324,6,46,614,248,311,10,45,308,121,155,5,27,306,127,156,5,18,490,185,263,9,33,245,90,131,4,20,245,95,132,5,13,124,63,48,1,12,63,31,24,1,7,61,32,24,0,5,711,336,315,2,58,327,149,147,1,30,384,187,168,1,28,432,217,167,1,47,221,105,94,0,22,211,112,73,1,25,15,8,7,0,0,11,5,6,0,0,4,3,1,0,0,72,42,27,0,3,26,13,11,0,2,46,29,16,0,1,110,38,67,1,4,44,18,23,1,2,66,20,44,0,2,82,31,47,0,4,25,8,13,0,4,57,23,34,0,0
95AA09,1695,390,1128,24,153,798,191,513,11,83,897,199,615,13,70,858,188,588,15,67,426,93,289,7,37,432,95,299,8,30,706,153,497,15,41,353,72,251,7,23,353,81,246,8,18,152,35,91,0,26,73,21,38,0,14,79,14,53,0,12,837,202,540,9,86,372,98,224,4,46,465,104,316,5,40,507,126,308,6,67,253,71,142,4,36,254,55,166,2,31,21,2,10,0,9,9,1,2,0,6,12,1,8,0,3,94,25,66,0,3,39,10,28,0,1,55,15,38,0,2,114,27,84,0,3,44,9,33,0,2,70,18,51,0,1,101,22,72,3,4,27,7,19,0,1,74,15,53,3,3
95AA10,1551,635,788,17,111,735,284,384,9,58,816,351,404,8,53,832,285,490,9,48,416,138,249,5,24,416,147,241,4,24,720,237,434,9,40,360,110,223,5,22,360,127,211,4,18,112,48,56,0,8,56,28,26,0,2,56,20,30,0,6,719,350,298,8,63,319,146,135,4,34,400,204,163,4,29,486,239,187,4,56,251,116,102,3,30,235,123,85,1,26,8,4,3,0,1,2,0,1,0,1,6,4,2,0,0,59,33,22,0,4,21,12,7,0,2,38,21,15,0,2,76,42,32,1,1,22,13,9,0,0,54,29,23,1,1,90,32,54,3,1,23,5,16,1,1,67,27,38,2,0
