GeographyCode,DC4401NI0001,DC4401NI0002,DC4401NI0003,DC4401NI0004,DC4401NI0005,DC4401NI0006,DC4401NI0007,DC4401NI0008,DC4401NI0009,DC4401NI0010,DC4401NI0011,DC4401NI0012,DC4401NI0013,DC4401NI0014,DC4401NI0015,DC4401NI0016,DC4401NI0017,DC4401NI0018,DC4401NI0019,DC4401NI0020,DC4401NI0021,DC4401NI0022,DC4401NI0023,DC4401NI0024,DC4401NI0025,DC4401NI0026,DC4401NI0027,DC4401NI0028,DC4401NI0029,DC4401NI0030,DC4401NI0031,DC4401NI0032,DC4401NI0033,DC4401NI0034,DC4401NI0035,DC4401NI0036
95AA01,1653,1522,131,1653,1522,131,1536,1436,100,877,842,35,386,378,8,273,216,57,111,82,29,104,75,29,7,7,0,0,0,0,6,4,2,0,0,0
95AA02,929,839,90,929,839,90,692,654,38,78,78,0,100,98,2,514,478,36,237,185,52,234,182,52,3,3,0,0,0,0,0,0,0,0,0,0
95AA03,880,845,35,880,845,35,835,806,29,77,74,3,177,170,7,581,562,19,45,39,6,42,36,6,3,3,0,0,0,0,0,0,0,0,0,0
95AA04,1061,1014,47,1061,1014,47,1037,991,46,887,852,35,84,82,2,66,57,9,9,9,0,9,9,0,0,0,0,0,0,0,15,14,1,0,0,0
95AA05,960,920,40,960,920,40,948,908,40,553,522,31,336,327,9,59,59,0,10,10,0,8,8,0,1,1,0,1,1,0,2,2,0,0,0,0
95AA06,1629,1570,59,1629,1570,59,1504,1457,47,618,610,8,560,551,9,326,296,30,125,113,12,110,101,9,6,4,2,9,8,1,0,0,0,0,0,0
95AA07,854,820,34,854,820,34,834,803,31,449,434,15,135,134,1,250,235,15,18,15,3,17,15,2,1,0,1,0,0,0,2,2,0,0,0,0
95AA08,734,699,35,734,699,35,697,670,27,74,70,4,106,106,0,517,494,23,37,29,8,37,29,8,0,0,0,0,0,0,0,0,0,0,0,0
95AA09,975,943,32,975,943,32,841,819,22,255,249,6,75,74,1,511,496,15,133,123,10,125,118,7,6,5,1,2,0,2,1,1,0,0,0,0
95AA10,812,792,20,812,792,20,726,709,17,223,218,5,250,245,5,253,246,7,86,83,3,84,81,3,2,2,0,0,0,0,0,0,0,0,0,0
95AA11,2044,1993,51,2044,1993,51,1920,1877,43,771,757,14,628,618,10,521,502,19,124,116,8,111,103,8,10,10,0,3,3,0,0,0,0,0,0,0
95AA12,1014,971,43,1014,971,43,1006,965,41,824,787,37,131,128,3,51,50,1,6,4,2,1,1,0,4,2,2,1,1,0,2,2,0,0,0,0
95AA13,1312,1239,73,1310,1238,72,1192,1146,46,498,474,24,476,469,7,218,203,15,118,92,26,76,66,10,10,8,2,32,18,14,0,0,0,2,1,1
95AA14,820,779,41,820,779,41,811,772,39,739,701,38,51,50,1,21,21,0,3,2,1,1,1,0,1,1,0,1,0,1,6,5,1,0,0,0
95AA15,1641,1595,46,1641,1595,46,1466,1428,38,272,262,10,630,615,15,564,551,13,175,167,8,169,161,8,6,6,0,0,0,0,0,0,0,0,0,0
95AA16,865,832,33,865,832,33,705,687,18,53,52,1,137,136,1,515,499,16,160,145,15,158,143,15,2,2,0,0,0,0,0,0,0,0,0,0
95AA17,884,855,29,884,855,29,816,793,23,147,146,1,329,324,5,340,323,17,68,62,6,63,57,6,5,5,0,0,0,0,0,0,0,0,0,0
95AA18,1076,1004,72,1076,1004,72,962,922,40,660,635,25,163,158,5,139,129,10,114,82,32,108,76,32,5,5,0,1,1,0,0,0,0,0,0,0
95AA19,848,832,16,848,832,16,831,817,14,540,528,12,183,181,2,108,108,0,13,11,2,11,10,1,0,0,0,2,1,1,4,4,0,0,0,0
95BB01,1356,1307,49,1356,1307,49,1324,1275,49,611,588,23,494,478,16,219,209,10,32,32,0,28,28,0,1,1,0,3,3,0,0,0,0,0,0,0
95BB02,1167,1126,41,1167,1126,41,834,809,25,220,210,10,355,349,6,259,250,9,333,317,16,322,306,16,11,11,0,0,0,0,0,0,0,0,0,0
95BB03,1970,1776,194,1970,1776,194,1881,1696,185,882,808,74,461,424,37,538,464,74,47,38,9,38,29,9,5,5,0,4,4,0,42,42,0,0,0,0
95BB04,1358,1307,51,1358,1307,51,1284,1245,39,596,583,13,385,374,11,303,288,15,74,62,12,61,52,9,10,7,3,3,3,0,0,0,0,0,0,0
95BB05,1405,1318,87,1405,1318,87,1380,1301,79,855,800,55,270,263,7,255,238,17,24,17,7,14,9,5,9,7,2,1,1,0,1,0,1,0,0,0
95BB06,1670,1518,152,1670,1518,152,1178,1066,112,73,68,5,233,225,8,872,773,99,492,452,40,452,418,34,20,18,2,20,16,4,0,0,0,0,0,0
95BB07,1383,1315,68,1383,1315,68,1179,1133,46,300,294,6,430,421,9,449,418,31,203,181,22,175,161,14,12,11,1,16,9,7,1,1,0,0,0,0
95BB08,1083,1068,15,1083,1068,15,1059,1044,15,158,157,1,648,638,10,253,249,4,24,24,0,23,23,0,1,1,0,0,0,0,0,0,0,0,0,0
95BB09,1332,1253,79,1332,1253,79,1221,1169,52,541,531,10,368,353,15,312,285,27,110,83,27,82,69,13,28,14,14,0,0,0,1,1,0,0,0,0
95BB10,1685,1509,176,1685,1509,176,1400,1262,138,645,599,46,207,198,9,548,465,83,284,246,38,251,219,32,14,12,2,19,15,4,1,1,0,0,0,0
95BB11,1432,1338,94,1432,1338,94,1291,1213,78,356,330,26,431,420,11,504,463,41,141,125,16,140,124,16,1,1,0,0,0,0,0,0,0,0,0,0
95BB12,1191,1130,61,1191,1130,61,1139,1082,57,444,427,17,122,120,2,573,535,38,52,48,4,45,41,4,6,6,0,1,1,0,0,0,0,0,0,0
95BB13,1728,1687,41,1728,1687,41,1685,1646,39,560,550,10,749,736,13,376,360,16,43,41,2,36,35,1,6,5,1,1,1,0,0,0,0,0,0,0
95BB14,1251,1172,79,1251,1172,79,1239,1165,74,963,909,54,149,133,16,127,123,4,11,6,5,10,5,5,1,1,0,0,0,0,1,1,0,0,0,0
95BB15,1408,1287,121,1408,1287,121,1393,1274,119,757,688,69,303,281,22,333,305,28,11,10,1,8,7,1,1,1,0,2,2,0,4,3,1,0,0,0
95BB16,1231,1176,55,1231,1176,55,1220,1167,53,964,921,43,153,150,3,103,96,7,11,9,2,5,4,1,4,3,1,2,2,0,0,0,0,0,0,0
95BB17,1447,1399,48,1447,1399,48,1430,1384,46,446,421,25,662,653,9,322,310,12,17,15,2,11,11,0,5,3,2,1,1,0,0,0,0,0,0,0
95BB18,1759,1638,121,1759,1638,121,1713,1604,109,746,709,37,625,588,37,342,307,35,43,32,11,28,22,6,10,7,3,5,3,2,3,2,1,0,0,0
95BB19,1771,1724,47,1771,1724,47,1728,1685,43,706,696,10,833,816,17,189,173,16,43,39,4,39,38,1,4,1,3,0,0,0,0,0,0,0,0,0
95BB20,1441,1290,151,1441,1290,151,1349,1241,108,511,462,49,311,300,11,527,479,48,91,49,42,75,36,39,4,2,2,12,11,1,1,0,1,0,0,0
95BB21,2077,1821,256,2077,1821,256,2006,1775,231,993,891,102,607,558,49,406,326,80,69,45,24,65,41,24,2,2,0,2,2,0,2,1,1,0,0,0
95BB22,1239,1194,45,1239,1194,45,1023,1000,23,158,155,3,355,352,3,510,493,17,216,194,22,216,194,22,0,0,0,0,0,0,0,0,0,0,0,0
