GeographyCode,DC6607NI0001,DC6607NI0002,DC6607NI0003,DC6607NI0004,DC6607NI0005,DC6607NI0006,DC6607NI0007,DC6607NI0008,DC6607NI0009,DC6607NI0010,DC6607NI0011,DC6607NI0012,DC6607NI0013,DC6607NI0014,DC6607NI0015,DC6607NI0016,DC6607NI0017,DC6607NI0018,DC6607NI0019,DC6607NI0020,DC6607NI0021,DC6607NI0022,DC6607NI0023,DC6607NI0024,DC6607NI0025,DC6607NI0026,DC6607NI0027,DC6607NI0028,DC6607NI0029,DC6607NI0030,DC6607NI0031,DC6607NI0032,DC6607NI0033,DC6607NI0034,DC6607NI0035,DC6607NI0036,DC6607NI0037,DC6607NI0038,DC6607NI0039,DC6607NI0040,DC6607NI0041,DC6607NI0042
95AA01,3177,562,2615,2473,448,2025,383,62,321,1518,265,1253,98,32,66,270,42,228,107,20,87,97,27,70,704,114,590,275,52,223,129,27,102,157,27,130,94,4,90,49,4,45
95AA02,1319,151,1168,892,115,777,189,22,167,543,67,476,17,4,13,46,7,39,57,6,51,40,9,31,427,36,391,232,17,215,32,6,26,37,7,30,99,5,94,27,1,26
95AA03,1317,126,1191,840,98,742,204,21,183,502,58,444,7,1,6,41,5,36,57,4,53,29,9,20,477,28,449,204,13,191,42,3,39,69,6,63,103,3,100,59,3,56
95AA04,2227,440,1787,1660,361,1299,318,73,245,800,158,642,69,18,51,295,61,234,72,13,59,106,38,68,567,79,488,244,33,211,125,29,96,77,8,69,75,1,74,46,8,38
95AA05,1924,319,1605,1362,232,1130,228,45,183,758,121,637,34,6,28,195,30,165,77,13,64,70,17,53,562,87,475,242,44,198,99,25,74,69,8,61,98,5,93,54,5,49
95AA06,3133,424,2709,2258,318,1940,503,76,427,1231,158,1073,62,10,52,173,22,151,126,11,115,163,41,122,875,106,769,276,30,246,197,34,163,141,14,127,206,22,184,55,6,49
95AA07,1592,267,1325,1112,199,913,206,50,156,591,94,497,35,9,26,181,32,149,56,4,52,43,10,33,480,68,412,215,38,177,64,15,49,48,4,44,117,4,113,36,7,29
95AA08,1262,142,1120,804,100,704,200,28,172,434,44,390,10,3,7,33,4,29,88,15,73,39,6,33,458,42,416,182,18,164,44,3,41,59,10,49,136,5,131,37,6,31
95AA09,1595,183,1412,1015,112,903,233,27,206,576,56,520,29,8,21,39,6,33,90,8,82,48,7,41,580,71,509,251,45,206,73,13,60,78,6,72,126,0,126,52,7,45
95AA10,1461,203,1258,900,129,771,196,28,168,488,72,416,19,2,17,60,6,54,77,12,65,60,9,51,561,74,487,260,38,222,53,12,41,75,12,63,127,7,120,46,5,41
95AA11,3834,509,3325,2934,405,2529,513,73,440,1935,235,1700,65,12,53,187,39,148,108,12,96,126,34,92,900,104,796,416,58,358,128,27,101,95,6,89,186,6,180,75,7,68
95AA12,2037,407,1630,1495,304,1191,283,74,209,781,140,641,72,20,52,265,50,215,29,4,25,65,16,49,542,103,439,252,47,205,138,34,104,67,12,55,56,4,52,29,6,23
95AA13,2339,346,1993,1681,265,1416,293,51,242,1000,145,855,51,12,39,173,34,139,94,11,83,70,12,58,658,81,577,291,45,246,117,17,100,64,8,56,140,8,132,46,3,43
95AA14,1678,304,1374,1215,224,991,231,43,188,627,118,509,38,5,33,194,30,164,55,11,44,70,17,53,463,80,383,215,38,177,80,23,57,55,7,48,85,6,79,28,6,22
95AA15,3028,314,2714,2276,257,2019,413,44,369,1449,147,1302,59,12,47,110,10,100,136,19,117,109,25,84,752,57,695,246,19,227,106,11,95,114,6,108,220,13,207,66,8,58
95AA16,1351,113,1238,896,83,813,191,18,173,552,50,502,9,1,8,40,2,38,67,7,60,37,5,32,455,30,425,197,14,183,48,6,42,56,3,53,114,5,109,40,2,38
95AA17,1614,167,1447,1117,114,1003,236,31,205,658,55,603,23,3,20,58,3,55,99,17,82,43,5,38,497,53,444,214,23,191,73,13,60,62,2,60,112,12,100,36,3,33
95AA18,1821,378,1443,1160,244,916,198,48,150,655,132,523,51,8,43,166,33,133,35,8,27,55,15,40,661,134,527,402,80,322,83,28,55,68,9,59,71,8,63,37,9,28
95AA19,1888,237,1651,1271,174,1097,233,32,201,653,96,557,32,4,28,217,26,191,75,5,70,61,11,50,617,63,554,164,18,146,135,25,110,101,10,91,152,5,147,65,5,60
95BB01,2650,437,2213,1976,330,1646,391,65,326,1110,176,934,72,18,54,228,39,189,88,9,79,87,23,64,674,107,567,325,52,273,146,40,106,74,8,66,95,5,90,34,2,32
95BB02,1711,215,1496,1037,158,879,221,35,186,545,67,478,31,3,28,91,24,67,94,15,79,55,14,41,674,57,617,305,24,281,74,17,57,73,4,69,160,10,150,62,2,60
95BB03,3080,428,2652,1861,301,1560,370,73,297,1023,163,860,58,15,43,217,28,189,137,10,127,56,12,44,1219,127,1092,642,80,562,126,13,113,140,18,122,219,7,212,92,9,83
95BB04,2287,405,1882,1429,267,1162,312,54,258,756,135,621,64,20,44,150,26,124,90,13,77,57,19,38,858,138,720,536,90,446,107,32,75,79,5,74,103,7,96,33,4,29
95BB05,2559,439,2120,1784,342,1442,358,77,281,864,142,722,94,25,69,326,67,259,81,14,67,61,17,44,775,97,678,412,54,358,95,16,79,93,10,83,130,8,122,45,9,36
95BB06,2163,236,1927,1353,163,1190,277,25,252,773,87,686,27,7,20,78,13,65,142,15,127,56,16,40,810,73,737,358,25,333,82,15,67,89,6,83,209,18,191,72,9,63
95BB07,2136,283,1853,1414,207,1207,298,46,252,781,100,681,37,9,28,137,26,111,100,11,89,61,15,46,722,76,646,393,45,348,82,17,65,92,7,85,118,6,112,37,1,36
95BB08,1938,230,1708,1317,168,1149,299,42,257,762,82,680,26,10,16,106,11,95,77,9,68,47,14,33,621,62,559,315,28,287,74,18,56,66,4,62,131,7,124,35,5,30
95BB09,2293,412,1881,1604,296,1308,322,62,260,934,163,771,59,9,50,153,30,123,63,6,57,73,26,47,689,116,573,453,84,369,92,19,73,50,6,44,61,1,60,33,6,27
95BB10,2465,490,1975,1583,327,1256,311,63,248,816,161,655,77,17,60,243,57,186,86,14,72,50,15,35,882,163,719,549,121,428,106,14,92,75,13,62,107,10,97,45,5,40
95BB11,2152,289,1863,1330,185,1145,318,39,279,707,101,606,39,10,29,105,15,90,100,5,95,61,15,46,822,104,718,462,69,393,92,13,79,72,7,65,146,10,136,50,5,45
95BB12,2025,313,1712,1255,204,1051,317,46,271,635,99,536,49,13,36,94,18,76,106,13,93,54,15,39,770,109,661,388,66,322,99,15,84,106,9,97,128,12,116,49,7,42
95BB13,3277,460,2817,2263,327,1936,509,79,430,1252,161,1091,79,13,66,173,24,149,127,19,108,123,31,92,1014,133,881,501,75,426,163,32,131,116,15,101,182,8,174,52,3,49
95BB14,2283,451,1832,1603,307,1296,300,73,227,821,140,681,98,15,83,272,47,225,49,7,42,63,25,38,680,144,536,379,76,303,138,43,95,60,17,43,56,3,53,47,5,42
95BB15,2527,343,2184,1685,252,1433,290,38,252,822,119,703,77,19,58,296,45,251,114,15,99,86,16,70,842,91,751,371,42,329,128,23,105,120,7,113,162,11,151,61,8,53
