GeographyCode,DC2250NI0001,DC2250NI0002,DC2250NI0003,DC2250NI0004,DC2250NI0005,DC2250NI0006,DC2250NI0007,DC2250NI0008,DC2250NI0009,DC2250NI0010,DC2250NI0011,DC2250NI0012,DC2250NI0013,DC2250NI0014,DC2250NI0015,DC2250NI0016,DC2250NI0017,DC2250NI0018,DC2250NI0019,DC2250NI0020,DC2250NI0021,DC2250NI0022,DC2250NI0023,DC2250NI0024,DC2250NI0025,DC2250NI0026,DC2250NI0027,DC2250NI0028,DC2250NI0029,DC2250NI0030,DC2250NI0031,DC2250NI0032,DC2250NI0033,DC2250NI0034,DC2250NI0035,DC2250NI0036,DC2250NI0037,DC2250NI0038,DC2250NI0039,DC2250NI0040,DC2250NI0041,DC2250NI0042,DC2250NI0043,DC2250NI0044,DC2250NI0045
95AA01,4444,1485,2284,47,628,534,137,290,0,107,3935,1378,2003,35,519,3222,809,1903,32,478,646,529,90,1,26,28,24,0,0,4,10,9,0,1,0,29,7,10,1,11,93,27,43,14,9
95AA02,1734,570,1048,7,109,335,92,214,1,28,1412,487,839,5,81,1202,335,810,4,53,155,118,29,1,7,25,23,0,0,2,3,3,0,0,0,27,8,0,0,19,16,5,6,1,4
95AA03,1822,195,1422,15,190,502,42,406,1,53,1317,154,1021,6,136,1223,103,993,4,123,63,29,27,1,6,21,17,0,0,4,2,1,0,0,1,8,4,1,1,2,19,1,6,8,4
95AA04,3013,832,1979,26,176,352,96,231,2,23,2717,757,1779,25,156,2313,460,1691,22,140,396,294,87,3,12,0,0,0,0,0,0,0,0,0,0,8,3,1,0,4,24,1,23,0,0
95AA05,2701,1683,900,12,106,519,300,194,0,25,2209,1407,709,13,80,1527,785,668,10,64,650,603,35,2,10,4,4,0,0,0,17,12,4,1,0,11,3,2,0,6,23,12,8,0,3
95AA06,4647,3755,774,9,109,681,512,147,1,21,4041,3309,637,7,88,2229,1550,603,7,69,1784,1734,33,0,17,16,16,0,0,0,0,0,0,0,0,12,9,1,0,2,36,32,2,1,1
95AA07,2140,336,1680,17,107,481,60,389,0,32,1692,285,1316,16,75,1515,172,1256,16,71,135,72,59,0,4,7,7,0,0,0,25,24,1,0,0,10,10,0,0,0,9,2,6,1,0
95AA08,1698,757,761,14,166,495,214,226,0,55,1215,556,536,12,111,966,361,510,8,87,181,151,15,2,13,23,21,0,0,2,21,11,3,2,5,24,12,8,0,4,12,6,0,4,2
95AA09,2220,491,1466,28,235,459,73,326,4,56,1742,407,1147,14,174,1563,293,1102,13,155,119,67,40,1,11,42,40,0,0,2,4,4,0,0,0,14,3,5,0,6,38,14,7,10,7
95AA10,1953,806,939,25,183,393,178,161,2,52,1574,636,786,19,133,1326,436,752,19,119,200,162,33,0,5,27,26,0,0,1,10,7,0,0,3,11,5,1,0,5,10,2,4,4,0
95AA11,5364,2085,2738,62,479,726,282,365,2,77,4655,1808,2395,50,402,3864,1221,2284,43,316,533,412,89,4,28,128,114,3,0,11,19,17,0,0,2,111,44,19,3,45,99,55,16,15,13
95AA12,2775,197,2395,23,160,390,27,330,0,33,2425,170,2103,23,129,2286,124,2018,22,122,131,43,80,1,7,0,0,0,0,0,0,0,0,0,0,8,3,5,0,0,7,1,4,1,1
95AA13,3307,2282,868,10,147,561,342,184,2,33,2808,1993,695,8,112,1910,1165,652,5,88,743,691,41,2,9,31,30,0,0,1,99,88,0,1,10,25,19,2,0,4,23,12,3,0,8
95AA14,2349,872,1373,13,91,477,167,290,7,13,1913,733,1099,6,75,1565,448,1041,6,70,342,280,57,0,5,3,3,0,0,0,0,0,0,0,0,3,2,1,0,0,12,4,5,0,3
95AA15,4186,1756,1878,106,446,684,302,271,4,107,3434,1451,1587,60,336,2721,894,1523,51,253,407,327,48,5,27,147,131,0,0,16,77,63,4,0,10,82,36,12,4,30,136,47,36,43,10
95AA16,1807,344,1276,14,173,413,62,308,1,42,1398,284,978,6,130,1210,165,937,5,103,67,30,34,0,3,56,54,1,0,1,10,7,0,0,3,55,28,6,1,20,15,2,5,7,1
95AA17,2142,813,1067,27,235,426,144,197,7,78,1716,670,868,19,159,1486,487,844,18,137,161,130,20,0,11,23,21,1,0,1,19,14,2,0,3,27,18,1,1,7,25,17,7,1,0
95AA18,2439,341,1891,37,170,299,35,240,4,20,2199,321,1706,21,151,1974,218,1605,17,134,200,85,97,3,15,6,6,0,0,0,0,0,0,0,0,19,12,4,1,2,32,4,7,13,8
95AA19,2687,2410,231,6,40,740,643,79,2,16,1990,1805,156,4,25,1047,902,125,2,18,920,882,30,2,6,19,18,1,0,0,1,1,0,0,0,3,2,0,0,1,35,31,3,0,1
95BB01,3609,405,2894,25,285,516,63,397,3,53,3126,347,2523,22,234,2913,251,2436,19,207,196,91,84,3,18,3,3,0,0,0,2,2,0,0,0,12,0,3,0,9,34,5,23,1,5
95BB02,2347,224,1881,33,209,570,52,443,3,72,1811,171,1479,27,134,1638,112,1376,27,123,134,27,101,0,6,9,9,0,0,0,19,19,0,0,0,11,4,2,0,5,10,2,0,5,3
95BB03,4219,233,3563,53,370,796,39,676,12,69,3458,193,2922,41,302,3267,149,2793,38,287,172,30,126,3,13,9,9,0,0,0,0,0,0,0,0,10,5,3,0,2,22,4,14,2,2
95BB04,3048,227,2538,24,259,373,20,305,2,46,2743,221,2289,20,213,2554,168,2165,19,202,166,40,119,1,6,6,6,0,0,0,7,3,0,0,4,10,4,5,0,1,18,1,9,3,5
95BB05,3401,111,2947,54,289,543,14,464,5,60,2911,100,2534,48,229,2705,70,2374,46,215,200,26,158,2,14,1,1,0,0,0,1,1,0,0,0,4,2,2,0,0,19,3,9,4,3
95BB06,2870,335,2173,61,301,674,76,527,3,68,2197,263,1659,46,229,1993,179,1569,42,203,153,50,84,4,15,18,17,0,0,1,20,15,0,0,5,13,2,6,0,5,42,2,14,17,9
95BB07,2953,118,2521,33,281,522,14,435,5,68,2439,104,2100,22,213,2292,65,2017,21,189,108,21,77,1,9,13,11,0,0,2,2,1,0,0,1,24,6,6,0,12,37,3,22,7,5
95BB08,2625,159,2203,35,228,498,22,429,8,39,2129,135,1787,23,184,2007,83,1730,20,174,82,23,50,3,6,10,10,0,0,0,14,14,0,0,0,16,5,7,0,4,20,4,4,6,6
95BB09,2943,130,2513,15,285,376,18,315,1,42,2603,108,2238,13,244,2455,61,2155,12,227,115,22,82,1,10,21,20,0,0,1,4,0,0,0,4,8,5,1,0,2,35,10,14,2,9
95BB10,3327,250,2726,44,307,463,24,382,6,51,2907,186,2418,42,261,2671,145,2253,34,239,218,36,156,8,18,1,1,0,0,0,4,3,1,0,0,13,1,8,0,4,76,44,30,2,0
95BB11,2955,140,2533,40,242,579,31,477,4,67,2402,110,2086,31,175,2266,76,1990,29,171,127,32,90,2,3,2,2,0,0,0,2,0,2,0,0,5,0,4,0,1,26,2,14,7,3
95BB12,2776,233,2146,55,342,604,32,476,11,85,2201,208,1700,36,257,2019,153,1598,32,236,156,41,98,3,14,6,6,0,0,0,6,5,0,0,1,14,3,4,1,6,22,4,6,9,3
95BB13,4444,311,3601,53,479,645,34,498,2,111,3847,297,3131,46,373,3620,214,3025,43,338,182,60,103,2,17,7,7,0,0,0,13,10,0,0,3,25,6,3,1,15,26,1,16,7,2
95BB14,3116,208,2607,30,271,364,24,319,2,19,2811,194,2335,26,256,2578,140,2201,21,216,197,49,128,5,15,0,0,0,0,0,4,1,0,0,3,32,4,6,0,22,30,3,14,4,9
95BB15,3489,2017,1252,23,197,758,463,244,2,49,2771,1580,1022,20,149,2174,1070,962,16,126,565,484,58,3,20,1,1,0,0,0,10,9,1,0,0,21,16,1,1,3,26,20,3,1,2
95BB16,3136,175,2666,31,264,440,27,367,10,36,2762,154,2355,20,233,2589,110,2241,18,220,159,32,113,2,12,4,4,0,0,0,6,6,0,0,0,4,2,1,0,1,19,2,12,2,3
95BB17,3556,232,2815,26,483,608,17,467,3,121,2990,222,2384,22,362,2794,165,2272,20,337,168,39,110,1,18,7,3,0,0,4,9,8,0,0,1,12,7,2,1,2,20,1,12,1,6
95BB18,4279,198,3550,28,503,668,32,549,3,84,3660,170,3039,25,426,3447,131,2904,22,390,192,34,130,3,25,2,1,0,0,1,0,0,0,0,0,19,4,5,0,10,23,4,17,0,2
95BB19,4788,410,3826,48,504,564,51,412,3,98,4275,364,3462,42,407,4032,281,3334,40,377,213,73,118,2,20,7,6,0,0,1,3,2,0,0,1,20,2,10,0,8,36,4,18,5,9
95BB20,3413,2701,570,9,133,836,698,108,1,29,2650,2055,482,6,107,1760,1244,420,5,91,863,793,57,1,12,9,9,0,0,0,8,8,0,0,0,10,1,5,0,4,23,9,8,2,4
95BB21,4719,588,3679,44,408,889,79,701,4,105,3875,530,3001,40,304,3546,356,2872,39,279,274,145,115,1,13,20,18,1,0,1,17,9,7,0,1,18,2,6,0,10,29,3,21,1,4
95BB22,3040,167,2449,14,410,656,39,501,0,116,2390,132,1952,12,294,2242,90,1869,12,271,117,29,78,0,10,10,9,0,0,1,3,3,0,0,0,18,1,5,0,12,17,0,13,3,1
95BB23,3025,332,2401,41,251,359,30,277,2,50,2715,314,2161,33,207,2430,196,2026,28,180,242,91,127,5,19,16,14,0,0,2,8,8,0,0,0,19,5,8,0,6,22,4,11,6,1
95CC01,2558,2244,250,18,46,625,488,128,1,8,1956,1779,119,19,39,745,612,96,15,22,1056,1035,12,4,5,48,42,5,0,1,81,79,1,0,1,26,11,5,0,10,19,11,5,0,3
95CC02,2725,1908,773,3,41,537,328,204,0,5,2226,1616,569,3,38,1114,574,516,3,21,1097,1029,52,0,16,0,0,0,0,0,10,10,0,0,0,5,3,1,0,1,28,15,12,0,1
95CC03,2817,2417,233,27,140,671,605,54,2,10,2155,1830,174,23,128,806,606,136,10,54,1015,986,15,4,10,80,70,0,2,8,154,136,0,3,15,100,32,23,4,41,41,21,9,6,5
95CC04,2440,1715,689,5,31,642,404,230,0,8,1834,1339,467,5,23,793,360,420,4,9,1005,956,47,1,1,10,9,0,0,1,11,11,0,0,0,15,3,0,0,12,9,9,0,0,0
95CC05,2774,1814,878,18,64,600,349,231,2,18,2223,1500,661,16,46,1176,531,619,8,18,941,892,33,4,12,21,20,0,0,1,47,46,1,0,0,38,11,8,4,15,19,18,1,0,0
95CC06,2776,1542,1120,26,88,403,192,184,5,22,2435,1405,945,19,66,1519,587,870,15,47,813,747,55,1,10,31,30,0,0,1,32,26,1,3,2,40,15,19,0,6,18,8,5,2,3
95CC07,3475,2819,611,10,35,730,560,163,1,6,2798,2312,451,8,27,1044,612,408,6,18,1712,1668,38,1,5,7,6,0,0,1,23,22,0,1,0,12,4,5,0,3,22,16,2,2,2
95CC08,2565,2331,182,8,44,583,532,46,1,4,2018,1847,129,4,38,794,671,100,3,20,1124,1099,19,0,6,18,17,0,0,1,55,52,1,0,2,27,8,9,1,9,31,14,10,3,4
95CC09,3354,297,2901,32,124,629,59,542,2,26,2758,241,2391,29,97,2485,87,2284,29,85,208,107,99,0,2,28,26,0,0,2,18,15,0,0,3,19,6,8,0,5,18,0,13,1,4
95CC10,2577,498,1976,17,86,466,79,362,4,21,2180,445,1655,13,67,1801,195,1549,12,45,334,228,101,1,4,10,6,0,0,4,12,9,2,0,1,23,7,3,0,13,12,2,10,0,0
95CC11,1795,1631,134,0,30,440,407,25,0,8,1379,1247,110,0,22,503,394,101,0,8,785,775,6,0,4,17,17,0,0,0,42,40,0,0,2,32,21,3,0,8,9,8,1,0,0
95CC12,2785,1325,1395,11,54,679,267,388,2,22,2132,1068,1021,9,34,1292,289,972,8,23,820,768,45,1,6,6,4,0,0,2,4,3,0,0,1,10,4,4,0,2,9,6,2,1,0
95CC13,2474,1288,1130,15,41,516,242,268,1,5,1979,1064,866,14,35,1188,350,802,13,23,763,703,58,1,1,4,3,0,0,1,3,3,0,0,0,21,5,6,0,10,14,7,5,1,1
95CC14,3035,313,2538,34,150,504,42,429,2,31,2568,282,2135,33,118,2334,165,2033,30,106,201,97,93,3,8,11,10,1,0,0,8,5,1,0,2,14,5,7,0,2,12,4,5,1,2
95CC15,2903,1135,1667,17,84,642,241,385,3,13,2294,915,1295,15,69,1669,370,1233,12,54,560,497,57,2,4,8,7,0,0,1,34,31,0,0,3,23,10,5,1,7,11,6,2,0,3
95CC16,2820,425,2260,14,121,685,96,547,4,38,2152,333,1725,9,85,1862,144,1643,8,67,222,141,70,1,10,33,29,0,0,4,10,9,0,0,1,25,10,12,0,3,15,3,10,1,1
95CC17,2730,1860,808,20,42,479,287,183,3,6,2303,1621,632,16,34,1119,503,592,7,17,1143,1088,40,5,10,19,17,0,0,2,10,10,0,0,0,12,3,0,4,5,20,11,1,2,6
95CC18,2342,1206,1024,28,84,324,123,182,1,18,2064,1116,865,18,65,1264,424,788,14,38,634,554,65,2,13,44,38,3,1,2,88,81,1,1,5,34,19,8,0,7,24,8,4,9,3
95CC19,2720,950,1669,7,94,636,175,433,0,28,2102,789,1239,7,67,1576,310,1207,6,53,492,452,30,1,9,21,19,2,0,0,1,1,0,0,0,12,7,0,0,5,23,11,11,0,1
95CC20,3010,202,2649,19,140,493,41,421,6,25,2545,167,2253,10,115,2289,60,2130,9,90,134,29,100,1,4,49,43,1,0,5,39,27,6,0,6,34,8,16,0,10,25,0,15,3,7
95CC21,2925,380,2368,11,166,562,59,438,4,61,2398,336,1952,7,103,2143,197,1853,7,86,203,114,81,0,8,21,19,1,0,1,2,2,0,0,0,29,4,17,0,8,13,2,7,0,4
95CC22,1740,398,1231,16,95,397,67,314,3,13,1346,346,913,10,77,1014,123,830,5,56,188,125,55,3,5,38,37,1,0,0,60,51,1,1,7,46,10,26,1,9,29,1,14,3,11
