GeographyCode,KS604NI0001,KS604NI0002,KS604NI0003,KS604NI0004,KS604NI0005,KS604NI0006,KS604NI0007,KS604NI0008,KS604NI0009,KS604NI0010,KS604NI0011,KS604NI0012,KS604NI0013,KS604NI0014,KS604NI0015,KS604NI0016,KS604NI0017,KS604NI0018,KS604NI0019,KS604NI0020,KS604NI0021,KS604NI0022,KS604NI0023,KS604NI0024,KS604NI0025,KS604NI0026,KS604NI0027
N92000002,795263,65879,164842,487029,77513,412130,20181,40260,288509,63180,383133,45698,124582,198520,14333,8.28,20.73,61.24,9.75,4.90,9.77,70.00,15.33,11.93,32.52,51.81,3.74
BHSCT,150870,14113,32297,92838,11622,75152,4893,8031,53524,8704,75718,9220,24266,39314,2918,9.35,21.41,61.54,7.70,6.51,10.69,71.22,11.58,12.18,32.05,51.92,3.85
NHSCT,210147,16971,42514,129777,20885,109901,4872,9715,77930,17384,100246,12099,32799,51847,3501,8.08,20.23,61.76,9.94,4.43,8.84,70.91,15.82,12.07,32.72,51.72,3.49
SEHSCT,158531,12926,33231,96153,16221,81236,3843,7360,56929,13104,77295,9083,25871,39224,3117,8.15,20.96,60.65,10.23,4.73,9.06,70.08,16.13,11.75,33.47,50.75,4.03
SHSCT,157636,12277,31713,96896,16750,83677,3585,7758,58339,13995,73959,8692,23955,38557,2755,7.79,20.12,61.47,10.63,4.28,9.27,69.72,16.73,11.75,32.39,52.13,3.73
WHSCT,118079,9592,25087,71365,12035,62164,2988,7396,41787,9993,55915,6604,17691,29578,2042,8.12,21.25,60.44,10.19,4.81,11.90,67.22,16.08,11.81,31.64,52.90,3.65
BELB,118754,11735,25794,72277,8948,59097,4136,6639,41696,6626,59657,7599,19155,30581,2322,9.88,21.72,60.86,7.53,7.00,11.23,70.56,11.21,12.74,32.11,51.26,3.89
NEELB,194151,15634,39247,120297,18973,101241,4496,8822,72161,15762,92910,11138,30425,48136,3211,8.05,20.21,61.96,9.77,4.44,8.71,71.28,15.57,11.99,32.75,51.81,3.46
SEELB,190647,15304,39734,116714,18895,97291,4600,8752,68757,15182,93356,10704,30982,47957,3713,8.03,20.84,61.22,9.91,4.73,9.00,70.67,15.60,11.47,33.19,51.37,3.98
SELB,173632,13614,34980,106376,18662,92337,3961,8651,64108,15617,81295,9653,26329,42268,3045,7.84,20.15,61.27,10.75,4.29,9.37,69.43,16.91,11.87,32.39,51.99,3.75
WELB,118079,9592,25087,71365,12035,62164,2988,7396,41787,9993,55915,6604,17691,29578,2042,8.12,21.25,60.44,10.19,4.81,11.90,67.22,16.08,11.81,31.64,52.90,3.65
UKN01,118754,11735,25794,72277,8948,59097,4136,6639,41696,6626,59657,7599,19155,30581,2322,9.88,21.72,60.86,7.53,7.00,11.23,70.56,11.21,12.74,32.11,51.26,3.89
UKN02,182067,14552,37869,113127,16519,92493,4507,8070,66675,13241,89574,10045,29799,46452,3278,7.99,20.80,62.13,9.07,4.87,8.72,72.09,14.32,11.21,33.27,51.86,3.66
UKN03,200970,15459,40473,124987,20051,104503,4364,8853,74778,16508,96467,11095,31620,50209,3543,7.69,20.14,62.19,9.98,4.18,8.47,71.56,15.80,11.50,32.78,52.05,3.67
UKN04,114548,10096,25193,68480,10779,59898,3047,7180,40757,8914,54650,7049,18013,27723,1865,8.81,21.99,59.78,9.41,5.09,11.99,68.04,14.88,12.90,32.96,50.73,3.41
UKN05,178924,14037,35513,108158,21216,96139,4127,9518,64603,17891,82785,9910,25995,43555,3325,7.85,19.85,60.45,11.86,4.29,9.90,67.20,18.61,11.97,31.40,52.61,4.02
95AA,25595,1862,5048,16068,2617,13322,562,1110,9495,2155,12273,1300,3938,6573,462,7.27,19.72,62.78,10.22,4.22,8.33,71.27,16.18,10.59,32.09,53.56,3.76
95BB,35743,2898,7598,21607,3640,18220,755,1660,12817,2988,17523,2143,5938,8790,652,8.11,21.26,60.45,10.18,4.14,9.11,70.35,16.40,12.23,33.89,50.16,3.72
95CC,26586,2032,5377,16055,3122,14128,589,1282,9587,2670,12458,1443,4095,6468,452,7.64,20.22,60.39,11.74,4.17,9.07,67.86,18.90,11.58,32.87,51.92,3.63
95DD,29920,2216,5949,18785,2970,15788,577,1264,11453,2494,14132,1639,4685,7332,476,7.41,19.88,62.78,9.93,3.65,8.01,72.54,15.80,11.60,33.15,51.88,3.37
95EE,13426,946,2658,8313,1509,7171,241,627,4989,1314,6255,705,2031,3324,195,7.05,19.80,61.92,11.24,3.36,8.74,69.57,18.32,11.27,32.47,53.14,3.12
95FF,22621,1634,4357,13923,2707,11945,455,914,8335,2241,10676,1179,3443,5588,466,7.22,19.26,61.55,11.97,3.81,7.65,69.78,18.76,11.04,32.25,52.34,4.36
95GG,118754,11735,25794,72277,8948,59097,4136,6639,41696,6626,59657,7599,19155,30581,2322,9.88,21.72,60.86,7.53,7.00,11.23,70.56,11.21,12.74,32.11,51.26,3.89
95HH,18104,1449,3726,11485,1444,9189,424,732,6835,1198,8915,1025,2994,4650,246,8.00,20.58,63.44,7.98,4.61,7.97,74.38,13.04,11.50,33.58,52.16,2.76
95II,32116,2378,6503,20561,2674,16055,757,1392,11828,2078,16061,1621,5111,8733,596,7.40,20.25,64.02,8.33,4.72,8.67,73.67,12.94,10.09,31.82,54.37,3.71
95JJ,25272,2724,5515,14406,2627,13122,845,1501,8654,2122,12150,1879,4014,5752,505,10.78,21.82,57.00,10.39,6.44,11.44,65.95,16.17,15.47,33.04,47.34,4.16
