GeographyCode,KS211NI0001,KS211NI0002,KS211NI0003,KS211NI0004,KS211NI0005,KS211NI0006,KS211NI0007,KS211NI0008,KS211NI0009,KS211NI0010,KS211NI0011,KS211NI0012,KS211NI0013,KS211NI0014,KS211NI0015,KS211NI0016,KS211NI0017
N92000002,1810863,738033,345101,248821,54253,104380,14859,183164,122252,40.76,19.06,13.74,3.00,5.76,0.82,10.11,6.75
BHSCT,348204,130813,57385,43155,14653,19243,5025,48241,29689,37.57,16.48,12.39,4.21,5.53,1.44,13.85,8.53
NHSCT,463297,141816,127421,65547,14406,33049,3412,50147,27499,30.61,27.50,14.15,3.11,7.13,0.74,10.82,5.94
SEHSCT,346911,96805,83481,54136,12719,24919,2856,50833,21162,27.90,24.06,15.61,3.67,7.18,0.82,14.65,6.10
SHSCT,358034,185603,47461,48829,7575,19957,2091,21744,24774,51.84,13.26,13.64,2.12,5.57,0.58,6.07,6.92
WHSCT,294417,182996,29353,37154,4900,7212,1475,12199,19128,62.16,9.97,12.62,1.66,2.45,0.50,4.14,6.50
BELB,280962,117712,40463,32035,10334,13087,4258,37239,25834,41.90,14.40,11.40,3.68,4.66,1.52,13.25,9.19
NEELB,426284,121437,122568,60074,13937,31276,3257,48555,25180,28.49,28.75,14.09,3.27,7.34,0.76,11.39,5.91
SEELB,414153,109906,100403,65256,17038,31075,3623,61835,25017,26.54,24.24,15.76,4.11,7.50,0.87,14.93,6.04
SELB,395047,205982,52314,54302,8044,21730,2246,23336,27093,52.14,13.24,13.75,2.04,5.50,0.57,5.91,6.86
WELB,294417,182996,29353,37154,4900,7212,1475,12199,19128,62.16,9.97,12.62,1.66,2.45,0.50,4.14,6.50
UKN01,280962,117712,40463,32035,10334,13087,4258,37239,25834,41.90,14.40,11.40,3.68,4.66,1.52,13.25,9.19
UKN02,390597,81243,98142,66825,22110,32178,3757,62670,23672,20.80,25.13,17.11,5.66,8.24,0.96,16.04,6.06
UKN03,438823,142092,112743,61428,12451,32133,3305,48312,26359,32.38,25.69,14.00,2.84,7.32,0.75,11.01,6.01
UKN04,288597,148769,52269,36270,2603,10312,1664,17621,19089,51.55,18.11,12.57,0.90,3.57,0.58,6.11,6.61
UKN05,411884,248217,41484,52263,6755,16670,1875,17322,27298,60.26,10.07,12.69,1.64,4.05,0.46,4.21,6.63
95AA,53428,20050,13343,5958,765,3035,446,6515,3316,37.53,24.97,11.15,1.43,5.68,0.83,12.19,6.21
95BB,78078,8521,28715,12390,3524,6473,760,13175,4520,10.91,36.78,15.87,4.51,8.29,0.97,16.87,5.79
95CC,59340,26563,9717,10485,1413,3913,307,3141,3801,44.76,16.38,17.67,2.38,6.59,0.52,5.29,6.41
95DD,64044,13071,26073,6856,1375,6227,492,5946,4004,20.41,40.71,10.71,2.15,9.72,0.77,9.28,6.25
95EE,31224,9252,10897,3974,202,2644,173,2519,1563,29.63,34.90,12.73,0.65,8.47,0.55,8.07,5.01
95FF,48339,14235,13623,8060,888,4144,321,4657,2411,29.45,28.18,16.67,1.84,8.57,0.66,9.63,4.99
95GG,280962,117712,40463,32035,10334,13087,4258,37239,25834,41.90,14.40,11.40,3.68,4.66,1.52,13.25,9.19
95HH,39114,2958,11668,7423,3192,4001,319,7296,2257,7.56,29.83,18.98,8.16,10.23,0.82,18.65,5.77
95II,67242,13101,16922,11120,4319,6156,767,11002,3855,19.48,25.17,16.54,6.42,9.15,1.14,16.36,5.73
95JJ,59067,14774,16384,12540,835,3765,491,6575,3703,25.01,27.74,21.23,1.41,6.37,0.83,11.13,6.27
95KK,37013,20379,4853,5473,469,1773,155,1592,2319,55.06,13.11,14.79,1.27,4.79,0.42,4.30,6.27
95LL,93023,39138,9731,18432,3989,7038,777,7876,6042,42.07,10.46,19.81,4.29,7.57,0.84,8.47,6.50
95MM,107877,72748,9955,8394,810,1800,728,4885,8557,67.44,9.23,7.78,0.75,1.67,0.67,4.53,7.93
95NN,69731,40068,9300,5887,574,3149,346,6272,4135,57.46,13.34,8.44,0.82,4.52,0.50,8.99,5.93
95OO,57852,33981,5724,8141,920,2453,281,2242,4110,58.74,9.89,14.07,1.59,4.24,0.49,3.88,7.10
95PP,61805,33951,1878,14228,2736,2344,328,3005,3335,54.93,3.04,23.02,4.43,3.79,0.53,4.86,5.40
95QQ,32180,7009,11958,3845,1336,2067,163,3871,1931,21.78,37.16,11.95,4.15,6.42,0.51,12.03,6.00
95RR,33536,18784,6123,4329,203,834,92,1615,1556,56.01,18.26,12.91,0.61,2.49,0.27,4.82,4.64
95SS,120165,39402,22348,22000,4518,8740,926,14554,7677,32.79,18.60,18.31,3.76,7.27,0.77,12.11,6.39
95TT,45038,28088,5526,4662,218,2361,179,1781,2223,62.37,12.27,10.35,0.48,5.24,0.40,3.95,4.94
95UU,17050,9267,2633,2393,36,452,73,1066,1130,54.35,15.44,14.04,0.21,2.65,0.43,6.25,6.63
95VV,99480,71686,8666,3711,365,2409,405,3828,8410,72.06,8.71,3.73,0.37,2.42,0.41,3.85,8.45
95WW,85139,16968,24086,12423,5978,6724,921,12986,5053,19.93,28.29,14.59,7.02,7.90,1.08,15.25,5.94
95XX,78937,8814,23118,13859,4103,6557,824,16832,4830,11.17,29.29,17.56,5.20,8.31,1.04,21.32,6.12
95YY,51356,33569,5120,5563,634,1417,220,1733,3100,65.37,9.97,10.83,1.23,2.76,0.43,3.37,6.04
95ZZ,39843,23944,6277,4640,517,817,107,961,2580,60.10,15.75,11.65,1.30,2.05,0.27,2.41,6.48
