GeographyCode,KS212NI0001,KS212NI0002,KS212NI0003,KS212NI0004,KS212NI0005,KS212NI0006,KS212NI0007,KS212NI0008,KS212NI0009
N92000002,1810863,817385,875717,16592,101169,45.14,48.36,0.92,5.59
BHSCT,348204,151452,164525,5667,26560,43.50,47.25,1.63,7.63
NHSCT,463297,155691,276015,3790,27801,33.61,59.58,0.82,6.00
SEHSCT,346911,107991,207432,3151,28337,31.13,59.79,0.91,8.17
SHSCT,358034,202952,140163,2344,12575,56.69,39.15,0.65,3.51
WHSCT,294417,199299,87582,1640,5896,67.69,29.75,0.56,2.00
BELB,280962,136497,118856,4825,20784,48.58,42.30,1.72,7.40
NEELB,426284,133758,262033,3613,26880,31.38,61.47,0.85,6.31
SEELB,414153,122946,253101,3993,34113,29.69,61.11,0.96,8.24
SELB,395047,224885,154145,2521,13496,56.93,39.02,0.64,3.42
WELB,294417,199299,87582,1640,5896,67.69,29.75,0.56,2.00
UKN01,280962,136497,118856,4825,20784,48.58,42.30,1.72,7.40
UKN02,390597,92393,259368,4128,34708,23.65,66.40,1.06,8.89
UKN03,438823,156162,251695,3668,27298,35.59,57.36,0.84,6.22
UKN04,288597,163249,114709,1853,8786,56.57,39.75,0.64,3.04
UKN05,411884,269084,131089,2118,9593,65.33,31.83,0.51,2.33
95AA,53428,22010,26970,498,3950,41.20,50.48,0.93,7.39
95BB,78078,9904,60054,819,7301,12.68,76.92,1.05,9.35
95CC,59340,28698,28486,356,1800,48.36,48.00,0.60,3.03
95DD,64044,14440,45700,546,3358,22.55,71.36,0.85,5.24
95EE,31224,9928,19687,191,1418,31.80,63.05,0.61,4.54
95FF,48339,15479,29979,361,2520,32.02,62.02,0.75,5.21
95GG,280962,136497,118856,4825,20784,48.58,42.30,1.72,7.40
95HH,39114,3738,31005,357,4014,9.56,79.27,0.91,10.26
95II,67242,14955,45669,842,5776,22.24,67.92,1.25,8.59
95JJ,59067,16552,38560,541,3414,28.02,65.28,0.92,5.78
95KK,37013,21933,13982,177,921,59.26,37.78,0.48,2.49
95LL,93023,42735,44686,851,4751,45.94,48.04,0.91,5.11
95MM,107877,80729,24105,823,2220,74.83,22.34,0.76,2.06
95NN,69731,43591,22372,409,3359,62.51,32.08,0.59,4.82
95OO,57852,37087,19111,324,1330,64.11,33.03,0.56,2.30
95PP,61805,36563,23350,353,1539,59.16,37.78,0.57,2.49
95QQ,32180,8003,21934,184,2059,24.87,68.16,0.57,6.40
95RR,33536,20014,12625,103,794,59.68,37.65,0.31,2.37
95SS,120165,43815,67197,1009,8144,36.46,55.92,0.84,6.78
95TT,45038,29728,14179,212,919,66.01,31.48,0.47,2.04
95UU,17050,10155,6310,78,507,59.56,37.01,0.46,2.97
95VV,99480,78953,17901,452,2174,79.37,17.99,0.45,2.19
95WW,85139,19204,57688,1006,7241,22.56,67.76,1.18,8.50
95XX,78937,10681,57809,914,9533,13.53,73.23,1.16,12.08
95YY,51356,36122,14080,244,910,70.34,27.42,0.48,1.77
95ZZ,39843,25871,13422,117,433,64.93,33.69,0.29,1.09
