GeographyCode,KS605NI0001,KS605NI0002,KS605NI0003,KS605NI0004,KS605NI0005,KS605NI0006,KS605NI0007,KS605NI0008,KS605NI0009,KS605NI0010,KS605NI0011,KS605NI0012,KS605NI0013,KS605NI0014,KS605NI0015,KS605NI0016,KS605NI0017,KS605NI0018,KS605NI0019,KS605NI0020,KS605NI0021,KS605NI0022,KS605NI0023,KS605NI0024,KS605NI0025,KS605NI0026,KS605NI0027,KS605NI0028,KS605NI0029,KS605NI0030,KS605NI0031,KS605NI0032,KS605NI0033,KS605NI0034,KS605NI0035,KS605NI0036,KS605NI0037
N92000002,795263,17822,1972,77072,3508,5792,65059,139384,32006,42703,20267,25993,7504,36277,32447,63422,74569,112995,36471,2.24,0.25,9.69,0.44,0.73,8.18,17.53,4.02,5.37,2.55,3.27,0.94,4.56,4.08,7.97,9.38,14.21,4.59
BHSCT,150870,261,89,9210,671,1028,6539,25260,5781,10122,6472,6822,1808,9262,6868,14002,14950,23789,7936,0.17,0.06,6.10,0.44,0.68,4.33,16.74,3.83,6.71,4.29,4.52,1.20,6.14,4.55,9.28,9.91,15.77,5.26
NHSCT,210147,5445,606,23558,1181,1613,19247,37746,10203,10790,4289,6087,1882,8138,7867,15220,19162,27974,9139,2.59,0.29,11.21,0.56,0.77,9.16,17.96,4.86,5.13,2.04,2.90,0.90,3.87,3.74,7.24,9.12,13.31,4.35
SEHSCT,158531,2393,210,11866,673,943,11611,27362,5566,8128,4198,6007,1638,7954,7542,17387,13843,23411,7799,1.51,0.13,7.48,0.42,0.59,7.32,17.26,3.51,5.13,2.65,3.79,1.03,5.02,4.76,10.97,8.73,14.77,4.92
SHSCT,157636,5243,467,21488,485,1422,15862,28567,6456,7155,2646,3476,1103,6724,5507,9396,14577,20625,6437,3.33,0.30,13.63,0.31,0.90,10.06,18.12,4.10,4.54,1.68,2.21,0.70,4.27,3.49,5.96,9.25,13.08,4.08
WHSCT,118079,4480,600,10950,498,786,11800,20449,4000,6508,2662,3601,1073,4199,4663,7417,12037,17196,5160,3.79,0.51,9.27,0.42,0.67,9.99,17.32,3.39,5.51,2.25,3.05,0.91,3.56,3.95,6.28,10.19,14.56,4.37
BELB,118754,134,63,6906,485,852,4946,20228,4732,8611,5183,5286,1412,7406,5597,10323,11733,18513,6344,0.11,0.05,5.82,0.41,0.72,4.16,17.03,3.98,7.25,4.36,4.45,1.19,6.24,4.71,8.69,9.88,15.59,5.34
NEELB,194151,4626,536,20983,1141,1507,17232,34766,9690,10083,4095,5785,1807,7513,7429,14507,17797,26175,8479,2.38,0.28,10.81,0.59,0.78,8.88,17.91,4.99,5.19,2.11,2.98,0.93,3.87,3.83,7.47,9.17,13.48,4.37
SEELB,190647,2520,236,14170,859,1119,13204,32394,6615,9639,5487,7543,2034,9810,8813,21066,17060,28687,9391,1.32,0.12,7.43,0.45,0.59,6.93,16.99,3.47,5.06,2.88,3.96,1.07,5.15,4.62,11.05,8.95,15.05,4.93
SELB,173632,6062,537,24063,525,1528,17877,31547,6969,7862,2840,3778,1178,7349,5945,10109,15942,22424,7097,3.49,0.31,13.86,0.30,0.88,10.30,18.17,4.01,4.53,1.64,2.18,0.68,4.23,3.42,5.82,9.18,12.91,4.09
WELB,118079,4480,600,10950,498,786,11800,20449,4000,6508,2662,3601,1073,4199,4663,7417,12037,17196,5160,3.79,0.51,9.27,0.42,0.67,9.99,17.32,3.39,5.51,2.25,3.05,0.91,3.56,3.95,6.28,10.19,14.56,4.37
UKN01,118754,134,63,6906,485,852,4946,20228,4732,8611,5183,5286,1412,7406,5597,10323,11733,18513,6344,0.11,0.05,5.82,0.41,0.72,4.16,17.03,3.98,7.25,4.36,4.45,1.19,6.24,4.71,8.69,9.88,15.59,5.34
UKN02,182067,1120,224,14867,1044,1085,10271,32831,7975,8659,5780,7916,2019,9291,8338,19140,16750,26005,8752,0.62,0.12,8.17,0.57,0.60,5.64,18.03,4.38,4.76,3.17,4.35,1.11,5.10,4.58,10.51,9.20,14.28,4.81
UKN03,200970,4890,433,22505,960,1603,17823,35046,8572,10129,4130,5476,1657,8241,8376,16906,16663,28758,8802,2.43,0.22,11.20,0.48,0.80,8.87,17.44,4.27,5.04,2.06,2.72,0.82,4.10,4.17,8.41,8.29,14.31,4.38
UKN04,114548,3483,284,10353,450,784,10467,20339,3978,7016,2441,3049,1217,4227,4906,7822,12194,16226,5312,3.04,0.25,9.04,0.39,0.68,9.14,17.76,3.47,6.12,2.13,2.66,1.06,3.69,4.28,6.83,10.65,14.17,4.64
UKN05,178924,8195,968,22441,569,1468,21552,30940,6749,8288,2733,4266,1199,7112,5230,9231,17229,23493,7261,4.58,0.54,12.54,0.32,0.82,12.05,17.29,3.77,4.63,1.53,2.38,0.67,3.97,2.92,5.16,9.63,13.13,4.06
95AA,25595,531,32,2545,95,232,2098,4309,1607,1371,590,646,174,952,1013,2286,1939,4240,935,2.07,0.13,9.94,0.37,0.91,8.20,16.84,6.28,5.36,2.31,2.52,0.68,3.72,3.96,8.93,7.58,16.57,3.65
95BB,35743,901,68,2822,159,233,2810,6083,1333,1805,856,1370,343,1572,1871,4048,2650,5039,1780,2.52,0.19,7.90,0.44,0.65,7.86,17.02,3.73,5.05,2.39,3.83,0.96,4.40,5.23,11.33,7.41,14.10,4.98
95CC,26586,1340,116,2914,71,292,2513,4733,1183,1098,374,573,177,1020,899,1751,2448,3967,1117,5.04,0.44,10.96,0.27,1.10,9.45,17.80,4.45,4.13,1.41,2.16,0.67,3.84,3.38,6.59,9.21,14.92,4.20
95DD,29920,978,81,4426,162,323,2679,5559,1180,1322,482,616,233,1043,1050,1993,2537,4027,1229,3.27,0.27,14.79,0.54,1.08,8.95,18.58,3.94,4.42,1.61,2.06,0.78,3.49,3.51,6.66,8.48,13.46,4.11
95EE,13426,580,37,1645,45,94,1607,2367,504,601,146,286,147,502,442,840,1139,1856,588,4.32,0.28,12.25,0.34,0.70,11.97,17.63,3.75,4.48,1.09,2.13,1.09,3.74,3.29,6.26,8.48,13.82,4.38
95FF,22621,752,64,2298,85,160,2291,4084,932,955,424,577,168,1064,967,1959,1966,2950,925,3.32,0.28,10.16,0.38,0.71,10.13,18.05,4.12,4.22,1.87,2.55,0.74,4.70,4.27,8.66,8.69,13.04,4.09
95GG,118754,134,63,6906,485,852,4946,20228,4732,8611,5183,5286,1412,7406,5597,10323,11733,18513,6344,0.11,0.05,5.82,0.41,0.72,4.16,17.03,3.98,7.25,4.36,4.45,1.19,6.24,4.71,8.69,9.88,15.59,5.34
95HH,18104,78,46,1810,201,124,1108,3129,1105,891,497,831,199,782,839,1634,1664,2305,861,0.43,0.25,10.00,1.11,0.68,6.12,17.28,6.10,4.92,2.75,4.59,1.10,4.32,4.63,9.03,9.19,12.73,4.76
95II,32116,127,26,2304,186,176,1593,5032,1049,1511,1289,1536,396,1856,1271,3679,3217,5276,1592,0.40,0.08,7.17,0.58,0.55,4.96,15.67,3.27,4.70,4.01,4.78,1.23,5.78,3.96,11.46,10.02,16.43,4.96
95JJ,25272,679,60,2172,80,118,1717,5004,790,2034,380,558,275,1084,1004,1857,3018,3141,1301,2.69,0.24,8.59,0.32,0.47,6.79,19.80,3.13,8.05,1.50,2.21,1.09,4.29,3.97,7.35,11.94,12.43,5.15
95KK,15996,819,70,2575,40,106,2015,2980,513,707,194,302,75,625,438,713,1365,1799,660,5.12,0.44,16.10,0.25,0.66,12.60,18.63,3.21,4.42,1.21,1.89,0.47,3.91,2.74,4.46,8.53,11.25,4.13
95LL,41320,593,52,6739,135,319,3082,7946,1577,2064,824,907,348,1673,1631,2678,3471,5625,1656,1.44,0.13,16.31,0.33,0.77,7.46,19.23,3.82,5.00,1.99,2.20,0.84,4.05,3.95,6.48,8.40,13.61,4.01
95MM,40612,397,49,3567,156,347,2570,7391,1486,2541,1360,1256,477,1445,2155,2526,4546,6459,1884,0.98,0.12,8.78,0.38,0.85,6.33,18.20,3.66,6.26,3.35,3.09,1.17,3.56,5.31,6.22,11.19,15.90,4.64
95NN,30910,779,56,1855,106,219,3578,4722,824,1876,654,910,283,1416,1234,2828,2979,5028,1563,2.52,0.18,6.00,0.34,0.71,11.58,15.28,2.67,6.07,2.12,2.94,0.92,4.58,3.99,9.15,9.64,16.27,5.06
95OO,25646,1286,110,5004,85,151,2578,4019,991,985,343,445,125,1092,765,1136,2476,3062,993,5.01,0.43,19.51,0.33,0.59,10.05,15.67,3.86,3.84,1.34,1.74,0.49,4.26,2.98,4.43,9.65,11.94,3.87
95PP,27574,1474,285,2866,75,143,2857,4937,945,1596,545,1082,181,924,820,1386,2535,3737,1186,5.35,1.03,10.39,0.27,0.52,10.36,17.90,3.43,5.79,1.98,3.92,0.66,3.35,2.97,5.03,9.19,13.55,4.30
95QQ,14861,356,80,1820,218,117,1285,2343,1119,736,300,450,108,521,610,1114,1121,1849,714,2.40,0.54,12.25,1.47,0.79,8.65,15.77,7.53,4.95,2.02,3.03,0.73,3.51,4.10,7.50,7.54,12.44,4.80
95RR,13217,444,57,1119,77,95,1877,1901,412,725,170,352,122,468,612,1196,1242,1824,524,3.36,0.43,8.47,0.58,0.72,14.20,14.38,3.12,5.49,1.29,2.66,0.92,3.54,4.63,9.05,9.40,13.80,3.96
95SS,54962,602,69,4737,232,314,3401,10472,2152,2550,1362,2062,487,2737,2174,5912,4971,8158,2570,1.10,0.13,8.62,0.42,0.57,6.19,19.05,3.92,4.64,2.48,3.75,0.89,4.98,3.96,10.76,9.04,14.84,4.68
95TT,19983,765,117,2510,65,151,3515,2956,660,864,282,432,180,692,461,1086,1933,2629,685,3.83,0.59,12.56,0.33,0.76,17.59,14.79,3.30,4.32,1.41,2.16,0.90,3.46,2.31,5.43,9.67,13.16,3.43
95UU,7021,457,17,491,26,54,876,986,313,454,112,144,79,250,219,381,791,1048,323,6.51,0.24,6.99,0.37,0.77,12.48,14.04,4.46,6.47,1.60,2.05,1.13,3.56,3.12,5.43,11.27,14.93,4.60
95VV,41463,1272,125,4533,109,500,5398,7785,1773,2053,681,974,285,1875,1245,1872,4216,5021,1746,3.07,0.30,10.93,0.26,1.21,13.02,18.78,4.28,4.95,1.64,2.35,0.69,4.52,3.00,4.51,10.17,12.11,4.21
95WW,39969,202,66,3564,249,294,2347,8113,2412,1810,1306,1822,412,1687,1791,3316,3655,5080,1843,0.51,0.17,8.92,0.62,0.74,5.87,20.30,6.03,4.53,3.27,4.56,1.03,4.22,4.48,8.30,9.14,12.71,4.61
95XX,36916,111,17,2452,176,177,1822,6085,1257,1897,1326,1665,525,2229,2263,4599,3243,5186,1886,0.30,0.05,6.64,0.48,0.48,4.94,16.48,3.41,5.14,3.59,4.51,1.42,6.04,6.13,12.46,8.78,14.05,5.11
95YY,21676,1239,145,2039,124,125,2676,3530,684,985,314,458,176,884,602,1287,2256,3278,874,5.72,0.67,9.41,0.57,0.58,12.35,16.29,3.16,4.54,1.45,2.11,0.81,4.08,2.78,5.94,10.41,15.12,4.03
95ZZ,15000,926,64,1359,66,76,1820,2690,473,661,273,453,117,478,474,1022,1458,1898,692,6.17,0.43,9.06,0.44,0.51,12.13,17.93,3.15,4.41,1.82,3.02,0.78,3.19,3.16,6.81,9.72,12.65,4.61
