GeographyCode,KS209NI0001,KS209NI0002,KS209NI0003,KS209NI0004,KS209NI0005,KS209NI0006,KS209NI0007,KS209NI0008,KS209NI0009,KS209NI0010,KS209NI0011,KS209NI0012,KS209NI0013,KS209NI0014,KS209NI0015
N92000002,1735711,70501,24677,7414,64847,17459,184898,1550813,4.06,1.42,0.43,3.74,1.01,10.65,89.35
BHSCT,334560,14158,5607,1474,15326,3764,40329,294231,4.23,1.68,0.44,4.58,1.13,12.05,87.95
NHSCT,444578,14493,4974,1429,11713,3214,35823,408755,3.26,1.12,0.32,2.63,0.72,8.06,91.94
SEHSCT,333088,8713,2864,820,7031,1960,21388,311700,2.62,0.86,0.25,2.11,0.59,6.42,93.58
SHSCT,341383,18297,6143,2159,17407,4619,48625,292758,5.36,1.80,0.63,5.10,1.35,14.24,85.76
WHSCT,282102,14840,5089,1532,13370,3902,38733,243369,5.26,1.80,0.54,4.74,1.38,13.73,86.27
BELB,269804,12777,5198,1345,14141,3376,36837,232967,4.74,1.93,0.50,5.24,1.25,13.65,86.35
NEELB,409258,12457,4208,1236,10036,2754,30691,378567,3.04,1.03,0.30,2.45,0.67,7.50,92.50
SEELB,397844,10094,3273,949,8216,2348,24880,372964,2.54,0.82,0.24,2.07,0.59,6.25,93.75
SELB,376703,20333,6909,2352,19084,5079,53757,322946,5.40,1.83,0.62,5.07,1.35,14.27,85.73
WELB,282102,14840,5089,1532,13370,3902,38733,243369,5.26,1.80,0.54,4.74,1.38,13.73,86.27
UKN01,269804,12777,5198,1345,14141,3376,36837,232967,4.74,1.93,0.50,5.24,1.25,13.65,86.35
UKN02,374966,8137,2712,778,6987,1933,20547,354419,2.17,0.72,0.21,1.86,0.52,5.48,94.52
UKN03,420580,12529,3921,1327,9934,2776,30487,390093,2.98,0.93,0.32,2.36,0.66,7.25,92.75
UKN04,277050,11861,4252,1243,11186,3088,31630,245420,4.28,1.53,0.45,4.04,1.11,11.42,88.58
UKN05,393311,25197,8594,2721,22599,6286,65397,327914,6.41,2.19,0.69,5.75,1.60,16.63,83.37
95AA,51042,1737,598,181,1404,363,4283,46759,3.40,1.17,0.35,2.75,0.71,8.39,91.61
95BB,75313,1097,241,87,676,227,2328,72985,1.46,0.32,0.12,0.90,0.30,3.09,96.91
95CC,56792,2969,913,318,2738,778,7716,49076,5.23,1.61,0.56,4.82,1.37,13.59,86.41
95DD,61601,1505,431,142,900,283,3261,58340,2.44,0.70,0.23,1.46,0.46,5.29,94.71
95EE,29937,951,351,87,710,227,2326,27611,3.18,1.17,0.29,2.37,0.76,7.77,92.23
95FF,46112,1239,348,141,1005,294,3027,43085,2.69,0.75,0.31,2.18,0.64,6.56,93.44
95GG,269804,12777,5198,1345,14141,3376,36837,232967,4.74,1.93,0.50,5.24,1.25,13.65,86.35
95HH,37739,378,94,32,253,84,841,36898,1.00,0.25,0.08,0.67,0.22,2.23,97.77
95II,64756,1381,409,129,1185,388,3492,61264,2.13,0.63,0.20,1.83,0.60,5.39,94.61
95JJ,56990,1450,501,153,1197,356,3657,53333,2.54,0.88,0.27,2.10,0.62,6.42,93.58
95KK,35320,2036,766,193,1677,460,5132,30188,5.76,2.17,0.55,4.75,1.30,14.53,85.47
95LL,88565,3378,1156,410,3268,804,9016,79549,3.81,1.31,0.46,3.69,0.91,10.18,89.82
95MM,103341,5152,1913,582,5547,1411,14605,88736,4.99,1.85,0.56,5.37,1.37,14.13,85.87
95NN,66882,2921,980,323,2307,676,7207,59675,4.37,1.47,0.48,3.45,1.01,10.78,89.22
95OO,55075,3629,1330,472,3696,923,10050,45025,6.59,2.41,0.86,6.71,1.68,18.25,81.75
95PP,59282,3049,1011,322,2498,886,7766,51516,5.14,1.71,0.54,4.21,1.49,13.10,86.90
95QQ,31065,652,167,43,374,129,1365,29700,2.10,0.54,0.14,1.20,0.42,4.39,95.61
95RR,32150,1352,441,150,996,331,3270,28880,4.21,1.37,0.47,3.10,1.03,10.17,89.83
95SS,114825,3538,1394,307,3380,792,9411,105414,3.08,1.21,0.27,2.94,0.69,8.20,91.80
95TT,42883,3087,1127,308,2739,663,7924,34959,7.20,2.63,0.72,6.39,1.55,18.48,81.52
95UU,16423,1014,373,83,958,245,2673,13750,6.17,2.27,0.51,5.83,1.49,16.28,83.72
95VV,94839,7082,2396,818,6700,1820,18816,76023,7.47,2.53,0.86,7.06,1.92,19.84,80.16
95WW,81578,1683,566,207,1501,404,4361,77217,2.06,0.69,0.25,1.84,0.50,5.35,94.65
95XX,76068,1157,249,103,668,265,2442,73626,1.52,0.33,0.14,0.88,0.35,3.21,96.79
95YY,49120,3345,1051,290,2551,756,7993,41127,6.81,2.14,0.59,5.19,1.54,16.27,83.73
95ZZ,38209,1942,673,188,1778,518,5099,33110,5.08,1.76,0.49,4.65,1.36,13.35,86.65
