GeographyCode,KS405NI0001,KS405NI0002,KS405NI0003,KS405NI0004,KS405NI0005,KS405NI0006,KS405NI0007,KS405NI0008,KS405NI0009,KS405NI0010,KS405NI0011,KS405NI0012
N92000002,703275,159659,291016,190196,44227,18177,884589,22.70,41.38,27.04,6.29,2.58
BHSCT,148328,53341,61963,27057,4644,1323,135816,35.96,41.77,18.24,3.13,0.89
NHSCT,177914,33276,73877,52554,12725,5482,241488,18.70,41.52,29.54,7.15,3.08
SEHSCT,136698,24173,56979,42292,9704,3550,186402,17.68,41.68,30.94,7.10,2.60
SHSCT,131129,23463,53579,39607,9846,4634,182931,17.89,40.86,30.20,7.51,3.53
WHSCT,109206,25406,44618,28686,7308,3188,137952,23.26,40.86,26.27,6.69,2.92
BELB,120595,48321,49528,18707,3140,899,100281,40.07,41.07,15.51,2.60,0.75
NEELB,165010,31316,68853,48498,11538,4805,221775,18.98,41.73,29.39,6.99,2.91
SEELB,164431,29193,69414,50642,11208,3974,221937,17.75,42.21,30.80,6.82,2.42
SELB,144033,25423,58603,43663,11033,5311,202644,17.65,40.69,30.31,7.66,3.69
WELB,109206,25406,44618,28686,7308,3188,137952,23.26,40.86,26.27,6.69,2.92
UKN01,120595,48321,49528,18707,3140,899,100281,40.07,41.07,15.51,2.60,0.75
UKN02,156882,29952,67854,46624,9430,3022,202725,19.09,43.25,29.72,6.01,1.93
UKN03,170132,30921,69934,51506,12679,5092,233487,18.17,41.11,30.27,7.45,2.99
UKN04,109318,26581,45925,27507,6626,2679,132715,24.32,42.01,25.16,6.06,2.45
UKN05,146348,23884,57775,45852,12352,6485,215381,16.32,39.48,31.33,8.44,4.43
95AA,20064,3616,8288,6074,1450,636,27634,18.02,41.31,30.27,7.23,3.17
95BB,31514,5233,12903,10035,2457,886,44284,16.61,40.94,31.84,7.80,2.81
95CC,21594,3210,8497,7059,1900,928,32485,14.87,39.35,32.69,8.80,4.30
95DD,24817,4284,10037,7609,2011,876,35160,17.26,40.44,30.66,8.10,3.53
95EE,11508,1778,4731,3649,911,439,16720,15.45,41.11,31.71,7.92,3.81
95FF,18303,2596,7138,6349,1570,650,27404,14.18,39.00,34.69,8.58,3.55
95GG,120595,48321,49528,18707,3140,899,100281,40.07,41.07,15.51,2.60,0.75
95HH,16200,3432,6989,4507,979,293,20212,21.19,43.14,27.82,6.04,1.81
95II,27733,5020,12435,8350,1504,424,35535,18.10,44.84,30.11,5.42,1.53
95JJ,23508,4986,10032,6454,1499,537,29864,21.21,42.67,27.45,6.38,2.28
95KK,12904,1960,5024,4056,1187,677,19713,15.19,38.93,31.43,9.20,5.25
95LL,35931,7946,15489,9633,2119,744,44379,22.11,43.11,26.81,5.90,2.07
95MM,40779,12839,17083,8367,1853,637,42190,31.48,41.89,20.52,4.54,1.56
95NN,26206,4373,10485,8233,2166,949,37610,16.69,40.01,31.42,8.27,3.62
95OO,20270,3245,8139,6273,1671,942,29905,16.01,40.15,30.95,8.24,4.65
95PP,23069,3702,9098,7403,1959,907,33774,16.05,39.44,32.09,8.49,3.93
95QQ,13297,2873,5594,3573,906,351,17016,21.61,42.07,26.87,6.81,2.64
95RR,12098,2359,5013,3503,870,353,16182,19.50,41.44,28.96,7.19,2.92
95SS,45723,8752,19170,13646,3025,1130,60605,19.14,41.93,29.84,6.62,2.47
95TT,15037,2152,5511,5055,1458,861,23845,14.31,36.65,33.62,9.70,5.73
95UU,6608,1262,2832,1834,458,222,8854,19.10,42.86,27.75,6.93,3.36
95VV,35031,6466,14316,10293,2586,1370,48758,18.46,40.87,29.38,7.38,3.91
95WW,33971,6933,14839,9743,1866,590,42470,20.41,43.68,28.68,5.49,1.74
95XX,33255,5815,14421,10378,2056,585,43903,17.49,43.36,31.21,6.18,1.76
95YY,18443,3149,7190,5713,1591,800,26901,17.07,38.98,30.98,8.63,4.34
95ZZ,14817,3357,6234,3700,1035,491,18905,22.66,42.07,24.97,6.99,3.31
