GeographyCode,KS608NI0001,KS608NI0002,KS608NI0003,KS608NI0004,KS608NI0005,KS608NI0006,KS608NI0007,KS608NI0008,KS608NI0009,KS608NI0010,KS608NI0011,KS608NI0012,KS608NI0013,KS608NI0014,KS608NI0015,KS608NI0016,KS608NI0017,KS608NI0018,KS608NI0019
N92000002,795263,63900,136406,68703,111841,111502,73837,79911,63288,85875,8.04,17.15,8.64,14.06,14.02,9.28,10.05,7.96,10.80
BHSCT,150870,10864,32110,15133,23105,12264,13321,17456,7714,18903,7.20,21.28,10.03,15.31,8.13,8.83,11.57,5.11,12.53
NHSCT,210147,17056,32862,17290,29290,33301,19124,20176,18063,22985,8.12,15.64,8.23,13.94,15.85,9.10,9.60,8.60,10.94
SEHSCT,158531,14908,27449,15592,26389,19532,15346,15223,9664,14428,9.40,17.31,9.84,16.65,12.32,9.68,9.60,6.10,9.10
SHSCT,157636,12504,25110,11782,18801,26714,14451,14198,17279,16797,7.93,15.93,7.47,11.93,16.95,9.17,9.01,10.96,10.66
WHSCT,118079,8568,18875,8906,14256,19691,11595,12858,10568,12762,7.26,15.99,7.54,12.07,16.68,9.82,10.89,8.95,10.81
BELB,118754,8186,24807,11796,17559,9290,10539,14564,6120,15893,6.89,20.89,9.93,14.79,7.82,8.87,12.26,5.15,13.38
NEELB,194151,15870,30601,16321,27596,29751,17721,18720,16333,21238,8.17,15.76,8.41,14.21,15.32,9.13,9.64,8.41,10.94
SEELB,190647,17586,34752,18929,31935,22506,18128,18115,11258,17438,9.22,18.23,9.93,16.75,11.81,9.51,9.50,5.91,9.15
SELB,173632,13690,27371,12751,20495,30264,15854,15654,19009,18544,7.88,15.76,7.34,11.80,17.43,9.13,9.02,10.95,10.68
WELB,118079,8568,18875,8906,14256,19691,11595,12858,10568,12762,7.26,15.99,7.54,12.07,16.68,9.82,10.89,8.95,10.81
UKN01,118754,8186,24807,11796,17559,9290,10539,14564,6120,15893,6.89,20.89,9.93,14.79,7.82,8.87,12.26,5.15,13.38
UKN02,182067,16549,33455,19035,31021,18602,16274,18809,11093,17229,9.09,18.38,10.45,17.04,10.22,8.94,10.33,6.09,9.46
