GeographyCode,KS609NI0001,KS609NI0002,KS609NI0003,KS609NI0004,KS609NI0005,KS609NI0006,KS609NI0007,KS609NI0008,KS609NI0009,KS609NI0010,KS609NI0011,KS609NI0012,KS609NI0013,KS609NI0014,KS609NI0015,KS609NI0016,KS609NI0017,KS609NI0018,KS609NI0019
N92000002,412130,40275,58086,40086,32158,99979,10998,28082,55534,46932,9.77,14.09,9.73,7.80,24.26,2.67,6.81,13.47,11.39
BHSCT,75152,6684,15435,8438,7559,10691,2567,6602,7024,10152,8.89,20.54,11.23,10.06,14.23,3.42,8.78,9.35,13.51
NHSCT,109901,10755,13589,10191,7711,30010,2483,6579,15890,12693,9.79,12.36,9.27,7.02,27.31,2.26,5.99,14.46,11.55
SEHSCT,81236,9548,11886,9305,8538,17625,2245,5377,8723,7989,11.75,14.63,11.45,10.51,21.70,2.76,6.62,10.74,9.83
SHSCT,83677,8007,9762,6854,4664,24013,1849,4950,14407,9171,9.57,11.67,8.19,5.57,28.70,2.21,5.92,17.22,10.96
WHSCT,62164,5281,7414,5298,3686,17640,1854,4574,9490,6927,8.50,11.93,8.52,5.93,28.38,2.98,7.36,15.27,11.14
BELB,59097,4985,12171,6494,5781,8029,2117,5479,5552,8489,8.44,20.59,10.99,9.78,13.59,3.58,9.27,9.39,14.36
NEELB,101241,9997,12784,9647,7388,26801,2333,6145,14392,11754,9.87,12.63,9.53,7.30,26.47,2.30,6.07,14.22,11.61
SEELB,97291,11247,15150,11249,10316,20287,2695,6500,10195,9652,11.56,15.57,11.56,10.60,20.85,2.77,6.68,10.48,9.92
SELB,92337,8765,10567,7398,4987,27222,1999,5384,15905,10110,9.49,11.44,8.01,5.40,29.48,2.16,5.83,17.22,10.95
WELB,62164,5281,7414,5298,3686,17640,1854,4574,9490,6927,8.50,11.93,8.52,5.93,28.38,2.98,7.36,15.27,11.14
UKN01,59097,4985,12171,6494,5781,8029,2117,5479,5552,8489,8.44,20.59,10.99,9.78,13.59,3.58,9.27,9.39,14.36
UKN02,92493,10540,15051,11348,9848,16716,2392,6817,10090,9691,11.40,16.27,12.27,10.65,18.07,2.59,7.37,10.91,10.48
UKN03,104503,10739,12665,9876,8236,27112,2585,6047,15573,11670,10.28,12.12,9.45,7.88,25.94,2.47,5.79,14.90,11.17
UKN04,59898,5347,7580,5418,3943,15751,1777,4465,8708,6909,8.93,12.65,9.05,6.58,26.30,2.97,7.45,14.54,11.53
UKN05,96139,8664,10619,6950,4350,32371,2127,5274,15611,10173,9.01,11.05,7.23,4.52,33.67,2.21,5.49,16.24,10.58
95AA,13322,1400,1679,1367,1062,3240,360,747,1821,1646,10.51,12.60,10.26,7.97,24.32,2.70,5.61,13.67,12.36
95BB,18220,2015,2080,1830,1965,4688,485,1084,2118,1955,11.06,11.42,10.04,10.78,25.73,2.66,5.95,11.62,10.73
95CC,14128,1409,1538,1052,816,4241,356,828,2390,1498,9.97,10.89,7.45,5.78,30.02,2.52,5.86,16.92,10.60
95DD,15788,1584,1903,1350,885,4404,314,937,2712,1699,10.03,12.05,8.55,5.61,27.89,1.99,5.93,17.18,10.76
95EE,7171,639,709,554,378,2473,149,357,1168,744,8.91,9.89,7.73,5.27,34.49,2.08,4.98,16.29,10.38
95FF,11945,1266,1525,1157,938,3265,235,673,1716,1170,10.60,12.77,9.69,7.85,27.33,1.97,5.63,14.37,9.79
95GG,59097,4985,12171,6494,5781,8029,2117,5479,5552,8489,8.44,20.59,10.99,9.78,13.59,3.58,9.27,9.39,14.36
95HH,9189,957,1246,1108,922,1867,212,603,1231,1043,10.41,13.56,12.06,10.03,20.32,2.31,6.56,13.40,11.35
95II,16055,1699,3264,1944,1778,2662,450,1123,1472,1663,10.58,20.33,12.11,11.07,16.58,2.80,6.99,9.17,10.36
95JJ,13122,1354,1863,1202,1033,3147,363,968,1602,1590,10.32,14.20,9.16,7.87,23.98,2.77,7.38,12.21,12.12
95KK,8660,758,805,544,323,3209,150,434,1498,939,8.75,9.30,6.28,3.73,37.06,1.73,5.01,17.30,10.84
95LL,21615,2020,2498,1970,1475,4705,511,1415,4261,2760,9.35,11.56,9.11,6.82,21.77,2.36,6.55,19.71,12.77
95MM,20649,1874,3141,2160,1360,3880,750,2147,2995,2342,9.08,15.21,10.46,6.59,18.79,3.63,10.40,14.50,11.34
95NN,15918,1727,2214,1446,1326,4687,517,804,1689,1508,10.85,13.91,9.08,8.33,29.44,3.25,5.05,10.61,9.47
95OO,13955,1220,1523,982,475,4706,306,564,2774,1405,8.74,10.91,7.04,3.40,33.72,2.19,4.04,19.88,10.07
95PP,14749,1311,1415,1040,764,4782,377,1020,2351,1689,8.89,9.59,7.05,5.18,32.42,2.56,6.92,15.94,11.45
95QQ,7695,727,766,756,585,2123,163,387,1256,932,9.45,9.95,9.82,7.60,27.59,2.12,5.03,16.32,12.11
95RR,7010,564,671,591,567,2180,208,329,1106,794,8.05,9.57,8.43,8.09,31.10,2.97,4.69,15.78,11.33
95SS,28211,3350,4418,3325,2709,5403,716,2068,3334,2888,11.87,15.66,11.79,9.60,19.15,2.54,7.33,11.82,10.24
95TT,11010,935,1255,759,463,4232,179,369,1647,1171,8.49,11.40,6.89,4.21,38.44,1.63,3.35,14.96,10.64
95UU,3793,323,414,284,159,1378,106,175,484,470,8.52,10.91,7.49,4.19,36.33,2.79,4.61,12.76,12.39
95VV,22034,2092,2678,1693,960,7096,441,1470,3266,2338,9.49,12.15,7.68,4.36,32.20,2.00,6.67,14.82,10.61
95WW,20151,2078,2949,2267,1901,3937,487,1602,2471,2459,10.31,14.63,11.25,9.43,19.54,2.42,7.95,12.26,12.20
95XX,18887,2456,3174,2704,2538,2847,527,1421,1582,1638,13.00,16.81,14.32,13.44,15.07,2.79,7.52,8.38,8.67
95YY,11603,939,1405,880,549,4105,318,589,1685,1133,8.09,12.11,7.58,4.73,35.38,2.74,5.08,14.52,9.76
95ZZ,8153,593,782,627,446,2693,201,489,1353,969,7.27,9.59,7.69,5.47,33.03,2.47,6.00,16.60,11.89
