GeographyCode,KS101NI0001,KS101NI0002,KS101NI0003,KS101NI0004,KS101NI0005,KS101NI0006,KS101NI0007,KS101NI0008,KS101NI0009
N92000002,1810863,887323,923540,1788339,22524,49.00,51.00,98.76,1.24
BHSCT,348204,167364,180840,342643,5561,48.06,51.94,98.40,1.60
NHSCT,463297,227074,236223,457038,6259,49.01,50.99,98.65,1.35
SEHSCT,346911,169123,177788,342197,4714,48.75,51.25,98.64,1.36
SHSCT,358034,177711,180323,355580,2454,49.64,50.36,99.31,0.69
WHSCT,294417,146051,148366,290881,3536,49.61,50.39,98.80,1.20
BELB,280962,135077,145885,276141,4821,48.08,51.92,98.28,1.72
NEELB,426284,208609,217675,420327,5957,48.94,51.06,98.60,1.40
SEELB,414153,201410,212743,408699,5454,48.63,51.37,98.68,1.32
SELB,395047,196176,198871,392291,2756,49.66,50.34,99.30,0.70
WELB,294417,146051,148366,290881,3536,49.61,50.39,98.80,1.20
UKN01,280962,135077,145885,276141,4821,48.08,51.92,98.28,1.72
UKN02,390597,188838,201759,384428,6169,48.35,51.65,98.42,1.58
UKN03,438823,215591,223232,434612,4211,49.13,50.87,99.04,0.96
UKN04,288597,142146,146451,284667,3930,49.25,50.75,98.64,1.36
UKN05,411884,205671,206213,408491,3393,49.93,50.07,99.18,0.82
95AA,53428,26310,27118,52540,888,49.24,50.76,98.34,1.66
95BB,78078,38086,39992,77483,595,48.78,51.22,99.24,0.76
95CC,59340,29509,29831,58638,702,49.73,50.27,98.82,1.18
95DD,64044,31398,32646,63403,641,49.03,50.97,99.00,1.00
95EE,31224,15442,15782,31054,170,49.46,50.54,99.46,0.54
95FF,48339,23976,24363,48045,294,49.60,50.40,99.39,0.61
95GG,280962,135077,145885,276141,4821,48.08,51.92,98.28,1.72
95HH,39114,18851,20263,38785,329,48.20,51.80,99.16,0.84
95II,67242,32287,34955,66502,740,48.02,51.98,98.90,1.10
95JJ,59067,28742,30325,57761,1306,48.66,51.34,97.79,2.21
95KK,37013,18465,18548,36711,302,49.89,50.11,99.18,0.82
95LL,93023,45776,47247,92513,510,49.21,50.79,99.45,0.55
95MM,107877,52648,55229,106500,1377,48.80,51.20,98.72,1.28
95NN,69731,34385,35346,68714,1017,49.31,50.69,98.54,1.46
95OO,57852,28969,28883,57462,390,50.07,49.93,99.33,0.67
95PP,61805,30977,30828,61064,741,50.12,49.88,98.80,1.20
95QQ,32180,15660,16520,31914,266,48.66,51.34,99.17,0.83
95RR,33536,16927,16609,32850,686,50.47,49.53,97.95,2.05
95SS,120165,58658,61507,118525,1640,48.81,51.19,98.64,1.36
95TT,45038,22598,22440,44822,216,50.18,49.82,99.52,0.48
95UU,17050,8560,8490,16907,143,50.21,49.79,99.16,0.84
95VV,99480,49481,49999,98922,558,49.74,50.26,99.44,0.56
95WW,85139,41048,44091,83141,1998,48.21,51.79,97.65,2.35
95XX,78937,37994,40943,77475,1462,48.13,51.87,98.15,1.85
95YY,51356,25672,25684,50872,484,49.99,50.01,99.06,0.94
95ZZ,39843,19827,20016,39595,248,49.76,50.24,99.38,0.62
