GeographyCode,KS701NI0001,KS701NI0002,KS701NI0003,KS701NI0004,KS701NI0005,KS701NI0006,KS701NI0007,KS701NI0008,KS701NI0009,KS701NI0010,KS701NI0011,KS701NI0012,KS701NI0013,KS701NI0014,KS701NI0015,KS701NI0016,KS701NI0017,KS701NI0018,KS701NI0019,KS701NI0020,KS701NI0021,KS701NI0022,KS701NI0023,KS701NI0024,KS701NI0025,KS701NI0026,KS701NI0027,KS701NI0028,KS701NI0029
N92000002,738659,76226,9643,35266,2913,426204,36330,72590,9995,6252,57190,6050,674565,32501,62192,12351,10.32,1.31,4.77,0.39,57.70,4.92,9.83,1.35,0.85,7.74,0.82,4.82,19.86
BHSCT,136868,10187,1131,17308,777,64603,6033,11247,3297,2677,18874,734,112630,11707,24084,6713,7.44,0.83,12.65,0.57,47.20,4.41,8.22,2.41,1.96,13.79,0.54,10.39,27.87
NHSCT,196028,20612,3015,6204,821,118241,10238,19843,1818,1178,12328,1730,183328,7227,12311,1984,10.51,1.54,3.16,0.42,60.32,5.22,10.12,0.93,0.60,6.29,0.88,3.94,16.12
SEHSCT,148877,14657,3423,5700,695,89841,6686,14536,1570,1030,9500,1239,139010,7292,8759,1816,9.85,2.30,3.83,0.47,60.35,4.49,9.76,1.05,0.69,6.38,0.83,5.25,20.73
SHSCT,147189,17109,1769,3266,426,89177,7843,15334,1409,844,8572,1440,138319,4027,8806,1005,11.62,1.20,2.22,0.29,60.59,5.33,10.42,0.96,0.57,5.82,0.98,2.91,11.41
WHSCT,109697,13661,305,2788,194,64342,5530,11630,1901,523,7916,907,101278,2248,8232,833,12.45,0.28,2.54,0.18,58.65,5.04,10.60,1.73,0.48,7.22,0.83,2.22,10.12
BELB,106735,7916,1062,14394,577,46418,4796,8416,3055,2282,17249,570,84290,9287,22318,6156,7.42,0.99,13.49,0.54,43.49,4.49,7.88,2.86,2.14,16.16,0.53,11.02,27.58
NEELB,181166,18505,2991,6069,805,109140,9543,18230,1783,1115,11421,1564,169200,7099,11579,1953,10.21,1.65,3.35,0.44,60.24,5.27,10.06,0.98,0.62,6.30,0.86,4.20,16.87
SEELB,179010,16928,3492,8614,895,108026,7923,17367,1812,1425,11125,1403,167350,9712,10525,2373,9.46,1.95,4.81,0.50,60.35,4.43,9.70,1.01,0.80,6.21,0.78,5.80,22.55
SELB,162051,19216,1793,3401,442,98278,8538,16947,1444,907,9479,1606,152447,4155,9538,1036,11.86,1.11,2.10,0.27,60.65,5.27,10.46,0.89,0.56,5.85,0.99,2.73,10.86
WELB,109697,13661,305,2788,194,64342,5530,11630,1901,523,7916,907,101278,2248,8232,833,12.45,0.28,2.54,0.18,58.65,5.04,10.60,1.73,0.48,7.22,0.83,2.22,10.12
UKN01,106735,7916,1062,14394,577,46418,4796,8416,3055,2282,17249,570,84290,9287,22318,6156,7.42,0.99,13.49,0.54,43.49,4.49,7.88,2.86,2.14,16.16,0.53,11.02,27.58
