GeographyCode,KS402NI0001,KS402NI0002,KS402NI0003,KS402NI0004,KS402NI0005,KS402NI0006,KS402NI0007,KS402NI0008,KS402NI0009,KS402NI0010,KS402NI0011,KS402NI0012,KS402NI0013,KS402NI0014,KS402NI0015,KS402NI0016,KS402NI0017
N92000002,703275,225845,244662,4244,80890,23995,95215,10801,17623,32.11,34.79,0.60,11.50,3.41,13.54,1.54,2.51
BHSCT,148328,37260,45736,919,24102,10598,23999,2069,3645,25.12,30.83,0.62,16.25,7.14,16.18,1.39,2.46
NHSCT,177914,62159,64342,1119,18203,2971,21957,2708,4455,34.94,36.16,0.63,10.23,1.67,12.34,1.52,2.50
SEHSCT,136698,45534,53176,1116,13729,3915,14104,2180,2944,33.31,38.90,0.82,10.04,2.86,10.32,1.59,2.15
SHSCT,131129,44798,46577,626,11504,2714,19348,2056,3506,34.16,35.52,0.48,8.77,2.07,14.75,1.57,2.67
WHSCT,109206,36094,34831,464,13352,3797,15807,1788,3073,33.05,31.89,0.42,12.23,3.48,14.47,1.64,2.81
BELB,120595,27904,34397,718,20794,10024,21854,1778,3126,23.14,28.52,0.60,17.24,8.31,18.12,1.47,2.59
NEELB,165010,57078,60017,1049,17273,2849,20132,2501,4111,34.59,36.37,0.64,10.47,1.73,12.20,1.52,2.49
SEELB,164431,54890,64515,1317,17037,4489,16249,2471,3463,33.38,39.24,0.80,10.36,2.73,9.88,1.50,2.11
SELB,144033,49879,50902,696,12434,2836,21173,2263,3850,34.63,35.34,0.48,8.63,1.97,14.70,1.57,2.67
WELB,109206,36094,34831,464,13352,3797,15807,1788,3073,33.05,31.89,0.42,12.23,3.48,14.47,1.64,2.81
UKN01,120595,27904,34397,718,20794,10024,21854,1778,3126,23.14,28.52,0.60,17.24,8.31,18.12,1.47,2.59
UKN02,156882,50083,64265,1364,17040,4512,14561,2070,2987,31.92,40.96,0.87,10.86,2.88,9.28,1.32,1.90
UKN03,170132,57394,62897,1049,16551,3221,22026,2695,4299,33.73,36.97,0.62,9.73,1.89,12.95,1.58,2.53
UKN04,109318,34217,35043,588,14888,3840,16022,1786,2934,31.30,32.06,0.54,13.62,3.51,14.66,1.63,2.68
UKN05,146348,56247,48060,525,11617,2398,20752,2472,4277,38.43,32.84,0.36,7.94,1.64,14.18,1.69,2.92
95AA,20064,6211,8032,129,2147,238,2288,529,490,30.96,40.03,0.64,10.70,1.19,11.40,2.64,2.44
95BB,31514,10957,12107,239,3436,658,3006,370,741,34.77,38.42,0.76,10.90,2.09,9.54,1.17,2.35
95CC,21594,8380,7487,61,1718,311,2692,337,608,38.81,34.67,0.28,7.96,1.44,12.47,1.56,2.82
95DD,24817,9550,8172,122,2376,402,3155,334,706,38.48,32.93,0.49,9.57,1.62,12.71,1.35,2.84
95EE,11508,4087,3967,66,1329,108,1449,172,330,35.51,34.47,0.57,11.55,0.94,12.59,1.49,2.87
95FF,18303,6216,7250,79,1524,282,2153,239,560,33.96,39.61,0.43,8.33,1.54,11.76,1.31,3.06
95GG,120595,27904,34397,718,20794,10024,21854,1778,3126,23.14,28.52,0.60,17.24,8.31,18.12,1.47,2.59
95HH,16200,4804,6824,119,1758,456,1736,187,316,29.65,42.12,0.73,10.85,2.81,10.72,1.15,1.95
95II,27733,9356,11339,201,3308,574,2145,291,519,33.74,40.89,0.72,11.93,2.07,7.73,1.05,1.87
95JJ,23508,8477,6949,159,2769,466,3622,405,661,36.06,29.56,0.68,11.78,1.98,15.41,1.72,2.81
95KK,12904,5081,4325,70,930,122,1825,207,344,39.38,33.52,0.54,7.21,0.95,14.14,1.60,2.67
95LL,35931,10523,13134,272,3750,960,5977,491,824,29.29,36.55,0.76,10.44,2.67,16.63,1.37,2.29
95MM,40779,9840,13534,226,6766,2505,6346,634,928,24.13,33.19,0.55,16.59,6.14,15.56,1.55,2.28
95NN,26206,9166,9409,131,2134,441,3709,543,673,34.98,35.90,0.50,8.14,1.68,14.15,2.07,2.57
95OO,20270,7460,6489,79,1662,421,3184,376,599,36.80,32.01,0.39,8.20,2.08,15.71,1.85,2.96
95PP,23069,9847,6866,69,1752,418,2986,375,756,42.68,29.76,0.30,7.59,1.81,12.94,1.63,3.28
95QQ,13297,4771,4793,77,1184,240,1738,189,305,35.88,36.05,0.58,8.90,1.80,13.07,1.42,2.29
95RR,12098,4025,4305,62,1308,249,1641,212,296,33.27,35.58,0.51,10.81,2.06,13.56,1.75,2.45
95SS,45723,13718,18604,364,5764,1935,3641,704,993,30.00,40.69,0.80,12.61,4.23,7.96,1.54,2.17
95TT,15037,5987,5064,55,1133,145,1938,233,482,39.82,33.68,0.37,7.53,0.96,12.89,1.55,3.21
95UU,6608,2679,1774,24,762,128,915,127,199,40.54,26.85,0.36,11.53,1.94,13.85,1.92,3.01
95VV,35031,12219,12217,135,2850,740,5342,613,915,34.88,34.87,0.39,8.14,2.11,15.25,1.75,2.61
95WW,33971,10512,14442,298,3815,666,3291,325,622,30.94,42.51,0.88,11.23,1.96,9.69,0.96,1.83
95XX,33255,11693,13056,382,2395,881,3748,563,537,35.16,39.26,1.15,7.20,2.65,11.27,1.69,1.61
95YY,18443,7273,5612,56,1572,241,2785,331,573,39.44,30.43,0.30,8.52,1.31,15.10,1.79,3.11
95ZZ,14817,5109,4514,51,1954,384,2049,236,520,34.48,30.47,0.34,13.19,2.59,13.83,1.59,3.51
