GeographyCode,KS208NI0001,KS208NI0002,KS208NI0003,KS208NI0004,KS208NI0005,KS208NI0006,KS208NI0007,KS208NI0008,KS208NI0009
N92000002,703275,678135,8618,1546,14976,96.43,1.23,0.22,2.13
BHSCT,148328,141054,2841,474,3959,95.10,1.92,0.32,2.67
NHSCT,177914,172953,1697,289,2975,97.21,0.95,0.16,1.67
SEHSCT,136698,133749,1324,189,1436,97.84,0.97,0.14,1.05
SHSCT,131129,123977,1767,451,4934,94.55,1.35,0.34,3.76
WHSCT,109206,106402,989,143,1672,97.43,0.91,0.13,1.53
BELB,120595,114111,2447,399,3638,94.62,2.03,0.33,3.02
NEELB,165010,160548,1583,259,2620,97.30,0.96,0.16,1.59
SEELB,164431,160692,1718,264,1757,97.73,1.04,0.16,1.07
SELB,144033,136382,1881,481,5289,94.69,1.31,0.33,3.67
WELB,109206,106402,989,143,1672,97.43,0.91,0.13,1.53
UKN01,120595,114111,2447,399,3638,94.62,2.03,0.33,3.02
UKN02,156882,153100,1721,291,1770,97.59,1.10,0.19,1.13
UKN03,170132,164604,1649,342,3537,96.75,0.97,0.20,2.08
UKN04,109318,106890,987,136,1305,97.78,0.90,0.12,1.19
UKN05,146348,139430,1814,378,4726,95.27,1.24,0.26,3.23
95AA,20064,19296,213,42,513,96.17,1.06,0.21,2.56
95BB,31514,31005,239,35,235,98.38,0.76,0.11,0.75
95CC,21594,20664,262,53,615,95.69,1.21,0.25,2.85
95DD,24817,23943,220,39,615,96.48,0.89,0.16,2.48
95EE,11508,11314,81,6,107,98.31,0.70,0.05,0.93
95FF,18303,17935,155,24,189,97.99,0.85,0.13,1.03
95GG,120595,114111,2447,399,3638,94.62,2.03,0.33,3.02
95HH,16200,15902,128,22,148,98.16,0.79,0.14,0.91
95II,27733,26943,394,75,321,97.15,1.42,0.27,1.16
95JJ,23508,22773,261,42,432,96.87,1.11,0.18,1.84
95KK,12904,12405,114,30,355,96.13,0.88,0.23,2.75
95LL,35931,33623,509,165,1634,93.58,1.42,0.46,4.55
95MM,40779,39802,428,61,488,97.60,1.05,0.15,1.20
95NN,26206,25656,243,30,277,97.90,0.93,0.11,1.06
95OO,20270,18370,334,130,1436,90.63,1.65,0.64,7.08
95PP,23069,22317,227,37,488,96.74,0.98,0.16,2.12
95QQ,13297,13146,70,7,74,98.86,0.53,0.05,0.56
95RR,12098,11942,52,14,90,98.71,0.43,0.12,0.74
95SS,45723,44532,514,71,606,97.40,1.12,0.16,1.33
95TT,15037,14517,196,25,299,96.54,1.30,0.17,1.99
95UU,6608,6490,57,6,55,98.21,0.86,0.09,0.83
95VV,35031,33385,507,79,1060,95.30,1.45,0.23,3.03
95WW,33971,33167,357,70,377,97.63,1.05,0.21,1.11
95XX,33255,32556,328,53,318,97.90,0.99,0.16,0.96
95YY,18443,17772,174,24,473,96.36,0.94,0.13,2.56
95ZZ,14817,14569,108,7,133,98.33,0.73,0.05,0.90
