GeographyCode,KS204NI0001,KS204NI0002,KS204NI0003,KS204NI0004,KS204NI0005,KS204NI0006,KS204NI0007,KS204NI0008,KS204NI0009,KS204NI0010,KS204NI0011,KS204NI0012,KS204NI0013,KS204NI0014,KS204NI0015,KS204NI0016,KS204NI0017
N92000002,1810863,1608853,64717,15455,2552,37833,9703,35704,36046,88.84,3.57,0.85,0.14,2.09,0.54,1.97,1.99
BHSCT,348204,306518,10737,2842,467,6378,2334,6609,12319,88.03,3.08,0.82,0.13,1.83,0.67,1.90,3.54
NHSCT,463297,419808,16096,4375,669,5023,2097,7971,7258,90.61,3.47,0.94,0.14,1.08,0.45,1.72,1.57
SEHSCT,346911,309263,16625,3672,716,4764,1938,3340,6593,89.15,4.79,1.06,0.21,1.37,0.56,0.96,1.90
SHSCT,358034,313382,10975,2084,413,9184,2314,13680,6002,87.53,3.07,0.58,0.12,2.57,0.65,3.82,1.68
WHSCT,294417,259882,10284,2482,287,12484,1020,4104,3874,88.27,3.49,0.84,0.10,4.24,0.35,1.39,1.32
BELB,280962,245839,8674,2233,360,5422,2001,6014,10419,87.50,3.09,0.79,0.13,1.93,0.71,2.14,3.71
NEELB,426284,385964,15170,4177,639,4594,1809,7067,6864,90.54,3.56,0.98,0.15,1.08,0.42,1.66,1.61
SEELB,414153,369942,18688,4281,823,5720,2271,3935,8493,89.32,4.51,1.03,0.20,1.38,0.55,0.95,2.05
SELB,395047,347226,11901,2282,443,9613,2602,14584,6396,87.89,3.01,0.58,0.11,2.43,0.66,3.69,1.62
WELB,294417,259882,10284,2482,287,12484,1020,4104,3874,88.27,3.49,0.84,0.10,4.24,0.35,1.39,1.32
UKN01,280962,245839,8674,2233,360,5422,2001,6014,10419,87.50,3.09,0.79,0.13,1.93,0.71,2.14,3.71
UKN02,390597,349183,16718,4125,750,5026,2241,3634,8920,89.40,4.28,1.06,0.19,1.29,0.57,0.93,2.28
UKN03,438823,394099,16432,3910,682,4986,2559,9209,6946,89.81,3.74,0.89,0.16,1.14,0.58,2.10,1.58
UKN04,288597,258675,10062,2907,374,8682,1056,2893,3948,89.63,3.49,1.01,0.13,3.01,0.37,1.00,1.37
UKN05,411884,361057,12831,2280,386,13717,1846,13954,5813,87.66,3.12,0.55,0.09,3.33,0.45,3.39,1.41
95AA,53428,46523,2773,552,109,626,334,1338,1173,87.08,5.19,1.03,0.20,1.17,0.63,2.50,2.20
95BB,78078,71048,3184,806,154,782,361,606,1137,91.00,4.08,1.03,0.20,1.00,0.46,0.78,1.46
95CC,59340,52579,1739,326,80,1802,181,1904,729,88.61,2.93,0.55,0.13,3.04,0.31,3.21,1.23
95DD,64044,58007,1790,599,71,509,253,1977,838,90.57,2.79,0.94,0.11,0.79,0.40,3.09,1.31
95EE,31224,29012,991,261,43,268,77,355,217,92.92,3.17,0.84,0.14,0.86,0.25,1.14,0.69
95FF,48339,44322,1630,369,72,620,180,526,620,91.69,3.37,0.76,0.15,1.28,0.37,1.09,1.28
95GG,280962,245839,8674,2233,360,5422,2001,6014,10419,87.50,3.09,0.79,0.13,1.93,0.71,2.14,3.71
95HH,39114,35363,1665,519,73,332,214,256,692,90.41,4.26,1.33,0.19,0.85,0.55,0.65,1.77
95II,67242,60679,2063,609,107,956,333,595,1900,90.24,3.07,0.91,0.16,1.42,0.50,0.88,2.83
95JJ,59067,52377,2481,676,107,978,296,1068,1084,88.67,4.20,1.14,0.18,1.66,0.50,1.81,1.84
95KK,37013,33844,926,198,30,429,288,904,394,91.44,2.50,0.53,0.08,1.16,0.78,2.44,1.06
95LL,93023,81682,2773,629,116,1103,1044,3881,1795,87.81,2.98,0.68,0.12,1.19,1.12,4.17,1.93
95MM,107877,95583,3680,963,99,4455,472,812,1813,88.60,3.41,0.89,0.09,4.13,0.44,0.75,1.68
95NN,69731,62894,3065,503,115,1097,240,762,1055,90.20,4.40,0.72,0.16,1.57,0.34,1.09,1.51
95OO,57852,48818,1433,247,41,1313,579,3927,1494,84.38,2.48,0.43,0.07,2.27,1.00,6.79,2.58
95PP,61805,51917,2901,422,57,4116,245,1397,750,84.00,4.69,0.68,0.09,6.66,0.40,2.26,1.21
95QQ,32180,29623,1217,452,45,249,147,119,328,92.05,3.78,1.40,0.14,0.77,0.46,0.37,1.02
95RR,33536,30806,1147,316,53,547,103,210,354,91.86,3.42,0.94,0.16,1.63,0.31,0.63,1.06
95SS,120165,107566,5105,1125,230,1689,729,1366,2355,89.52,4.25,0.94,0.19,1.41,0.61,1.14,1.96
95TT,45038,41784,944,237,29,516,79,1044,405,92.77,2.10,0.53,0.06,1.15,0.18,2.32,0.90
95UU,17050,15455,695,247,39,263,52,99,200,90.65,4.08,1.45,0.23,1.54,0.30,0.58,1.17
95VV,99480,85981,3400,513,104,4346,330,3442,1364,86.43,3.42,0.52,0.10,4.37,0.33,3.46,1.37
95WW,85139,77820,2614,634,123,853,357,811,1927,91.40,3.07,0.74,0.14,1.00,0.42,0.95,2.26
95XX,78937,67755,5271,1238,217,1196,608,606,2046,85.83,6.68,1.57,0.27,1.52,0.77,0.77,2.59
95YY,51356,46134,1488,337,45,1195,144,1336,677,89.83,2.90,0.66,0.09,2.33,0.28,2.60,1.32
95ZZ,39843,35442,1068,444,33,2171,56,349,280,88.95,2.68,1.11,0.08,5.45,0.14,0.88,0.70
