GeographyCode,KS406NI0001,KS406NI0002,KS406NI0003,KS406NI0004,KS406NI0005,KS406NI0006,KS406NI0007,KS406NI0008,KS406NI0009,KS406NI0010,KS406NI0011,KS406NI0012,KS406NI0013
N92000002,703275,45034,45599,1931,3882,1401,618603,6.40,6.48,0.27,0.55,0.20,87.96
BHSCT,148328,7158,11965,587,1176,375,130518,4.83,8.07,0.40,0.79,0.25,87.99
NHSCT,177914,10798,11009,434,793,315,157439,6.07,6.19,0.24,0.45,0.18,88.49
SEHSCT,136698,7842,8158,312,605,281,121878,5.74,5.97,0.23,0.44,0.21,89.16
SHSCT,131129,10320,7768,298,714,263,114095,7.87,5.92,0.23,0.54,0.20,87.01
WHSCT,109206,8916,6699,300,594,167,94673,8.16,6.13,0.27,0.54,0.15,86.69
BELB,120595,6246,10181,523,1025,318,105363,5.18,8.44,0.43,0.85,0.26,87.37
NEELB,165010,9639,10012,399,752,300,146546,5.84,6.07,0.24,0.46,0.18,88.81
SEELB,164431,8754,9942,376,756,338,147033,5.32,6.05,0.23,0.46,0.21,89.42
SELB,144033,11479,8765,333,755,278,124988,7.97,6.09,0.23,0.52,0.19,86.78
WELB,109206,8916,6699,300,594,167,94673,8.16,6.13,0.27,0.54,0.15,86.69
UKN01,120595,6246,10181,523,1025,318,105363,5.18,8.44,0.43,0.85,0.26,87.37
UKN02,156882,7148,9798,379,790,305,141056,4.56,6.25,0.24,0.50,0.19,89.91
UKN03,170132,10684,10105,362,750,341,150664,6.28,5.94,0.21,0.44,0.20,88.56
UKN04,109318,7363,6958,289,581,176,95961,6.74,6.36,0.26,0.53,0.16,87.78
UKN05,146348,13593,8557,378,736,261,125559,9.29,5.85,0.26,0.50,0.18,85.79
95AA,20064,1317,1244,32,79,31,17670,6.56,6.20,0.16,0.39,0.15,88.07
95BB,31514,1971,1942,72,113,63,27925,6.25,6.16,0.23,0.36,0.20,88.61
95CC,21594,1904,1221,47,112,73,18624,8.82,5.65,0.22,0.52,0.34,86.25
95DD,24817,1608,1423,57,130,44,21992,6.48,5.73,0.23,0.52,0.18,88.62
95EE,11508,893,623,18,33,11,10103,7.76,5.41,0.16,0.29,0.10,87.79
95FF,18303,1441,990,31,76,19,16028,7.87,5.41,0.17,0.42,0.10,87.57
95GG,120595,6246,10181,523,1025,318,105363,5.18,8.44,0.43,0.85,0.26,87.37
95HH,16200,730,1111,49,100,33,14492,4.51,6.86,0.30,0.62,0.20,89.46
95II,27733,912,1784,64,151,57,25155,3.29,6.43,0.23,0.54,0.21,90.70
95JJ,23508,1269,1364,53,111,39,21033,5.40,5.80,0.23,0.47,0.17,89.47
95KK,12904,1159,997,35,41,15,10893,8.98,7.73,0.27,0.32,0.12,84.42
95LL,35931,2044,2267,70,178,75,31870,5.69,6.31,0.19,0.50,0.21,88.70
95MM,40779,2559,3050,144,250,91,35640,6.28,7.48,0.35,0.61,0.22,87.40
95NN,26206,1676,1509,66,135,54,23184,6.40,5.76,0.25,0.52,0.21,88.47
95OO,20270,1859,1277,57,118,18,17340,9.17,6.30,0.28,0.58,0.09,85.55
95PP,23069,2490,1175,50,91,38,19647,10.79,5.09,0.22,0.39,0.16,85.17
95QQ,13297,627,730,34,39,55,11995,4.72,5.49,0.26,0.29,0.41,90.21
95RR,12098,929,614,23,60,10,10639,7.68,5.08,0.19,0.50,0.08,87.94
95SS,45723,2722,2616,102,202,73,40766,5.95,5.72,0.22,0.44,0.16,89.16
95TT,15037,1386,879,47,53,23,12906,9.22,5.85,0.31,0.35,0.15,85.83
95UU,6608,498,442,17,25,13,5715,7.54,6.69,0.26,0.38,0.20,86.49
95VV,35031,3072,2013,93,230,78,30233,8.77,5.75,0.27,0.66,0.22,86.30
95WW,33971,1311,2196,92,182,51,30640,3.86,6.46,0.27,0.54,0.15,90.19
95XX,33255,1473,2091,72,155,91,30003,4.43,6.29,0.22,0.47,0.27,90.22
95YY,18443,1723,995,49,91,16,15916,9.34,5.40,0.27,0.49,0.09,86.30
95ZZ,14817,1215,865,34,102,12,12831,8.20,5.84,0.23,0.69,0.08,86.60
