GeographyCode,KS801NI0001,KS801NI0002,KS801NI0003,KS801NI0004,KS801NI0005,KS801NI0006,KS801NI0007,KS801NI0008,KS801NI0009,KS801NI0010
N92000002,1608853,1503203,28316,22354,54980,2535,93.43,1.76,1.39,3.42
BHSCT,306518,284688,6124,4614,11092,1136,92.88,2.00,1.51,3.62
NHSCT,419808,394622,6507,5104,13575,604,94.00,1.55,1.22,3.23
SEHSCT,309263,285791,5626,4833,13013,204,92.41,1.82,1.56,4.21
SHSCT,313382,295323,5127,4114,8818,360,94.24,1.64,1.31,2.81
WHSCT,259882,242779,4932,3689,8482,231,93.42,1.90,1.42,3.26
BELB,245839,228171,5177,3852,8639,1088,92.81,2.11,1.57,3.51
NEELB,385964,362266,6053,4839,12806,590,93.86,1.57,1.25,3.32
SEELB,369942,342308,6573,5595,15466,252,92.53,1.78,1.51,4.18
SELB,347226,327679,5581,4379,9587,374,94.37,1.61,1.26,2.76
WELB,259882,242779,4932,3689,8482,231,93.42,1.90,1.42,3.26
UKN01,245839,228171,5177,3852,8639,1088,92.81,2.11,1.57,3.51
UKN02,349183,323615,6113,5090,14365,433,92.68,1.75,1.46,4.11
UKN03,394099,370097,6081,4984,12937,270,93.91,1.54,1.26,3.28
UKN04,258675,241812,4672,3608,8583,383,93.48,1.81,1.39,3.32
UKN05,361057,339508,6273,4820,10456,361,94.03,1.74,1.33,2.90
95AA,46523,43430,776,647,1670,38,93.35,1.67,1.39,3.59
95BB,71048,66382,1089,957,2620,25,93.43,1.53,1.35,3.69
95CC,52579,49578,912,669,1420,74,94.29,1.73,1.27,2.70
95DD,58007,54813,843,572,1779,61,94.49,1.45,0.99,3.07
95EE,29012,27556,393,361,702,7,94.98,1.35,1.24,2.42
95FF,44322,41926,653,559,1184,21,94.59,1.47,1.26,2.67
95GG,245839,228171,5177,3852,8639,1088,92.81,2.11,1.57,3.51
95HH,35363,32869,549,490,1455,11,92.95,1.55,1.39,4.11
95II,60679,56517,947,762,2453,48,93.14,1.56,1.26,4.04
95JJ,52377,48462,936,824,2155,222,92.53,1.79,1.57,4.11
95KK,33844,32356,454,265,769,14,95.60,1.34,0.78,2.27
95LL,81682,77319,1193,934,2236,96,94.66,1.46,1.14,2.74
95MM,95583,89013,1866,1360,3344,130,93.13,1.95,1.42,3.50
95NN,62894,58505,1052,920,2417,24,93.02,1.67,1.46,3.84
95OO,48818,46187,798,627,1206,89,94.61,1.63,1.28,2.47
95PP,51917,47906,1109,894,2008,55,92.27,2.14,1.72,3.87
95QQ,29623,27722,475,395,1031,5,93.58,1.60,1.33,3.48
95RR,30806,28997,552,397,860,7,94.13,1.79,1.29,2.79
95SS,107566,100287,1913,1510,3856,81,93.23,1.78,1.40,3.58
95TT,41784,39850,613,405,916,22,95.37,1.47,0.97,2.19
95UU,15455,14239,336,263,617,5,92.13,2.17,1.70,3.99
95VV,85981,80313,1571,1325,2772,80,93.41,1.83,1.54,3.22
95WW,77820,73325,1132,882,2481,219,94.22,1.45,1.13,3.19
95XX,67755,60617,1572,1446,4120,74,89.46,2.32,2.13,6.08
95YY,46134,43318,816,635,1365,27,93.90,1.77,1.38,2.96
95ZZ,35442,33545,589,403,905,12,94.65,1.66,1.14,2.55
