GeographyCode,KS611NI0001,KS611NI0002,KS611NI0003,KS611NI0004,KS611NI0005,KS611NI0006,KS611NI0007,KS611NI0008,KS611NI0009,KS611NI0010,KS611NI0011,KS611NI0012,KS611NI0013,KS611NI0014,KS611NI0015,KS611NI0016,KS611NI0017,KS611NI0018,KS611NI0019,KS611NI0020,KS611NI0021,KS611NI0022,KS611NI0023
N92000002,1313420,18452,79018,242499,165413,123337,90090,200632,173187,64601,29324,126867,1.40,6.02,18.46,12.59,9.39,6.86,15.28,13.19,4.92,2.23,9.66
BHSCT,257160,3373,21413,47249,33521,12722,15714,38067,32668,15727,5814,30892,1.31,8.33,18.37,13.04,4.95,6.11,14.80,12.70,6.12,2.26,12.01
NHSCT,335761,4875,18271,62244,42593,34272,25231,52949,45094,12806,6429,30997,1.45,5.44,18.54,12.69,10.21,7.51,15.77,13.43,3.81,1.91,9.23
SEHSCT,251647,4521,17407,54351,37550,24557,16682,36527,26097,8393,4557,21005,1.80,6.92,21.60,14.92,9.76,6.63,14.52,10.37,3.34,1.81,8.35
SHSCT,256035,3433,12691,44232,28919,28917,18248,40068,38092,12577,6039,22819,1.34,4.96,17.28,11.29,11.29,7.13,15.65,14.88,4.91,2.36,8.91
WHSCT,212817,2250,9236,34423,22830,22869,14215,33021,31236,15098,6485,21154,1.06,4.34,16.17,10.73,10.75,6.68,15.52,14.68,7.09,3.05,9.94
BELB,208609,2421,16687,35922,25684,9559,12574,31215,28189,14521,5127,26710,1.16,8.00,17.22,12.31,4.58,6.03,14.96,13.51,6.96,2.46,12.80
NEELB,309116,4557,17283,58137,40158,30685,23327,48806,40698,11238,5853,28374,1.47,5.59,18.81,12.99,9.93,7.55,15.79,13.17,3.64,1.89,9.18
SEELB,300198,5473,22133,65678,45387,27720,19822,43379,30576,9599,5244,25187,1.82,7.37,21.88,15.12,9.23,6.60,14.45,10.19,3.20,1.75,8.39
SELB,282680,3751,13679,48339,31354,32504,20152,44211,42488,14145,6615,25442,1.33,4.84,17.10,11.09,11.50,7.13,15.64,15.03,5.00,2.34,9.00
WELB,212817,2250,9236,34423,22830,22869,14215,33021,31236,15098,6485,21154,1.06,4.34,16.17,10.73,10.75,6.68,15.52,14.68,7.09,3.05,9.94
UKN01,208609,2421,16687,35922,25684,9559,12574,31215,28189,14521,5127,26710,1.16,8.00,17.22,12.31,4.58,6.03,14.96,13.51,6.96,2.46,12.80
UKN02,283218,5421,21920,62123,44379,20806,19351,41814,28903,8514,4732,25255,1.91,7.74,21.93,15.67,7.35,6.83,14.76,10.21,3.01,1.67,8.92
UKN03,317543,4878,17237,61080,42042,33419,23912,50755,41512,11081,6094,25533,1.54,5.43,19.24,13.24,10.52,7.53,15.98,13.07,3.49,1.92,8.04
UKN04,209839,2301,9521,34348,23018,21293,14070,32746,30197,13808,6498,22039,1.10,4.54,16.37,10.97,10.15,6.71,15.61,14.39,6.58,3.10,10.50
