GeographyCode,KS104NI0001,KS104NI0002,KS104NI0003,KS104NI0004,KS104NI0005,KS104NI0006,KS104NI0007,KS104NI0008,KS104NI0009,KS104NI0010,KS104NI0011,KS104NI0012,KS104NI0013,KS104NI0014,KS104NI0015
N92000002,1409368,662810,87437,443578,15152,48233,63601,88557,47.03,6.20,31.47,1.08,3.42,4.51,6.28
BHSCT,277668,103016,20292,104900,3068,12224,14570,19598,37.10,7.31,37.78,1.10,4.40,5.25,7.06
NHSCT,360672,182300,22041,103463,3713,10993,15755,22407,50.54,6.11,28.69,1.03,3.05,4.37,6.21
SEHSCT,270942,139192,17952,73120,2494,8414,12937,16833,51.37,6.63,26.99,0.92,3.11,4.77,6.21
SHSCT,274244,135048,15850,84561,3163,8299,11020,16303,49.24,5.78,30.83,1.15,3.03,4.02,5.94
WHSCT,225842,103254,11302,77534,2714,8303,9319,13416,45.72,5.00,34.33,1.20,3.68,4.13,5.94
BELB,224006,75410,16726,90726,2602,10773,12050,15719,33.66,7.47,40.50,1.16,4.81,5.38,7.02
NEELB,332245,168102,20691,94315,3356,10213,14777,20791,50.60,6.23,28.39,1.01,3.07,4.45,6.26
SEELB,324604,166798,21518,87294,2960,9865,15457,20712,51.39,6.63,26.89,0.91,3.04,4.76,6.38
SELB,302671,149246,17200,93709,3520,9079,11998,17919,49.31,5.68,30.96,1.16,3.00,3.96,5.92
WELB,225842,103254,11302,77534,2714,8303,9319,13416,45.72,5.00,34.33,1.20,3.68,4.13,5.94
UKN01,224006,75410,16726,90726,2602,10773,12050,15719,33.66,7.47,40.50,1.16,4.81,5.38,7.02
UKN02,305528,155730,20932,81516,2711,9842,14880,19917,50.97,6.85,26.68,0.89,3.22,4.87,6.52
UKN03,342075,174626,22241,95180,3150,10673,15442,20763,51.05,6.50,27.82,0.92,3.12,4.51,6.07
UKN04,222904,101908,11951,74665,2621,8177,10319,13263,45.72,5.36,33.50,1.18,3.67,4.63,5.95
UKN05,314855,155136,15587,101491,4068,8768,10910,18895,49.27,4.95,32.23,1.29,2.78,3.47,6.00
95AA,40598,20924,2791,11247,369,1357,1745,2165,51.54,6.87,27.70,0.91,3.34,4.30,5.33
95BB,62222,33530,4056,15267,518,1755,3080,4016,53.89,6.52,24.54,0.83,2.82,4.95,6.45
95CC,45501,23100,2258,13839,516,1305,1605,2878,50.77,4.96,30.41,1.13,2.87,3.53,6.33
95DD,50553,26186,2977,14024,500,1537,2188,3141,51.80,5.89,27.74,0.99,3.04,4.33,6.21
95EE,24438,12566,1603,7013,281,563,972,1440,51.42,6.56,28.70,1.15,2.30,3.98,5.89
95FF,37233,19788,2283,10156,323,1017,1522,2144,53.15,6.13,27.28,0.87,2.73,4.09,5.76
95GG,224006,75410,16726,90726,2602,10773,12050,15719,33.66,7.47,40.50,1.16,4.81,5.38,7.02
95HH,31084,15868,2038,8088,211,1140,1631,2108,51.05,6.56,26.02,0.68,3.67,5.25,6.78
95II,53662,27606,3566,14174,466,1451,2520,3879,51.44,6.65,26.41,0.87,2.70,4.70,7.23
95JJ,46325,22534,2858,13713,582,1273,2362,3003,48.64,6.17,29.60,1.26,2.75,5.10,6.48
95KK,28427,14198,1350,9148,357,780,978,1616,49.95,4.75,32.18,1.26,2.74,3.44,5.68
95LL,71997,34842,5233,21019,680,2480,3442,4301,48.39,7.27,29.19,0.94,3.44,4.78,5.97
95MM,82296,33564,3998,30926,975,4107,4147,4579,40.78,4.86,37.58,1.18,4.99,5.04,5.56
95NN,53737,26550,3143,16356,564,1665,2218,3241,49.41,5.85,30.44,1.05,3.10,4.13,6.03
95OO,44105,21362,2348,14418,673,1220,1486,2598,48.43,5.32,32.69,1.53,2.77,3.37,5.89
95PP,47951,23490,2690,14985,685,1295,1617,3189,48.99,5.61,31.25,1.43,2.70,3.37,6.65
95QQ,25735,12806,1758,7111,196,862,1247,1755,49.76,6.83,27.63,0.76,3.35,4.85,6.82
95RR,25607,12508,1558,8196,223,736,989,1397,48.85,6.08,32.01,0.87,2.87,3.86,5.46
95SS,91990,45976,6240,26302,904,3199,4079,5290,49.98,6.78,28.59,0.98,3.48,4.43,5.75
95TT,34248,17602,1477,11081,404,800,969,1915,51.40,4.31,32.36,1.18,2.34,2.83,5.59
95UU,13465,6472,614,4281,191,424,573,910,48.07,4.56,31.79,1.42,3.15,4.26,6.76
95VV,75408,35956,3728,25129,971,2277,2965,4382,47.68,4.94,33.32,1.29,3.02,3.93,5.81
95WW,65799,33144,4575,17757,622,2257,3090,4354,50.37,6.95,26.99,0.95,3.43,4.70,6.62
95XX,62993,33136,4513,15195,508,1795,3560,4286,52.60,7.16,24.12,0.81,2.85,5.65,6.80
95YY,39215,19428,1736,12891,462,1091,1290,2317,49.54,4.43,32.87,1.18,2.78,3.29,5.91
95ZZ,30773,14264,1320,10536,369,1074,1276,1934,46.35,4.29,34.24,1.20,3.49,4.15,6.28
