GeographyCode,KS613NI0001,KS613NI0002,KS613NI0003,KS613NI0004,KS613NI0005,KS613NI0006,KS613NI0007,KS613NI0008,KS613NI0009,KS613NI0010,KS613NI0011,KS613NI0012,KS613NI0013,KS613NI0014,KS613NI0015,KS613NI0016,KS613NI0017,KS613NI0018,KS613NI0019,KS613NI0020,KS613NI0021,KS613NI0022,KS613NI0023
N92000002,666051,6676,29110,142187,117014,28626,27148,129228,72265,37697,9975,66125,1.00,4.37,21.35,17.57,4.30,4.08,19.40,10.85,5.66,1.50,9.93
BHSCT,132453,1376,8069,26894,22627,3316,4738,23188,15317,8884,1919,16125,1.04,6.09,20.30,17.08,2.50,3.58,17.51,11.56,6.71,1.45,12.17
NHSCT,170324,1698,6537,36886,30964,8058,7190,34615,17968,7737,2353,16318,1.00,3.84,21.66,18.18,4.73,4.22,20.32,10.55,4.54,1.38,9.58
SEHSCT,128478,1571,6175,30884,25708,6360,5055,24486,10977,4968,1571,10723,1.22,4.81,24.04,20.01,4.95,3.93,19.06,8.54,3.87,1.22,8.35
SHSCT,128007,1229,4847,26886,21609,6193,5684,25551,14726,7524,1953,11805,0.96,3.79,21.00,16.88,4.84,4.44,19.96,11.50,5.88,1.53,9.22
WHSCT,106789,802,3482,20637,16106,4699,4481,21388,13277,8584,2179,11154,0.75,3.26,19.33,15.08,4.40,4.20,20.03,12.43,8.04,2.04,10.44
BELB,107339,1019,6370,20330,17241,2473,3877,18808,13326,8217,1682,13996,0.95,5.93,18.94,16.06,2.30,3.61,17.52,12.41,7.66,1.57,13.04
NEELB,157002,1594,6159,34272,29051,7333,6638,31813,16354,6755,2141,14892,1.02,3.92,21.83,18.50,4.67,4.23,20.26,10.42,4.30,1.36,9.49
SEELB,153592,1928,7874,37448,31094,7203,5916,28866,12968,5635,1808,12852,1.26,5.13,24.38,20.24,4.69,3.85,18.79,8.44,3.67,1.18,8.37
SELB,141329,1333,5225,29500,23522,6918,6236,28353,16340,8506,2165,13231,0.94,3.70,20.87,16.64,4.89,4.41,20.06,11.56,6.02,1.53,9.36
WELB,106789,802,3482,20637,16106,4699,4481,21388,13277,8584,2179,11154,0.75,3.26,19.33,15.08,4.40,4.20,20.03,12.43,8.04,2.04,10.44
UKN01,107339,1019,6370,20330,17241,2473,3877,18808,13326,8217,1682,13996,0.95,5.93,18.94,16.06,2.30,3.61,17.52,12.41,7.66,1.57,13.04
UKN02,145795,1914,7723,34953,30502,5758,5541,27477,12369,5055,1746,12757,1.31,5.30,23.97,20.92,3.95,3.80,18.85,8.48,3.47,1.20,8.75
UKN03,160622,1751,6204,35999,30180,8011,7069,32762,16930,6551,2034,13131,1.09,3.86,22.41,18.79,4.99,4.40,20.40,10.54,4.08,1.27,8.18
UKN04,106155,782,3442,20233,16062,4658,4484,21244,13338,7817,2272,11823,0.74,3.24,19.06,15.13,4.39,4.22,20.01,12.56,7.36,2.14,11.14
