GeographyCode,KS702NI0001,KS702NI0002,KS702NI0003,KS702NI0004,KS702NI0005,KS702NI0006,KS702NI0007,KS702NI0008,KS702NI0009,KS702NI0010,KS702NI0011,KS702NI0012,KS702NI0013,KS702NI0014,KS702NI0015,KS702NI0016,KS702NI0017,KS702NI0018,KS702NI0019,KS702NI0020,KS702NI0021,KS702NI0022,KS702NI0023,KS702NI0024,KS702NI0025,KS702NI0026,KS702NI0027,KS702NI0028,KS702NI0029
N92000002,1126346,125985,14872,137695,3280,445295,162971,79181,15543,7561,126820,7143,1004281,125969,115267,25952,11.19,1.32,12.22,0.29,39.53,14.47,7.03,1.38,0.67,11.26,0.63,12.54,22.51
BHSCT,211757,20907,1683,33179,891,68199,23948,12406,4945,3184,41488,927,165328,23018,44350,11654,9.87,0.79,15.67,0.42,32.21,11.31,5.86,2.34,1.50,19.59,0.44,13.92,26.28
NHSCT,293841,32515,5262,31713,924,123749,44653,21659,2791,1462,27113,2000,269616,32147,21688,4534,11.07,1.79,10.79,0.31,42.11,15.20,7.37,0.95,0.50,9.23,0.68,11.92,20.91
SEHSCT,219075,22220,4789,23577,770,93350,32329,15724,2218,1232,21416,1450,201623,24426,16203,3910,10.14,2.19,10.76,0.35,42.61,14.76,7.18,1.01,0.56,9.78,0.66,12.11,24.13
SHSCT,225174,27202,2619,25030,468,92836,35765,16673,2507,997,19400,1677,209556,25028,15455,2605,12.08,1.16,11.12,0.21,41.23,15.88,7.40,1.11,0.44,8.62,0.74,11.94,16.86
WHSCT,176499,23141,519,24196,227,67161,26276,12719,3082,686,17403,1089,158158,21350,17571,3249,13.11,0.29,13.71,0.13,38.05,14.89,7.21,1.75,0.39,9.86,0.62,13.50,18.49
BELB,168500,17484,1567,26773,673,49242,17497,9350,4607,2721,37851,735,124970,17399,41481,10757,10.38,0.93,15.89,0.40,29.22,10.38,5.55,2.73,1.61,22.46,0.44,13.92,25.93
NEELB,270723,29270,5216,28452,905,114162,41512,19879,2650,1383,25485,1809,247796,29016,20444,4360,10.81,1.93,10.51,0.33,42.17,15.33,7.34,0.98,0.51,9.41,0.67,11.71,21.33
SEELB,262332,25643,4905,29983,988,112307,38780,18780,2556,1695,25053,1642,241981,30045,19072,4807,9.78,1.87,11.43,0.38,42.81,14.78,7.16,0.97,0.65,9.55,0.63,12.42,25.20
SELB,248292,30447,2665,28291,487,102423,38906,18453,2648,1076,21028,1868,231376,28159,16699,2779,12.26,1.07,11.39,0.20,41.25,15.67,7.43,1.07,0.43,8.47,0.75,12.17,16.64
WELB,176499,23141,519,24196,227,67161,26276,12719,3082,686,17403,1089,158158,21350,17571,3249,13.11,0.29,13.71,0.13,38.05,14.89,7.21,1.75,0.39,9.86,0.62,13.50,18.49
UKN01,168500,17484,1567,26773,673,49242,17497,9350,4607,2721,37851,735,124970,17399,41481,10757,10.38,0.93,15.89,0.40,29.22,10.38,5.55,2.73,1.61,22.46,0.44,13.92,25.93
UKN02,249943,22630,7411,26682,1094,105769,37365,17658,2862,1811,25253,1408,227243,28352,20329,5549,9.05,2.97,10.68,0.44,42.32,14.95,7.06,1.15,0.72,10.10,0.56,12.48,27.30
UKN03,277692,29478,3591,29295,905,119444,42719,20486,2746,1464,25679,1885,257624,29240,19466,3614,10.62,1.29,10.55,0.33,43.01,15.38,7.38,0.99,0.53,9.25,0.68,11.35,18.57
UKN04,171386,21684,1298,22046,289,64505,25672,12422,2988,746,18694,1042,151029,19386,18897,3747,12.65,0.76,12.86,0.17,37.64,14.98,7.25,1.74,0.44,10.91,0.61,12.84,19.83
UKN05,258825,34709,1005,32899,319,106335,39718,19265,2340,819,19343,2073,243415,31592,15094,2285,13.41,0.39,12.71,0.12,41.08,15.35,7.44,0.90,0.32,7.47,0.80,12.98,15.14
95AA,35208,3653,330,4079,116,14698,5323,2575,641,297,3259,237,32220,3874,2737,523,10.38,0.94,11.59,0.33,41.75,15.12,7.31,1.82,0.84,9.26,0.67,12.02,19.11
95BB,48589,4798,241,5681,247,22187,6942,3502,260,181,4216,334,45654,5247,2915,674,9.87,0.50,11.69,0.51,45.66,14.29,7.21,0.54,0.37,8.68,0.69,11.49,23.12
95CC,37770,4823,369,4109,65,16415,5705,2748,303,75,2844,314,35879,4218,1848,255,12.77,0.98,10.88,0.17,43.46,15.10,7.28,0.80,0.20,7.53,0.83,11.76,13.80
95DD,40691,4456,540,3284,97,18078,6846,3032,360,189,3534,275,37827,3449,2839,374,10.95,1.33,8.07,0.24,44.43,16.82,7.45,0.88,0.46,8.68,0.68,9.12,13.17
