GeographyCode,KS105NI0001,KS105NI0002,KS105NI0003,KS105NI0004,KS105NI0005,KS105NI0006,KS105NI0007,KS105NI0008,KS105NI0009,KS105NI0010,KS105NI0011,KS105NI0012,KS105NI0013,KS105NI0014,KS105NI0015,KS105NI0016,KS105NI0017,KS105NI0018,KS105NI0019,KS105NI0020,KS105NI0021,KS105NI0022,KS105NI0023,KS105NI0024,KS105NI0025,KS105NI0026,KS105NI0027,KS105NI0028,KS105NI0029,KS105NI0030,KS105NI0031
N92000002,703275,78101,118313,46826,72268,138677,58476,20553,16186,1860,64228,36002,18980,2055,3279,27471,11.11,16.82,6.66,10.28,19.72,8.31,2.92,2.30,0.26,9.13,5.12,2.70,0.29,0.47,3.91
BHSCT,148328,18213,32398,8867,11980,19796,8768,5402,3150,387,15992,8145,4011,1601,723,8895,12.28,21.84,5.98,8.08,13.35,5.91,3.64,2.12,0.26,10.78,5.49,2.70,1.08,0.49,6.00
NHSCT,177914,19904,26954,13135,20606,37427,15873,5004,4257,517,14383,8748,4380,341,795,5590,11.19,15.15,7.38,11.58,21.04,8.92,2.81,2.39,0.29,8.08,4.92,2.46,0.19,0.45,3.14
SEHSCT,136698,15394,21180,11107,16986,27764,11196,4290,3335,415,11387,6145,3145,23,519,3812,11.26,15.49,8.13,12.43,20.31,8.19,3.14,2.44,0.30,8.33,4.50,2.30,0.02,0.38,2.79
SHSCT,131129,13634,19331,7907,13033,30783,12383,3360,3167,304,11233,6753,3842,19,652,4728,10.40,14.74,6.03,9.94,23.48,9.44,2.56,2.42,0.23,8.57,5.15,2.93,0.01,0.50,3.61
WHSCT,109206,10956,18450,5810,9663,22907,10256,2497,2277,237,11233,6211,3602,71,590,4446,10.03,16.89,5.32,8.85,20.98,9.39,2.29,2.09,0.22,10.29,5.69,3.30,0.07,0.54,4.07
BELB,120595,14555,27846,6375,8786,14162,6656,4445,2565,306,14184,6836,3542,1592,615,8130,12.07,23.09,5.29,7.29,11.74,5.52,3.69,2.13,0.25,11.76,5.67,2.94,1.32,0.51,6.74
NEELB,165010,18592,25243,12373,19352,34174,14449,4734,3987,487,13410,8025,3966,338,737,5143,11.27,15.30,7.50,11.73,20.71,8.76,2.87,2.42,0.30,8.13,4.86,2.40,0.20,0.45,3.12
SEELB,164431,19052,25732,13599,20180,33398,13308,5247,3920,496,13195,7454,3614,32,627,4577,11.59,15.65,8.27,12.27,20.31,8.09,3.19,2.38,0.30,8.02,4.53,2.20,0.02,0.38,2.78
SELB,144033,14946,21042,8669,14287,34036,13807,3630,3437,334,12206,7476,4256,22,710,5175,10.38,14.61,6.02,9.92,23.63,9.59,2.52,2.39,0.23,8.47,5.19,2.95,0.02,0.49,3.59
