GeographyCode,KS610NI0001,KS610NI0002,KS610NI0003,KS610NI0004,KS610NI0005,KS610NI0006,KS610NI0007,KS610NI0008,KS610NI0009,KS610NI0010,KS610NI0011,KS610NI0012,KS610NI0013,KS610NI0014,KS610NI0015,KS610NI0016,KS610NI0017,KS610NI0018,KS610NI0019
N92000002,383133,23625,78320,28617,79683,11523,62839,51829,7754,38943,6.17,20.44,7.47,20.80,3.01,16.40,13.53,2.02,10.16
BHSCT,75718,4180,16675,6695,15546,1573,10754,10854,690,8751,5.52,22.02,8.84,20.53,2.08,14.20,14.33,0.91,11.56
NHSCT,100246,6301,19273,7099,21579,3291,16641,13597,2173,10292,6.29,19.23,7.08,21.53,3.28,16.60,13.56,2.17,10.27
SEHSCT,77295,5360,15563,6287,17851,1907,13101,9846,941,6439,6.93,20.13,8.13,23.09,2.47,16.95,12.74,1.22,8.33
SHSCT,73959,4497,15348,4928,14137,2701,12602,9248,2872,7626,6.08,20.75,6.66,19.11,3.65,17.04,12.50,3.88,10.31
WHSCT,55915,3287,11461,3608,10570,2051,9741,8284,1078,5835,5.88,20.50,6.45,18.90,3.67,17.42,14.82,1.93,10.44
BELB,59657,3201,12636,5302,11778,1261,8422,9085,568,7404,5.37,21.18,8.89,19.74,2.11,14.12,15.23,0.95,12.41
NEELB,92910,5873,17817,6674,20208,2950,15388,12575,1941,9484,6.32,19.18,7.18,21.75,3.18,16.56,13.53,2.09,10.21
SEELB,93356,6339,19602,7680,21619,2219,15433,11615,1063,7786,6.79,21.00,8.23,23.16,2.38,16.53,12.44,1.14,8.34
SELB,81295,4925,16804,5353,15508,3042,13855,10270,3104,8434,6.06,20.67,6.58,19.08,3.74,17.04,12.63,3.82,10.37
WELB,55915,3287,11461,3608,10570,2051,9741,8284,1078,5835,5.88,20.50,6.45,18.90,3.67,17.42,14.82,1.93,10.44
UKN01,59657,3201,12636,5302,11778,1261,8422,9085,568,7404,5.37,21.18,8.89,19.74,2.11,14.12,15.23,0.95,12.41
UKN02,89574,6009,18404,7687,21173,1886,13882,11992,1003,7538,6.71,20.55,8.58,23.64,2.11,15.50,13.39,1.12,8.42
UKN03,96467,6271,18491,6897,20803,3048,16638,12157,2710,9452,6.50,19.17,7.15,21.56,3.16,17.25,12.60,2.81,9.80
UKN04,54650,3247,10803,3542,10650,1914,9219,8354,1018,5903,5.94,19.77,6.48,19.49,3.50,16.87,15.29,1.86,10.80
UKN05,82785,4897,17986,5189,15279,3414,14678,10241,2455,8646,5.92,21.73,6.27,18.46,4.12,17.73,12.37,2.97,10.44
95AA,12273,820,2385,921,2483,405,2075,1503,267,1414,6.68,19.43,7.50,20.23,3.30,16.91,12.25,2.18,11.52
95BB,17523,1194,3044,1346,4429,454,3035,2243,238,1540,6.81,17.37,7.68,25.28,2.59,17.32,12.80,1.36,8.79
95CC,12458,753,2667,811,2460,523,2346,1307,283,1308,6.04,21.41,6.51,19.75,4.20,18.83,10.49,2.27,10.50
95DD,14132,843,2781,924,2913,454,2276,1988,472,1481,5.97,19.68,6.54,20.61,3.21,16.11,14.07,3.34,10.48
95EE,6255,375,1140,385,1378,254,1180,805,143,595,6.00,18.23,6.16,22.03,4.06,18.86,12.87,2.29,9.51
95FF,10676,725,2210,805,2271,386,1826,1343,197,913,6.79,20.70,7.54,21.27,3.62,17.10,12.58,1.85,8.55
95GG,59657,3201,12636,5302,11778,1261,8422,9085,568,7404,5.37,21.18,8.89,19.74,2.11,14.12,15.23,0.95,12.41
95HH,8915,552,1492,753,2238,233,1490,1176,138,843,6.19,16.74,8.45,25.10,2.61,16.71,13.19,1.55,9.46
95II,16061,979,4039,1393,3768,312,2332,1769,122,1347,6.10,25.15,8.67,23.46,1.94,14.52,11.01,0.76,8.39
95JJ,12150,776,2459,716,2320,462,1892,1907,211,1407,6.39,20.24,5.89,19.09,3.80,15.57,15.70,1.74,11.58
95KK,7336,428,1456,425,1371,341,1253,1022,232,808,5.83,19.85,5.79,18.69,4.65,17.08,13.93,3.16,11.01
