GeographyCode,KS301NI0001,KS301NI0002,KS301NI0003,KS301NI0004,KS301NI0005,KS301NI0006,KS301NI0007,KS301NI0008,KS301NI0009,KS301NI0010,KS301NI0011,KS301NI0012,KS301NI0013,KS301NI0014,KS301NI0015,KS301NI0016,KS301NI0017,KS301NI0018,KS301NI0019,KS301NI0020,KS301NI0021,KS301NI0022,KS301NI0023,KS301NI0024,KS301NI0025,KS301NI0026,KS301NI0027,KS301NI0028,KS301NI0029,KS301NI0030,KS301NI0031
N92000002,1810863,215232,159414,1436217,111551,85837,970432,864187,575616,268932,80542,21586,1596883,122301,35369,56310,11.89,8.80,79.31,9.55,7.35,83.10,47.72,31.79,14.85,4.45,1.19,88.18,6.75,1.95,3.11
BHSCT,348204,48585,31637,267982,25251,16914,188209,159848,107256,54876,20319,5905,305291,23664,7384,11865,13.95,9.09,76.96,10.96,7.34,81.70,45.91,30.80,15.76,5.84,1.70,87.68,6.80,2.12,3.41
NHSCT,463297,50066,40961,372270,24828,21492,250126,218824,153822,68238,17849,4564,409790,31481,8370,13656,10.81,8.84,80.35,8.38,7.25,84.37,47.23,33.20,14.73,3.85,0.99,88.45,6.79,1.81,2.95
SEHSCT,346911,37602,31142,278167,18444,16218,186131,166516,113941,49491,13431,3532,302451,26766,6680,11014,10.84,8.98,80.18,8.35,7.35,84.30,48.00,32.84,14.27,3.87,1.02,87.18,7.72,1.93,3.17
SHSCT,358034,40991,29323,287720,21697,16035,191759,177389,111201,50669,14907,3868,317427,22852,7076,10679,11.45,8.19,80.36,9.45,6.99,83.56,49.55,31.06,14.15,4.16,1.08,88.66,6.38,1.98,2.98
WHSCT,294417,37988,26351,230078,21331,15178,154207,141610,89396,45658,14036,3717,261924,17538,5859,9096,12.90,8.95,78.15,11.18,7.96,80.86,48.10,30.36,15.51,4.77,1.26,88.96,5.96,1.99,3.09
BELB,280962,41176,25560,214226,22034,14026,151728,127861,85293,45017,17584,5207,247097,17983,6139,9743,14.66,9.10,76.25,11.73,7.47,80.80,45.51,30.36,16.02,6.26,1.85,87.95,6.40,2.18,3.47
NEELB,426284,45524,37720,343040,22363,19645,230477,201476,142209,62354,16157,4088,376886,29175,7622,12601,10.68,8.85,80.47,8.21,7.21,84.58,47.26,33.36,14.63,3.79,0.96,88.41,6.84,1.79,2.96
SEELB,414153,45011,37219,331923,21661,19106,222612,198503,135904,59350,16166,4230,360645,32447,7925,13136,10.87,8.99,80.15,8.22,7.25,84.52,47.93,32.81,14.33,3.90,1.02,87.08,7.83,1.91,3.17
SELB,395047,45533,32564,316950,24162,17882,211408,194737,122814,56553,16599,4344,350331,25158,7824,11734,11.53,8.24,80.23,9.53,7.06,83.41,49.29,31.09,14.32,4.20,1.10,88.68,6.37,1.98,2.97
WELB,294417,37988,26351,230078,21331,15178,154207,141610,89396,45658,14036,3717,261924,17538,5859,9096,12.90,8.95,78.15,11.18,7.96,80.86,48.10,30.36,15.51,4.77,1.26,88.96,5.96,1.99,3.09
UKN01,280962,41176,25560,214226,22034,14026,151728,127861,85293,45017,17584,5207,247097,17983,6139,9743,14.66,9.10,76.25,11.73,7.47,80.80,45.51,30.36,16.02,6.26,1.85,87.95,6.40,2.18,3.47
UKN02,390597,41772,34456,314369,19845,17521,211969,187226,128568,55409,15370,4024,340573,30756,7175,12093,10.69,8.82,80.48,7.96,7.03,85.01,47.93,32.92,14.19,3.94,1.03,87.19,7.87,1.84,3.10
UKN03,438823,48975,38957,350891,24608,20688,234752,207960,144245,64596,17586,4436,385858,30953,8407,13605,11.16,8.88,79.96,8.79,7.39,83.83,47.39,32.87,14.72,4.01,1.01,87.93,7.05,1.92,3.10
UKN04,288597,36471,25847,226279,20242,14722,151704,136146,90569,44598,13689,3595,256833,17042,5621,9101,12.64,8.96,78.41,10.84,7.89,81.27,47.18,31.38,15.45,4.74,1.25,88.99,5.91,1.95,3.15
UKN05,411884,46838,34594,330452,24822,18880,220279,204994,126941,59312,16313,4324,366522,25567,8027,11768,11.37,8.40,80.23,9.40,7.15,83.45,49.77,30.82,14.40,3.96,1.05,88.99,6.21,1.95,2.86
95AA,53428,5368,4327,43733,2855,2301,29252,26446,17465,7165,1859,493,47439,3576,937,1476,10.05,8.10,81.85,8.30,6.69,85.02,49.50,32.69,13.41,3.48,0.92,88.79,6.69,1.75,2.76
95BB,78078,8930,7581,61567,4246,4018,41283,35136,26732,12143,3239,828,67496,6320,1590,2672,11.44,9.71,78.85,8.57,8.11,83.32,45.00,34.24,15.55,4.15,1.06,86.45,8.09,2.04,3.42
