GeographyCode,KS207NI0001,KS207NI0002,KS207NI0003,KS207NI0004,KS207NI0005,KS207NI0006,KS207NI0007,KS207NI0008,KS207NI0009,KS207NI0010,KS207NI0011,KS207NI0012,KS207NI0013,KS207NI0014,KS207NI0015,KS207NI0016,KS207NI0017,KS207NI0018,KS207NI0019,KS207NI0020,KS207NI0021,KS207NI0022,KS207NI0023,KS207NI0024,KS207NI0025,KS207NI0026,KS207NI0027
N92000002,1735711,1681171,17731,6250,4164,2293,2257,2214,1895,1273,1191,1174,1008,13090,96.86,1.02,0.36,0.24,0.13,0.13,0.13,0.11,0.07,0.07,0.07,0.06,0.75
BHSCT,334560,320127,4034,267,1699,172,561,1073,965,88,176,340,226,4832,95.69,1.21,0.08,0.51,0.05,0.17,0.32,0.29,0.03,0.05,0.10,0.07,1.44
NHSCT,444578,433481,4073,758,570,410,977,486,248,209,246,251,150,2719,97.50,0.92,0.17,0.13,0.09,0.22,0.11,0.06,0.05,0.06,0.06,0.03,0.61
SEHSCT,333088,327171,1474,546,536,96,147,252,286,187,148,289,101,1855,98.22,0.44,0.16,0.16,0.03,0.04,0.08,0.09,0.06,0.04,0.09,0.03,0.56
SHSCT,341383,324297,6050,4152,662,1556,420,239,220,636,458,136,226,2331,95.00,1.77,1.22,0.19,0.46,0.12,0.07,0.06,0.19,0.13,0.04,0.07,0.68
WHSCT,282102,276095,2100,527,697,59,152,164,176,153,163,158,305,1353,97.87,0.74,0.19,0.25,0.02,0.05,0.06,0.06,0.05,0.06,0.06,0.11,0.48
BELB,269804,256904,3665,228,1650,159,526,939,746,84,145,271,215,4272,95.22,1.36,0.08,0.61,0.06,0.19,0.35,0.28,0.03,0.05,0.10,0.08,1.58
NEELB,409258,399392,3835,629,527,169,715,457,245,162,187,243,117,2580,97.59,0.94,0.15,0.13,0.04,0.17,0.11,0.06,0.04,0.05,0.06,0.03,0.63
SEELB,397844,390394,1843,585,585,109,182,386,505,191,179,358,112,2415,98.13,0.46,0.15,0.15,0.03,0.05,0.10,0.13,0.05,0.04,0.09,0.03,0.61
SELB,376703,358386,6288,4281,705,1797,682,268,223,683,517,144,259,2470,95.14,1.67,1.14,0.19,0.48,0.18,0.07,0.06,0.18,0.14,0.04,0.07,0.66
