GeographyCode,KS302NI0001,KS302NI0002,KS302NI0003,KS302NI0004,KS302NI0005,KS302NI0006,KS302NI0007,KS302NI0008,KS302NI0009,KS302NI0010,KS302NI0011,KS302NI0012,KS302NI0013,KS302NI0014,KS302NI0015,KS302NI0016,KS302NI0017,KS302NI0018,KS302NI0019,KS302NI0020,KS302NI0021,KS302NI0022,KS302NI0023,KS302NI0024,KS302NI0025
N92000002,1810863,93091,30862,29871,207173,40177,105528,182820,157890,35616,118554,94617,1241785,5.14,1.70,1.65,11.44,2.22,5.83,10.10,8.72,1.97,6.55,5.22,68.57
BHSCT,348204,19466,7021,6515,45455,8875,25800,39672,35683,8815,25013,19553,229818,5.59,2.02,1.87,13.05,2.55,7.41,11.39,10.25,2.53,7.18,5.62,66.00
NHSCT,463297,23948,7321,6926,49672,9178,23398,44690,38847,7949,30560,23720,320628,5.17,1.58,1.49,10.72,1.98,5.05,9.65,8.38,1.72,6.60,5.12,69.21
SEHSCT,346911,19294,5752,5511,38486,7741,17844,34438,29574,6554,23268,18202,237122,5.56,1.66,1.59,11.09,2.23,5.14,9.93,8.52,1.89,6.71,5.25,68.35
SHSCT,358034,16247,5699,5735,38684,7258,18983,33861,27932,6295,20940,17569,253509,4.54,1.59,1.60,10.80,2.03,5.30,9.46,7.80,1.76,5.85,4.91,70.81
WHSCT,294417,14136,5069,5184,34876,7125,19503,30159,25854,6003,18773,15573,200708,4.80,1.72,1.76,11.85,2.42,6.62,10.24,8.78,2.04,6.38,5.29,68.17
BELB,280962,15422,5834,5529,37763,7516,22210,32920,29760,7503,20180,15911,184465,5.49,2.08,1.97,13.44,2.68,7.90,11.72,10.59,2.67,7.18,5.66,65.65
NEELB,426284,22321,6781,6340,45405,8428,21037,40862,35733,7243,28392,21922,294871,5.24,1.59,1.49,10.65,1.98,4.93,9.59,8.38,1.70,6.66,5.14,69.17
SEELB,414153,23338,6939,6497,46178,9100,21434,41190,35497,7866,28101,21844,282475,5.64,1.68,1.57,11.15,2.20,5.18,9.95,8.57,1.90,6.79,5.27,68.21
SELB,395047,17874,6239,6321,42951,8008,21344,37689,31046,7001,23108,19367,279266,4.52,1.58,1.60,10.87,2.03,5.40,9.54,7.86,1.77,5.85,4.90,70.69
WELB,294417,14136,5069,5184,34876,7125,19503,30159,25854,6003,18773,15573,200708,4.80,1.72,1.76,11.85,2.42,6.62,10.24,8.78,2.04,6.38,5.29,68.17
UKN01,280962,15422,5834,5529,37763,7516,22210,32920,29760,7503,20180,15911,184465,5.49,2.08,1.97,13.44,2.68,7.90,11.72,10.59,2.67,7.18,5.66,65.65
UKN02,390597,21975,6433,6011,43057,8139,20178,38576,33790,7298,26796,20723,267205,5.63,1.65,1.54,11.02,2.08,5.17,9.88,8.65,1.87,6.86,5.31,68.41
UKN03,438823,22884,7125,6700,48673,9156,22839,43502,36925,7922,28882,22580,302261,5.21,1.62,1.53,11.09,2.09,5.20,9.91,8.41,1.81,6.58,5.15,68.88
UKN04,288597,14152,4842,4811,34033,6511,18333,29898,25841,5604,18882,15416,195843,4.90,1.68,1.67,11.79,2.26,6.35,10.36,8.95,1.94,6.54,5.34,67.86
UKN05,411884,18658,6628,6820,43647,8855,21968,37924,31574,7289,23814,19987,292011,4.53,1.61,1.66,10.60,2.15,5.33,9.21,7.67,1.77,5.78,4.85,70.90
95AA,53428,2503,738,842,5350,1191,2650,4808,4288,869,3225,2665,37697,4.68,1.38,1.58,10.01,2.23,4.96,9.00,8.03,1.63,6.04,4.99,70.56
95BB,78078,4885,1455,1102,9481,1484,4056,8729,7084,1529,5734,4092,51993,6.26,1.86,1.41,12.14,1.90,5.19,11.18,9.07,1.96,7.34,5.24,66.59
95CC,59340,2901,932,980,6217,1228,2747,5409,4294,1017,3487,2762,42309,4.89,1.57,1.65,10.48,2.07,4.63,9.12,7.24,1.71,5.88,4.65,71.30
95DD,64044,3313,989,862,6467,1071,2898,5632,4951,1105,4267,3180,45066,5.17,1.54,1.35,10.10,1.67,4.53,8.79,7.73,1.73,6.66,4.97,70.37
95EE,31224,1485,469,460,3476,602,1474,3080,2500,490,1952,1625,21675,4.76,1.50,1.47,11.13,1.93,4.72,9.86,8.01,1.57,6.25,5.20,69.42
95FF,48339,2312,721,675,5098,926,2363,4537,3601,817,2896,2407,34235,4.78,1.49,1.40,10.55,1.92,4.89,9.39,7.45,1.69,5.99,4.98,70.82
95GG,280962,15422,5834,5529,37763,7516,22210,32920,29760,7503,20180,15911,184465,5.49,2.08,1.97,13.44,2.68,7.90,11.72,10.59,2.67,7.18,5.66,65.65
95HH,39114,2370,681,611,4686,861,2211,4330,3697,777,2971,2143,25948,6.06,1.74,1.56,11.98,2.20,5.65,11.07,9.45,1.99,7.60,5.48,66.34
95II,67242,4044,1187,986,7692,1359,3590,6752,5923,1312,4833,3642,45353,6.01,1.77,1.47,11.44,2.02,5.34,10.04,8.81,1.95,7.19,5.42,67.45
