GeographyCode,KS607NI0001,KS607NI0002,KS607NI0003,KS607NI0004,KS607NI0005,KS607NI0006,KS607NI0007,KS607NI0008,KS607NI0009,KS607NI0010,KS607NI0011,KS607NI0012,KS607NI0013,KS607NI0014,KS607NI0015,KS607NI0016,KS607NI0017,KS607NI0018,KS607NI0019,KS607NI0020,KS607NI0021,KS607NI0022,KS607NI0023,KS607NI0024,KS607NI0025,KS607NI0026,KS607NI0027,KS607NI0028,KS607NI0029,KS607NI0030,KS607NI0031,KS607NI0032,KS607NI0033,KS607NI0034,KS607NI0035,KS607NI0036,KS607NI0037
N92000002,383133,2716,223,17874,734,1044,6865,69493,6162,24361,6227,14899,4030,17742,13089,30809,54135,91730,21000,0.71,0.06,4.67,0.19,0.27,1.79,18.14,1.61,6.36,1.63,3.89,1.05,4.63,3.42,8.04,14.13,23.94,5.48
BHSCT,75718,58,12,1897,181,193,752,12914,1114,5224,1913,3522,944,4372,3026,6937,10112,18029,4518,0.08,0.02,2.51,0.24,0.25,0.99,17.06,1.47,6.90,2.53,4.65,1.25,5.77,4.00,9.16,13.35,23.81,5.97
NHSCT,100246,855,80,5151,217,345,2124,18910,2272,6476,1308,3739,1076,4057,3172,7547,14076,23546,5295,0.85,0.08,5.14,0.22,0.34,2.12,18.86,2.27,6.46,1.30,3.73,1.07,4.05,3.16,7.53,14.04,23.49,5.28
SEHSCT,77295,396,22,2633,142,172,1235,13492,1051,4414,1282,3391,856,3797,2778,7903,10023,19180,4528,0.51,0.03,3.41,0.18,0.22,1.60,17.46,1.36,5.71,1.66,4.39,1.11,4.91,3.59,10.22,12.97,24.81,5.86
SHSCT,73959,881,54,5821,113,208,1647,13816,1084,4395,811,2074,578,3418,2218,4735,11121,17263,3722,1.19,0.07,7.87,0.15,0.28,2.23,18.68,1.47,5.94,1.10,2.80,0.78,4.62,3.00,6.40,15.04,23.34,5.03
WHSCT,55915,526,55,2372,81,126,1107,10361,641,3852,913,2173,576,2098,1895,3687,8803,13712,2937,0.94,0.10,4.24,0.14,0.23,1.98,18.53,1.15,6.89,1.63,3.89,1.03,3.75,3.39,6.59,15.74,24.52,5.25
BELB,59657,26,10,1451,131,166,575,10518,905,4461,1517,2706,740,3482,2537,5148,7835,13853,3596,0.04,0.02,2.43,0.22,0.28,0.96,17.63,1.52,7.48,2.54,4.54,1.24,5.84,4.25,8.63,13.13,23.22,6.03
NEELB,92910,735,74,4535,213,334,1922,17366,2165,6011,1238,3541,1043,3731,2996,7152,12990,21949,4915,0.79,0.08,4.88,0.23,0.36,2.07,18.69,2.33,6.47,1.33,3.81,1.12,4.02,3.22,7.70,13.98,23.62,5.29
SEELB,93356,428,24,3079,192,199,1412,15888,1260,5177,1678,4207,1060,4687,3267,9692,12300,23356,5450,0.46,0.03,3.30,0.21,0.21,1.51,17.02,1.35,5.55,1.80,4.51,1.14,5.02,3.50,10.38,13.18,25.02,5.84
SELB,81295,1001,60,6437,117,219,1849,15360,1191,4860,881,2272,611,3744,2394,5130,12207,18860,4102,1.23,0.07,7.92,0.14,0.27,2.27,18.89,1.47,5.98,1.08,2.79,0.75,4.61,2.94,6.31,15.02,23.20,5.05
