GeographyCode,KS102NI0001,KS102NI0002,KS102NI0003,KS102NI0004,KS102NI0005,KS102NI0006,KS102NI0007,KS102NI0008,KS102NI0009,KS102NI0010,KS102NI0011,KS102NI0012,KS102NI0013,KS102NI0014,KS102NI0015,KS102NI0016,KS102NI0017,KS102NI0018,KS102NI0019,KS102NI0020,KS102NI0021,KS102NI0022,KS102NI0023,KS102NI0024,KS102NI0025,KS102NI0026,KS102NI0027,KS102NI0028,KS102NI0029,KS102NI0030,KS102NI0031,KS102NI0032,KS102NI0033,KS102NI0034,KS102NI0035
UKN01,280962,18046,9008,5610,16267,3352,7239,9812,26122,24285,57185,50506,12639,20821,14447,3737,1886,37.30,35,6.42,3.21,2.00,5.79,1.19,2.58,3.49,9.30,8.64,20.35,17.98,4.50,7.41,5.14,1.33,0.67
UKN02,390597,25902,14234,9029,24622,5162,10732,10499,24026,23849,80223,78633,21373,33883,20810,5136,2484,38.80,39,6.63,3.64,2.31,6.30,1.32,2.75,2.69,6.15,6.11,20.54,20.13,5.47,8.67,5.33,1.31,0.64
UKN03,438823,30461,16879,10720,28696,5815,12199,10662,27710,28087,90853,85902,24635,37495,21108,5071,2530,38.11,38,6.94,3.85,2.44,6.54,1.33,2.78,2.43,6.31,6.40,20.70,19.58,5.61,8.54,4.81,1.16,0.58
UKN04,288597,19209,10721,7274,20341,4248,8686,8628,20088,18948,59242,55948,15128,23171,12734,2912,1319,37.21,37,6.66,3.71,2.52,7.05,1.47,3.01,2.99,6.96,6.57,20.53,19.39,5.24,8.03,4.41,1.01,0.46
UKN05,411884,30764,16820,10992,29108,6043,12584,10580,28067,28930,86444,76861,20515,30230,17625,4309,2012,36.36,35,7.47,4.08,2.67,7.07,1.47,3.06,2.57,6.81,7.02,20.99,18.66,4.98,7.34,4.28,1.05,0.49
95AA,53428,3975,2148,1407,3685,734,1496,1264,3426,3618,11638,10143,2823,4189,2151,493,238,36.72,36,7.44,4.02,2.63,6.90,1.37,2.80,2.37,6.41,6.77,21.78,18.98,5.28,7.84,4.03,0.92,0.45
95BB,78078,4747,2887,1767,4879,985,2004,1793,4404,4366,15489,16283,5208,7743,4018,966,539,40.04,41,6.08,3.70,2.26,6.25,1.26,2.57,2.30,5.64,5.59,19.84,20.85,6.67,9.92,5.15,1.24,0.69
95CC,59340,4309,2376,1505,4128,827,1795,1551,3977,4059,12044,11181,3166,4771,2696,667,288,37.09,36,7.26,4.00,2.54,6.96,1.39,3.02,2.61,6.70,6.84,20.30,18.84,5.34,8.04,4.54,1.12,0.49
95DD,64044,4099,2391,1566,3990,813,1728,1499,3932,3980,13317,12393,3682,5806,3604,843,401,39.19,39,6.40,3.73,2.45,6.23,1.27,2.70,2.34,6.14,6.21,20.79,19.35,5.75,9.07,5.63,1.32,0.63
95EE,31224,2110,1149,850,2099,408,890,780,2043,2014,6701,5983,1545,2602,1550,345,155,37.70,37,6.76,3.68,2.72,6.72,1.31,2.85,2.50,6.54,6.45,21.46,19.16,4.95,8.33,4.96,1.10,0.50
95FF,48339,3661,2000,1234,3260,657,1346,1090,2951,3063,10570,9405,2406,3724,2170,544,258,37.13,37,7.57,4.14,2.55,6.74,1.36,2.78,2.25,6.10,6.34,21.87,19.46,4.98,7.70,4.49,1.13,0.53
95GG,280962,18046,9008,5610,16267,3352,7239,9812,26122,24285,57185,50506,12639,20821,14447,3737,1886,37.30,35,6.42,3.21,2.00,5.79,1.19,2.58,3.49,9.30,8.64,20.35,17.98,4.50,7.41,5.14,1.33,0.67
95HH,39114,2350,1391,891,2496,577,1133,1016,2412,2197,7904,8314,2180,3501,2040,475,237,39.23,40,6.01,3.56,2.28,6.38,1.48,2.90,2.60,6.17,5.62,20.21,21.26,5.57,8.95,5.22,1.21,0.61
