GeographyCode,KS203NI0001,KS203NI0002,KS203NI0003,KS203NI0004,KS203NI0005,KS203NI0006,KS203NI0007,KS203NI0008,KS203NI0009,KS203NI0010,KS203NI0011,KS203NI0012,KS203NI0013,KS203NI0014,KS203NI0015
N92000002,1810863,876577,513390,533085,18041,9374,1772,61884,48.41,28.35,29.44,1.00,0.52,0.10,3.42
BHSCT,348204,165783,107535,96406,3107,1843,349,16058,47.61,30.88,27.69,0.89,0.53,0.10,4.61
NHSCT,463297,273012,85771,141688,4581,2639,440,12835,58.93,18.51,30.58,0.99,0.57,0.09,2.77
SEHSCT,346911,208430,65155,109137,4882,2236,478,7311,60.08,18.78,31.46,1.41,0.64,0.14,2.11
SHSCT,358034,138805,125957,101318,2821,1300,282,18939,38.77,35.18,28.30,0.79,0.36,0.08,5.29
WHSCT,294417,90547,128972,84536,2650,1356,223,6741,30.75,43.81,28.71,0.90,0.46,0.08,2.29
BELB,280962,121272,97682,75356,2538,1474,282,14292,43.16,34.77,26.82,0.90,0.52,0.10,5.09
NEELB,426284,259216,73354,129798,4294,2508,424,11481,60.81,17.21,30.45,1.01,0.59,0.10,2.69
SEELB,414153,252941,75008,130187,5451,2605,545,9077,61.07,18.11,31.43,1.32,0.63,0.13,2.19
SELB,395047,152601,138374,113208,3108,1431,298,20293,38.63,35.03,28.66,0.79,0.36,0.08,5.14
WELB,294417,90547,128972,84536,2650,1356,223,6741,30.75,43.81,28.71,0.90,0.46,0.08,2.29
UKN01,280962,121272,97682,75356,2538,1474,282,14292,43.16,34.77,26.82,0.90,0.52,0.10,5.09
UKN02,390597,254009,60203,119890,4735,2490,496,9199,65.03,15.41,30.69,1.21,0.64,0.13,2.36
UKN03,438823,256103,81060,134976,4735,2351,456,14281,58.36,18.47,30.76,1.08,0.54,0.10,3.25
UKN04,288597,115216,105185,83284,2777,1670,264,5743,39.92,36.45,28.86,0.96,0.58,0.09,1.99
UKN05,411884,129977,169260,119579,3256,1389,274,18369,31.56,41.09,29.03,0.79,0.34,0.07,4.46
95AA,53428,29509,10746,16218,807,340,71,2076,55.23,20.11,30.35,1.51,0.64,0.13,3.89
95BB,78078,57480,5873,24900,912,465,109,1180,73.62,7.52,31.89,1.17,0.60,0.14,1.51
95CC,59340,26358,19197,16089,435,194,52,2323,44.42,32.35,27.11,0.73,0.33,0.09,3.91
95DD,64044,44165,7105,17891,490,343,41,2414,68.96,11.09,27.94,0.77,0.54,0.06,3.77
95EE,31224,18907,5126,9652,341,166,32,525,60.55,16.42,30.91,1.09,0.53,0.10,1.68
95FF,48339,29559,7815,15382,463,219,52,880,61.15,16.17,31.82,0.96,0.45,0.11,1.82
95GG,280962,121272,97682,75356,2538,1474,282,14292,43.16,34.77,26.82,0.90,0.52,0.10,5.09
95HH,39114,29941,2090,11845,439,300,63,701,76.55,5.34,30.28,1.12,0.77,0.16,1.79
95II,67242,44511,9853,21050,569,369,67,1766,66.20,14.65,31.30,0.85,0.55,0.10,2.63
95JJ,59067,36854,8559,18662,694,425,70,1869,62.39,14.49,31.59,1.17,0.72,0.12,3.16
95KK,37013,13796,12417,11890,287,131,16,1354,37.27,33.55,32.12,0.78,0.35,0.04,3.66
95LL,93023,44887,23807,26704,793,397,71,5942,48.25,25.59,28.71,0.85,0.43,0.08,6.39
95MM,107877,25560,59367,26528,951,530,71,2114,23.69,55.03,24.59,0.88,0.49,0.07,1.96
95NN,69731,28037,22465,23791,910,307,80,1406,40.21,32.22,34.12,1.31,0.44,0.11,2.02
95OO,57852,17866,22423,15669,372,147,29,5550,30.88,38.76,27.08,0.64,0.25,0.05,9.59
95PP,61805,22994,22300,18252,793,234,43,1907,37.20,36.08,29.53,1.28,0.38,0.07,3.09
95QQ,32180,22466,3249,10090,360,280,32,383,69.81,10.10,31.35,1.12,0.87,0.10,1.19
95RR,33536,14163,10718,10286,291,178,41,462,42.23,31.96,30.67,0.87,0.53,0.12,1.38
95SS,120165,66767,29630,34433,1547,750,158,2865,55.56,24.66,28.65,1.29,0.62,0.13,2.38
95TT,45038,14143,19222,13414,295,148,18,1265,31.40,42.68,29.78,0.66,0.33,0.04,2.81
95UU,17050,6587,5814,5477,201,149,20,241,38.63,34.10,32.12,1.18,0.87,0.12,1.41
95VV,99480,20135,52715,27474,758,343,78,4244,20.24,52.99,27.62,0.76,0.34,0.08,4.27
95WW,85139,56644,11443,26549,667,357,77,2007,66.53,13.44,31.18,0.78,0.42,0.09,2.36
95XX,78937,56146,7187,26013,1513,714,131,1860,71.13,9.10,32.95,1.92,0.90,0.17,2.36
95YY,51356,14685,20986,16791,316,192,38,1726,28.59,40.86,32.70,0.62,0.37,0.07,3.36
95ZZ,39843,13145,15601,12679,299,222,30,532,32.99,39.16,31.82,0.75,0.56,0.08,1.34
