GeographyCode,KS206NI0001,KS206NI0002,KS206NI0003,KS206NI0004,KS206NI0005,KS206NI0006,KS206NI0007,KS206NI0008,KS206NI0009,KS206NI0010,KS206NI0011,KS206NI0012,KS206NI0013,KS206NI0014,KS206NI0015,KS206NI0016,KS206NI0017
N92000002,1810863,341428,1035451,342887,30276,4291,2282,39103,15145,18.85,57.18,18.94,1.67,0.24,0.13,2.16,0.84
BHSCT,348204,53550,205376,66902,7087,1161,508,7548,6072,15.38,58.98,19.21,2.04,0.33,0.15,2.17,1.74
NHSCT,463297,94973,296145,52910,6671,1051,389,8268,2890,20.50,63.92,11.42,1.44,0.23,0.08,1.78,0.62
SEHSCT,346911,55111,236957,40363,6799,1074,330,3814,2463,15.89,68.30,11.63,1.96,0.31,0.10,1.10,0.71
SHSCT,358034,70037,174144,89733,5729,600,541,15203,2047,19.56,48.64,25.06,1.60,0.17,0.15,4.25,0.57
WHSCT,294417,67757,122829,92979,3990,405,514,4270,1673,23.01,41.72,31.58,1.36,0.14,0.17,1.45,0.57
BELB,280962,45310,155913,60408,5805,913,430,6811,5372,16.13,55.49,21.50,2.07,0.32,0.15,2.42,1.91
NEELB,426284,85964,277598,45293,6132,993,358,7186,2760,20.17,65.12,10.63,1.44,0.23,0.08,1.69,0.65
SEELB,414153,63351,286420,46857,8081,1322,408,4551,3163,15.30,69.16,11.31,1.95,0.32,0.10,1.10,0.76
SELB,395047,79046,192691,97350,6268,658,572,16285,2177,20.01,48.78,24.64,1.59,0.17,0.14,4.12,0.55
WELB,294417,67757,122829,92979,3990,405,514,4270,1673,23.01,41.72,31.58,1.36,0.14,0.17,1.45,0.57
UKN01,280962,45310,155913,60408,5805,913,430,6811,5372,16.13,55.49,21.50,2.07,0.32,0.15,2.42,1.91
UKN02,390597,54272,282237,37422,7144,1292,367,4412,3451,13.89,72.26,9.58,1.83,0.33,0.09,1.13,0.88
UKN03,438823,84126,281082,52743,6862,1055,338,10022,2595,19.17,64.05,12.02,1.56,0.24,0.08,2.28,0.59
UKN04,288597,65367,138295,75322,3905,431,351,3155,1771,22.65,47.92,26.10,1.35,0.15,0.12,1.09,0.61
UKN05,411884,92353,177924,116992,6560,600,796,14703,1956,22.42,43.20,28.40,1.59,0.15,0.19,3.57,0.47
95AA,53428,9467,34132,6877,876,123,64,1402,487,17.72,63.88,12.87,1.64,0.23,0.12,2.62,0.91
95BB,78078,13301,58515,3725,1223,241,38,662,373,17.04,74.94,4.77,1.57,0.31,0.05,0.85,0.48
95CC,59340,12243,29433,14395,983,104,62,1850,270,20.63,49.60,24.26,1.66,0.18,0.10,3.12,0.46
95DD,64044,14016,42640,4302,823,154,21,1768,320,21.88,66.58,6.72,1.29,0.24,0.03,2.76,0.50
95EE,31224,8383,18792,3271,323,28,8,350,69,26.85,60.18,10.48,1.03,0.09,0.03,1.12,0.22
95FF,48339,9473,31993,5249,714,105,30,554,221,19.60,66.18,10.86,1.48,0.22,0.06,1.15,0.46
95GG,280962,45310,155913,60408,5805,913,430,6811,5372,16.13,55.49,21.50,2.07,0.32,0.15,2.42,1.91
95HH,39114,5898,30631,1335,507,132,25,338,248,15.08,78.31,3.41,1.30,0.34,0.06,0.86,0.63
95II,67242,8240,49463,6494,1282,248,78,737,700,12.25,73.56,9.66,1.91,0.37,0.12,1.10,1.04
95JJ,59067,12508,38407,5470,867,172,53,1114,476,21.18,65.02,9.26,1.47,0.29,0.09,1.89,0.81
95KK,37013,9009,18547,7617,539,58,31,1082,130,24.34,50.11,20.58,1.46,0.16,0.08,2.92,0.35
95LL,93023,17255,52310,16496,1355,198,77,4654,678,18.55,56.23,17.73,1.46,0.21,0.08,5.00,0.73
95MM,107877,20685,38114,45323,1582,127,195,994,857,19.17,35.33,42.01,1.47,0.12,0.18,0.92,0.79
95NN,69731,13953,38706,14186,1443,153,92,784,414,20.01,55.51,20.34,2.07,0.22,0.13,1.12,0.59
95OO,57852,12543,24082,15023,864,71,110,4850,309,21.68,41.63,25.97,1.49,0.12,0.19,8.38,0.53
95PP,61805,15364,27585,16132,786,93,98,1443,304,24.86,44.63,26.10,1.27,0.15,0.16,2.33,0.49
95QQ,32180,6661,22786,1908,428,81,16,198,102,20.70,70.81,5.93,1.33,0.25,0.05,0.62,0.32
95RR,33536,8551,17707,6400,393,38,42,245,160,25.50,52.80,19.08,1.17,0.11,0.13,0.73,0.48
95SS,120165,18624,77922,18407,2313,326,120,1581,872,15.50,64.85,15.32,1.92,0.27,0.10,1.32,0.73
95TT,45038,12085,19500,11450,785,55,90,928,145,26.83,43.30,25.42,1.74,0.12,0.20,2.06,0.32
95UU,17050,4669,8303,3539,301,16,17,119,86,27.38,48.70,20.76,1.77,0.09,0.10,0.70,0.50
95VV,99480,18523,36326,38570,1813,122,262,3295,569,18.62,36.52,38.77,1.82,0.12,0.26,3.31,0.57
95WW,85139,12277,62407,7141,1222,232,64,969,827,14.42,73.30,8.39,1.44,0.27,0.08,1.14,0.97
95XX,78937,9233,61814,4045,1820,354,80,787,804,11.70,78.31,5.12,2.31,0.45,0.10,1.00,1.02
95YY,51356,12586,22451,13805,790,97,143,1255,229,24.51,43.72,26.88,1.54,0.19,0.28,2.44,0.45
95ZZ,39843,10571,16972,11319,439,50,36,333,123,26.53,42.60,28.41,1.10,0.13,0.09,0.84,0.31
