GeographyCode,KS606NI0001,KS606NI0002,KS606NI0003,KS606NI0004,KS606NI0005,KS606NI0006,KS606NI0007,KS606NI0008,KS606NI0009,KS606NI0010,KS606NI0011,KS606NI0012,KS606NI0013,KS606NI0014,KS606NI0015,KS606NI0016,KS606NI0017,KS606NI0018,KS606NI0019,KS606NI0020,KS606NI0021,KS606NI0022,KS606NI0023,KS606NI0024,KS606NI0025,KS606NI0026,KS606NI0027,KS606NI0028,KS606NI0029,KS606NI0030,KS606NI0031,KS606NI0032,KS606NI0033,KS606NI0034,KS606NI0035,KS606NI0036,KS606NI0037
N92000002,412130,15106,1749,59198,2774,4748,58194,69891,25844,18342,14040,11094,3474,18535,19358,32613,20434,21265,15471,3.67,0.42,14.36,0.67,1.15,14.12,16.96,6.27,4.45,3.41,2.69,0.84,4.50,4.70,7.91,4.96,5.16,3.75
BHSCT,75152,203,77,7313,490,835,5787,12346,4667,4898,4559,3300,864,4890,3842,7065,4838,5760,3418,0.27,0.10,9.73,0.65,1.11,7.70,16.43,6.21,6.52,6.07,4.39,1.15,6.51,5.11,9.40,6.44,7.66,4.55
NHSCT,109901,4590,526,18407,964,1268,17123,18836,7931,4314,2981,2348,806,4081,4695,7673,5086,4428,3844,4.18,0.48,16.75,0.88,1.15,15.58,17.14,7.22,3.93,2.71,2.14,0.73,3.71,4.27,6.98,4.63,4.03,3.50
SEHSCT,81236,1997,188,9233,531,771,10376,13870,4515,3714,2916,2616,782,4157,4764,9484,3820,4231,3271,2.46,0.23,11.37,0.65,0.95,12.77,17.07,5.56,4.57,3.59,3.22,0.96,5.12,5.86,11.67,4.70,5.21,4.03
SHSCT,83677,4362,413,15667,372,1214,14215,14751,5372,2760,1835,1402,525,3306,3289,4661,3456,3362,2715,5.21,0.49,18.72,0.44,1.45,16.99,17.63,6.42,3.30,2.19,1.68,0.63,3.95,3.93,5.57,4.13,4.02,3.24
WHSCT,62164,3954,545,8578,417,660,10693,10088,3359,2656,1749,1428,497,2101,2768,3730,3234,3484,2223,6.36,0.88,13.80,0.67,1.06,17.20,16.23,5.40,4.27,2.81,2.30,0.80,3.38,4.45,6.00,5.20,5.60,3.58
BELB,59097,108,53,5455,354,686,4371,9710,3827,4150,3666,2580,672,3924,3060,5175,3898,4660,2748,0.18,0.09,9.23,0.60,1.16,7.40,16.43,6.48,7.02,6.20,4.37,1.14,6.64,5.18,8.76,6.60,7.89,4.65
NEELB,101241,3891,462,16448,928,1173,15310,17400,7525,4072,2857,2244,764,3782,4433,7355,4807,4226,3564,3.84,0.46,16.25,0.92,1.16,15.12,17.19,7.43,4.02,2.82,2.22,0.75,3.74,4.38,7.26,4.75,4.17,3.52
SEELB,97291,2092,212,11091,667,920,11792,16506,5355,4462,3809,3336,974,5123,5546,11374,4760,5331,3941,2.15,0.22,11.40,0.69,0.95,12.12,16.97,5.50,4.59,3.92,3.43,1.00,5.27,5.70,11.69,4.89,5.48,4.05
SELB,92337,5061,477,17626,408,1309,16028,16187,5778,3002,1959,1506,567,3605,3551,4979,3735,3564,2995,5.48,0.52,19.09,0.44,1.42,17.36,17.53,6.26,3.25,2.12,1.63,0.61,3.90,3.85,5.39,4.04,3.86,3.24
WELB,62164,3954,545,8578,417,660,10693,10088,3359,2656,1749,1428,497,2101,2768,3730,3234,3484,2223,6.36,0.88,13.80,0.67,1.06,17.20,16.23,5.40,4.27,2.81,2.30,0.80,3.38,4.45,6.00,5.20,5.60,3.58
UKN01,59097,108,53,5455,354,686,4371,9710,3827,4150,3666,2580,672,3924,3060,5175,3898,4660,2748,0.18,0.09,9.23,0.60,1.16,7.40,16.43,6.48,7.02,6.20,4.37,1.14,6.64,5.18,8.76,6.60,7.89,4.65
UKN02,92493,895,197,11763,815,896,8999,16583,6320,3926,4009,3478,944,4822,5173,10403,4844,4801,3625,0.97,0.21,12.72,0.88,0.97,9.73,17.93,6.83,4.24,4.33,3.76,1.02,5.21,5.59,11.25,5.24,5.19,3.92
UKN03,104503,4018,379,17085,765,1282,15951,17731,6807,4236,2868,2185,749,4130,5114,8628,4139,4788,3648,3.84,0.36,16.35,0.73,1.23,15.26,16.97,6.51,4.05,2.74,2.09,0.72,3.95,4.89,8.26,3.96,4.58,3.49
UKN04,59898,3033,257,8192,387,651,9447,9862,3344,2905,1690,1216,564,2179,2941,4012,3543,3275,2400,5.06,0.43,13.68,0.65,1.09,15.77,16.46,5.58,4.85,2.82,2.03,0.94,3.64,4.91,6.70,5.92,5.47,4.01
UKN05,96139,7052,863,16703,453,1233,19426,16005,5546,3125,1807,1635,545,3480,3070,4395,4010,3741,3050,7.34,0.90,17.37,0.47,1.28,20.21,16.65,5.77,3.25,1.88,1.70,0.57,3.62,3.19,4.57,4.17,3.89,3.17
95AA,13322,435,31,1912,74,177,1866,2170,1229,601,408,264,76,495,606,1310,473,794,401,3.27,0.23,14.35,0.56,1.33,14.01,16.29,9.23,4.51,3.06,1.98,0.57,3.72,4.55,9.83,3.55,5.96,3.01
95BB,18220,756,61,2265,132,200,2503,3047,1066,793,580,524,148,789,1158,2050,666,779,703,4.15,0.33,12.43,0.72,1.10,13.74,16.72,5.85,4.35,3.18,2.88,0.81,4.33,6.36,11.25,3.66,4.28,3.86
95CC,14128,1081,108,2183,52,251,2275,2617,989,400,267,239,77,491,551,883,561,634,469,7.65,0.76,15.45,0.37,1.78,16.10,18.52,7.00,2.83,1.89,1.69,0.55,3.48,3.90,6.25,3.97,4.49,3.32
95DD,15788,787,76,3474,125,220,2378,2764,930,501,370,237,96,526,598,911,626,643,526,4.98,0.48,22.00,0.79,1.39,15.06,17.51,5.89,3.17,2.34,1.50,0.61,3.33,3.79,5.77,3.97,4.07,3.33
95EE,7171,502,34,1320,35,78,1449,1191,413,215,110,96,58,247,272,393,276,241,241,7.00,0.47,18.41,0.49,1.09,20.21,16.61,5.76,3.00,1.53,1.34,0.81,3.44,3.79,5.48,3.85,3.36,3.36
95FF,11945,634,52,1740,68,138,2011,2055,784,386,310,232,77,536,615,1048,436,435,388,5.31,0.44,14.57,0.57,1.16,16.84,17.20,6.56,3.23,2.60,1.94,0.64,4.49,5.15,8.77,3.65,3.64,3.25
95GG,59097,108,53,5455,354,686,4371,9710,3827,4150,3666,2580,672,3924,3060,5175,3898,4660,2748,0.18,0.09,9.23,0.60,1.16,7.40,16.43,6.48,7.02,6.20,4.37,1.14,6.64,5.18,8.76,6.60,7.89,4.65
95HH,9189,63,41,1463,180,104,935,1557,862,332,340,323,74,384,544,846,468,326,347,0.69,0.45,15.92,1.96,1.13,10.18,16.94,9.38,3.61,3.70,3.52,0.81,4.18,5.92,9.21,5.09,3.55,3.78
95II,16055,95,24,1858,136,149,1416,2636,840,748,893,720,192,966,782,1890,940,1100,670,0.59,0.15,11.57,0.85,0.93,8.82,16.42,5.23,4.66,5.56,4.48,1.20,6.02,4.87,11.77,5.85,6.85,4.17
95JJ,13122,562,50,1684,64,92,1543,2505,649,908,267,214,127,599,632,1035,942,608,641,4.28,0.38,12.83,0.49,0.70,11.76,19.09,4.95,6.92,2.03,1.63,0.97,4.56,4.82,7.89,7.18,4.63,4.88
95KK,8660,699,64,1959,36,95,1813,1436,406,242,124,104,42,299,262,318,279,202,280,8.07,0.74,22.62,0.42,1.10,20.94,16.58,4.69,2.79,1.43,1.20,0.48,3.45,3.03,3.67,3.22,2.33,3.23
95LL,21615,448,43,4926,94,277,2771,4078,1284,859,568,397,167,851,986,1343,847,976,700,2.07,0.20,22.79,0.43,1.28,12.82,18.87,5.94,3.97,2.63,1.84,0.77,3.94,4.56,6.21,3.92,4.52,3.24
95MM,20649,334,42,2870,132,295,2296,3421,1289,1108,930,547,231,760,1226,1237,1442,1630,859,1.62,0.20,13.90,0.64,1.43,11.12,16.57,6.24,5.37,4.50,2.65,1.12,3.68,5.94,5.99,6.98,7.89,4.16
95NN,15918,657,51,1398,87,176,3293,2462,671,840,438,374,132,699,816,1421,811,937,655,4.13,0.32,8.78,0.55,1.11,20.69,15.47,4.22,5.28,2.75,2.35,0.83,4.39,5.13,8.93,5.09,5.89,4.11
95OO,13955,1075,92,3608,67,138,2307,2073,825,326,218,169,59,526,456,493,589,459,475,7.70,0.66,25.85,0.48,0.99,16.53,14.85,5.91,2.34,1.56,1.21,0.42,3.77,3.27,3.53,4.22,3.29,3.40
95PP,14749,1295,257,2114,66,126,2600,2606,783,654,299,429,84,455,524,765,590,619,483,8.78,1.74,14.33,0.45,0.85,17.63,17.67,5.31,4.43,2.03,2.91,0.57,3.08,3.55,5.19,4.00,4.20,3.27
95QQ,7695,301,65,1370,185,94,1129,1155,843,256,194,157,53,234,335,545,280,224,275,3.91,0.84,17.80,2.40,1.22,14.67,15.01,10.96,3.33,2.52,2.04,0.69,3.04,4.35,7.08,3.64,2.91,3.57
95RR,7010,391,53,887,74,73,1686,909,329,262,116,106,61,230,396,634,286,307,210,5.58,0.76,12.65,1.06,1.04,24.05,12.97,4.69,3.74,1.65,1.51,0.87,3.28,5.65,9.04,4.08,4.38,3.00
95SS,28211,493,59,3607,176,249,2968,5326,1765,1190,968,924,249,1430,1322,3413,1421,1593,1058,1.75,0.21,12.79,0.62,0.88,10.52,18.88,6.26,4.22,3.43,3.28,0.88,5.07,4.69,12.10,5.04,5.65,3.75
95TT,11010,683,92,1967,55,112,3139,1500,503,318,203,171,70,365,259,458,449,378,288,6.20,0.84,17.87,0.50,1.02,28.51,13.62,4.57,2.89,1.84,1.55,0.64,3.32,2.35,4.16,4.08,3.43,2.62
95UU,3793,405,17,386,23,48,803,529,256,176,87,65,34,129,130,203,200,152,150,10.68,0.45,10.18,0.61,1.27,21.17,13.95,6.75,4.64,2.29,1.71,0.90,3.40,3.43,5.35,5.27,4.01,3.95
95VV,22034,1124,118,3210,91,410,4851,3928,1490,789,472,365,145,902,681,894,1023,858,683,5.10,0.54,14.57,0.41,1.86,22.02,17.83,6.76,3.58,2.14,1.66,0.66,4.09,3.09,4.06,4.64,3.89,3.10
95WW,20151,153,56,2872,187,248,2068,4029,1840,765,878,717,176,803,1057,1654,1093,860,695,0.76,0.28,14.25,0.93,1.23,10.26,19.99,9.13,3.80,4.36,3.56,0.87,3.98,5.25,8.21,5.42,4.27,3.45
95XX,18887,91,17,1963,136,146,1612,3035,1013,891,930,794,253,1239,1468,2600,922,922,855,0.48,0.09,10.39,0.72,0.77,8.53,16.07,5.36,4.72,4.92,4.20,1.34,6.56,7.77,13.77,4.88,4.88,4.53
95YY,11603,1095,132,1662,86,101,2441,1845,550,396,224,158,68,442,337,584,519,591,372,9.44,1.14,14.32,0.74,0.87,21.04,15.90,4.74,3.41,1.93,1.36,0.59,3.81,2.90,5.03,4.47,5.09,3.21
95ZZ,8153,839,61,1045,59,65,1670,1307,408,236,180,188,53,214,285,510,397,337,299,10.29,0.75,12.82,0.72,0.80,20.48,16.03,5.00,2.89,2.21,2.31,0.65,2.62,3.50,6.26,4.87,4.13,3.67
