GeographyCode,KS601NI0001,KS601NI0002,KS601NI0003,KS601NI0004,KS601NI0005,KS601NI0006,KS601NI0007,KS601NI0008,KS601NI0009,KS601NI0010,KS601NI0011,KS601NI0012,KS601NI0013,KS601NI0014,KS601NI0015,KS601NI0016,KS601NI0017,KS601NI0018,KS601NI0019,KS601NI0020,KS601NI0021,KS601NI0022,KS601NI0023,KS601NI0024,KS601NI0025,KS601NI0026,KS601NI0027,KS601NI0028,KS601NI0029,KS601NI0030,KS601NI0031
N92000002,1313420,172138,467805,116666,65196,47962,170016,81158,58398,95480,38601,205513,18870,10827,10957,29324,13.11,35.62,8.88,4.96,3.65,12.94,6.18,4.45,7.27,2.94,15.65,28.94,16.61,16.81,44.98
BHSCT,257160,33052,92399,14359,13417,13421,31330,17943,11184,22198,7857,41284,4029,2093,2739,5814,12.85,35.93,5.58,5.22,5.22,12.18,6.98,4.35,8.63,3.06,16.05,30.03,15.60,20.41,43.33
NHSCT,335761,44676,124329,31719,14663,11706,45739,19771,13990,20527,8641,51908,4293,2622,2087,6429,13.31,37.03,9.45,4.37,3.49,13.62,5.89,4.17,6.11,2.57,15.46,29.28,17.88,14.23,43.85
SEHSCT,251647,34750,93428,23798,10494,8079,37460,13345,9843,14501,5949,41237,3118,1975,1458,4557,13.81,37.13,9.46,4.17,3.21,14.89,5.30,3.91,5.76,2.36,16.39,29.71,18.82,13.89,43.42
SHSCT,256035,33365,91469,26343,13089,7929,29837,15294,12051,18821,7837,38576,3720,2097,1987,6039,13.03,35.73,10.29,5.11,3.10,11.65,5.97,4.71,7.35,3.06,15.07,28.42,16.02,15.18,46.14
WHSCT,212817,26295,66180,20447,13533,6827,25650,14805,11330,19433,8317,32508,3710,2040,2686,6485,12.36,31.10,9.61,6.36,3.21,12.05,6.96,5.32,9.13,3.91,15.28,27.41,15.07,19.85,47.92
BELB,208609,26300,71906,10938,11832,11690,24126,15424,9704,19833,6856,32972,3557,1771,2534,5127,12.61,34.47,5.24,5.67,5.60,11.57,7.39,4.65,9.51,3.29,15.81,30.06,14.97,21.42,43.33
NEELB,309116,41242,115570,28574,13410,10879,42768,17926,12644,18368,7735,48201,3960,2429,1874,5853,13.34,37.39,9.24,4.34,3.52,13.84,5.80,4.09,5.94,2.50,15.59,29.53,18.11,13.97,43.65
SEELB,300198,41502,113921,27219,12079,9810,44664,15864,11323,16866,6950,49549,3590,2297,1663,5244,13.82,37.95,9.07,4.02,3.27,14.88,5.28,3.77,5.62,2.32,16.51,29.72,19.02,13.77,43.41
SELB,282680,36799,100228,29488,14342,8756,32808,17139,13397,20980,8743,42283,4053,2290,2200,6615,13.02,35.46,10.43,5.07,3.10,11.61,6.06,4.74,7.42,3.09,14.96,28.26,15.97,15.34,46.12
