GeographyCode,KS103NI0001,KS103NI0002,KS103NI0003,KS103NI0004,KS103NI0005,KS103NI0006,KS103NI0007,KS103NI0008,KS103NI0009,KS103NI0010,KS103NI0011,KS103NI0012,KS103NI0013
N92000002,1431540,517393,680831,1243,56911,78074,97088,36.14,47.56,0.09,3.98,5.45,6.78
BHSCT,283079,123572,106429,367,14029,17296,21386,43.65,37.60,0.13,4.96,6.11,7.55
NHSCT,366872,122083,186881,276,13220,19742,24670,33.28,50.94,0.08,3.60,5.38,6.72
SEHSCT,275606,87369,142327,263,10185,16577,18885,31.70,51.64,0.10,3.70,6.01,6.85
SHSCT,276654,96812,138811,176,9799,13396,17660,34.99,50.17,0.06,3.54,4.84,6.38
WHSCT,229329,87557,106383,161,9678,11063,14487,38.18,46.39,0.07,4.22,4.82,6.32
BELB,228679,106568,78242,327,12228,14153,17161,46.60,34.21,0.14,5.35,6.19,7.50
NEELB,338153,111843,172315,254,12269,18568,22904,33.07,50.96,0.08,3.63,5.49,6.77
SEELB,330006,104373,170514,303,11986,19720,23110,31.63,51.67,0.09,3.63,5.98,7.00
SELB,305373,107052,153377,198,10750,14570,19426,35.06,50.23,0.06,3.52,4.77,6.36
WELB,229329,87557,106383,161,9678,11063,14487,38.18,46.39,0.07,4.22,4.82,6.32
UKN01,228679,106568,78242,327,12228,14153,17161,46.60,34.21,0.14,5.35,6.19,7.50
UKN02,311648,99323,159242,289,11899,18812,22083,31.87,51.10,0.09,3.82,6.04,7.09
UKN03,346252,112107,178580,278,12713,19523,23051,32.38,51.58,0.08,3.67,5.64,6.66
UKN04,226804,85315,104953,169,9595,12392,14380,37.62,46.27,0.07,4.23,5.46,6.34
UKN05,318157,114080,159814,180,10476,13194,20413,35.86,50.23,0.06,3.29,4.15,6.42
95AA,41479,13670,21430,31,1636,2245,2467,32.96,51.66,0.07,3.94,5.41,5.95
95BB,62813,17980,34143,50,2125,4006,4509,28.62,54.36,0.08,3.38,6.38,7.18
95CC,46195,15772,23724,17,1530,1978,3174,34.14,51.36,0.04,3.31,4.28,6.87
95DD,51185,16172,26821,31,1847,2807,3507,31.60,52.40,0.06,3.61,5.48,6.85
95EE,24608,8041,12923,16,769,1287,1572,32.68,52.52,0.07,3.13,5.23,6.39
95FF,37527,11854,20199,25,1206,1895,2348,31.59,53.83,0.07,3.21,5.05,6.26
95GG,228679,106568,78242,327,12228,14153,17161,46.60,34.21,0.14,5.35,6.19,7.50
95HH,31409,9529,16132,33,1342,2038,2335,30.34,51.36,0.11,4.27,6.49,7.43
95II,54400,17004,28187,40,1801,3143,4225,31.26,51.81,0.07,3.31,5.78,7.77
95JJ,47617,16559,23273,29,1501,2920,3335,34.78,48.88,0.06,3.15,6.13,7.00
95KK,28719,10240,14566,22,951,1174,1766,35.66,50.72,0.08,3.31,4.09,6.15
95LL,72503,24927,35710,67,2917,4220,4662,34.38,49.25,0.09,4.02,5.82,6.43
95MM,83663,34794,34521,82,4619,4734,4913,41.59,41.26,0.10,5.52,5.66,5.87
95NN,54746,19108,27240,50,1957,2761,3630,34.90,49.76,0.09,3.57,5.04,6.63
95OO,44467,16212,22159,15,1443,1826,2812,36.46,49.83,0.03,3.25,4.11,6.32
95PP,48664,17255,24331,26,1568,2000,3484,35.46,50.00,0.05,3.22,4.11,7.16
95QQ,25999,8396,13037,24,1025,1589,1928,32.29,50.14,0.09,3.94,6.11,7.42
95RR,26293,9633,12869,20,941,1311,1519,36.64,48.94,0.08,3.58,4.99,5.78
95SS,93625,31445,47070,90,3890,5237,5893,33.59,50.28,0.10,4.15,5.59,6.29
95TT,34461,12211,18050,26,998,1166,2010,35.43,52.38,0.08,2.90,3.38,5.83
95UU,13603,4756,6670,11,498,695,973,34.96,49.03,0.08,3.66,5.11,7.15
95VV,75962,28047,37019,52,2703,3477,4664,36.92,48.73,0.07,3.56,4.58,6.14
95WW,67792,22509,33979,53,2653,3821,4777,33.20,50.12,0.08,3.91,5.64,7.05
95XX,64422,18836,33874,73,2213,4573,4853,29.24,52.58,0.11,3.44,7.10,7.53
95YY,39689,14343,19965,22,1283,1573,2503,36.14,50.30,0.06,3.23,3.96,6.31
95ZZ,31020,11532,14697,11,1267,1445,2068,37.18,47.38,0.04,4.08,4.66,6.67
