GeographyCode,KS107NI0001,KS107NI0002,KS107NI0003,KS107NI0004,KS107NI0005,KS107NI0006,KS107NI0007,KS107NI0008,KS107NI0009,KS107NI0010,KS107NI0011,KS107NI0012,KS107NI0013,KS107NI0014,KS107NI0015,KS107NI0016,KS107NI0017,KS107NI0018,KS107NI0019,KS107NI0020,KS107NI0021
UKN04,11453,3120,2023,6310,918,134,306,478,10535,2986,1717,5832,27.24,17.66,55.09,14.60,33.33,52.07,28.34,16.30,55.36
UKN05,11165,3082,2487,5596,1198,150,487,561,9967,2932,2000,5035,27.60,22.27,50.12,12.52,40.65,46.83,29.42,20.07,50.52
95AA,1658,591,431,636,123,11,63,49,1535,580,368,587,35.65,26.00,38.36,8.94,51.22,39.84,37.79,23.97,38.24
95BB,2301,801,621,879,209,29,99,81,2092,772,522,798,34.81,26.99,38.20,13.88,47.37,38.76,36.90,24.95,38.15
95CC,1669,538,388,743,207,25,101,81,1462,513,287,662,32.23,23.25,44.52,12.08,48.79,39.13,35.09,19.63,45.28
95DD,1810,617,470,723,180,21,93,66,1630,596,377,657,34.09,25.97,39.94,11.67,51.67,36.67,36.56,23.13,40.31
95EE,668,196,138,334,35,8,11,16,633,188,127,318,29.34,20.66,50.00,22.86,31.43,45.71,29.70,20.06,50.24
95FF,1320,373,392,555,129,15,71,43,1191,358,321,512,28.26,29.70,42.05,11.63,55.04,33.33,30.06,26.95,42.99
95GG,14119,4638,2239,7242,1020,131,360,529,13099,4507,1879,6713,32.85,15.86,51.29,12.84,35.29,51.86,34.41,14.34,51.25
95HH,1508,508,427,573,138,14,74,50,1370,494,353,523,33.69,28.32,38.00,10.14,53.62,36.23,36.06,25.77,38.18
95II,1799,673,503,623,167,24,96,47,1632,649,407,576,37.41,27.96,34.63,14.37,57.49,28.14,39.77,24.94,35.29
95JJ,1889,585,433,871,174,31,71,72,1715,554,362,799,30.97,22.92,46.11,17.82,40.80,41.38,32.30,21.11,46.59
95KK,969,310,199,460,93,16,34,43,876,294,165,417,31.99,20.54,47.47,17.20,36.56,46.24,33.56,18.84,47.60
95LL,3358,1024,823,1511,314,29,143,142,3044,995,680,1369,30.49,24.51,45.00,9.24,45.54,45.22,32.69,22.34,44.97
95MM,5729,1562,884,3283,460,70,138,252,5269,1492,746,3031,27.26,15.43,57.30,15.22,30.00,54.78,28.32,14.16,57.53
95NN,2233,663,601,969,226,23,112,91,2007,640,489,878,29.69,26.91,43.39,10.18,49.56,40.27,31.89,24.36,43.75
95OO,1604,442,384,778,159,21,69,69,1445,421,315,709,27.56,23.94,48.50,13.21,43.40,43.40,29.13,21.80,49.07
95PP,1481,418,362,701,146,22,65,59,1335,396,297,642,28.22,24.44,47.33,15.07,44.52,40.41,29.66,22.25,48.09
95QQ,1148,387,322,439,107,16,54,37,1041,371,268,402,33.71,28.05,38.24,14.95,50.47,34.58,35.64,25.74,38.62
95RR,1135,258,242,635,91,8,34,49,1044,250,208,586,22.73,21.32,55.95,8.79,37.36,53.85,23.95,19.92,56.13
95SS,4628,1566,1076,1986,400,42,214,144,4228,1524,862,1842,33.84,23.25,42.91,10.50,53.50,36.00,36.05,20.39,43.57
95TT,926,248,210,468,87,13,38,36,839,235,172,432,26.78,22.68,50.54,14.94,43.68,41.38,28.01,20.50,51.49
95UU,496,142,86,268,40,3,13,24,456,139,73,244,28.63,17.34,54.03,7.50,32.50,60.00,30.48,16.01,53.51
95VV,3209,809,650,1750,383,41,132,210,2826,768,518,1540,25.21,20.26,54.53,10.70,34.46,54.83,27.18,18.33,54.49
95WW,3235,1153,905,1177,285,35,160,90,2950,1118,745,1087,35.64,27.98,36.38,12.28,56.14,31.58,37.90,25.25,36.85
95XX,2186,810,625,751,225,39,112,74,1961,771,513,677,37.05,28.59,34.35,17.33,49.78,32.89,39.32,26.16,34.52
95YY,1307,317,294,696,123,12,48,63,1184,305,246,633,24.25,22.49,53.25,9.76,39.02,51.22,25.76,20.78,53.46
95ZZ,1536,377,240,919,118,14,39,65,1418,363,201,854,24.54,15.63,59.83,11.86,33.05,55.08,25.60,14.17,60.23
