GeographyCode,KS612NI0001,KS612NI0002,KS612NI0003,KS612NI0004,KS612NI0005,KS612NI0006,KS612NI0007,KS612NI0008,KS612NI0009,KS612NI0010,KS612NI0011,KS612NI0012,KS612NI0013,KS612NI0014,KS612NI0015,KS612NI0016,KS612NI0017,KS612NI0018,KS612NI0019,KS612NI0020,KS612NI0021,KS612NI0022,KS612NI0023
N92000002,647369,11776,49908,100312,48399,94711,62942,71404,100922,26904,19349,60742,1.82,7.71,15.50,7.48,14.63,9.72,11.03,15.59,4.16,2.99,9.38
BHSCT,124707,1997,13344,20355,10894,9406,10976,14879,17351,6843,3895,14767,1.60,10.70,16.32,8.74,7.54,8.80,11.93,13.91,5.49,3.12,11.84
NHSCT,165437,3177,11734,25358,11629,26214,18041,18334,27126,5069,4076,14679,1.92,7.09,15.33,7.03,15.85,10.91,11.08,16.40,3.06,2.46,8.87
SEHSCT,123169,2950,11232,23467,11842,18197,11627,12041,15120,3425,2986,10282,2.40,9.12,19.05,9.61,14.77,9.44,9.78,12.28,2.78,2.42,8.35
SHSCT,128028,2204,7844,17346,7310,22724,12564,14517,23366,5053,4086,11014,1.72,6.13,13.55,5.71,17.75,9.81,11.34,18.25,3.95,3.19,8.60
WHSCT,106028,1448,5754,13786,6724,18170,9734,11633,17959,6514,4306,10000,1.37,5.43,13.00,6.34,17.14,9.18,10.97,16.94,6.14,4.06,9.43
BELB,101270,1402,10317,15592,8443,7086,8697,12407,14863,6304,3445,12714,1.38,10.19,15.40,8.34,7.00,8.59,12.25,14.68,6.22,3.40,12.55
NEELB,152114,2963,11124,23865,11107,23352,16689,16993,24344,4483,3712,13482,1.95,7.31,15.69,7.30,15.35,10.97,11.17,16.00,2.95,2.44,8.86
SEELB,146606,3545,14259,28230,14293,20517,13906,14513,17608,3964,3436,12335,2.42,9.73,19.26,9.75,13.99,9.49,9.90,12.01,2.70,2.34,8.41
SELB,141351,2418,8454,18839,7832,25586,13916,15858,26148,5639,4450,12211,1.71,5.98,13.33,5.54,18.10,9.84,11.22,18.50,3.99,3.15,8.64
WELB,106028,1448,5754,13786,6724,18170,9734,11633,17959,6514,4306,10000,1.37,5.43,13.00,6.34,17.14,9.18,10.97,16.94,6.14,4.06,9.43
UKN01,101270,1402,10317,15592,8443,7086,8697,12407,14863,6304,3445,12714,1.38,10.19,15.40,8.34,7.00,8.59,12.25,14.68,6.22,3.40,12.55
UKN02,137423,3507,14197,27170,13877,15048,13810,14337,16534,3459,2986,12498,2.55,10.33,19.77,10.10,10.95,10.05,10.43,12.03,2.52,2.17,9.09
UKN03,156921,3127,11033,25081,11862,25408,16843,17993,24582,4530,4060,12402,1.99,7.03,15.98,7.56,16.19,10.73,11.47,15.67,2.89,2.59,7.90
UKN04,103684,1519,6079,14115,6956,16635,9586,11502,16859,5991,4226,10216,1.47,5.86,13.61,6.71,16.04,9.25,11.09,16.26,5.78,4.08,9.85
UKN05,148071,2221,8282,18354,7261,30534,14006,15165,28084,6620,4632,12912,1.50,5.59,12.40,4.90,20.62,9.46,10.24,18.97,4.47,3.13,8.72
95AA,18999,396,1312,3305,1508,2843,2074,2032,3120,541,400,1468,2.08,6.91,17.40,7.94,14.96,10.92,10.70,16.42,2.85,2.11,7.73
95BB,28032,581,2092,4882,2794,4771,2913,2940,3760,608,676,2015,2.07,7.46,17.42,9.97,17.02,10.39,10.49,13.41,2.17,2.41,7.19
95CC,21391,363,1244,2960,1312,4224,2069,2181,3714,840,641,1843,1.70,5.82,13.84,6.13,19.75,9.67,10.20,17.36,3.93,3.00,8.62
95DD,22991,503,1645,3472,1317,3709,2719,3158,3676,601,493,1698,2.19,7.15,15.10,5.73,16.13,11.83,13.74,15.99,2.61,2.14,7.39
95EE,11298,186,569,1336,628,2385,1155,1275,2035,447,342,940,1.65,5.04,11.83,5.56,21.11,10.22,11.29,18.01,3.96,3.03,8.32
95FF,17280,342,1317,2794,1310,3242,1700,1643,2703,411,425,1393,1.98,7.62,16.17,7.58,18.76,9.84,9.51,15.64,2.38,2.46,8.06
