CODE,NAME
95AA01S1,Aldergrove_1
95AA01S2,Aldergrove_2
95AA01S3,Aldergrove_3
95AA02W1,Balloo
95AA03W1,Ballycraigy
95AA04W1,Clady
95AA05W1,Cranfield
95AA06S1,Crumlin_1_Antrim
95AA06S2,Crumlin_2_Antrim
95AA07W1,Drumanaway
95AA08W1,Farranshane
95AA09W1,Fountain Hill
95AA10W1,Greystone_Antrim
95AA11S1,Massereene_1
95AA11S2,Massereene_2
95AA12W1,Parkgate
95AA13S1,Randalstown_1
95AA13S2,Randalstown_2
95AA14W1,Shilvodan
95AA15S1,Springfarm_1
95AA15S2,Springfarm_2
95AA16W1,Steeple
95AA17W1,Stiles
95AA18W1,Templepatrick
95AA19W1,Toome
95BB01S1,Ballygowan_1
95BB01S2,Ballygowan_2
95BB02W1,Ballyrainey
95BB03S1,Ballywalter_1
95BB03S2,Ballywalter_2
95BB04S1,Bradshaw's Brae_1
95BB04S2,Bradshaw's Brae_2
95BB05S1,Carrowdore_1
95BB05S2,Carrowdore_2
95BB06W1,Central_Ards
95BB07S1,Comber East_1
95BB07S2,Comber East_2
95BB08S1,Comber North_1
95BB08S2,Comber North_2
95BB09S1,Comber West_1
95BB09S2,Comber West_2
95BB10S1,Donaghadee North_1
95BB10S2,Donaghadee North_2
95BB11S1,Donaghadee South_1
95BB11S2,Donaghadee South_2
95BB12S1,Glen_1
95BB12S2,Glen_2
95BB13S1,Gregstown_1
95BB13S2,Gregstown_2
95BB13S3,Gregstown_3
95BB14S1,Killinchy_1
95BB14S2,Killinchy_2
95BB15S1,Kircubbin_1
95BB15S2,Kircubbin_2
95BB16S1,Lisbane_1
95BB16S2,Lisbane_2
95BB17S1,Loughries_1
95BB17S2,Loughries_2
95BB18S1,Millisle_1
95BB18S2,Millisle_2
95BB19S1,Movilla_1
95BB19S2,Movilla_2
95BB19S3,Movilla_3
95BB20S1,Portaferry_1
95BB20S2,Portaferry_2
95BB21S1,Portavogie_1
95BB21S2,Portavogie_2
95BB22S1,Scrabo_1
95BB22S2,Scrabo_2
95BB23S1,Whitespots_1
95BB23S2,Whitespots_2
95CC01W1,Abbey Park
95CC02W1,Ballymartrim
95CC03W1,Callan Bridge
95CC04W1,Carrigatuke
95CC05W1,Charlemont
95CC06S1,Demesne_1
95CC06S2,Demesne_2
95CC07W1,Derrynoose
95CC08W1,Downs
95CC09S1,Hamiltonsbawn_1
95CC09S2,Hamiltonsbawn_2
95CC10W1,Hockley
95CC11W1,Keady
95CC12W1,Killeen
95CC13W1,Killylea
95CC14W1,Laurelvale
95CC15W1,Loughgall
95CC16W1,Markethill
95CC17W1,Milford
95CC18W1,Observatory
95CC19W1,Poyntz Pass
95CC20S1,Rich Hill_1
95CC20S2,Rich Hill_2
95CC21W1,Tandragee
95CC22W1,The Mall
95DD01W1,Academy
95DD02S1,Ahoghill_1
95DD02S2,Ahoghill_2
95DD03W1,Ardeevin
95DD04W1,Ballee
95DD05W1,Ballykeel
95DD06W1,Ballyloughan
95DD07S1,Broughshane_1
95DD07S2,Broughshane_2
95DD08W1,Castle Demesne
95DD09W1,Craigywarren
95DD10W1,Cullybackey
95DD11W1,Dunclug
95DD12W1,Dunminning
95DD13W1,Fair Green
95DD14S1,Galgorm_1
95DD14S2,Galgorm_2
