GeographyCode,LC2118NI0001,LC2118NI0002,LC2118NI0003,LC2118NI0004,LC2118NI0005,LC2118NI0006,LC2118NI0007,LC2118NI0008,LC2118NI0009,LC2118NI0010,LC2118NI0011,LC2118NI0012,LC2118NI0013,LC2118NI0014,LC2118NI0015,LC2118NI0016,LC2118NI0017,LC2118NI0018,LC2118NI0019,LC2118NI0020,LC2118NI0021,LC2118NI0022,LC2118NI0023,LC2118NI0024,LC2118NI0025,LC2118NI0026,LC2118NI0027,LC2118NI0028
95XX06S1,755,69,603,83,241,23,203,15,481,42,380,59,229,20,187,22,154,14,117,23,98,8,76,14,33,4,20,9
95XX06S2,843,72,672,99,254,22,200,32,549,46,444,59,342,32,276,34,106,6,89,11,101,8,79,14,40,4,28,8
95XX07S1,633,65,524,44,168,15,144,9,447,48,366,33,269,36,213,20,60,4,50,6,118,8,103,7,18,2,14,2
95XX07S2,645,66,539,40,251,19,221,11,369,42,301,26,225,24,183,18,38,6,29,3,106,12,89,5,25,5,17,3
95XX08S1,591,187,370,34,209,57,142,10,358,124,214,20,229,88,132,9,34,4,25,5,95,32,57,6,24,6,14,4
95XX08S2,582,103,455,24,186,28,152,6,374,68,288,18,222,42,168,12,45,9,33,3,107,17,87,3,22,7,15,0
95XX09S1,629,54,542,33,251,17,221,13,352,35,297,20,194,23,162,9,54,1,45,8,104,11,90,3,26,2,24,0
95XX09S2,626,73,515,38,203,24,173,6,392,44,317,31,228,25,182,21,53,9,41,3,111,10,94,7,31,5,25,1
95XX10S1,676,62,542,72,166,18,136,12,483,40,389,54,254,27,206,21,144,10,113,21,85,3,70,12,27,4,17,6
95XX10S2,678,69,527,82,136,14,105,17,501,51,391,59,342,33,270,39,72,13,49,10,87,5,72,10,41,4,31,6
95XX10S3,488,33,418,37,122,5,109,8,340,24,288,28,165,6,148,11,103,10,83,10,72,8,57,7,26,4,21,1
95XX11S1,998,66,830,102,247,14,203,30,709,48,594,67,426,33,358,35,124,5,111,8,159,10,125,24,42,4,33,5
95XX11S2,905,85,706,114,226,19,176,31,634,63,494,77,384,34,306,44,112,14,84,14,138,15,104,19,45,3,36,6
95XX11S3,718,57,554,107,260,22,221,17,424,31,315,78,164,14,123,27,166,12,125,29,94,5,67,22,34,4,18,12
95XX12W1,1002,138,792,72,238,30,196,12,728,101,568,59,471,78,353,40,52,6,42,4,205,17,173,15,36,7,28,1
95XX13W1,1176,128,953,95,297,22,253,22,836,99,669,68,537,76,412,49,62,8,44,10,237,15,213,9,43,7,31,5
95XX14W1,955,171,714,70,222,39,172,11,696,125,515,56,462,88,338,36,48,9,34,5,186,28,143,15,37,7,27,3
95XX15W1,1192,89,995,108,481,32,410,39,649,50,536,63,318,29,267,22,176,8,141,27,155,13,128,14,62,7,49,6
95XX16W1,1392,100,1210,82,420,40,365,15,927,56,811,60,551,35,482,34,89,10,70,9,287,11,259,17,45,4,34,7
95XX17S1,763,199,451,113,360,89,217,54,312,81,188,43,136,32,88,16,86,19,58,9,90,30,42,18,91,29,46,16
95XX17S2,662,100,479,83,223,31,172,20,394,59,279,56,232,39,159,34,62,8,42,12,100,12,78,10,45,10,28,7
95XX18W1,1348,383,839,126,553,141,365,47,707,217,424,66,393,120,243,30,141,44,81,16,173,53,100,20,88,25,50,13
95XX19W1,1106,223,792,91,340,65,242,33,729,152,523,54,485,115,335,35,75,14,52,9,169,23,136,10,37,6,27,4
95XX20S1,909,200,650,59,356,76,266,14,508,117,353,38,249,59,173,17,151,34,106,11,108,24,74,10,45,7,31,7
95XX20S2,454,86,282,86,124,24,92,8,314,55,181,78,232,36,137,59,48,9,27,12,34,10,17,7,16,7,9,0
95XX21W1,1176,163,922,91,339,24,291,24,792,133,601,58,460,77,345,38,75,19,50,6,257,37,206,14,45,6,30,9
95XX22W1,1010,123,801,86,328,40,259,29,637,75,511,51,365,43,290,32,97,9,78,10,175,23,143,9,45,8,31,6
95XX23W1,1451,224,1081,146,536,69,427,40,828,139,591,98,434,76,313,45,178,26,129,23,216,37,149,30,87,16,63,8
95XX24S1,540,64,444,32,109,18,85,6,410,45,341,24,277,31,227,19,53,9,41,3,80,5,73,2,21,1,18,2
95XX24S2,644,80,513,51,220,25,185,10,409,53,319,37,228,38,171,19,57,7,44,6,124,8,104,12,15,2,9,4
95XX25W1,1096,121,855,120,406,44,330,32,632,70,481,81,290,35,220,35,189,18,145,26,153,17,116,20,58,7,44,7
95YY01W1,861,367,469,25,195,82,105,8,619,255,350,14,432,180,245,7,93,41,48,4,94,34,57,3,47,30,14,3
95YY02W1,883,454,389,40,275,120,143,12,558,305,232,21,333,192,126,15,149,82,64,3,76,31,42,3,50,29,14,7
95YY03W1,991,621,351,19,187,103,79,5,740,481,246,13,577,384,185,8,81,56,22,3,82,41,39,2,64,37,26,1
95YY04W1,1270,1052,183,35,295,246,44,5,881,724,130,27,545,448,81,16,194,159,33,2,142,117,16,9,94,82,9,3
95YY05W1,745,461,252,32,281,186,86,9,413,240,153,20,228,139,76,13,77,49,27,1,108,52,50,6,51,35,13,3
95YY06W1,858,673,160,25,234,172,53,9,567,458,94,15,373,303,64,6,126,106,17,3,68,49,13,6,57,43,13,1
95YY07W1,912,726,179,7,169,131,37,1,679,544,130,5,518,417,96,5,89,75,14,0,72,52,20,0,64,51,12,1
95YY08W1,789,536,239,14,215,138,71,6,522,359,155,8,381,249,126,6,87,69,17,1,54,41,12,1,52,39,13,0
95YY09W1,1014,249,722,43,363,104,244,15,584,108,454,22,341,47,280,14,112,20,87,5,131,41,87,3,67,37,24,6
95YY10W1,705,311,388,6,124,70,53,1,544,221,319,4,401,165,232,4,56,31,25,0,87,25,62,0,37,20,16,1
95YY11W1,820,561,249,10,273,179,91,3,501,349,147,5,309,215,92,2,111,83,26,2,81,51,29,1,46,33,11,2
95YY12W1,932,508,408,16,203,117,84,2,662,354,294,14,484,248,229,7,89,56,29,4,89,50,36,3,67,37,30,0
95YY13S1,542,504,31,7,118,111,5,2,387,358,25,4,228,211,14,3,105,100,5,0,54,47,6,1,37,35,1,1
95YY13S2,576,499,66,11,197,181,15,1,341,286,46,9,179,144,32,3,98,89,7,2,64,53,7,4,38,32,5,1
95YY14S1,559,470,81,8,148,120,27,1,374,318,50,6,229,194,31,4,93,82,10,1,52,42,9,1,37,32,4,1
95YY14S2,588,530,47,11,157,144,10,3,403,362,34,7,249,224,19,6,107,97,10,0,47,41,5,1,28,24,3,1
95YY15S1,200,112,82,6,101,61,39,1,94,47,42,5,45,26,17,2,21,9,10,2,28,12,15,1,5,4,1,0
95YY15S2,689,550,121,18,253,204,45,4,387,308,68,11,169,132,32,5,157,132,20,5,61,44,16,1,49,38,8,3
95YY16W1,798,491,298,9,164,102,58,4,585,361,219,5,443,276,163,4,80,58,21,1,62,27,35,0,49,28,21,0
95YY17W1,746,677,58,11,143,129,11,3,548,502,39,7,385,354,26,5,105,95,8,2,58,53,5,0,55,46,8,1
95YY18W1,746,554,186,6,168,120,46,2,533,400,131,2,395,295,99,1,77,62,14,1,61,43,18,0,45,34,9,2
95YY19W1,707,515,178,14,300,221,74,5,356,254,94,8,180,127,50,3,89,74,15,0,87,53,29,5,51,40,10,1
95YY20W1,721,680,37,4,149,135,12,2,530,506,22,2,421,404,15,2,59,58,1,0,50,44,6,0,42,39,3,0
95YY21W1,791,518,258,15,180,113,63,4,564,373,181,10,429,297,127,5,66,40,24,2,69,36,30,3,47,32,14,1
95ZZ01W1,994,417,560,17,221,88,131,2,702,296,393,13,461,203,251,7,131,62,65,4,110,31,77,2,71,33,36,2
95ZZ02W1,751,711,37,3,194,184,10,0,501,476,22,3,199,192,5,2,223,211,11,1,79,73,6,0,56,51,5,0
95ZZ03W1,884,536,340,8,332,194,133,5,486,309,174,3,254,167,86,1,137,96,41,0,95,46,47,2,66,33,33,0
95ZZ04W1,911,234,668,9,209,57,151,1,625,148,470,7,428,102,321,5,120,31,87,2,77,15,62,0,77,29,47,1
95ZZ05W1,769,346,417,6,210,97,111,2,500,221,275,4,358,166,191,1,85,32,51,2,57,23,33,1,59,28,31,0
95ZZ06W1,786,744,37,5,318,304,13,1,389,365,23,1,139,129,10,0,202,189,12,1,48,47,1,0,79,75,1,3
95ZZ07W1,1010,718,277,15,247,181,64,2,697,492,193,12,426,307,111,8,161,120,40,1,110,65,42,3,66,45,20,1
95ZZ08W1,934,627,295,12,270,182,82,6,581,382,193,6,382,264,112,6,131,74,57,0,68,44,24,0,83,63,20,0
95ZZ09W1,881,391,478,12,252,109,137,6,555,249,301,5,327,134,190,3,155,87,67,1,73,28,44,1,74,33,40,1
95ZZ10W1,1262,1092,156,14,398,349,47,2,780,677,95,8,455,396,55,4,205,187,16,2,120,94,24,2,84,66,14,4
95ZZ11W1,745,491,246,8,183,126,57,0,500,321,172,7,358,234,118,6,74,48,25,1,68,39,29,0,62,44,17,1
95ZZ12W1,868,502,362,4,242,145,96,1,570,320,247,3,317,183,132,2,136,83,52,1,117,54,63,0,56,37,19,0
95ZZ13W1,879,162,703,14,182,27,152,3,615,114,492,9,421,65,350,6,107,29,76,2,87,20,66,1,82,21,59,2
95ZZ14S1,617,571,39,7,114,102,11,1,456,426,24,6,266,249,14,3,142,132,7,3,48,45,3,0,47,43,4,0
95ZZ14S2,494,460,29,5,101,92,8,1,365,343,19,3,240,222,16,2,79,75,3,1,46,46,0,0,28,25,2,1
95ZZ15W1,804,393,399,12,165,73,89,3,591,291,291,9,403,198,199,6,98,56,40,2,90,37,52,1,48,29,19,0
95ZZ16S1,664,582,72,10,132,117,13,2,489,428,53,8,279,248,26,5,155,137,15,3,55,43,12,0,43,37,6,0
95ZZ16S2,564,519,39,6,211,188,22,1,308,291,13,4,175,167,5,3,70,65,4,1,63,59,4,0,45,40,4,1
