GeographyCode,LC4302NI0001,LC4302NI0002,LC4302NI0003,LC4302NI0004,LC4302NI0005,LC4302NI0006,LC4302NI0007,LC4302NI0008,LC4302NI0009,LC4302NI0010,LC4302NI0011,LC4302NI0012
95NN23S1,1562,277,1285,1332,218,1114,53,11,42,177,48,129
95NN23S2,1775,343,1432,1392,239,1153,119,42,77,264,62,202
95OO01W1,2546,480,2066,2283,401,1882,35,14,21,228,65,163
95OO02W1,2166,350,1816,1871,277,1594,83,33,50,212,40,172
95OO03W1,2621,501,2120,2044,391,1653,171,58,113,406,52,354
95OO04W1,2507,490,2017,1986,354,1632,115,51,64,406,85,321
95OO05W1,2688,534,2154,1037,256,781,743,199,544,908,79,829
95OO06W1,2860,454,2406,2317,375,1942,113,25,88,430,54,376
95OO07W1,2510,450,2060,2047,351,1696,121,46,75,342,53,289
95OO08W1,2674,478,2196,2302,389,1913,53,21,32,319,68,251
95OO09W1,2223,396,1827,1779,301,1478,105,41,64,339,54,285
95OO10W1,3460,741,2719,2369,482,1887,351,116,235,740,143,597
95OO11W1,2485,609,1876,1499,332,1167,487,172,315,499,105,394
95OO12W1,2788,502,2286,1919,344,1575,295,67,228,574,91,483
95OO13W1,2667,381,2286,1520,248,1272,187,52,135,960,81,879
95OO14W1,2588,436,2152,2132,325,1807,102,48,54,354,63,291
95OO15W1,2353,514,1839,1238,313,925,420,112,308,695,89,606
95OO16W1,2114,438,1676,1463,261,1202,215,87,128,436,90,346
95OO17W1,2724,500,2224,2312,411,1901,83,32,51,329,57,272
95OO18W1,2891,465,2426,1715,277,1438,232,95,137,944,93,851
95OO19W1,2989,476,2513,2293,371,1922,113,38,75,583,67,516
95OO20W1,2155,448,1707,1552,313,1239,166,70,96,437,65,372
95OO21W1,2351,482,1869,1421,292,1129,277,99,178,653,91,562
95OO22W1,3102,567,2535,2758,472,2286,68,27,41,276,68,208
95PP01W1,2586,473,2113,2198,378,1820,80,32,48,308,63,245
95PP02W1,2541,515,2026,2087,371,1716,112,46,66,342,98,244
95PP03W1,2512,517,1995,2000,387,1613,177,59,118,335,71,264
95PP04W1,3171,525,2646,2749,442,2307,41,7,34,381,76,305
95PP05W1,2329,437,1892,2060,355,1705,77,25,52,192,57,135
95PP06S1,1953,332,1621,1075,169,906,362,107,255,516,56,460
95PP06S2,1840,331,1509,1385,229,1156,109,52,57,346,50,296
95PP07W1,2728,471,2257,2256,355,1901,94,44,50,378,72,306
