ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
LC4104NI0001,Count,HOUSEHOLDS,"All categories: Household Composition, All categories: Number of cars or vans available in household"
LC4104NI0002,Count,HOUSEHOLDS,"All categories: Household Composition, Number of cars or vans available in household: No cars or vans"
LC4104NI0003,Count,HOUSEHOLDS,"All categories: Household Composition, Number of cars or vans available in household: 1 car or van"
LC4104NI0004,Count,HOUSEHOLDS,"All categories: Household Composition, Number of cars or vans available in household: 2 or more cars or vans"
LC4104NI0005,Count,HOUSEHOLDS,"One person household, All categories: Number of cars or vans available in household"
LC4104NI0006,Count,HOUSEHOLDS,"One person household, Number of cars or vans available in household: No cars or vans"
LC4104NI0007,Count,HOUSEHOLDS,"One person household, Number of cars or vans available in household: 1 car or van"
LC4104NI0008,Count,HOUSEHOLDS,"One person household, Number of cars or vans available in household: 2 or more cars or vans"
LC4104NI0009,Count,HOUSEHOLDS,"One family and no other people: Total, All categories: Number of cars or vans available in household"
LC4104NI0010,Count,HOUSEHOLDS,"One family and no other people: Total, Number of cars or vans available in household: No cars or vans"
LC4104NI0011,Count,HOUSEHOLDS,"One family and no other people: Total, Number of cars or vans available in household: 1 car or van"
LC4104NI0012,Count,HOUSEHOLDS,"One family and no other people: Total, Number of cars or vans available in household: 2 or more cars or vans"
LC4104NI0013,Count,HOUSEHOLDS,"One family and no other people: Married couple and same-sex civil partnership couple, All categories: Number of cars or vans available in household"
LC4104NI0014,Count,HOUSEHOLDS,"One family and no other people: Married couple and same-sex civil partnership couple, Number of cars or vans available in household: No cars or vans"
LC4104NI0015,Count,HOUSEHOLDS,"One family and no other people: Married couple and same-sex civil partnership couple, Number of cars or vans available in household: 1 car or van"
LC4104NI0016,Count,HOUSEHOLDS,"One family and no other people: Married couple and same-sex civil partnership couple, Number of cars or vans available in household: 2 or more cars or vans"
LC4104NI0017,Count,HOUSEHOLDS,"One family and no other people: Lone parent, All categories: Number of cars or vans available in household"
LC4104NI0018,Count,HOUSEHOLDS,"One family and no other people: Lone parent, Number of cars or vans available in household: No cars or vans"
LC4104NI0019,Count,HOUSEHOLDS,"One family and no other people: Lone parent, Number of cars or vans available in household: 1 car or van"
LC4104NI0020,Count,HOUSEHOLDS,"One family and no other people: Lone parent, Number of cars or vans available in household: 2 or more cars or vans"
LC4104NI0021,Count,HOUSEHOLDS,"One family and no other people: Other 'one family and no other people', All categories: Number of cars or vans available in household"
LC4104NI0022,Count,HOUSEHOLDS,"One family and no other people: Other 'one family and no other people', Number of cars or vans available in household: No cars or vans"
LC4104NI0023,Count,HOUSEHOLDS,"One family and no other people: Other 'one family and no other people', Number of cars or vans available in household: 1 car or van"
LC4104NI0024,Count,HOUSEHOLDS,"One family and no other people: Other 'one family and no other people', Number of cars or vans available in household: 2 or more cars or vans"
LC4104NI0025,Count,HOUSEHOLDS,"Other household types, All categories: Number of cars or vans available in household"
LC4104NI0026,Count,HOUSEHOLDS,"Other household types, Number of cars or vans available in household: No cars or vans"
LC4104NI0027,Count,HOUSEHOLDS,"Other household types, Number of cars or vans available in household: 1 car or van"
LC4104NI0028,Count,HOUSEHOLDS,"Other household types, Number of cars or vans available in household: 2 or more cars or vans"
