GeographyCode,LC4410NI0001,LC4410NI0002,LC4410NI0003,LC4410NI0004,LC4410NI0005,LC4410NI0006,LC4410NI0007,LC4410NI0008,LC4410NI0009
95AA01S1,368,310,58,362,305,57,6,5,1
95AA01S2,652,624,28,622,598,24,30,26,4
95AA01S3,633,588,45,552,533,19,81,55,26
95AA02W1,929,839,90,692,654,38,237,185,52
95AA03W1,880,845,35,835,806,29,45,39,6
95AA04W1,1061,1014,47,1037,991,46,24,23,1
95AA05W1,960,920,40,948,908,40,12,12,0
95AA06S1,741,710,31,667,643,24,74,67,7
95AA06S2,888,860,28,837,814,23,51,46,5
95AA07W1,854,820,34,834,803,31,20,17,3
95AA08W1,734,699,35,697,670,27,37,29,8
95AA09W1,975,943,32,841,819,22,134,124,10
95AA10W1,812,792,20,726,709,17,86,83,3
95AA11S1,1159,1123,36,1053,1024,29,106,99,7
95AA11S2,885,870,15,867,853,14,18,17,1
95AA12W1,1014,971,43,1006,965,41,8,6,2
95AA13S1,681,625,56,604,573,31,77,52,25
95AA13S2,631,614,17,588,573,15,43,41,2
95AA14W1,820,779,41,811,772,39,9,7,2
95AA15S1,1050,1013,37,933,903,30,117,110,7
95AA15S2,591,582,9,533,525,8,58,57,1
95AA16W1,865,832,33,705,687,18,160,145,15
95AA17W1,884,855,29,816,793,23,68,62,6
95AA18W1,1076,1004,72,962,922,40,114,82,32
95AA19W1,848,832,16,831,817,14,17,15,2
95BB01S1,577,548,29,575,546,29,2,2,0
95BB01S2,779,759,20,749,729,20,30,30,0
95BB02W1,1167,1126,41,834,809,25,333,317,16
95BB03S1,962,877,85,924,848,76,38,29,9
95BB03S2,1008,899,109,957,848,109,51,51,0
95BB04S1,665,638,27,601,581,20,64,57,7
95BB04S2,693,669,24,683,664,19,10,5,5
95BB05S1,600,564,36,587,554,33,13,10,3
95BB05S2,805,754,51,793,747,46,12,7,5
95BB06W1,1670,1518,152,1178,1066,112,492,452,40
95BB07S1,877,819,58,674,638,36,203,181,22
95BB07S2,506,496,10,505,495,10,1,1,0
95BB08S1,596,589,7,579,572,7,17,17,0
95BB08S2,487,479,8,480,472,8,7,7,0
95BB09S1,580,561,19,558,543,15,22,18,4
95BB09S2,752,692,60,663,626,37,89,66,23
95BB10S1,1002,874,128,743,652,91,259,222,37
95BB10S2,683,635,48,657,610,47,26,25,1
95BB11S1,643,621,22,563,546,17,80,75,5
95BB11S2,789,717,72,728,667,61,61,50,11
95BB12S1,663,626,37,611,578,33,52,48,4
95BB12S2,528,504,24,528,504,24,0,0,0
95BB13S1,519,508,11,515,504,11,4,4,0
95BB13S2,623,603,20,589,571,18,34,32,2
95BB13S3,586,576,10,581,571,10,5,5,0
95BB14S1,590,551,39,589,550,39,1,1,0
95BB14S2,661,621,40,650,615,35,11,6,5
95BB15S1,782,706,76,779,704,75,3,2,1
95BB15S2,626,581,45,614,570,44,12,11,1
95BB16S1,594,562,32,591,559,32,3,3,0
95BB16S2,637,614,23,629,608,21,8,6,2
95BB17S1,745,727,18,731,715,16,14,12,2
95BB17S2,702,672,30,699,669,30,3,3,0
95BB18S1,789,726,63,751,698,53,38,28,10
95BB18S2,970,912,58,962,906,56,8,6,2
95BB19S1,676,641,35,645,614,31,31,27,4
95BB19S2,605,599,6,599,593,6,6,6,0
95BB19S3,490,484,6,484,478,6,6,6,0
95BB20S1,745,677,68,730,665,65,15,12,3
95BB20S2,696,613,83,619,576,43,77,37,40
95BB21S1,1017,932,85,1004,919,85,13,13,0
95BB21S2,1060,889,171,1002,856,146,58,33,25
95BB22S1,619,596,23,536,522,14,83,74,9
95BB22S2,620,598,22,487,478,9,133,120,13
95BB23S1,654,638,16,636,621,15,18,17,1
95BB23S2,531,523,8,530,523,7,1,0,1
95CC01W1,956,904,52,864,830,34,92,74,18
95CC02W1,931,875,56,928,872,56,3,3,0
95CC03W1,1200,1127,73,978,944,34,222,183,39
95CC04W1,891,790,101,882,782,100,9,8,1
95CC05W1,1021,954,67,996,936,60,25,18,7
95CC06S1,611,579,32,596,570,26,15,9,6
95CC06S2,539,517,22,532,512,20,7,5,2
95CC07W1,1234,1108,126,1201,1077,124,33,31,2
95CC08W1,1056,990,66,995,942,53,61,48,13
95CC09S1,539,494,45,521,481,40,18,13,5
95CC09S2,751,696,55,747,692,55,4,4,0
95CC10W1,974,901,73,968,895,73,6,6,0
95CC11W1,896,786,110,802,726,76,94,60,34
95CC12W1,959,890,69,938,879,59,21,11,10
95CC13W1,869,817,52,860,808,52,9,9,0
95CC14W1,1192,1132,60,1191,1131,60,1,1,0
95CC15W1,1092,1007,85,1081,999,82,11,8,3
95CC16W1,1126,1076,50,1081,1033,48,45,43,2
95CC17W1,971,897,74,957,885,72,14,12,2
95CC18W1,1017,937,80,930,877,53,87,60,27
95CC19W1,1053,981,72,1036,967,69,17,14,3
95CC20S1,497,484,13,494,481,13,3,3,0
95CC20S2,668,643,25,623,598,25,45,45,0
95CC21W1,1237,1167,70,1156,1098,58,81,69,12
95CC22W1,911,842,69,751,705,46,160,137,23
95DD01W1,881,836,45,831,795,36,50,41,9
95DD02S1,615,599,16,566,552,14,49,47,2
95DD02S2,918,891,27,889,867,22,29,24,5
95DD03W1,1431,1389,42,1363,1332,31,68,57,11
