GeographyCode,LC2116NI0001,LC2116NI0002,LC2116NI0003,LC2116NI0004,LC2116NI0005,LC2116NI0006,LC2116NI0007,LC2116NI0008,LC2116NI0009
95DD12W1,2506,793,1713,1303,428,875,1203,365,838
95DD13W1,1709,214,1495,840,104,736,869,110,759
95DD14S1,1541,337,1204,732,172,560,809,165,644
95DD14S2,1636,346,1290,805,169,636,831,177,654
95DD15W1,3295,621,2674,1651,321,1330,1644,300,1344
95DD16W1,2892,903,1989,1478,481,997,1414,422,992
95DD17W1,3317,607,2710,1642,318,1324,1675,289,1386
95DD18W1,1822,390,1432,894,202,692,928,188,740
95DD19S1,1791,372,1419,854,201,653,937,171,766
95DD19S2,1422,409,1013,716,196,520,706,213,493
95DD20W1,1688,320,1368,824,152,672,864,168,696
95DD21W1,2055,376,1679,977,186,791,1078,190,888
95DD22S1,1507,302,1205,751,157,594,756,145,611
95DD22S2,1505,306,1199,765,161,604,740,145,595
95DD23W1,2438,922,1516,1244,484,760,1194,438,756
95DD24W1,2616,264,2352,1274,145,1129,1342,119,1223
95EE01W1,1821,264,1557,921,132,789,900,132,768
95EE02W1,2004,713,1291,1017,359,658,987,354,633
95EE03W1,1924,558,1366,927,270,657,997,288,709
95EE04W1,1923,514,1409,946,268,678,977,246,731
95EE05W1,1454,616,838,738,318,420,716,298,418
95EE06W1,2178,285,1893,1073,131,942,1105,154,951
95EE07W1,1723,612,1111,803,278,525,920,334,586
95EE08W1,1678,561,1117,777,274,503,901,287,614
95EE09W1,1818,522,1296,922,261,661,896,261,635
95EE10W1,1706,284,1422,860,139,721,846,145,701
95EE11W1,1615,601,1014,834,321,513,781,280,501
95EE12W1,2376,787,1589,1110,391,719,1266,396,870
95EE13W1,1472,451,1021,717,224,493,755,227,528
95EE14W1,2565,816,1749,1268,406,862,1297,410,887
95EE15W1,1651,663,988,848,334,514,803,329,474
95EE16W1,2029,564,1465,1037,287,750,992,277,715
95FF01S1,2026,131,1895,993,70,923,1033,61,972
95FF01S2,2540,180,2360,1277,98,1179,1263,82,1181
95FF02W1,2659,185,2474,1392,92,1300,1267,93,1174
95FF03W1,2850,159,2691,1379,89,1290,1471,70,1401
95FF04W1,2512,315,2197,1265,166,1099,1247,149,1098
95FF05W1,2442,183,2259,1168,91,1077,1274,92,1182
95FF06S1,1939,126,1813,914,68,846,1025,58,967
95FF06S2,1979,161,1818,992,92,900,987,69,918
95FF07W1,2616,108,2508,1231,50,1181,1385,58,1327
95FF08W1,2277,174,2103,1096,89,1007,1181,85,1096
95FF09W1,2421,151,2270,1210,82,1128,1211,69,1142
95FF10W1,3297,364,2933,1669,197,1472,1628,167,1461
95FF11W1,2466,291,2175,1252,153,1099,1214,138,1076
95FF12W1,2614,142,2472,1303,72,1231,1311,70,1241
95FF13W1,2583,169,2414,1288,89,1199,1295,80,1215
95FF14W1,2362,227,2135,1223,126,1097,1139,101,1038
95FF15W1,2593,244,2349,1254,128,1126,1339,116,1223
95FF16W1,2279,214,2065,1169,126,1043,1110,88,1022
95FF17W1,1657,101,1556,787,53,734,870,48,822
95GG01S1,1717,34,1683,785,23,762,932,11,921
95GG01S2,1487,35,1452,665,18,647,822,17,805
95GG01S3,1567,15,1552,728,7,721,839,8,831
95GG02S1,1658,38,1620,788,17,771,870,21,849
95GG02S2,1896,35,1861,876,17,859,1020,18,1002
