GeographyCode,LC4103NI0001,LC4103NI0002,LC4103NI0003,LC4103NI0004,LC4103NI0005,LC4103NI0006,LC4103NI0007,LC4103NI0008,LC4103NI0009,LC4103NI0010,LC4103NI0011,LC4103NI0012,LC4103NI0013,LC4103NI0014,LC4103NI0015,LC4103NI0016,LC4103NI0017,LC4103NI0018,LC4103NI0019,LC4103NI0020
95TT09S1,1438,135,396,603,304,1317,110,363,576,268,27,6,5,6,10,94,19,28,21,26
95TT09S2,1479,118,406,694,261,1392,84,379,681,248,7,6,0,0,1,80,28,27,13,12
95TT10W1,2852,694,714,1036,408,1678,265,424,729,260,399,84,89,136,90,775,345,201,171,58
95TT11S1,1641,170,441,797,233,1461,133,386,728,214,34,2,9,22,1,146,35,46,47,18
95TT11S2,1592,206,527,606,253,1381,145,465,534,237,70,7,34,27,2,141,54,28,45,14
95TT12W1,2641,350,769,980,542,2306,251,694,887,474,115,18,21,33,43,220,81,54,60,25
95TT13S1,1520,259,398,724,139,1050,107,267,576,100,163,49,43,50,21,307,103,88,98,18
95TT13S2,1398,301,397,453,247,727,78,207,289,153,277,51,95,88,43,394,172,95,76,51
95TT14W1,2211,362,586,879,384,1510,137,394,686,293,258,43,72,90,53,443,182,120,103,38
95TT15W1,2480,363,720,966,431,2028,230,630,818,350,168,39,41,50,38,284,94,49,98,43
95TT16W1,2691,369,690,1178,454,2236,223,559,1053,401,134,19,24,66,25,321,127,107,59,28
95UU06W1,1452,199,296,670,287,1052,67,197,549,239,130,38,31,40,21,270,94,68,81,27
95UU09W1,1688,168,503,751,266,1344,61,440,628,215,90,16,5,45,24,254,91,58,78,27
95UU14W1,1723,290,507,646,280,1089,107,335,462,185,269,32,77,105,55,365,151,95,79,40
95UU99C1,2042,266,553,869,354,1477,88,409,722,258,277,67,80,82,48,288,111,64,65,48
95UU99C2,1777,263,404,671,439,1059,68,224,464,303,479,111,125,164,79,239,84,55,43,57
95UU99C3,1795,188,289,862,456,1402,66,211,737,388,71,4,12,28,27,322,118,66,97,41
95UU99C4,1802,211,449,743,399,1486,122,402,629,333,129,27,20,47,35,187,62,27,67,31
95UU99C5,2383,225,514,1132,512,1872,137,400,925,410,182,18,28,100,36,329,70,86,107,66
95UU99C6,2245,318,624,891,412,1479,112,433,642,292,255,43,60,95,57,511,163,131,154,63
95VV01S1,1650,202,460,708,280,1366,124,359,632,251,61,7,31,21,2,223,71,70,55,27
95VV01S2,1555,245,432,613,265,1091,126,282,488,195,155,27,38,63,27,309,92,112,62,43
95VV02W1,2182,409,514,799,460,1140,111,245,478,306,514,102,123,183,106,528,196,146,138,48
95VV03W1,2543,463,690,948,442,1613,189,416,687,321,389,62,99,159,69,541,212,175,102,52
95VV04W1,3138,413,925,1286,514,2686,270,800,1169,447,39,1,4,20,14,413,142,121,97,53
95VV05S1,1949,208,525,943,273,1634,91,471,829,243,49,4,10,26,9,266,113,44,88,21
95VV05S2,2542,371,884,1075,212,2164,211,746,1012,195,32,12,4,12,4,346,148,134,51,13
95VV06W1,3482,541,967,1518,456,2727,247,755,1318,407,212,53,48,91,20,543,241,164,109,29
95VV07S1,2052,399,506,816,331,1174,119,268,542,245,363,86,81,159,37,515,194,157,115,49
95VV07S2,2341,263,661,1165,252,1922,130,536,1036,220,95,10,37,45,3,324,123,88,84,29
95VV08W1,3052,460,849,1277,466,2485,240,717,1108,420,230,51,69,94,16,337,169,63,75,30
95VV09W1,2665,400,720,1137,408,1951,146,532,941,332,368,98,94,130,46,346,156,94,66,30
95VV10S1,1580,345,474,595,166,742,81,209,338,114,477,110,163,165,39,361,154,102,92,13
95VV10S2,1575,323,449,541,262,931,75,254,389,213,201,29,71,77,24,443,219,124,75,25
95VV11S1,2046,239,557,922,328,1749,141,480,849,279,43,2,10,15,16,254,96,67,58,33
95VV11S2,2380,364,766,1045,205,1982,186,637,980,179,24,1,6,12,5,374,177,123,53,21
95VV12S1,1652,308,485,657,202,1030,98,274,502,156,358,112,107,116,23,264,98,104,39,23
95VV12S2,1523,350,418,544,211,978,142,279,400,157,270,77,74,87,32,275,131,65,57,22
95VV13S1,2057,265,711,827,254,1838,185,630,793,230,37,11,11,14,1,182,69,70,20,23
95VV13S2,1406,95,364,726,221,1273,54,333,684,202,28,2,6,20,0,105,39,25,22,19
95VV14S1,1950,504,583,665,198,1149,117,352,516,164,156,47,51,47,11,645,340,180,102,23
95VV14S2,1386,203,254,601,328,1026,63,191,510,262,84,19,14,24,27,276,121,49,67,39
95VV15S1,1419,317,327,547,228,697,67,138,339,153,426,140,104,130,52,296,110,85,78,23
95VV15S2,1665,314,402,776,173,1217,120,300,661,136,104,21,23,39,21,344,173,79,76,16
95VV16W1,3110,309,828,1508,465,2598,122,684,1367,425,129,26,29,63,11,383,161,115,78,29
95VV17S1,2205,333,642,917,313,1776,210,501,793,272,112,26,36,32,18,317,97,105,92,23
95VV17S2,2151,359,735,802,255,1763,208,637,703,215,128,40,28,50,10,260,111,70,49,30
95VV18S1,1862,284,528,733,317,1418,115,390,640,273,26,0,6,14,6,418,169,132,79,38
95VV18S2,1780,364,415,688,313,1043,107,242,492,202,318,71,67,101,79,419,186,106,95,32
95VV19S1,1288,142,310,528,308,934,44,225,424,241,99,19,22,38,20,255,79,63,66,47
95VV19S2,1681,456,426,592,207,988,184,248,397,159,222,47,50,104,21,471,225,128,91,27
