GeographyCode,LC3303NI0001,LC3303NI0002,LC3303NI0003,LC3303NI0004,LC3303NI0005,LC3303NI0006,LC3303NI0007,LC3303NI0008,LC3303NI0009,LC3303NI0010,LC3303NI0011,LC3303NI0012,LC3303NI0013,LC3303NI0014,LC3303NI0015,LC3303NI0016,LC3303NI0017,LC3303NI0018,LC3303NI0019,LC3303NI0020,LC3303NI0021,LC3303NI0022,LC3303NI0023,LC3303NI0024,LC3303NI0025,LC3303NI0026,LC3303NI0027
95BB11S1,1408,311,1097,1063,196,867,345,115,230,1036,191,845,65,21,44,971,170,801,372,120,252,280,94,186,92,26,66
95BB11S2,1495,182,1313,1067,76,991,428,106,322,1075,87,988,95,21,74,980,66,914,420,95,325,333,85,248,87,10,77
95BB12S1,1440,512,928,1102,349,753,338,163,175,1079,334,745,70,35,35,1009,299,710,361,178,183,268,128,140,93,50,43
95BB12S2,1336,114,1222,1127,85,1042,209,29,180,1149,89,1060,75,9,66,1074,80,994,187,25,162,134,20,114,53,5,48
95BB13S1,1392,147,1245,1162,99,1063,230,48,182,1166,99,1067,57,9,48,1109,90,1019,226,48,178,173,39,134,53,9,44
95BB13S2,1466,268,1198,1122,171,951,344,97,247,1099,158,941,68,12,56,1031,146,885,367,110,257,276,85,191,91,25,66
95BB13S3,1580,66,1514,1360,49,1311,220,17,203,1334,48,1286,55,4,51,1279,44,1235,246,18,228,165,13,152,81,5,76
95BB14S1,1510,29,1481,1241,16,1225,269,13,256,1285,16,1269,105,2,103,1180,14,1166,225,13,212,164,11,153,61,2,59
95BB14S2,1578,56,1522,1349,34,1315,229,22,207,1364,34,1330,73,3,70,1291,31,1260,214,22,192,156,19,137,58,3,55
95BB15S1,2005,79,1926,1609,41,1568,396,38,358,1624,47,1577,98,9,89,1526,38,1488,381,32,349,298,29,269,83,3,80
95BB15S2,1484,215,1269,1184,147,1037,300,68,232,1177,141,1036,65,17,48,1112,124,988,307,74,233,235,51,184,72,23,49
95BB16S1,1533,57,1476,1274,33,1241,259,24,235,1276,35,1241,74,8,66,1202,27,1175,257,22,235,185,16,169,72,6,66
95BB16S2,1600,43,1557,1347,26,1321,253,17,236,1360,26,1334,80,1,79,1280,25,1255,240,17,223,173,16,157,67,1,66
95BB17S1,1793,170,1623,1477,112,1365,316,58,258,1457,114,1343,85,10,75,1372,104,1268,336,56,280,231,48,183,105,8,97
95BB17S2,1742,202,1540,1391,139,1252,351,63,288,1397,131,1266,83,9,74,1314,122,1192,345,71,274,268,54,214,77,17,60
95BB18S1,1688,220,1468,1229,113,1116,459,107,352,1236,99,1137,102,13,89,1134,86,1048,452,121,331,357,94,263,95,27,68
95BB18S2,2524,78,2446,2121,45,2076,403,33,370,2140,45,2095,133,5,128,2007,40,1967,384,33,351,270,28,242,114,5,109
95BB19S1,1557,202,1355,1280,136,1144,277,66,211,1255,140,1115,74,15,59,1181,125,1056,302,62,240,203,51,152,99,11,88
95BB19S2,1777,29,1748,1548,19,1529,229,10,219,1572,19,1553,89,1,88,1483,18,1465,205,10,195,140,9,131,65,1,64
95BB19S3,1391,43,1348,1209,26,1183,182,17,165,1218,29,1189,63,4,59,1155,25,1130,173,14,159,119,13,106,54,1,53
95BB20S1,1844,155,1689,1457,78,1379,387,77,310,1457,78,1379,91,8,83,1366,70,1296,387,77,310,296,69,227,91,8,83
95BB20S2,1524,281,1243,1101,146,955,423,135,288,1115,158,957,81,25,56,1034,133,901,409,123,286,342,110,232,67,13,54
95BB21S1,2379,192,2187,1811,110,1701,568,82,486,1830,114,1716,139,19,120,1691,95,1596,549,78,471,429,63,366,120,15,105
95BB21S2,2320,139,2181,1812,66,1746,508,73,435,1841,75,1766,127,18,109,1714,57,1657,479,64,415,381,55,326,98,9,89
95BB22S1,1525,245,1280,1287,184,1103,238,61,177,1241,164,1077,56,7,49,1185,157,1028,284,81,203,182,54,128,102,27,75
95BB22S2,1468,424,1044,1153,302,851,315,122,193,1091,284,807,52,19,33,1039,265,774,377,140,237,263,103,160,114,37,77
95BB23S1,1540,117,1423,1233,72,1161,307,45,262,1266,76,1190,94,10,84,1172,66,1106,274,41,233,213,35,178,61,6,55
95BB23S2,1436,37,1399,1208,28,1180,228,9,219,1222,27,1195,72,2,70,1150,25,1125,214,10,204,156,7,149,58,3,55
95CC01W1,2376,440,1936,1888,299,1589,488,141,347,1904,290,1614,117,20,97,1787,270,1517,472,150,322,371,121,250,101,29,72
95CC02W1,2693,97,2596,2223,51,2172,470,46,424,2262,59,2203,128,12,116,2134,47,2087,431,38,393,342,34,308,89,4,85
95CC03W1,2791,829,1962,2174,574,1600,617,255,362,2147,558,1589,114,38,76,2033,520,1513,644,271,373,503,217,286,141,54,87
95CC04W1,2384,167,2217,1978,92,1886,406,75,331,1980,92,1888,95,12,83,1885,80,1805,404,75,329,311,63,248,93,12,81
95CC05W1,2749,170,2579,2213,91,2122,536,79,457,2203,92,2111,111,11,100,2092,81,2011,546,78,468,425,68,357,121,10,111
95CC06S1,1458,59,1399,1229,36,1193,229,23,206,1245,36,1209,63,3,60,1182,33,1149,213,23,190,166,20,146,47,3,44
95CC06S2,1292,116,1176,1029,67,962,263,49,214,1053,79,974,81,20,61,972,59,913,239,37,202,182,29,153,57,8,49
95CC07W1,3475,153,3322,2930,85,2845,545,68,477,2943,86,2857,150,11,139,2793,75,2718,532,67,465,395,57,338,137,10,127
95CC08W1,2511,529,1982,1956,329,1627,555,200,355,1997,341,1656,144,43,101,1853,298,1555,514,188,326,411,157,254,103,31,72
95CC09S1,1485,22,1463,1269,5,1264,216,17,199,1281,6,1275,59,3,56,1222,3,1219,204,16,188,157,14,143,47,2,45
95CC09S2,1838,42,1796,1597,21,1576,241,21,220,1593,22,1571,79,5,74,1514,17,1497,245,20,225,162,16,146,83,4,79
95CC10W1,2495,73,2422,2073,38,2035,422,35,387,2082,40,2042,110,8,102,1972,32,1940,413,33,380,312,27,285,101,6,95
95CC11W1,1787,380,1407,1338,209,1129,449,171,278,1306,193,1113,84,21,63,1222,172,1050,481,187,294,365,150,215,116,37,79
95CC12W1,2751,86,2665,2303,47,2256,448,39,409,2299,47,2252,119,10,109,2180,37,2143,452,39,413,329,29,300,123,10,113
95CC13W1,2474,83,2391,2036,26,2010,438,57,381,2057,29,2028,115,7,108,1942,22,1920,417,54,363,323,50,273,94,4,90
95CC14W1,3017,168,2849,2452,88,2364,565,80,485,2479,81,2398,147,9,138,2332,72,2260,538,87,451,418,71,347,120,16,104
95CC15W1,2893,147,2746,2349,83,2266,544,64,480,2357,81,2276,134,13,121,2223,68,2155,536,66,470,410,51,359,126,15,111
95CC16W1,2801,318,2483,2191,182,2009,610,136,474,2224,187,2037,160,27,133,2064,160,1904,577,131,446,450,109,341,127,22,105
95CC17W1,2724,123,2601,2288,70,2218,436,53,383,2296,75,2221,116,11,105,2180,64,2116,428,48,380,320,42,278,108,6,102
95CC18W1,2309,273,2036,1858,159,1699,451,114,337,1878,162,1716,120,22,98,1758,140,1618,431,111,320,331,92,239,100,19,81
