GeographyCode,LC2201NI0001,LC2201NI0002,LC2201NI0003,LC2201NI0004,LC2201NI0005,LC2201NI0006,LC2201NI0007,LC2201NI0008,LC2201NI0009,LC2201NI0010,LC2201NI0011,LC2201NI0012,LC2201NI0013,LC2201NI0014,LC2201NI0015,LC2201NI0016,LC2201NI0017,LC2201NI0018,LC2201NI0019,LC2201NI0020,LC2201NI0021,LC2201NI0022,LC2201NI0023,LC2201NI0024,LC2201NI0025
95AA01S1,1113,141,458,514,482,610,54,268,288,271,31,22,2,7,3,45,15,20,10,8,427,50,168,209,200
95AA01S2,1829,939,635,255,170,703,135,447,121,77,489,447,11,31,16,423,267,101,55,42,214,90,76,48,35
95AA01S3,1502,276,878,348,235,853,74,594,185,111,118,94,6,18,6,267,67,123,77,66,264,41,155,68,52
95AA02W1,1734,504,888,342,204,957,171,637,149,86,178,141,8,29,11,348,144,127,77,50,251,48,116,87,57
95AA03W1,1822,135,1222,465,315,1208,62,894,252,168,68,32,11,25,9,317,22,204,91,66,229,19,113,97,72
95AA04W1,3013,751,1772,490,343,1632,118,1269,245,171,436,373,26,37,21,560,219,212,129,101,385,41,265,79,50
95AA05W1,2701,1579,757,365,178,871,205,506,160,74,778,713,13,52,15,798,561,143,94,61,254,100,95,59,28
95AA06S1,1953,1489,238,226,91,371,146,157,68,25,962,888,6,68,24,433,349,33,51,15,187,106,42,39,27
95AA06S2,2694,2022,346,326,131,559,204,218,137,58,1397,1311,12,74,19,558,406,70,82,38,180,101,46,33,16
95AA07W1,2140,283,1553,304,189,1348,52,1125,171,107,113,76,12,25,8,344,88,196,60,47,335,67,220,48,27
95AA08W1,1698,680,623,395,247,823,166,463,194,119,214,168,7,39,20,427,244,78,105,69,234,102,75,57,39
95AA09W1,2220,387,1244,589,346,1283,103,855,325,203,132,84,13,35,8,409,115,177,117,58,396,85,199,112,77
95AA10W1,1953,712,810,431,292,1007,248,549,210,155,181,144,10,27,10,458,231,129,98,69,307,89,122,96,58
95AA11S1,2800,832,1313,655,455,1323,210,847,266,178,272,198,28,46,18,631,232,237,162,118,574,192,201,181,141
95AA11S2,2564,1043,987,534,346,1174,246,691,237,162,288,257,4,27,15,591,330,126,135,82,511,210,166,135,87
95AA12W1,2775,133,2161,481,332,1771,43,1479,249,177,85,38,22,25,16,453,25,309,119,89,466,27,351,88,50
95AA13S1,1745,1116,367,262,129,533,189,241,103,55,470,408,10,52,16,477,353,75,49,21,265,166,41,58,37
95AA13S2,1562,1023,334,205,101,496,179,220,97,40,448,419,6,23,10,382,282,47,53,30,236,143,61,32,21
