GeographyCode,LC4403NI0001,LC4403NI0002,LC4403NI0003,LC4403NI0004,LC4403NI0005,LC4403NI0006,LC4403NI0007,LC4403NI0008,LC4403NI0009,LC4403NI0010,LC4403NI0011,LC4403NI0012,LC4403NI0013,LC4403NI0014,LC4403NI0015,LC4403NI0016,LC4403NI0017,LC4403NI0018,LC4403NI0019,LC4403NI0020
95AA01S1,310,26,9,275,0,0,0,0,18,3,2,13,204,13,6,185,88,10,1,77
95AA01S2,624,540,12,72,2,1,1,0,58,31,9,18,210,167,2,41,354,341,0,13
95AA01S3,588,469,4,115,8,0,0,8,100,62,1,37,206,159,3,44,274,248,0,26
95AA02W1,839,503,148,188,31,3,5,23,253,80,96,77,477,348,46,83,78,72,1,5
95AA03W1,845,476,233,136,20,5,10,5,230,65,125,40,542,362,94,86,53,44,4,5
95AA04W1,1014,924,5,85,2,2,0,0,63,52,1,10,322,264,4,54,627,606,0,21
95AA05W1,920,730,68,122,8,4,3,1,89,42,29,18,407,299,36,72,416,385,0,31
95AA06S1,710,552,74,84,20,1,8,11,119,49,49,21,389,333,17,39,182,169,0,13
95AA06S2,860,679,85,96,8,6,2,0,117,54,41,22,431,334,38,59,304,285,4,15
95AA07W1,820,618,70,132,7,1,4,2,132,63,35,34,359,254,31,74,322,300,0,22
95AA08W1,699,416,161,122,3,1,1,1,88,29,29,30,524,325,120,79,84,61,11,12
95AA09W1,943,516,276,151,6,2,2,2,156,27,106,23,596,317,165,114,185,170,3,12
95AA10W1,792,489,222,81,3,2,1,0,112,19,82,11,517,315,133,69,160,153,6,1
95AA11S1,1123,800,88,235,25,6,6,13,226,98,53,75,569,418,28,123,303,278,1,24
95AA11S2,870,745,12,113,5,3,0,2,52,26,1,25,514,433,10,71,299,283,1,15
95AA12W1,971,838,33,100,4,2,0,2,71,32,20,19,279,219,11,49,617,585,2,30
95AA13S1,625,430,46,149,27,3,4,20,103,28,31,44,267,194,10,63,228,205,1,22
95AA13S2,614,420,70,124,25,10,11,4,111,34,45,32,315,221,14,80,163,155,0,8
95AA14W1,779,707,4,68,6,4,0,2,63,45,2,16,237,209,2,26,473,449,0,24
95AA15S1,1013,714,97,202,6,0,3,3,208,85,62,61,579,431,28,120,220,198,4,18
95AA15S2,582,283,183,116,9,1,6,2,100,16,57,27,375,189,111,75,98,77,9,12
95AA16W1,832,453,207,172,4,0,3,1,179,40,100,39,593,370,98,125,56,43,6,7
95AA17W1,855,598,158,99,11,1,10,0,94,24,52,18,633,469,90,74,117,104,6,7
95AA18W1,1004,842,10,152,6,2,0,4,134,65,8,61,349,293,2,54,515,482,0,33
95AA19W1,832,604,110,118,16,8,3,5,111,43,44,24,340,221,59,60,365,332,4,29
95BB01S1,548,484,25,39,3,2,0,1,49,22,15,12,237,211,10,16,259,249,0,10
95BB01S2,759,664,45,50,6,4,1,1,91,54,24,13,400,354,19,27,262,252,1,9
95BB02W1,1126,600,345,181,64,6,48,10,333,74,181,78,542,350,112,80,187,170,4,13
95BB03S1,877,568,157,152,15,1,11,3,207,72,92,43,502,356,51,95,153,139,3,11
95BB03S2,899,714,64,121,9,5,1,3,155,99,31,25,479,372,31,76,256,238,1,17
95BB04S1,638,417,109,112,13,3,6,4,195,60,80,55,218,155,23,40,212,199,0,13
95BB04S2,669,610,8,51,4,4,0,0,56,42,3,11,323,294,4,25,286,270,1,15
95BB05S1,564,464,32,68,4,2,1,1,83,44,17,22,212,171,14,27,265,247,0,18
95BB05S2,754,588,76,90,7,5,2,0,115,52,44,19,342,264,29,49,290,267,1,22
95BB06W1,1518,698,420,400,89,17,45,27,754,237,273,244,596,382,97,117,79,62,5,12
95BB07S1,819,375,239,205,47,5,30,12,375,114,156,105,293,175,47,71,104,81,6,17
95BB07S2,496,428,37,31,1,0,0,1,26,16,8,2,328,278,28,22,141,134,1,6
95BB08S1,589,294,205,90,17,4,12,1,207,37,126,44,324,222,60,42,41,31,7,3
95BB08S2,479,433,6,40,10,6,0,4,26,22,1,3,358,322,5,31,85,83,0,2
95BB09S1,561,471,17,73,1,0,1,0,81,47,15,19,314,266,1,47,165,158,0,7
95BB09S2,692,544,18,130,10,7,0,3,196,117,5,74,281,219,13,49,205,201,0,4
95BB10S1,874,525,150,199,47,7,24,16,358,143,105,110,289,210,21,58,180,165,0,15
95BB10S2,635,562,24,49,4,1,0,3,53,27,17,9,155,126,7,22,423,408,0,15
95BB11S1,621,351,218,52,12,3,6,3,182,43,122,17,356,238,88,30,71,67,2,2
95BB11S2,717,579,62,76,9,7,2,0,173,85,56,32,389,344,4,41,146,143,0,3
95BB12S1,626,303,198,125,21,5,7,9,195,69,69,57,348,184,111,53,62,45,11,6
95BB12S2,504,412,66,26,1,0,1,0,30,13,15,2,183,117,49,17,290,282,1,7
95BB13S1,508,305,170,33,5,2,3,0,132,23,94,15,175,90,71,14,196,190,2,4
95BB13S2,603,433,106,64,8,2,3,3,88,39,32,17,406,299,67,40,101,93,4,4
95BB13S3,576,519,8,49,1,0,0,1,71,52,3,16,357,329,5,23,147,138,0,9
95BB14S1,551,501,7,43,5,1,0,4,33,23,2,8,176,155,5,16,337,322,0,15
95BB14S2,621,525,23,73,12,4,1,7,68,34,11,23,227,187,10,30,314,300,1,13
95BB15S1,706,575,39,92,2,2,0,0,74,39,23,12,326,250,14,62,304,284,2,18
95BB15S2,581,374,83,124,8,3,2,3,100,33,39,28,330,206,40,84,143,132,2,9
95BB16S1,562,509,4,49,1,1,0,0,51,29,4,18,187,159,0,28,323,320,0,3
95BB16S2,614,549,26,39,5,4,1,0,49,27,16,6,218,192,9,17,342,326,0,16
95BB17S1,727,577,69,81,5,1,2,2,174,117,20,37,473,390,45,38,75,69,2,4
95BB17S2,672,493,111,68,2,0,2,0,62,19,31,12,389,270,77,42,219,204,1,14
95BB18S1,726,466,136,124,7,1,4,2,165,58,72,35,439,300,58,81,115,107,2,6
95BB18S2,912,818,8,86,3,3,0,0,62,46,4,12,359,305,4,50,488,464,0,24
95BB19S1,641,525,43,73,2,1,0,1,89,40,29,20,419,359,14,46,131,125,0,6
