GeographyCode,LC4407NI0001,LC4407NI0002,LC4407NI0003,LC4407NI0004,LC4407NI0005,LC4407NI0006,LC4407NI0007,LC4407NI0008,LC4407NI0009,LC4407NI0010,LC4407NI0011,LC4407NI0012,LC4407NI0013,LC4407NI0014,LC4407NI0015,LC4407NI0016,LC4407NI0017,LC4407NI0018,LC4407NI0019,LC4407NI0020,LC4407NI0021,LC4407NI0022,LC4407NI0023,LC4407NI0024,LC4407NI0025,LC4407NI0026,LC4407NI0027,LC4407NI0028,LC4407NI0029,LC4407NI0030,LC4407NI0031,LC4407NI0032
95AA01S1,310,26,9,275,0,0,0,0,12,2,1,9,0,0,0,0,268,23,7,238,0,0,0,0,0,0,0,0,30,1,1,28
95AA01S2,624,540,12,72,10,7,0,3,26,20,1,5,4,3,0,1,432,374,10,48,10,8,0,2,6,5,0,1,136,123,1,12
95AA01S3,588,469,4,115,4,4,0,0,58,30,1,27,9,5,0,4,405,332,3,70,11,9,0,2,1,1,0,0,100,88,0,12
95AA02W1,839,503,148,188,2,1,1,0,64,26,1,37,65,14,26,25,541,364,87,90,84,38,28,18,3,0,1,2,80,60,4,16
95AA03W1,845,476,233,136,1,0,0,1,179,29,139,11,28,11,1,16,528,353,83,92,34,28,4,2,2,1,1,0,73,54,5,14
95AA04W1,1014,924,5,85,13,12,0,1,25,17,4,4,4,2,0,2,744,678,1,65,32,30,0,2,8,8,0,0,188,177,0,11
95AA05W1,920,730,68,122,5,5,0,0,25,18,3,4,3,2,1,0,642,502,60,80,24,18,3,3,6,6,0,0,215,179,1,35
95AA06S1,710,552,74,84,4,3,1,0,13,5,2,6,39,4,28,7,516,419,40,57,16,16,0,0,5,2,1,2,117,103,2,12
95AA06S2,860,679,85,96,4,3,0,1,4,3,0,1,8,4,1,3,701,540,82,79,13,12,0,1,5,2,1,2,125,115,1,9
95AA07W1,820,618,70,132,6,6,0,0,5,1,1,3,4,2,2,0,605,446,60,99,31,21,3,7,4,3,1,0,165,139,3,23
95AA08W1,699,416,161,122,1,0,0,1,44,9,25,10,15,5,3,7,548,330,127,91,39,28,5,6,1,1,0,0,51,43,1,7
95AA09W1,943,516,276,151,1,0,1,0,266,49,190,27,15,8,4,3,565,391,69,105,28,22,2,4,1,1,0,0,67,45,10,12
95AA10W1,792,489,222,81,3,0,2,1,175,19,141,15,13,6,5,2,478,363,65,50,21,14,5,2,1,0,0,1,101,87,4,10
95AA11S1,1123,800,88,235,6,1,0,5,66,9,22,35,24,11,8,5,872,644,55,173,26,25,1,0,5,1,1,3,124,109,1,14
95AA11S2,870,745,12,113,1,0,0,1,92,75,1,16,3,2,0,1,622,527,11,84,12,12,0,0,0,0,0,0,140,129,0,11
95AA12W1,971,838,33,100,8,6,0,2,20,16,2,2,9,5,2,2,702,609,26,67,29,21,2,6,10,8,0,2,193,173,1,19
95AA13S1,625,430,46,149,3,3,0,0,14,5,0,9,36,4,12,20,416,307,33,76,9,5,0,4,5,5,0,0,142,101,1,40
95AA13S2,614,420,70,124,0,0,0,0,23,1,17,5,10,6,0,4,455,307,50,98,4,3,0,1,7,6,1,0,115,97,2,16
95AA14W1,779,707,4,68,7,6,0,1,13,12,1,0,2,2,0,0,505,458,2,45,25,21,1,3,6,6,0,0,221,202,0,19
95AA15S1,1013,714,97,202,2,2,0,0,92,40,28,24,57,16,36,5,714,536,30,148,14,13,1,0,3,0,0,3,131,107,2,22
95AA15S2,582,283,183,116,1,1,0,0,147,15,116,16,14,3,8,3,344,220,44,80,18,2,11,5,1,0,1,0,57,42,3,12
95AA16W1,832,453,207,172,0,0,0,0,134,24,96,14,23,10,10,3,595,372,82,141,36,21,12,3,4,0,2,2,40,26,5,9
95AA17W1,855,598,158,99,1,1,0,0,7,5,2,0,46,27,12,7,693,472,141,80,26,25,1,0,1,0,1,0,81,68,1,12
95AA18W1,1004,842,10,152,3,3,0,0,69,33,2,34,17,6,0,11,776,678,8,90,14,12,0,2,3,3,0,0,122,107,0,15
95AA19W1,832,604,110,118,3,1,1,1,11,3,2,6,6,4,0,2,608,421,95,92,15,9,4,2,4,4,0,0,185,162,8,15
95BB01S1,548,484,25,39,3,3,0,0,27,20,2,5,7,3,3,1,408,365,15,28,18,13,5,0,2,2,0,0,83,78,0,5
95BB01S2,759,664,45,50,2,2,0,0,32,19,4,9,4,3,0,1,619,547,40,32,10,9,1,0,0,0,0,0,92,84,0,8
95BB02W1,1126,600,345,181,9,0,2,7,373,87,231,55,72,18,39,15,549,421,50,78,36,13,13,10,5,4,1,0,82,57,9,16
95BB03S1,877,568,157,152,6,4,1,1,19,10,8,1,20,11,5,4,687,460,99,128,56,12,40,4,2,1,1,0,87,70,3,14
95BB03S2,899,714,64,121,16,15,0,1,95,92,2,1,17,7,7,3,619,480,42,97,30,15,11,4,9,7,1,1,113,98,1,14
95BB04S1,638,417,109,112,3,2,0,1,180,65,79,36,12,6,4,2,376,293,24,59,9,4,0,5,1,0,1,0,57,47,1,9
95BB04S2,669,610,8,51,6,4,0,2,116,104,1,11,8,8,0,0,475,438,6,31,11,6,1,4,1,1,0,0,52,49,0,3
95BB05S1,564,464,32,68,3,3,0,0,12,9,2,1,5,5,0,0,431,353,26,52,9,5,2,2,2,2,0,0,102,87,2,13
95BB05S2,754,588,76,90,7,6,1,0,7,3,2,2,9,8,0,1,595,458,67,70,20,12,4,4,6,5,0,1,110,96,2,12
95BB06W1,1518,698,420,400,17,12,1,4,623,169,247,207,148,29,82,37,604,410,71,123,34,20,5,9,9,1,5,3,83,57,9,17
95BB07S1,819,375,239,205,6,1,0,5,195,74,43,78,106,22,72,12,437,234,112,91,19,11,4,4,1,0,0,1,55,33,8,14
95BB07S2,496,428,37,31,1,1,0,0,32,25,7,0,5,4,1,0,386,342,20,24,16,5,9,2,1,1,0,0,55,50,0,5
95BB08S1,589,294,205,90,0,0,0,0,46,12,29,5,39,5,27,7,453,242,139,72,18,10,7,1,1,1,0,0,32,24,3,5
95BB08S2,479,433,6,40,0,0,0,0,39,34,2,3,20,13,0,7,380,351,4,25,5,2,0,3,1,1,0,0,34,32,0,2
95BB09S1,561,471,17,73,0,0,0,0,56,39,9,8,7,3,0,4,431,370,8,53,5,4,0,1,0,0,0,0,62,55,0,7
95BB09S2,692,544,18,130,2,1,0,1,160,106,6,48,13,10,0,3,432,369,8,55,21,12,4,5,1,1,0,0,63,45,0,18
95BB10S1,874,525,150,199,4,4,0,0,332,165,100,67,63,24,8,31,383,272,38,73,21,7,1,13,4,2,1,1,67,51,2,14
95BB10S2,635,562,24,49,9,8,0,1,112,92,2,18,7,6,0,1,406,383,5,18,25,6,16,3,5,4,0,1,71,63,1,7
95BB11S1,621,351,218,52,1,1,0,0,232,51,157,24,12,6,5,1,293,229,41,23,15,5,10,0,1,1,0,0,67,58,5,4
