GeographyCode,LC2406NI0001,LC2406NI0002,LC2406NI0003,LC2406NI0004,LC2406NI0005,LC2406NI0006,LC2406NI0007,LC2406NI0008,LC2406NI0009,LC2406NI0010,LC2406NI0011,LC2406NI0012,LC2406NI0013,LC2406NI0014,LC2406NI0015,LC2406NI0016
95AA01S1,310,54,161,95,26,7,13,6,9,1,3,5,275,46,145,84
95AA01S2,624,302,299,23,540,263,258,19,12,7,5,0,72,32,36,4
95AA01S3,588,120,423,45,469,86,354,29,4,0,4,0,115,34,65,16
95AA02W1,839,259,546,34,503,150,338,15,148,44,100,4,188,65,108,15
95AA03W1,845,87,699,59,476,43,407,26,233,16,196,21,136,28,96,12
95AA04W1,1014,274,697,43,924,248,638,38,5,1,2,2,85,25,57,3
95AA05W1,920,532,357,31,730,432,278,20,68,42,22,4,122,58,57,7
95AA06S1,710,536,153,21,552,429,110,13,74,45,28,1,84,62,15,7
95AA06S2,860,645,198,17,679,519,149,11,85,57,26,2,96,69,23,4
95AA07W1,820,121,673,26,618,73,531,14,70,11,53,6,132,37,89,6
95AA08W1,699,305,336,58,416,156,232,28,161,92,55,14,122,57,49,16
95AA09W1,943,200,657,86,516,102,374,40,276,51,202,23,151,47,81,23
95AA10W1,792,335,406,51,489,178,283,28,222,116,89,17,81,41,34,6
95AA11S1,1123,401,622,100,800,263,483,54,88,29,53,6,235,109,86,40
95AA11S2,870,376,440,54,745,314,391,40,12,2,9,1,113,60,40,13
95AA12W1,971,62,873,36,838,50,757,31,33,3,30,0,100,9,86,5
95AA13S1,625,426,176,23,430,290,126,14,46,33,11,2,149,103,39,7
95AA13S2,614,382,211,21,420,285,126,9,70,15,53,2,124,82,32,10
95AA14W1,779,254,503,22,707,233,457,17,4,0,4,0,68,21,42,5
95AA15S1,1013,431,499,83,714,274,390,50,97,58,32,7,202,99,77,26
95AA15S2,582,263,264,55,283,115,153,15,183,80,79,24,116,68,32,16
95AA16W1,832,158,610,64,453,72,364,17,207,31,153,23,172,55,93,24
95AA17W1,855,319,466,70,598,228,335,35,158,43,95,20,99,48,36,15
95AA18W1,1004,124,821,59,842,98,710,34,10,1,8,1,152,25,103,24
95AA19W1,832,736,86,10,604,537,62,5,110,101,7,2,118,98,17,3
95BB01S1,548,89,432,27,484,78,385,21,25,6,18,1,39,5,29,5
95BB01S2,759,59,652,48,664,48,579,37,45,6,34,5,50,5,39,6
95BB02W1,1126,95,951,80,600,51,514,35,345,19,298,28,181,25,139,17
95BB03S1,877,25,800,52,568,12,526,30,157,4,141,12,152,9,133,10
95BB03S2,899,77,747,75,714,59,599,56,64,8,51,5,121,10,97,14
95BB04S1,638,55,528,55,417,29,355,33,109,9,93,7,112,17,80,15
95BB04S2,669,38,606,25,610,32,556,22,8,0,8,0,51,6,42,3
95BB05S1,564,25,508,31,464,17,425,22,32,2,27,3,68,6,56,6
95BB05S2,754,26,678,50,588,18,535,35,76,0,73,3,90,8,70,12
95BB06W1,1518,175,1204,139,698,86,559,53,420,35,362,23,400,54,283,63
95BB07S1,819,43,713,63,375,20,335,20,239,7,217,15,205,16,161,28
95BB07S2,496,12,455,29,428,10,401,17,37,1,28,8,31,1,26,4
95BB08S1,589,38,508,43,294,15,259,20,205,12,182,11,90,11,67,12
95BB08S2,479,30,422,27,433,18,394,21,6,0,4,2,40,12,24,4
95BB09S1,561,21,498,42,471,16,427,28,17,0,17,0,73,5,54,14
95BB09S2,692,35,599,58,544,21,484,39,18,1,14,3,130,13,101,16
95BB10S1,874,63,729,82,525,29,457,39,150,9,127,14,199,25,145,29
95BB10S2,635,37,561,37,562,30,504,28,24,1,20,3,49,6,37,6
95BB11S1,621,25,557,39,351,13,321,17,218,9,191,18,52,3,45,4
95BB11S2,717,44,629,44,579,35,510,34,62,4,53,5,76,5,66,5
95BB12S1,626,81,484,61,303,33,248,22,198,24,151,23,125,24,85,16
95BB12S2,504,35,436,33,412,27,361,24,66,6,52,8,26,2,23,1
95BB13S1,508,34,422,52,305,24,256,25,170,6,140,24,33,4,26,3
95BB13S2,603,52,511,40,433,38,371,24,106,6,93,7,64,8,47,9
95BB13S3,576,33,491,52,519,26,452,41,8,0,6,2,49,7,33,9
95BB14S1,551,29,481,41,501,25,443,33,7,0,5,2,43,4,33,6
95BB14S2,621,35,534,52,525,26,469,30,23,0,20,3,73,9,45,19
95BB15S1,706,340,332,34,575,273,278,24,39,20,16,3,92,47,38,7
95BB15S2,581,375,185,21,374,240,125,9,83,56,25,2,124,79,35,10
95BB16S1,562,28,504,30,509,21,460,28,4,0,4,0,49,7,40,2
95BB16S2,614,37,547,30,549,29,495,25,26,0,24,2,39,8,28,3
95BB17S1,727,51,612,64,577,43,499,35,69,3,54,12,81,5,59,17
95BB17S2,672,38,572,62,493,34,419,40,111,1,99,11,68,3,54,11
95BB18S1,726,25,644,57,466,13,411,42,136,5,128,3,124,7,105,12
95BB18S2,912,56,797,59,818,44,723,51,8,0,6,2,86,12,68,6
95BB19S1,641,55,544,42,525,43,453,29,43,2,40,1,73,10,51,12
95BB19S2,599,45,513,41,559,39,485,35,3,1,1,1,37,5,27,5
95BB19S3,484,36,416,32,443,26,395,22,4,1,2,1,37,9,19,9
95BB20S1,677,494,158,25,525,385,124,16,50,41,7,2,102,68,27,7
95BB20S2,613,496,92,25,339,272,56,11,140,121,13,6,134,103,23,8
95BB21S1,932,32,853,47,726,17,680,29,86,4,79,3,120,11,94,15
95BB21S2,889,171,652,66,736,149,538,49,28,2,24,2,125,20,90,15
95BB22S1,596,36,499,61,387,21,331,35,148,11,118,19,61,4,50,7
95BB22S2,598,44,507,47,268,15,234,19,273,23,228,22,57,6,45,6
95BB23S1,638,65,529,44,584,56,497,31,6,0,4,2,48,9,28,11
95BB23S2,523,39,449,35,483,37,415,31,2,0,1,1,38,2,33,3
95CC01W1,904,819,68,17,580,527,41,12,96,93,3,0,228,199,24,5
95CC02W1,875,606,258,11,741,502,232,7,26,23,2,1,108,81,24,3
95CC03W1,1127,953,125,49,458,412,37,9,325,264,54,7,344,277,34,33
95CC04W1,790,534,243,13,646,447,193,6,44,25,18,1,100,62,32,6
95CC05W1,954,617,317,20,773,495,268,10,38,27,10,1,143,95,39,9
95CC06S1,579,328,224,27,481,262,201,18,3,3,0,0,95,63,23,9
95CC06S2,517,251,256,10,391,182,202,7,49,35,14,0,77,34,40,3
95CC07W1,1108,902,194,12,858,695,157,6,85,64,20,1,165,143,17,5
95CC08W1,990,903,65,22,573,529,37,7,185,175,8,2,232,199,20,13
95CC09S1,494,57,418,19,449,47,388,14,0,0,0,0,45,10,30,5
95CC09S2,696,43,630,23,544,16,512,16,31,4,26,1,121,23,92,6
95CC10W1,901,165,708,28,761,138,608,15,24,1,22,1,116,26,78,12
95CC11W1,786,716,59,11,465,433,29,3,115,107,8,0,206,176,22,8
95CC12W1,890,395,477,18,772,341,421,10,34,13,19,2,84,41,37,6
95CC13W1,817,411,395,11,677,350,319,8,50,21,29,0,90,40,47,3
95CC14W1,1132,109,982,41,926,89,804,33,44,2,41,1,162,18,137,7
95CC15W1,1007,373,605,29,806,295,493,18,61,24,35,2,140,54,77,9
95CC16W1,1076,175,871,30,722,105,600,17,135,21,113,1,219,49,158,12
95CC17W1,897,598,280,19,757,500,248,9,7,6,1,0,133,92,31,10
95CC18W1,937,483,425,29,628,303,315,10,130,69,56,5,179,111,54,14
95CC19W1,981,334,620,27,760,247,498,15,87,25,59,3,134,62,63,9
95CC20S1,484,18,449,17,412,12,388,12,19,0,18,1,53,6,43,4
95CC20S2,643,43,565,35,477,10,447,20,67,6,55,6,99,27,63,9
95CC21W1,1167,153,961,53,839,107,703,29,138,20,112,6,190,26,146,18
95CC22W1,842,179,626,37,432,86,337,9,236,35,191,10,174,58,98,18
95DD01W1,836,123,685,28,696,79,599,18,26,8,17,1,114,36,69,9
95DD02S1,599,20,554,25,413,11,390,12,116,5,103,8,70,4,61,5
95DD02S2,891,62,803,26,740,44,675,21,18,1,17,0,133,17,111,5
95DD03W1,1389,207,1091,91,1092,139,896,57,21,0,21,0,276,68,174,34
95DD04W1,859,62,749,48,353,27,312,14,404,27,352,25,102,8,85,9
95DD05W1,685,35,612,38,347,14,321,12,266,19,230,17,72,2,61,9
95DD06W1,944,175,736,33,837,143,671,23,5,1,3,1,102,31,62,9
95DD07S1,689,39,616,34,473,20,434,19,76,4,69,3,140,15,113,12
95DD07S2,723,35,663,25,526,20,489,17,77,1,75,1,120,14,99,7
95DD08W1,1041,382,594,65,427,149,264,14,202,63,131,8,412,170,199,43
95DD09W1,929,59,843,27,797,44,735,18,22,1,21,0,110,14,87,9
95DD10W1,1180,44,1084,52,779,26,727,26,233,7,212,14,168,11,145,12
95DD11W1,955,527,381,47,410,217,178,15,298,169,119,10,247,141,84,22
95DD12W1,890,116,739,35,777,106,646,25,22,2,17,3,91,8,76,7
95DD13W1,741,399,305,37,454,249,188,17,124,63,56,5,163,87,61,15
95DD14S1,626,23,574,29,505,12,468,25,30,0,30,0,91,11,76,4
95DD14S2,607,58,529,20,548,50,480,18,13,1,12,0,46,7,37,2
95DD15W1,1174,662,484,28,948,515,415,18,50,35,14,1,176,112,55,9
95DD16W1,1019,120,857,42,897,104,760,33,15,1,14,0,107,15,83,9
95DD17W1,1148,409,703,36,996,366,598,32,28,9,19,0,124,34,86,4
