GeographyCode,LC2606NI0001,LC2606NI0002,LC2606NI0003,LC2606NI0004,LC2606NI0005,LC2606NI0006,LC2606NI0007,LC2606NI0008,LC2606NI0009,LC2606NI0010,LC2606NI0011,LC2606NI0012,LC2606NI0013,LC2606NI0014,LC2606NI0015,LC2606NI0016,LC2606NI0017,LC2606NI0018,LC2606NI0019,LC2606NI0020,LC2606NI0021,LC2606NI0022,LC2606NI0023,LC2606NI0024,LC2606NI0025,LC2606NI0026,LC2606NI0027,LC2606NI0028
95AA01S1,754,107,322,325,625,87,274,264,84,7,40,37,485,73,209,203,22,2,12,8,34,5,13,16,129,20,48,61
95AA01S2,1313,654,469,190,987,506,334,147,210,115,72,23,529,296,160,73,200,70,88,42,48,25,14,9,326,148,135,43
95AA01S3,1110,206,656,248,861,173,487,201,149,24,100,25,515,111,280,124,149,27,81,41,48,11,26,11,249,33,169,47
95AA02W1,1319,391,673,255,892,261,434,197,211,69,102,40,551,159,265,127,64,16,36,12,66,17,31,18,427,130,239,58
95AA03W1,1317,98,905,314,840,71,536,233,223,9,160,54,504,51,310,143,48,5,27,16,65,6,39,20,477,27,369,81
95AA04W1,2227,538,1319,370,1660,412,983,265,386,109,231,46,817,209,465,143,367,65,245,57,90,29,42,19,567,126,336,105
95AA05W1,1924,1131,544,249,1362,799,374,189,273,164,73,36,770,430,227,113,233,152,58,23,86,53,16,17,562,332,170,60
95AA06S1,1322,988,178,156,968,727,119,122,272,214,30,28,515,381,66,68,105,74,20,11,76,58,3,15,354,261,59,34
95AA06S2,1811,1329,253,229,1290,983,164,143,338,258,45,35,732,545,101,86,131,110,13,8,89,70,5,14,521,346,89,86
95AA07W1,1592,217,1151,224,1112,161,793,158,237,34,163,40,592,93,418,81,217,19,172,26,66,15,40,11,480,56,358,66
95AA08W1,1262,497,481,284,804,295,315,194,218,86,82,50,439,156,177,106,43,10,22,11,104,43,34,27,458,202,166,90
95AA09W1,1595,290,885,420,1015,184,526,305,267,48,140,79,578,108,294,176,70,11,32,27,100,17,60,23,580,106,359,115
95AA10W1,1461,544,612,305,900,318,368,214,230,83,100,47,496,171,206,119,81,19,38,24,93,45,24,24,561,226,244,91
95AA11S1,1995,622,902,471,1486,478,648,360,297,96,122,79,977,322,425,230,131,35,68,28,81,25,33,23,509,144,254,111
95AA11S2,1839,715,735,389,1448,574,567,307,299,117,123,59,972,392,384,196,124,46,47,31,53,19,13,21,391,141,168,82
95AA12W1,2037,94,1591,352,1495,71,1161,263,330,16,262,52,791,39,608,144,338,14,262,62,36,2,29,5,542,23,430,89
95AA13S1,1230,780,275,175,882,579,186,117,160,109,31,20,539,351,121,67,124,86,19,19,59,33,15,11,348,201,89,58
95AA13S2,1109,717,245,147,799,527,147,125,172,115,36,21,474,307,80,87,104,73,22,9,49,32,9,8,310,190,98,22
95AA14W1,1678,559,906,213,1215,419,640,156,283,97,152,34,636,226,320,90,232,74,138,20,64,22,30,12,463,140,266,57
95AA15S1,1930,733,762,435,1521,568,599,354,302,115,119,68,998,383,390,225,128,34,60,34,93,36,30,27,409,165,163,81
95AA15S2,1098,420,376,302,755,318,248,189,180,81,64,35,463,191,141,131,44,18,19,7,68,28,24,16,343,102,128,113
95AA16W1,1351,224,855,272,896,173,520,203,216,34,139,43,561,121,311,129,51,9,32,10,68,9,38,21,455,51,335,69
95AA17W1,1614,525,668,421,1117,370,444,303,266,86,110,70,662,223,265,174,81,32,27,22,108,29,42,37,497,155,224,118
95AA18W1,1821,221,1193,407,1160,157,731,272,239,25,158,56,663,106,402,155,221,24,148,49,37,2,23,12,661,64,462,135
95AA19W1,1888,1646,116,126,1271,1116,77,78,271,241,11,19,665,594,39,32,250,205,26,19,85,76,1,8,617,530,39,48
95BB01S1,1143,172,759,212,861,121,576,164,198,28,129,41,477,61,327,89,148,21,102,25,38,11,18,9,282,51,183,48
95BB01S2,1507,105,1082,320,1115,85,794,236,259,17,187,55,643,48,461,134,153,14,104,35,60,6,42,12,392,20,288,84
95BB02W1,1711,142,1107,462,1037,85,646,306,253,14,170,69,553,56,339,158,123,8,82,33,108,7,55,46,674,57,461,156
95BB03S1,1460,35,1148,277,887,26,684,177,192,1,161,30,514,21,391,102,93,4,68,21,88,0,64,24,573,9,464,100
95BB03S2,1620,105,1109,406,974,64,660,250,209,11,154,44,518,38,343,137,184,12,125,47,63,3,38,22,646,41,449,156
95BB04S1,1110,69,730,311,680,47,414,219,168,10,112,46,360,29,220,111,82,5,50,27,70,3,32,35,430,22,316,92
95BB04S2,1177,64,885,228,749,46,541,162,182,15,143,24,401,25,287,89,133,5,91,37,33,1,20,12,428,18,344,66
95BB05S1,1121,36,842,243,793,27,602,164,185,8,146,31,382,11,277,94,189,6,152,31,37,2,27,8,328,9,240,79
95BB05S2,1438,28,1084,326,991,20,735,236,221,2,176,43,487,14,352,121,232,4,173,55,51,0,34,17,447,8,349,90
95BB06W1,2163,200,1324,639,1353,122,784,447,304,27,190,87,779,79,442,258,111,8,70,33,159,8,82,69,810,78,540,192
95BB07S1,1150,51,784,315,758,40,489,229,164,4,115,45,439,30,274,135,86,1,58,27,69,5,42,22,392,11,295,86
95BB07S2,986,17,769,200,656,12,500,144,175,1,142,32,349,10,257,82,89,1,72,16,43,0,29,14,330,5,269,56
95BB08S1,952,49,689,214,591,42,406,143,150,9,116,25,328,25,212,91,63,6,46,11,50,2,32,16,361,7,283,71
95BB08S2,986,39,739,208,726,32,539,155,182,7,141,34,439,22,318,99,70,2,52,16,35,1,28,6,260,7,200,53
95BB09S1,1001,33,730,238,666,24,483,159,159,1,122,36,367,18,260,89,115,3,85,27,25,2,16,7,335,9,247,79
95BB09S2,1292,55,935,302,938,43,665,230,219,9,163,47,576,27,401,148,98,6,68,24,45,1,33,11,354,12,270,72
95BB10S1,1247,83,808,356,798,56,491,251,176,5,121,50,453,44,267,142,112,6,74,32,57,1,29,27,449,27,317,105
95BB10S2,1218,60,867,291,785,41,554,190,169,8,123,38,371,20,253,98,212,11,155,46,33,2,23,8,433,19,313,101
95BB11S1,1023,29,773,221,644,18,486,140,175,5,140,30,333,9,248,76,65,2,52,11,71,2,46,23,379,11,287,81
95BB11S2,1129,49,796,284,686,28,476,182,182,2,144,36,382,23,252,107,81,2,49,30,41,1,31,9,443,21,320,102
95BB12S1,1043,105,614,324,626,67,343,216,179,24,102,53,322,30,176,116,41,4,24,13,84,9,41,34,417,38,271,108
95BB12S2,982,59,694,229,629,41,440,148,170,12,122,36,323,21,229,73,103,8,67,28,33,0,22,11,353,18,254,81
95BB13S1,1015,56,696,263,698,42,472,184,205,10,148,47,365,24,245,96,79,7,51,21,49,1,28,20,317,14,224,79
95BB13S2,1107,76,776,255,665,52,447,166,180,25,117,38,361,24,241,96,69,1,51,17,55,2,38,15,442,24,329,89
95BB13S3,1155,61,837,257,900,53,636,211,204,16,145,43,536,32,376,128,104,2,76,26,56,3,39,14,255,8,201,46
95BB14S1,1127,41,828,258,790,31,579,180,161,7,127,27,388,15,271,102,214,7,165,42,27,2,16,9,337,10,249,78
95BB14S2,1156,61,774,321,813,45,536,232,177,13,130,34,447,21,287,139,159,9,98,52,30,2,21,7,343,16,238,89
95BB15S1,1430,684,466,280,963,483,289,191,184,95,62,27,455,227,127,101,259,132,81,46,65,29,19,17,467,201,177,89
95BB15S2,1097,668,264,165,722,441,169,112,149,100,29,20,383,242,79,62,116,53,40,23,74,46,21,7,375,227,95,53
95BB16S1,1171,39,874,258,804,26,592,186,176,3,137,36,427,17,301,109,175,6,138,31,26,0,16,10,367,13,282,72
95BB16S2,1157,60,824,273,799,45,558,196,169,5,130,34,437,32,288,117,174,7,130,37,19,1,10,8,358,15,266,77
95BB17S1,1286,86,864,336,977,73,652,252,235,18,159,58,572,39,388,145,109,8,69,32,61,8,36,17,309,13,212,84
95BB17S2,1246,59,821,366,846,46,551,249,206,4,139,63,429,30,272,127,152,10,106,36,59,2,34,23,400,13,270,117
95BB18S1,1223,21,909,293,751,15,547,189,159,0,113,46,441,12,329,100,95,3,65,27,56,0,40,16,472,6,362,104
95BB18S2,1792,83,1253,456,1291,74,884,333,272,14,187,71,720,42,495,183,251,14,174,63,48,4,28,16,501,9,369,123
95BB19S1,1174,106,823,245,829,84,549,196,210,23,143,44,496,48,325,123,71,6,51,14,52,7,30,15,345,22,274,49
95BB19S2,1289,74,898,317,1003,61,690,252,267,13,194,60,586,34,398,154,108,10,69,29,42,4,29,9,286,13,208,65
95BB19S3,1028,64,723,241,795,45,559,191,216,12,156,48,463,23,335,105,80,7,49,24,36,3,19,14,233,19,164,50
95BB20S1,1363,971,211,181,899,661,116,122,182,140,20,22,413,302,49,62,224,153,40,31,80,66,7,7,464,310,95,59
95BB20S2,1132,903,104,125,638,500,59,79,136,111,5,20,311,236,34,41,89,68,11,10,102,85,9,8,494,403,45,46
95BB21S1,1728,38,1341,349,1074,28,827,219,267,9,210,48,534,13,401,120,190,3,161,26,83,3,55,25,654,10,514,130
95BB21S2,1692,312,960,420,1135,239,618,278,249,51,138,60,606,124,331,151,211,52,109,50,69,12,40,17,557,73,342,142
95BB22S1,1115,42,796,277,769,25,537,207,185,8,131,46,430,15,294,121,74,1,56,17,80,1,56,23,346,17,259,70
95BB22S2,1031,34,750,247,663,26,468,169,172,2,137,33,340,21,235,84,57,0,40,17,94,3,56,35,368,8,282,78
95BB23S1,1181,139,753,289,781,98,475,208,200,28,134,38,443,51,268,124,100,17,52,31,38,2,21,15,400,41,278,81
95BB23S2,1136,76,807,253,823,54,583,186,222,13,167,42,464,30,325,109,103,8,73,22,34,3,18,13,313,22,224,67
