GeographyCode,LC2113NI0001,LC2113NI0002,LC2113NI0003,LC2113NI0004,LC2113NI0005,LC2113NI0006,LC2113NI0007,LC2113NI0008,LC2113NI0009,LC2113NI0010,LC2113NI0011,LC2113NI0012,LC2113NI0013,LC2113NI0014,LC2113NI0015
95AA01S1,1003,45,958,412,18,394,552,23,529,35,4,31,4,0,4
95AA01S2,1764,222,1542,566,78,488,460,72,388,526,63,463,212,9,203
95AA01S3,1435,62,1373,388,13,375,488,24,464,376,18,358,183,7,176
95AA02W1,1683,99,1584,387,25,362,486,39,447,443,28,415,367,7,360
95AA03W1,1736,60,1676,509,18,491,489,19,470,427,13,414,311,10,301
95AA04W1,2922,187,2735,929,59,870,713,57,656,887,57,830,393,14,379
95AA05W1,2586,423,2163,829,167,662,704,124,580,678,109,569,375,23,352
95AA06S1,1860,365,1495,667,135,532,534,115,419,421,86,335,238,29,209
95AA06S2,2561,470,2091,1013,175,838,764,152,612,571,130,441,213,13,200
95AA07W1,2070,59,2011,573,12,561,567,23,544,594,20,574,336,4,332
95AA08W1,1616,104,1512,473,40,433,473,33,440,419,19,400,251,12,239
95AA09W1,2105,76,2029,586,18,568,608,23,585,538,21,517,373,14,359
95AA10W1,1884,93,1791,586,33,553,473,24,449,528,26,502,297,10,287
95AA11S1,2685,134,2551,699,24,675,961,66,895,576,25,551,449,19,430
95AA11S2,2424,167,2257,796,52,744,947,75,872,471,29,442,210,11,199
95AA12W1,2690,41,2649,845,7,838,655,18,637,832,13,819,358,3,355
95AA13S1,1660,221,1439,538,78,460,457,74,383,440,57,383,225,12,213
95AA13S2,1487,217,1270,464,69,395,467,80,387,345,43,302,211,25,186
95AA14W1,2275,209,2066,697,87,610,516,51,465,685,56,629,377,15,362
95AA15S1,2474,146,2328,747,44,703,1020,68,952,504,28,476,203,6,197
95AA15S2,1432,88,1344,482,21,461,518,34,484,327,26,301,105,7,98
95AA16W1,1722,54,1668,479,15,464,558,24,534,403,8,395,282,7,275
95AA17W1,2044,117,1927,641,33,608,620,35,585,555,41,514,228,8,220
95AA18W1,2369,78,2291,514,13,501,516,20,496,755,31,724,584,14,570
95AA19W1,2555,546,2009,929,216,713,710,165,545,630,128,502,286,37,249
95BB01S1,1521,54,1467,472,11,461,382,15,367,452,16,436,215,12,203
95BB01S2,1964,58,1906,630,20,610,520,15,505,586,14,572,228,9,219
95BB02W1,2280,83,2197,507,28,479,556,20,536,641,25,616,576,10,566
95BB03S1,1942,34,1908,518,8,510,570,6,564,468,7,461,386,13,373
95BB03S2,2116,56,2060,532,11,521,511,13,498,616,23,593,457,9,448
95BB04S1,1396,27,1369,290,7,283,299,6,293,470,11,459,337,3,334
95BB04S2,1563,32,1531,335,5,330,335,13,322,486,11,475,407,3,404
95BB05S1,1454,28,1426,386,2,384,336,9,327,474,9,465,258,8,250
95BB05S2,1847,37,1810,482,8,474,496,15,481,547,10,537,322,4,318
95BB06W1,2778,95,2683,668,29,639,795,36,759,701,19,682,614,11,603
95BB07S1,1592,43,1549,370,8,362,431,18,413,394,8,386,397,9,388
95BB07S2,1258,16,1242,342,4,338,333,4,329,361,7,354,222,1,221
95BB08S1,1275,45,1230,338,10,328,327,9,318,340,17,323,270,9,261
95BB08S2,1233,24,1209,331,6,325,393,11,382,383,3,380,126,4,122
95BB09S1,1282,19,1263,259,2,257,286,6,280,414,11,403,323,0,323
95BB09S2,1568,16,1552,384,1,383,409,7,402,558,7,551,217,1,216
95BB10S1,1651,58,1593,325,10,315,397,26,371,474,16,458,455,6,449
95BB10S2,1591,44,1547,384,9,375,295,7,288,536,15,521,376,13,363
95BB11S1,1356,20,1336,387,8,379,341,5,336,385,3,382,243,4,239
95BB11S2,1512,35,1477,316,6,310,285,12,273,438,8,430,473,9,464
95BB12S1,1370,33,1337,433,7,426,414,12,402,295,5,290,228,9,219
95BB12S2,1281,31,1250,366,6,360,282,13,269,391,9,382,242,3,239
95BB13S1,1350,28,1322,487,8,479,342,10,332,398,9,389,123,1,122
95BB13S2,1413,27,1386,360,7,353,347,6,341,411,10,401,295,4,291
95BB13S3,1508,15,1493,471,3,468,481,6,475,415,5,410,141,1,140
95BB14S1,1479,26,1453,413,2,411,314,12,302,493,6,487,259,6,253
95BB14S2,1557,37,1520,416,5,411,349,11,338,485,12,473,307,9,298
95BB15S1,1924,174,1750,577,51,526,548,76,472,517,34,483,282,13,269
95BB15S2,1434,133,1301,472,59,413,367,33,334,404,26,378,191,15,176
95BB16S1,1497,22,1475,393,3,390,308,6,302,507,7,500,289,6,283
95BB16S2,1555,35,1520,395,7,388,342,9,333,530,17,513,288,2,286
95BB17S1,1707,36,1671,537,16,521,570,7,563,445,11,434,155,2,153
95BB17S2,1699,43,1656,521,13,508,452,12,440,458,15,443,268,3,265
95BB18S1,1619,23,1596,433,8,425,498,4,494,412,7,405,276,4,272
95BB18S2,2475,47,2428,724,14,710,733,19,714,611,11,600,407,3,404
95BB19S1,1548,23,1525,378,6,372,440,8,432,452,9,443,278,0,278
95BB19S2,1711,14,1697,582,1,581,533,5,528,473,8,465,123,0,123
95BB19S3,1344,31,1313,460,11,449,403,10,393,382,10,372,99,0,99
95BB20S1,1820,261,1559,538,101,437,474,69,405,507,69,438,301,22,279
