GeographyCode,LC2104NI0001,LC2104NI0002,LC2104NI0003,LC2104NI0004,LC2104NI0005,LC2104NI0006,LC2104NI0007,LC2104NI0008,LC2104NI0009,LC2104NI0010,LC2104NI0011,LC2104NI0012,LC2104NI0013,LC2104NI0014,LC2104NI0015,LC2104NI0016,LC2104NI0017,LC2104NI0018
95AA01S1,1113,608,505,269,128,141,694,398,296,5,4,1,59,30,29,86,48,38
95AA01S2,1829,920,909,1666,846,820,85,41,44,24,13,11,20,10,10,34,10,24
95AA01S3,1502,744,758,1320,647,673,82,39,43,16,7,9,54,38,16,30,13,17
95AA02W1,1734,860,874,1505,751,754,114,54,60,23,10,13,64,32,32,28,13,15
95AA03W1,1822,856,966,1632,761,871,88,40,48,23,13,10,45,28,17,34,14,20
95AA04W1,3013,1557,1456,2791,1446,1345,128,74,54,40,14,26,10,5,5,44,18,26
95AA05W1,2701,1352,1349,2477,1241,1236,109,57,52,28,9,19,47,23,24,40,22,18
95AA06S1,1953,947,1006,1792,866,926,91,49,42,25,8,17,11,6,5,34,18,16
95AA06S2,2694,1277,1417,2504,1188,1316,105,51,54,34,19,15,30,13,17,21,6,15
95AA07W1,2140,1070,1070,1956,989,967,99,48,51,15,4,11,52,24,28,18,5,13
95AA08W1,1698,830,868,1465,721,744,115,51,64,19,6,13,71,38,33,28,14,14
95AA09W1,2220,1036,1184,1898,876,1022,127,62,65,37,20,17,77,38,39,81,40,41
95AA10W1,1953,948,1005,1721,832,889,121,68,53,24,7,17,49,27,22,38,14,24
95AA11S1,2800,1353,1447,2344,1121,1223,160,83,77,34,14,20,203,109,94,59,26,33
95AA11S2,2564,1325,1239,2094,1035,1059,239,168,71,24,10,14,102,57,45,105,55,50
95AA12W1,2775,1401,1374,2582,1308,1274,124,65,59,33,11,22,12,7,5,24,10,14
95AA13S1,1745,859,886,1512,743,769,96,53,43,25,16,9,93,39,54,19,8,11
95AA13S2,1562,759,803,1383,679,704,64,38,26,23,6,17,70,28,42,22,8,14
95AA14W1,2349,1150,1199,2185,1066,1119,107,52,55,23,15,8,7,5,2,27,12,15
95AA15S1,2641,1286,1355,2096,1005,1091,159,86,73,25,7,18,203,106,97,158,82,76
95AA15S2,1545,761,784,1232,595,637,105,53,52,11,3,8,128,71,57,69,39,30
95AA16W1,1807,876,931,1490,704,786,128,79,49,16,5,11,135,69,66,38,19,19
95AA17W1,2142,1051,1091,1857,903,954,137,70,67,28,12,16,77,43,34,43,23,20
95AA18W1,2439,1175,1264,2201,1064,1137,109,54,55,37,19,18,27,11,16,65,27,38
95AA19W1,2687,1309,1378,2551,1239,1312,50,24,26,34,17,17,25,17,8,27,12,15
95BB01S1,1574,766,808,1481,720,761,50,25,25,17,7,10,7,3,4,19,11,8
95BB01S2,2035,1017,1018,1903,947,956,90,52,38,7,2,5,13,3,10,22,13,9
95BB02W1,2347,1141,1206,2122,1030,1092,107,55,52,40,19,21,49,22,27,29,15,14
95BB03S1,2026,990,1036,1815,887,928,154,70,84,11,5,6,25,18,7,21,10,11
95BB03S2,2193,1075,1118,1969,963,1006,160,88,72,27,9,18,16,5,11,21,10,11
95BB04S1,1438,706,732,1306,642,664,75,43,32,13,2,11,21,10,11,23,9,14
