GeographyCode,LC6402NI0001,LC6402NI0002,LC6402NI0003,LC6402NI0004,LC6402NI0005,LC6402NI0006,LC6402NI0007,LC6402NI0008,LC6402NI0009,LC6402NI0010,LC6402NI0011,LC6402NI0012
95AA01S1,307,302,5,24,23,1,9,9,0,274,270,4
95AA01S2,562,470,92,489,418,71,10,1,9,63,51,12
95AA01S3,531,437,94,424,349,75,4,2,2,103,86,17
95AA02W1,711,466,245,422,313,109,124,43,81,165,110,55
95AA03W1,744,458,286,414,298,116,200,83,117,130,77,53
95AA04W1,918,748,170,838,697,141,5,3,2,75,48,27
95AA05W1,821,612,209,653,522,131,65,26,39,103,64,39
95AA06S1,615,465,150,499,400,99,39,15,24,77,50,27
95AA06S2,806,612,194,644,533,111,75,25,50,87,54,33
95AA07W1,733,542,191,550,446,104,61,20,41,122,76,46
95AA08W1,639,383,256,373,263,110,151,61,90,115,59,56
95AA09W1,856,540,316,453,332,121,258,116,142,145,92,53
95AA10W1,723,417,306,443,320,123,206,62,144,74,35,39
95AA11S1,1007,776,231,725,601,124,66,17,49,216,158,58
95AA11S2,812,688,124,691,605,86,12,2,10,109,81,28
95AA12W1,874,719,155,766,644,122,26,11,15,82,64,18
95AA13S1,568,420,148,392,321,71,41,13,28,135,86,49
95AA13S2,538,400,138,381,313,68,43,11,32,114,76,38
95AA14W1,670,535,135,613,501,112,3,1,2,54,33,21
95AA15S1,953,771,182,677,586,91,77,35,42,199,150,49
95AA15S2,568,389,179,275,228,47,181,84,97,112,77,35
95AA16W1,744,487,257,387,308,79,193,72,121,164,107,57
95AA17W1,808,541,267,565,436,129,149,54,95,94,51,43
95AA18W1,851,629,222,707,516,191,10,4,6,134,109,25
95AA19W1,740,540,200,528,430,98,103,46,57,109,64,45
95BB01S1,480,393,87,429,366,63,20,5,15,31,22,9
95BB01S2,696,562,134,615,513,102,39,20,19,42,29,13
95BB02W1,889,520,369,482,349,133,262,98,164,145,73,72
95BB03S1,751,478,273,487,351,136,130,48,82,134,79,55
95BB03S2,765,495,270,605,419,186,50,18,32,110,58,52
95BB04S1,542,352,190,365,277,88,78,18,60,99,57,42
95BB04S2,539,377,162,491,351,140,5,2,3,43,24,19
95BB05S1,497,376,121,412,318,94,27,13,14,58,45,13
95BB05S2,671,489,182,527,405,122,63,31,32,81,53,28
95BB06W1,1245,745,500,592,435,157,290,91,199,363,219,144
95BB07S1,657,426,231,311,235,76,167,72,95,179,119,60
95BB07S2,444,310,134,385,277,108,32,16,16,27,17,10
95BB08S1,478,286,192,248,190,58,161,55,106,69,41,28
