GeographyCode,QS401NI0001,QS401NI0002,QS401NI0003,QS401NI0004,QS401NI0005,QS401NI0006,QS401NI0007,QS401NI0008,QS401NI0009,QS401NI0010,QS401NI0011,QS401NI0012
N00000001,982,982,973,247,675,51,9,9,0,0,0,0
N00000002,351,351,312,194,16,102,39,38,1,0,0,0
N00000003,233,233,232,230,0,2,1,0,1,0,0,0
N00000004,616,616,611,489,116,6,0,0,0,0,5,0
N00000005,374,374,374,350,9,15,0,0,0,0,0,0
N00000006,240,240,237,209,22,6,0,0,0,0,3,0
N00000007,245,245,237,212,25,0,8,8,0,0,0,0
N00000008,288,288,267,68,70,129,21,16,5,0,0,0
N00000009,727,727,678,392,151,135,47,45,2,0,2,0
N00000010,234,234,234,176,28,30,0,0,0,0,0,0
N00000011,293,293,262,76,29,157,31,29,2,0,0,0
N00000012,264,264,237,8,24,205,27,27,0,0,0,0
N00000013,268,268,225,68,23,134,43,42,1,0,0,0
N00000014,460,460,422,30,85,307,38,38,0,0,0,0
N00000015,226,226,183,13,41,129,43,42,1,0,0,0
N00000016,223,223,145,14,9,122,78,78,0,0,0,0
N00000017,340,340,336,99,40,197,4,3,1,0,0,0
N00000018,229,229,227,10,97,120,2,1,1,0,0,0
N00000019,261,261,254,3,60,191,7,7,0,0,0,0
N00000020,236,236,236,10,25,201,0,0,0,0,0,0
N00000021,269,269,237,38,20,179,32,28,4,0,0,0
N00000022,269,269,269,22,47,200,0,0,0,0,0,0
N00000023,218,218,217,23,67,127,1,1,0,0,0,0
N00000024,533,533,528,488,25,15,2,2,0,0,3,0
N00000025,460,460,453,433,16,4,0,0,0,0,7,0
N00000026,460,460,450,419,17,14,2,2,0,0,8,0
N00000027,535,535,530,360,126,44,2,2,0,0,3,0
N00000028,236,236,232,180,9,43,4,4,0,0,0,0
N00000029,403,403,386,365,18,3,4,4,0,0,13,0
N00000030,375,375,369,338,22,9,2,2,0,0,4,0
N00000031,699,699,696,600,85,11,0,0,0,0,3,0
N00000032,386,386,386,199,177,10,0,0,0,0,0,0
N00000033,495,495,491,402,83,6,2,2,0,0,2,0
N00000034,438,438,428,276,142,10,10,4,6,0,0,0
N00000035,291,291,280,36,156,88,11,11,0,0,0,0
N00000036,345,345,339,109,220,10,6,2,0,4,0,0
N00000037,285,285,275,55,176,44,10,10,0,0,0,0
