GeographyCode,QS605NI0001,QS605NI0002,QS605NI0003,QS605NI0004,QS605NI0005,QS605NI0006,QS605NI0007,QS605NI0008,QS605NI0009,QS605NI0010,QS605NI0011,QS605NI0012,QS605NI0013,QS605NI0014,QS605NI0015,QS605NI0016,QS605NI0017,QS605NI0018,QS605NI0019,QS605NI0020,QS605NI0021,QS605NI0022,QS605NI0023,QS605NI0024,QS605NI0025,QS605NI0026,QS605NI0027,QS605NI0028,QS605NI0029,QS605NI0030,QS605NI0031,QS605NI0032,QS605NI0033,QS605NI0034,QS605NI0035
N00000001,591,65,41,24,30,9,10,7,4,163,16,7,107,9,24,199,194,5,33,2,18,4,9,31,27,4,29,26,3,18,8,10,23,1,22
N00000002,170,16,11,5,39,9,10,12,8,18,2,1,1,3,11,22,19,3,21,1,6,8,6,11,9,2,20,16,4,10,2,8,13,3,10
N00000003,115,15,9,6,31,8,4,14,5,9,2,2,1,0,4,18,16,2,10,2,4,3,1,10,4,6,6,6,0,6,3,3,10,3,7
N00000004,310,19,12,7,48,7,12,17,12,27,4,0,5,2,16,42,33,9,56,27,10,13,6,25,20,5,29,26,3,29,12,17,35,9,26
N00000005,210,32,14,18,39,10,14,11,4,20,2,2,1,4,11,18,15,3,43,13,7,15,8,17,14,3,13,10,3,11,6,5,17,3,14
N00000006,134,11,6,5,24,2,4,14,4,10,1,0,1,1,7,23,17,6,33,10,14,4,5,6,4,2,13,12,1,8,4,4,6,0,6
N00000007,130,16,14,2,20,3,4,10,3,13,2,1,4,1,5,19,15,4,24,6,8,4,6,11,8,3,7,7,0,10,8,2,10,5,5
N00000008,162,19,12,7,37,6,14,10,7,16,3,1,0,5,7,26,23,3,26,6,11,5,4,10,7,3,5,5,0,13,9,4,10,3,7
N00000009,408,56,35,21,103,13,26,26,38,34,5,2,2,2,23,58,49,9,47,13,16,11,7,24,23,1,31,27,4,19,9,10,36,3,33
N00000010,113,11,4,7,18,6,7,4,1,4,0,0,0,1,3,12,10,2,25,9,7,6,3,7,6,1,14,11,3,8,3,5,14,2,12
N00000011,130,8,3,5,12,0,7,1,4,14,5,3,1,2,3,18,15,3,15,0,5,6,4,12,11,1,16,14,2,7,5,2,28,3,25
N00000012,132,4,2,2,6,0,2,2,2,10,4,1,1,1,3,14,12,2,14,2,7,3,2,14,11,3,23,20,3,15,8,7,32,2,30
N00000013,116,6,4,2,15,3,3,3,6,10,2,2,0,2,4,15,11,4,14,2,8,2,2,18,14,4,8,8,0,13,5,8,17,1,16
N00000014,265,7,4,3,31,9,11,6,5,24,8,2,1,4,9,35,32,3,36,2,14,9,11,32,15,17,36,35,1,27,14,13,37,8,29
N00000015,85,3,2,1,4,0,2,2,0,11,2,0,2,5,2,7,6,1,7,1,3,1,2,10,7,3,10,10,0,7,1,6,26,2,24
N00000016,98,5,3,2,12,3,4,5,0,10,1,2,1,1,5,14,11,3,18,2,8,2,6,7,4,3,10,7,3,7,2,5,15,0,15
N00000017,150,5,4,1,14,2,5,3,4,10,0,2,2,0,6,15,12,3,22,0,12,4,6,19,15,4,18,17,1,18,7,11,29,2,27
N00000018,109,6,5,1,14,5,6,1,2,6,2,0,0,1,3,14,12,2,14,1,7,4,2,8,4,4,12,11,1,18,7,11,17,0,17
N00000019,116,5,4,1,8,1,4,0,3,5,0,0,2,3,0,10,10,0,15,0,9,2,4,15,10,5,10,8,2,14,6,8,34,1,33
N00000020,88,1,0,1,4,0,2,2,0,6,2,0,0,0,4,16,14,2,9,0,5,1,3,10,9,1,11,6,5,6,2,4,25,4,21
N00000021,114,8,5,3,10,3,3,1,3,11,6,0,1,0,4,9,8,1,21,0,9,5,7,15,12,3,13,11,2,5,3,2,22,3,19
N00000022,110,1,0,1,11,1,6,2,2,4,1,1,2,0,0,10,10,0,14,4,3,5,2,24,18,6,16,16,0,12,2,10,18,0,18
N00000023,88,4,3,1,6,1,1,0,4,7,2,1,0,1,3,7,7,0,17,1,9,3,4,16,14,2,5,5,0,11,4,7,15,0,15
N00000024,281,33,20,13,57,11,15,14,17,40,4,4,3,6,23,34,29,5,49,10,17,13,9,18,13,5,20,20,0,14,6,8,16,3,13
N00000025,241,28,22,6,31,1,9,5,16,24,3,4,0,6,11,31,29,2,43,12,19,10,2,18,15,3,24,22,2,23,9,14,19,4,15
N00000026,260,36,20,16,43,10,13,15,5,31,6,5,0,4,16,25,15,10,44,9,15,13,7,24,16,8,17,15,2,19,6,13,21,6,15
N00000027,257,29,15,14,35,9,7,11,8,18,6,1,3,0,8,45,38,7,53,29,12,7,5,26,21,5,17,12,5,16,5,11,18,3,15
N00000028,123,9,7,2,11,1,3,3,4,15,2,6,0,1,6,26,23,3,15,3,4,5,3,12,8,4,8,8,0,16,1,15,11,2,9
N00000029,218,25,18,7,39,5,12,10,12,21,3,4,2,6,6,26,18,8,46,17,14,10,5,15,10,5,14,12,2,16,6,10,16,3,13
N00000030,190,14,10,4,27,3,7,10,7,22,3,3,3,3,10,22,13,9,48,22,10,10,6,19,17,2,16,14,2,10,3,7,12,5,7
N00000031,338,27,20,7,72,17,20,24,11,28,1,2,3,2,20,42,34,8,74,13,21,33,7,33,28,5,21,19,2,22,11,11,19,7,12
N00000032,174,20,13,7,31,3,15,7,6,10,2,2,0,0,6,22,15,7,34,3,10,19,2,22,21,1,14,13,1,11,6,5,10,2,8
N00000033,246,15,9,6,46,9,11,14,12,19,2,0,1,2,14,27,20,7,56,14,22,18,2,24,21,3,15,12,3,21,11,10,23,5,18
N00000034,224,28,18,10,42,11,12,13,6,17,3,2,1,1,10,21,16,5,36,1,21,11,3,25,19,6,18,16,2,18,12,6,19,4,15
N00000035,120,3,2,1,16,5,8,3,0,8,2,2,0,1,3,14,10,4,24,2,6,11,5,18,14,4,9,8,1,7,4,3,21,2,19
N00000036,174,20,20,0,28,5,18,3,2,12,3,0,1,1,7,27,24,3,25,1,8,14,2,22,18,4,9,8,1,15,7,8,16,3,13
N00000037,120,4,1,3,16,4,7,3,2,11,3,1,1,2,4,21,17,4,9,0,2,5,2,16,13,3,18,16,2,11,7,4,14,1,13
N00000038,182,17,11,6,22,4,5,6,7,11,2,1,0,0,8,31,24,7,35,11,10,7,7,21,15,6,18,16,2,12,5,7,15,3,12
N00000039,590,40,30,10,68,11,18,15,24,68,14,6,13,4,31,101,79,22,63,3,23,23,14,76,63,13,67,63,4,49,20,29,58,12,46
N00000040,118,7,5,2,4,2,2,0,0,9,2,0,0,1,6,21,18,3,11,0,2,6,3,14,13,1,14,14,0,19,6,13,19,3,16
N00000041,225,28,22,6,27,8,9,5,5,22,3,2,3,3,11,48,37,11,20,1,11,6,2,21,15,6,22,16,6,20,6,14,17,1,16
N00000042,198,12,5,7,27,8,5,2,12,18,3,3,2,2,8,29,23,6,23,1,11,9,2,28,21,7,17,16,1,24,8,16,20,7,13
N00000043,547,47,37,10,89,14,26,29,20,65,10,4,7,7,37,84,69,15,49,2,21,15,11,45,34,11,67,59,8,43,20,23,58,11,47
N00000044,113,8,6,2,7,1,2,2,2,11,5,1,1,0,4,24,21,3,11,0,5,3,3,13,8,5,12,9,3,14,6,8,13,2,11
N00000045,269,26,16,10,57,12,19,12,14,21,4,2,2,0,13,34,29,5,57,20,18,11,8,16,13,3,17,16,1,22,11,11,19,3,16
N00000046,191,7,4,3,39,4,19,11,5,12,2,1,1,1,7,24,18,6,53,21,12,16,4,14,11,3,11,10,1,12,2,10,19,7,12
N00000047,184,15,9,6,33,6,11,6,10,13,2,2,1,2,6,30,24,6,34,10,15,8,1,14,11,3,22,20,2,12,7,5,11,3,8
N00000048,135,5,4,1,5,1,2,2,0,7,1,0,2,1,3,14,9,5,18,1,7,6,4,24,19,5,12,11,1,22,11,11,28,4,24
N00000049,120,6,4,2,7,2,0,1,4,3,0,1,0,0,2,18,14,4,13,3,3,6,1,19,15,4,11,10,1,18,15,3,25,7,18
N00000050,147,24,16,8,29,3,10,9,7,9,1,2,0,1,5,15,13,2,18,0,8,8,2,12,8,4,5,5,0,17,7,10,18,1,17
N00000051,110,2,1,1,11,1,7,2,1,8,1,4,0,1,2,8,5,3,16,1,5,7,3,12,10,2,12,9,3,14,6,8,27,1,26
N00000052,124,7,5,2,19,3,9,3,4,9,3,2,0,0,4,12,9,3,17,2,9,3,3,18,14,4,13,12,1,12,4,8,17,0,17
N00000053,112,4,4,0,6,0,2,2,2,11,2,0,3,1,5,7,6,1,7,0,2,2,3,14,12,2,18,17,1,19,12,7,26,7,19
N00000054,116,4,3,1,8,2,3,1,2,12,2,3,1,1,5,13,12,1,10,1,6,1,2,22,15,7,15,14,1,12,8,4,20,2,18
N00000055,113,5,3,2,8,1,7,0,0,11,2,3,1,0,5,11,10,1,15,1,10,0,4,15,12,3,12,11,1,15,8,7,21,2,19
N00000056,125,1,1,0,6,3,3,0,0,4,1,0,0,1,2,14,12,2,24,1,11,7,5,18,10,8,16,16,0,18,10,8,24,2,22
N00000057,106,4,2,2,7,2,3,2,0,3,0,2,0,1,0,12,11,1,8,0,2,3,3,11,8,3,11,9,2,17,11,6,33,3,30
N00000058,120,5,2,3,13,3,7,2,1,5,1,0,0,0,4,14,11,3,14,0,6,4,4,15,11,4,8,8,0,21,15,6,25,3,22
N00000059,99,2,2,0,8,1,3,1,3,3,0,0,1,1,1,6,6,0,13,1,2,1,9,13,9,4,19,18,1,15,6,9,20,2,18
N00000060,161,9,5,4,10,0,6,1,3,10,2,2,1,1,4,17,14,3,18,1,8,3,6,21,18,3,21,20,1,15,7,8,40,6,34
N00000061,124,14,8,6,29,4,8,6,11,12,2,1,1,2,6,9,7,2,11,2,4,2,3,11,11,0,10,9,1,13,6,7,15,0,15
N00000062,159,30,19,11,33,7,7,5,14,16,7,2,0,0,7,24,19,5,10,0,6,4,0,10,8,2,17,16,1,9,7,2,10,3,7
N00000063,146,12,7,5,17,4,8,2,3,12,2,0,3,1,6,13,11,2,14,0,4,3,7,16,8,8,20,18,2,9,3,6,33,6,27
N00000064,88,5,2,3,6,1,3,1,1,6,2,1,0,0,3,4,2,2,12,0,7,0,5,12,9,3,13,12,1,10,3,7,20,6,14
N00000065,192,16,10,6,30,5,11,7,7,11,3,1,0,2,5,27,20,7,23,2,8,8,5,29,22,7,19,17,2,13,3,10,24,1,23
N00000066,146,8,7,1,33,3,15,7,8,12,3,1,3,2,3,25,22,3,12,0,8,3,1,13,9,4,17,16,1,11,4,7,15,1,14
N00000067,111,7,4,3,6,1,3,1,1,3,0,0,0,1,2,14,12,2,14,1,7,2,4,14,9,5,14,12,2,5,3,2,34,6,28
N00000068,183,19,10,9,35,7,14,9,5,15,1,3,0,1,10,25,23,2,16,0,7,6,3,10,7,3,21,18,3,19,14,5,23,2,21
N00000069,87,5,3,2,4,1,2,1,0,2,0,0,0,2,0,12,12,0,15,1,5,3,6,13,8,5,8,8,0,10,5,5,18,2,16
N00000070,102,13,9,4,18,2,9,3,4,9,1,2,1,2,3,17,11,6,14,1,9,3,1,10,7,3,3,2,1,8,2,6,10,0,10
N00000071,123,10,8,2,8,1,3,4,0,8,2,1,1,0,4,21,17,4,18,0,11,3,4,21,16,5,11,8,3,5,3,2,21,2,19
N00000072,943,74,48,26,157,41,50,36,30,90,15,3,17,9,46,138,119,19,93,3,33,33,24,91,69,22,82,69,13,95,56,39,123,12,111
N00000073,237,18,10,8,33,4,14,10,5,11,1,1,1,2,6,28,22,6,20,2,9,5,4,23,14,9,21,21,0,32,13,19,51,5,46
N00000074,593,44,35,9,142,24,52,28,38,55,7,2,8,6,32,99,79,20,73,2,35,18,18,51,37,14,48,44,4,33,17,16,48,9,39
N00000075,216,19,14,5,22,2,11,4,5,58,3,1,49,1,4,29,27,2,18,1,8,9,0,13,10,3,15,13,2,21,12,9,21,2,19
N00000076,182,15,11,4,36,6,16,8,6,19,2,2,3,3,9,26,20,6,22,1,12,4,5,14,12,2,23,20,3,6,3,3,21,2,19
N00000077,141,14,9,5,21,4,11,4,2,10,2,2,0,0,6,19,16,3,18,1,9,4,4,13,10,3,14,10,4,12,7,5,20,1,19
N00000078,263,24,13,11,46,10,18,10,8,26,4,0,4,2,16,32,26,6,30,0,14,9,7,24,17,7,29,26,3,24,14,10,28,0,28
N00000079,300,43,33,10,62,11,24,18,9,33,2,5,2,5,19,39,31,8,58,17,15,19,7,15,11,4,23,18,5,12,4,8,15,2,13
N00000080,225,21,15,6,49,17,8,13,11,25,3,2,0,4,16,51,46,5,24,6,7,10,1,15,10,5,12,10,2,6,3,3,22,7,15
N00000081,166,24,20,4,39,8,8,14,9,26,7,0,2,1,16,16,11,5,19,5,5,8,1,10,8,2,8,8,0,7,3,4,17,4,13
N00000082,181,34,17,17,40,11,14,9,6,10,0,0,0,2,8,26,20,6,25,11,3,9,2,14,12,2,10,7,3,12,5,7,10,2,8
