GeographyCode,QS411NI0001,QS411NI0002,QS411NI0003
N00000001,368,368,0
N00000002,147,147,0
N00000003,79,79,0
N00000004,202,202,0
N00000005,135,135,0
N00000006,89,89,0
N00000007,98,98,0
N00000008,153,153,0
N00000009,292,292,0
N00000010,90,90,0
N00000011,145,145,0
N00000012,125,125,0
N00000013,154,154,0
N00000014,251,251,0
N00000015,126,126,0
N00000016,128,128,0
N00000017,150,150,0
N00000018,97,97,0
N00000019,119,119,0
N00000020,127,127,0
N00000021,138,138,0
N00000022,129,129,0
N00000023,120,120,0
N00000024,178,178,0
N00000025,165,165,0
N00000026,161,161,0
N00000027,190,190,0
N00000028,88,88,0
N00000029,141,141,0
N00000030,138,138,0
N00000031,215,215,0
N00000032,137,137,0
N00000033,181,181,0
N00000034,164,164,0
N00000035,128,128,0
N00000036,135,135,0
N00000037,126,126,0
N00000038,142,142,0
N00000039,473,473,0
N00000040,116,116,0
N00000041,144,144,0
N00000042,128,128,0
N00000043,380,380,0
N00000044,120,120,0
N00000045,176,176,0
N00000046,135,135,0
N00000047,140,140,0
N00000048,132,132,0
N00000049,129,129,0
N00000050,142,142,0
N00000051,129,129,0
N00000052,123,123,0
N00000053,122,122,0
N00000054,117,117,0
N00000055,122,122,0
N00000056,121,121,0
N00000057,124,124,0
N00000058,124,124,0
N00000059,116,116,0
N00000060,185,185,0
N00000061,130,130,0
N00000062,138,138,0
N00000063,158,158,0
N00000064,136,136,0
N00000065,147,147,0
N00000066,116,116,0
N00000067,140,140,0
N00000068,126,126,0
N00000069,147,147,0
N00000070,105,105,0
N00000071,148,148,0
N00000072,643,643,0
N00000073,263,263,0
N00000074,392,392,0
N00000075,114,114,0
N00000076,116,116,0
N00000077,100,100,0
N00000078,163,163,0
N00000079,200,200,0
N00000080,146,146,0
N00000081,144,144,0
N00000082,146,146,0
N00000083,216,216,0
N00000084,162,162,0
N00000085,212,211,1
N00000086,150,150,0
N00000087,318,318,0
N00000088,138,138,0
N00000089,168,168,0
N00000090,141,141,0
N00000091,184,184,0
N00000092,180,180,0
N00000093,146,146,0
N00000094,167,167,0
N00000095,159,159,0
N00000096,168,168,0
N00000097,300,300,0
N00000098,472,472,0
N00000099,110,110,0
N00000100,168,168,0
N00000101,123,123,0
N00000102,126,126,0
N00000103,210,210,0
N00000104,132,132,0
N00000105,152,152,0
